SOSR_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOSR201,..,418583,418583,473097,47656,520757,266304,16098,282404,279673,7035,286706,105611,2412,108021,51121,1117,52237,1175801,492909,1668713
SOSR203,..,45455,45455,46496,4169,50666,21360,1309,22665,19873,586,20462,8113,172,8284,3264,107,3375,99109,51798,150904
SOSR211,..,9455,9455,11022,888,11908,6714,138,6856,6227,36,6261,2904,10,2913,1955,0,1960,28817,10529,39352
SOSR212,..,27227,27227,31844,2122,33967,14246,536,14779,14514,197,14713,6107,67,6175,2508,56,2563,69211,30210,99425
SOSR213,..,29614,29614,32258,2067,34326,13358,324,13688,12452,100,12551,5540,38,5579,2274,30,2303,65885,32171,98057
SOSR214,..,19532,19532,20992,1190,22190,7099,181,7279,6295,52,6345,2823,19,2842,1142,25,1167,38354,20995,59350
SOSR215,..,27059,27059,30468,1683,32146,10892,227,11120,10844,51,10894,4813,23,4837,2015,27,2038,59031,29064,88095
SOSR221,..,7485,7485,8734,486,9216,2915,28,2938,2820,11,2832,1317,0,1319,528,0,527,16307,8011,24321
SOSR222,..,3864,3864,4619,273,4895,1581,29,1608,1498,12,1510,647,5,652,272,3,275,8617,4190,12809
SOSR231,..,31273,31273,56910,2484,59395,20277,312,20594,21337,99,21431,11106,28,11138,5362,27,5393,114997,34223,149218
SOSR279,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
