SOSR_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOSR201,510,107,1280,721,1261,152,4030,460,73,860,243,660,66,2366,8011,1396,20656,11240,28073,1863,71233,2251,382,4436,1571,3309,243,12177,5318,1029,19505,14263,77930,2800,120835,3997,777,10398,4618,8358,777,28920,7436,1214,20155,9943,14490,1662,54910,3215,439,10936,9465,9737,1247,35046,7029,1162,15626,11398,15298,2068,52577,4142,871,9895,3080,2753,461,21200,11013,2895,26461,6553,3499,980,51396,1962,467,5494,2409,3899,488,14720,29177,5201,61605,10962,6779,1879,115607,3261,669,8595,4684,7276,792,25266,8974,3238,18030,9689,10171,1041,51150,19084,5200,19349,4137,3860,663,52298,16122,3817,27101,7918,8371,1468,64803,1662,556,6213,2489,3165,325,14403,2583,579,5503,4524,16266,734,30191,5703,788,12548,5904,12359,5136,42441,141899,30864,304639,125814,237522,24839,865580,317,78,908,542,575,113,2538,169,36,368,72,74,17,740,4164,1008,12344,5743,6212,988,30460,1281,356,2636,847,846,147,6109,2434,701,7303,4525,4992,639,20594,2501,638,7589,3379,3091,476,17670,5887,1785,25045,13594,14213,2137,62660,3030,617,11800,7893
SOSR203,39,18,216,144,418,30,866,59,10,178,65,532,16,865,413,73,1065,764,3505,134,5956,92,24,284,171,586,26,1179,194,60,932,900,8822,217,11122,79,30,336,278,865,35,1618,327,83,1027,632,1848,119,4048,230,37,630,571,1148,91,2701,293,46,560,513,1374,105,2885,75,38,289,152,274,26,848,208,110,871,423,270,27,1914,36,17,233,146,332,15,778,700,259,2405,683,602,65,4703,118,38,306,219,681,37,1411,422,287,1285,1090,1484,103,4670,1245,579,2131,437,523,52,4973,1243,516,2484,881,1332,134,6592,67,31,300,167,298,27,881,133,48,294,266,1578,55,2377,160,26,407,266,1143,282,2286,6140,2314,16232,8783,27613,1601,62676,16,12,77,62,115,15,298,15,4,33,16,30,4,114,147,38,503,343,692,73,1797,43,19,141,94,125,20,442,70,46,332,293,594,40,1371,28,13,173,141,237,25,611,213,114,1320,1051,2093,190,4982,178,48,646,587
SOSR211,9,5,27,28,63,4,131,0,3,9,6,42,0,63,65,17,267,257,1142,58,1808,23,3,36,35,147,10,258,37,10,160,253,2385,89,2933,24,8,96,84,310,16,535,74,14,217,208,617,33,1159,38,3,98,128,254,17,543,98,28,311,532,901,84,1953,30,4,92,31,51,9,214,66,11,148,91,59,9,391,10,0,23,40,86,6,172,154,32,352,141,137,13,825,24,5,70,80,245,23,449,129,41,326,337,619,31,1492,147,87,262,106,149,10,760,152,45,351,216,287,27,1082,12,0,30,23,78,8,152,29,4,61,80,594,16,787,48,9,107,106,441,118,824,1158,330,3043,2782,8617,580,16516,8,5,5,26,18,5,60,0,0,0,0,5,4,11,39,11,130,118,210,31,542,11,0,17,13,30,0,72,26,6,77,111,186,10,424,14,0,44,39,104,11,210,62,34,227,290,617,52,1284,31,4,104,121
SOSR212,54,13,226,203,517,69,1081,13,6,50,46,226,5,337,160,52,652,475,2487,114,3939,84,26,242,204,760,25,1338,84,40,493,617,6612,137,7994,57,8,196,166,687,38,1157,100,37,460,419,1346,98,2457,42,19,265,323,804,58,1508,82,27,298,443,1275,80,2205,25,20,156,97,177,16,492,85,52,408,244,146,26,959,14,8,113,81,286,22,521,373,138,1311,436,438,54,2749,39,19,160,144,525,27,920,242,138,738,838,1020,71,3052,533,353,1227,286,371,41,2814,661,246,1243,504,749,82,3478,41,8,163,110,205,15,539,54,21,163,161,1217,39,1659,66,14,235,166,964,223,1669,2804,1261,8802,5956,20809,1238,40869,28,21,176,126,166,53,574,0,0,8,6,13,3,42,61,27,354,265,439,36,1179,34,27,107,80,141,8,401,35,18,203,290,431,25,1012,21,13,104,112,188,20,461,94,64,639,678,1353,123,2945,50,23,350,366
SOSR213,45,15,196,189,660,70,1180,11,0,45,43,278,4,378,103,40,479,494,2732,122,3973,37,17,170,117,620,27,982,58,32,306,461,6156,139,7157,29,10,128,169,672,29,1041,70,27,306,318,1310,66,2100,38,16,189,250,665,50,1202,63,24,187,337,1286,86,1978,38,23,119,68,176,11,430,71,30,230,208,113,13,657,12,3,67,67,207,19,367,252,90,846,370,404,29,1983,16,17,121,137,546,29,866,203,126,693,819,1050,69,2961,382,279,887,223,359,26,2155,375,176,883,467,773,74,2747,24,18,104,74,181,10,418,46,26,137,151,1394,29,1789,49,13,155,137,893,260,1503,1914,972,6233,5102,20479,1164,35866,19,11,148,103,171,38,491,0,0,15,14,18,0,50,53,29,284,265,549,50,1229,12,14,59,48,103,4,249,20,18,110,236,382,30,800,9,8,82,102,169,11,384,60,48,439,508,1429,119,2609,36,23,225,312
SOSR214,21,8,101,127,426,50,730,4,5,25,17,141,6,200,91,26,259,242,1377,97,2088,17,12,48,64,309,13,460,40,19,184,260,3476,94,4069,11,10,75,83,334,26,530,28,12,188,162,628,50,1061,24,8,104,177,450,47,816,25,13,91,141,605,46,920,16,7,55,42,73,6,207,35,17,112,85,56,8,318,7,5,51,51,131,4,250,145,51,420,190,180,21,1012,18,0,56,80,264,23,442,102,71,291,419,637,38,1560,218,146,445,113,174,17,1119,185,74,424,211,407,37,1343,9,16,83,43,129,5,284,19,14,78,86,731,21,946,34,17,83,65,496,133,814,1055,540,3179,2646,11017,734,19171,6,9,91,67,117,28,321,0,0,9,6,7,0,25,22,16,198,140,321,57,748,7,6,33,29,34,0,107,28,18,96,112,221,27,498,7,3,53,51,75,10,208,35,40,254,292,739,75,1424,29,18,184,214
SOSR215,37,23,193,225,1052,80,1618,13,0,27,27,249,9,330,82,36,372,361,2389,120,3356,37,14,120,112,582,14,876,52,26,299,420,6181,173,7148,26,5,122,127,614,34,923,49,21,267,228,1066,79,1706,56,16,219,234,682,45,1252,36,31,179,264,1146,86,1735,21,3,87,68,121,11,313,55,37,190,118,85,11,494,15,3,58,59,173,10,319,272,107,778,280,309,23,1766,17,14,129,114,449,39,765,167,96,503,596,917,68,2346,371,255,721,183,306,25,1869,237,141,553,355,544,64,1895,32,12,144,107,216,10,520,53,17,95,96,1378,28,1673,46,15,169,124,910,194,1465,1680,882,5226,4097,19372,1124,32374,23,19,147,138,294,54,678,0,0,17,11,17,0,46,36,33,259,225,436,39,1035,23,12,57,40,74,4,209,19,36,156,219,377,33,854,10,9,86,112,181,16,413,48,48,387,491,1166,159,2299,61,35,301,390
SOSR221,7,12,79,74,396,36,596,3,0,11,12,84,3,112,13,10,101,88,617,30,865,8,8,31,39,187,3,267,8,7,71,124,1720,55,1987,3,4,34,38,177,15,274,9,3,76,67,278,31,463,4,5,51,49,168,19,297,15,0,33,50,297,24,430,8,4,16,17,30,3,82,17,13,48,30,21,10,138,0,0,18,20,50,6,93,75,20,201,79,99,9,484,12,7,38,35,132,3,231,46,29,132,178,300,16,694,111,82,227,66,82,15,585,72,34,152,89,130,8,484,16,11,41,27,58,4,158,8,0,27,22,374,11,444,8,4,45,39,216,52,371,440,246,1419,1141,5426,353,9040,3,6,60,44,84,19,219,0,0,6,0,8,0,15,8,4,61,53,125,14,266,3,5,13,10,14,0,46,5,9,58,62,118,10,258,4,0,21,15,30,3,74,12,12,127,129,322,39,645,11,6,67,87
SOSR222,4,3,36,40,228,18,330,0,0,6,3,54,0,60,9,9,41,56,338,14,465,5,5,24,7,68,3,109,4,7,34,54,796,25,920,0,3,14,11,83,0,113,7,4,42,36,132,9,224,12,8,57,45,174,23,324,8,5,24,37,178,15,264,6,3,15,9,11,0,42,8,0,30,21,11,3,74,0,4,9,6,42,0,62,36,6,113,40,47,6,256,0,0,19,19,88,0,134,23,22,74,93,149,13,367,60,36,124,32,50,7,322,23,16,73,46,79,8,247,5,3,34,10,31,4,91,6,0,13,11,216,4,250,4,0,20,23,132,27,205,225,133,787,616,2908,193,4850,4,0,24,25,52,9,117,0,0,0,0,4,0,3,3,5,26,32,71,4,140,0,0,17,0,5,5,26,4,3,32,26,44,6,120,3,0,13,14,25,0,53,9,7,51,66,154,15,302,4,4,84,84
SOSR231,326,161,2036,2314,7805,766,13417,31,0,132,89,724,29,1010,182,79,844,767,4452,188,6515,46,26,215,222,1071,33,1618,92,58,706,938,11758,342,13907,57,32,275,295,1241,87,1980,72,31,436,355,1545,121,2556,42,29,239,254,812,87,1461,63,35,260,439,2315,165,3273,44,15,176,102,157,16,512,104,56,409,234,148,22,971,30,25,133,132,359,40,712,558,205,1821,571,644,83,3888,55,24,194,243,867,68,1455,283,173,963,1083,1685,112,4311,536,425,1138,357,550,54,3061,512,235,1075,544,828,98,3289,54,33,265,172,457,31,1013,72,35,178,190,2718,78,3271,94,32,337,311,1817,480,3081,3247,1714,11844,9606,41966,2914,71296,257,322,1877,1753,2111,484,6811,14,12,41,31,56,6,158,119,93,606,520,885,124,2348,48,22,152,102,137,12,474,44,68,443,572,875,99,2095,33,32,225,209,379,66,942,75,81,831,829,1771,251,3846,67,69,455,490
