SOSR_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
SOSR201,355911,226407,283802,256664,195799,137037,74814,30338,8255,1569025,35469,37173,49432,51907,53791,58232,52784,31434,10820,381043,1731,3670,6860,8138,11268,17561,22883,17829,7289,97228,101,250,731,1439,3436,7736,13090,13317,6901,46994,37304,41095,57015,61486,68493,83526,88761,62587,25003,525268,29333,21585,28779,23900,20655,16099,10762,6992,3390,161494,422549,289091,369594,342049,284946,236664,174337,99909,36647,2255791,346915,200901,271453,252722,198276,141176,83789,34332,10966,1540528,24210,47078,64034,58840,60602,63237,60691,39522,17754,435971,1275,7692,13052,12469,16420,22104,26869,22244,12675,134794,62,411,1402,2548,5712,10293,15053,15720,11657,62862,25546,55184,78485,73857,82738,95624,102610,77485,42092,633627,27696,19023,25687,22057,19278,15663,12101,8303,5790,155596,400163,275116,375628,348635,300286,252467,198500,120121,58840,2329751,702824,427310,555252,509388,394075,278211,158602,64672,19220,3109557,59682,84257,113466,110751,114392,121465,113472,70959,28575,817017,3006,11360,19909,20602,27688,39662,49755,40076,19972,232026,165,666,2128,3990,9147,18024,28139,29038,18553,109857,62857,96281,135507,135344,151225,179152,191371,140073,67096,1158893,57030,40617,54467,45951,39935,31762,22863,15296,9177,317085
SOSR203,28238,17348,19927,15476,13292,10310,6661,2723,763,114743,4370,4280,5127,4775,4823,5460,5539,3150,1040,38563,327,559,933,988,1331,2011,2682,1912,791,11533,13,48,107,240,523,1118,1802,1646,788,6284,4714,4881,6169,6009,6678,8588,10024,6702,2610,56377,2999,2196,2195,1724,1834,1616,1182,732,372,14846,35947,24428,28291,23205,21800,20512,17873,10157,3752,185970,27798,15293,17795,15419,13460,11294,7547,3231,1138,112975,3243,5744,6977,6015,5778,6215,6436,4002,1901,46312,227,1247,1929,1756,2080,2714,3360,2440,1328,17089,4,91,254,468,972,1701,2215,2010,1385,9104,3482,7075,9161,8243,8827,10631,12016,8455,4609,72502,2900,1991,2018,1763,1695,1507,1319,943,651,14786,34178,24358,28973,25426,23981,23437,20876,12629,6406,200267,56039,32639,37723,30900,26748,21610,14211,5951,1900,227717,7614,10017,12100,10795,10604,11671,11970,7149,2941,84872,556,1804,2861,2744,3409,4724,6043,4354,2120,28618,25,139,365,707,1493,2819,4020,3653,2169,15384,8195,11959,15329,14247,15505,19221,22038,15160,7225,128881,5896,4183,4212,3486,3524,3126,2506,1672,1027,29636
SOSR211,10621,5165,6231,5666,3720,2431,1451,477,103,35862,1388,1045,1433,1520,1393,1368,1347,568,138,10196,120,180,229,323,418,565,733,394,97,3058,8,8,39,88,153,348,569,391,115,1716,1514,1232,1696,1937,1965,2275,2647,1356,350,14975,1391,726,782,735,587,455,295,150,41,5168,13526,7128,8713,8335,6266,5168,4391,1982,487,56005,10793,4300,6241,5313,3364,2482,1578,528,158,34753,1106,1373,1837,1734,1587,1533,1520,693,220,11601,101,298,558,568,657,758,806,478,161,4378,3,13,89,191,331,543,677,387,167,2395,1204,1687,2485,2499,2572,2829,2993,1558,547,18374,1369,639,795,733,542,409,333,163,73,5049,13370,6625,9515,8546,6478,5722,4900,2255,780,58179,21415,9465,12468,10979,7082,4917,3026,1007,259,70620,2495,2416,3267,3260,2977,2903,2868,1260,358,21792,216,482,788,893,1075,1323,1534,875,252,7438,15,27,126,278,481,884,1243,777,281,4116,2721,2923,4181,4436,4536,5107,5643,2911,895,33350,2760,1366,1576,1469,1126,860,631,321,112,10219
SOSR212,20612,10856,11928,11033,9878,7774,4909,1822,480,79286,2971,2455,2898,3063,3344,3842,4102,2179,679,25526,205,314,458,572,897,1407,1911,1370,458,7585,3,31,73,119,317,688,1309,1190,505,4238,3180,2800,3430,3753,4552,5937,7324,4738,1640,37353,2387,1463,1433,1411,1408,1213,953,643,332,11236,26178,15121,16783,16199,15841,14923,13180,7207,2451,127879,19912,9535,11482,11143,10069,8332,5543,2122,715,78856,2210,3036,3922,3773,3925,4383,4558,2749,1203,29763,172,620,989,1030,1331,1852,2288,1643,845,10769,4,46,157,301,597,1134,1514,1327,832,5908,2394,3703,5065,5102,5857,7368,8362,5717,2875,46447,2278,1291,1398,1412,1294,1240,1070,771,593,11355,24581,14524,17952,17655,17225,16943,14981,8611,4177,136657,40525,20395,23410,22179,19949,16101,10449,3945,1190,158144,5179,5494,6815,6834,7266,8222,8664,4926,1878,55289,379,932,1448,1597,2226,3260,4194,3013,1307,18357,10,75,233,417,911,1827,2824,2515,1337,10148,5571,6506,8496,8854,10411,13304,15684,10452,4517,83796,4663,2751,2829,2825,2705,2455,2023,1425,924,22595
SOSR213,18357,9749,10547,9216,8475,7238,5158,2160,576,71476,2828,2323,2697,2861,3186,3909,4283,2624,828,25540,233,348,450,604,894,1480,2125,1644,569,8351,7,21,69,157,348,816,1428,1329,579,4756,3062,2695,3218,3621,4426,6209,7838,5599,1984,38646,2267,1336,1530,1345,1315,1139,1046,659,333,10964,23684,13778,15291,14183,14217,14588,14037,8420,2897,121091,18143,8275,9954,9154,8605,7731,5669,2498,831,70861,1973,2926,3755,3601,3747,4385,4728,3299,1456,29873,176,611,1010,1065,1439,1883,2518,1913,970,11583,6,62,135,323,698,1189,1645,1489,980,6532,2155,3598,4904,4989,5891,7455,8895,6702,3400,47991,2101,1128,1231,1217,1171,1106,1088,856,584,10474,22395,12995,16087,15359,15658,16290,15650,10056,4820,129324,36502,18023,20502,18369,17080,14965,10827,4659,1410,142338,4799,5241,6458,6463,6934,8297,9010,5925,2283,55417,405,960,1465,1668,2336,3359,4645,3555,1543,19929,10,84,201,482,1049,2007,3077,2821,1557,11290,5215,6290,8124,8608,10316,13665,16735,12306,5384,86636,4363,2466,2754,2556,2479,2244,2129,1514,923,21440
SOSR214,9257,5145,5325,4694,4800,4556,3782,1625,436,39611,1423,1285,1331,1475,1676,2361,3127,1896,617,15191,110,174,273,314,499,986,1541,1233,428,5556,3,12,37,73,202,507,1005,1062,431,3335,1539,1471,1636,1858,2384,3853,5671,4192,1474,24081,1196,649,666,681,709,799,783,586,265,6338,11985,7263,7627,7239,7895,9208,10239,6397,2180,70033,9156,4188,4912,4722,4827,4876,4231,1825,642,39380,979,1513,1853,1811,2113,2762,3550,2231,1021,17822,64,319,457,544,804,1245,1735,1384,716,7271,4,18,74,185,387,766,1149,1051,693,4332,1050,1851,2383,2543,3302,4776,6433,4668,2426,29418,1137,565,626,650,662,771,834,665,455,6362,11343,6604,7917,7912,8788,10424,11496,7159,3524,75164,18407,9333,10238,9417,9627,9436,8012,3445,1080,78993,2404,2797,3179,3278,3787,5123,6674,4124,1640,33011,175,489,725,861,1307,2230,3276,2620,1142,12825,9,31,111,260,587,1276,2152,2117,1122,7667,2587,3322,4017,4405,5682,8626,12108,8860,3898,53498,2336,1213,1285,1336,1374,1569,1618,1251,724,12706
SOSR215,16168,7867,8332,7977,8005,7649,5599,2203,588,64369,2320,1811,2177,2341,2804,3813,4552,2534,770,23119,146,229,364,449,761,1367,2232,1586,524,7658,11,20,52,124,283,817,1444,1330,516,4592,2478,2057,2594,2916,3842,5994,8239,5444,1809,35363,1956,1138,1071,1182,1212,1307,1189,711,318,10088,20600,11058,11998,12071,13059,14946,15028,8357,2708,109821,15555,6620,7802,8019,7839,7851,5786,2460,771,62710,1748,2149,2838,2910,3298,4298,4719,2947,1362,26256,139,412,721,844,1128,1839,2380,1753,963,10184,10,34,110,188,520,1116,1597,1337,836,5747,1901,2596,3674,3944,4942,7245,8697,6036,3162,42192,1860,953,1026,1070,1244,1206,1251,826,513,9958,19315,10172,12503,13034,14035,16302,15740,9321,4441,114859,31724,14489,16133,15993,15841,15502,11387,4658,1356,127076,4067,3954,5015,5252,6097,8104,9279,5477,2134,49372,290,642,1085,1290,1887,3208,4613,3334,1484,17842,18,54,166,314,801,1930,3042,2667,1355,10346,4377,4647,6267,6854,8788,13238,16933,11480,4974,77555,3816,2095,2097,2256,2459,2508,2445,1541,831,20045
SOSR221,4219,2074,2064,2130,2282,2444,1760,618,127,17711,622,405,490,647,825,1238,1480,736,183,6622,44,72,57,135,248,463,689,417,128,2247,4,11,14,41,80,252,488,331,116,1335,670,478,566,821,1156,1956,2658,1481,429,10211,466,278,230,298,362,428,413,215,104,2792,5358,2825,2858,3249,3797,4832,4826,2311,653,30711,4154,1724,1927,2112,2253,2374,1705,587,177,17005,436,553,681,715,967,1329,1294,751,304,7031,33,99,178,225,358,552,701,388,194,2724,0,7,21,65,137,335,415,304,168,1460,461,662,888,1005,1468,2214,2416,1442,664,11219,461,250,199,321,309,403,368,214,159,2689,5079,2636,3016,3431,4032,4990,4478,2240,1002,30906,8369,3792,3990,4241,4536,4818,3462,1202,304,34713,1056,953,1177,1360,1797,2570,2774,1486,485,13655,73,169,240,358,609,1013,1387,803,325,4975,6,14,41,105,218,585,906,639,281,2791,1133,1139,1451,1823,2626,4171,5068,2921,1092,21426,932,525,435,613,671,832,778,429,262,5480
SOSR222,2131,1108,1106,1172,1333,1366,899,328,66,9522,340,225,289,295,458,683,759,369,80,3500,21,38,52,73,127,266,366,172,59,1178,0,3,3,15,46,154,265,139,51,682,361,264,342,385,629,1104,1396,684,191,5357,288,212,187,181,234,292,233,108,34,1773,2789,1580,1640,1736,2200,2760,2525,1122,298,16656,2152,967,1052,1082,1249,1364,812,296,72,9053,225,294,343,462,498,677,663,367,122,3648,18,69,79,129,179,326,324,196,65,1386,0,4,10,26,83,184,213,128,100,746,239,368,437,619,759,1184,1200,691,282,5778,262,185,142,170,208,252,176,117,55,1570,2649,1522,1631,1872,2212,2803,2187,1106,414,16396,4284,2079,2159,2258,2580,2730,1709,627,142,18575,564,522,631,755,951,1357,1423,738,205,7140,42,106,127,204,310,592,695,368,125,2562,0,9,19,44,125,341,477,269,150,1428,605,635,775,1005,1391,2292,2595,1370,476,11139,557,394,334,346,442,544,407,226,93,3343
SOSR231,29854,17854,12972,15375,19781,19972,13184,4315,760,134063,3536,3244,2813,3842,5921,8815,9337,4184,858,42541,195,336,357,675,1378,2926,4120,2238,532,12762,8,22,70,135,482,1296,2364,1707,404,6486,3741,3595,3240,4652,7784,13043,15818,8124,1799,61788,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,28720,14858,11837,14877,18998,18614,11374,3371,726,123380,2659,3706,3767,4824,6557,8780,8077,3662,891,42931,151,553,837,1138,2093,3297,3499,1810,597,13963,10,47,151,275,753,1563,1988,1220,425,6427,2822,4295,4756,6235,9398,13639,13567,6690,1912,63314,3626,2229,1803,2320,2977,3253,2550,1253,391,20401,35171,21383,18401,23422,31378,35508,27492,11317,3033,207104,58576,32708,24815,30246,38780,38586,24557,7691,1485,257447,6195,6950,6576,8669,12480,17594,17412,7847,1755,85474,351,882,1196,1811,3468,6220,7616,4049,1125,26726,16,68,219,407,1234,2860,4350,2932,832,12909,6564,7898,7995,10884,17179,26677,29379,14816,3712,125111,7484,4975,4847,5718,6814,7225,5760,2781,763,46350
