SOSR_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOSR201,32079,130143,292401,267341,187405,127948,88404,37911,10631,1174274,4766,8849,20263,18675,33905,36948,20033,8008,2221,153658,5094,7565,22211,23829,31704,36261,25948,15269,4630,172507,1578,1656,5570,6597,9364,11842,12234,8939,3080,60854,718,961,3540,4905,5555,8267,13731,17549,9209,64433,174,820,3276,3424,3602,4206,3953,3481,1848,24792,5046,8358,21915,16919,13091,10941,9828,8662,4991,99750,49458,158345,369174,341694,284631,236418,174119,99813,36619,1750273,34845,131880,319773,292962,217225,142316,86234,33998,12017,1271245,2862,5522,13669,12860,29271,39000,25046,11332,3840,143398,2672,4282,13301,14615,23630,32945,33918,20689,8037,154100,829,954,3320,4554,7386,11479,15079,10977,5502,60069,387,612,2743,4361,6182,10132,20728,26185,15914,87242,111,546,2752,3561,4489,5795,5935,5923,3970,33086,4535,7067,19765,15408,11811,10483,11294,10913,9516,100789,46225,150866,375322,348327,299984,252155,198247,120015,58798,1849931,66924,262027,612179,560306,404628,270268,174637,71911,22655,2445529,7620,14370,33926,31536,63172,75946,45078,19340,6063,297048,7762,11849,35512,38443,55337,69207,59872,35960,12667,326613,2407,2609,8886,11146,16750,23324,27308,19916,8576,120927
SOSR203,2280,9402,19511,15345,10825,7030,6290,2692,715,74091,653,1260,2676,2268,4075,4847,2992,936,250,19960,906,1150,3034,2910,3715,4773,3926,2079,624,23114,274,256,801,841,1233,1753,1906,1553,456,9085,144,150,403,455,515,763,1466,1750,980,6634,11,54,204,177,207,184,151,120,64,1165,515,792,1651,1193,1225,1153,1129,1033,649,9334,4777,13063,28274,23192,21796,20499,17861,10153,3749,143372,2768,10516,22316,19182,14163,9417,6528,2539,1003,88439,437,885,1970,1740,3901,5493,3736,1591,421,20177,496,778,2297,2184,3130,4640,4932,2857,1003,22322,170,197,511,555,994,1849,2363,1717,902,9262,80,105,270,327,432,759,1816,2322,1714,7830,14,34,126,189,215,190,174,140,111,1193,542,694,1468,1227,1125,1078,1324,1465,1235,10154,4507,13210,28957,25404,23967,23426,20870,12626,6405,159375,5055,19919,41823,34530,24989,16445,12820,5228,1720,162527,1086,2147,4646,4010,7975,10344,6726,2522,676,40137,1394,1932,5327,5094,6848,9410,8859,4932,1633,45436,448,456,1310,1395,2228,3601,4265,3273,1358,18343
SOSR211,668,2226,5293,5067,2688,1477,1259,461,103,19232,270,458,915,826,1092,1007,617,161,30,5379,317,466,1268,1260,1387,1484,1144,459,80,7866,78,96,349,365,369,500,565,279,59,2664,44,56,182,171,211,282,440,381,122,1886,3,20,89,89,94,71,61,28,17,468,221,241,617,546,420,339,315,215,72,2986,1605,3562,8708,8324,6262,5163,4394,1982,487,40487,726,2349,6686,5828,3186,1828,1167,401,108,22277,147,308,799,698,1061,1162,698,187,40,5097,158,317,969,946,1192,1508,1429,537,167,7213,51,56,233,228,341,543,640,338,72,2508,26,39,129,171,166,260,529,448,232,2001,6,16,67,121,126,109,84,69,17,610,229,218,632,560,399,304,348,281,138,3089,1338,3308,9505,8535,6469,5716,4895,2250,776,42795,1394,4576,11971,10898,5872,3304,2423,857,207,41504,415,765,1713,1519,2152,2173,1319,347,77,10475,474,781,2245,2198,2574,2991,2578,995,246,15080,133,158,581,584,715,1043,1200,619,136,5176
SOSR212,1325,4721,10448,10018,7520,4912,4406,1722,447,45517,587,986,1989,1850,3073,3567,2171,669,148,15039,604,788,2179,2128,2849,3645,3071,1489,367,17117,179,203,641,663,887,1221,1475,1084,281,6637,94,69,285,353,351,511,1031,1326,700,4728,13,41,159,166,178,157,111,86,45,965,435,439,1080,1006,962,896,903,824,462,7013,3247,7253,16774,16189,15825,14909,13174,7196,2454,97022,1623,5432,13268,13035,10009,6670,4245,1585,562,56428,314,578,1389,1373,2917,4015,2861,1043,253,14744,319,504,1498,1474,2311,3376,3713,2077,669,15944,119,105,395,408,660,1243,1676,1182,524,6302,51,49,208,221,295,552,1297,1541,1127,5344,7,46,125,159,161,139,113,121,71,934,376,388,1070,967,862,934,1064,1061,976,7700,2809,7091,17945,17649,17216,16934,14970,8609,4176,107396,2956,10151,23715,23053,17532,11579,8652,3302,1005,101946,902,1562,3379,3219,5985,7585,5035,1714,404,29786,928,1286,3676,3606,5161,7025,6785,3559,1037,33060,299,302,1025,1076,1552,2462,3149,2266,803,12936
SOSR213,1187,4041,8722,7977,5952,4164,4236,1962,511,38750,569,1003,2142,1825,2958,3510,2339,774,183,15304,643,844,2496,2407,3076,4016,3531,1872,445,19332,231,189,635,746,886,1335,1642,1345,378,7386,96,69,267,313,322,634,1199,1508,818,5226,5,18,72,85,109,106,81,57,30,573,358,397,947,819,897,820,999,894,522,6657,3083,6569,15283,14174,14203,14577,14030,8419,2892,93233,1363,4609,11461,10675,8320,5799,4269,1883,585,48965,316,632,1561,1445,2961,4177,2917,1252,346,15617,382,547,1555,1701,2476,3478,4057,2500,845,17545,122,125,397,432,740,1337,1909,1350,644,7052,48,46,158,185,300,554,1265,1781,1357,5702,4,19,75,65,94,96,94,88,65,594,325,367,873,846,759,837,1137,1202,977,7325,2560,6347,16076,15351,15654,16280,15649,10054,4826,102799,2550,8651,20182,18653,14276,9962,8502,3842,1096,87717,883,1635,3705,3265,5924,7693,5256,2028,535,30921,1025,1394,4053,4109,5558,7494,7591,4371,1289,36873,352,321,1029,1179,1626,2668,3549,2693,1020,14433
SOSR214,622,2075,4318,3945,3263,2671,3196,1482,410,21984,302,547,1009,948,1560,2178,1723,655,139,9055,352,430,1246,1271,1685,2358,2454,1401,341,11533,120,125,337,376,600,908,1220,915,286,4885,48,45,149,168,197,377,799,1108,590,3475,3,16,40,33,39,48,46,62,34,325,210,197,522,500,540,672,801,769,376,4587,1653,3435,7622,7241,7891,9210,10232,6387,2177,55840,681,2261,5578,5553,4737,3835,3359,1469,509,27983,156,278,757,719,1634,2524,2127,877,255,9320,189,288,770,814,1318,2187,2823,1681,627,10704,66,62,234,216,413,859,1369,980,444,4644,28,30,81,76,150,356,882,1153,933,3698,3,9,26,25,40,38,59,67,38,303,199,164,471,497,494,617,881,936,702,4970,1327,3101,7913,7910,8784,10421,11493,7155,3514,61616,1307,4332,9896,9499,8003,6500,6556,2957,924,49963,456,825,1763,1667,3191,4700,3845,1529,398,18375,540,724,2014,2085,3007,4544,5275,3084,963,22237,186,186,571,592,1013,1771,2589,1897,728,9531
SOSR215,920,3014,6393,6405,5335,4279,4767,2101,473,33693,453,769,1798,1646,2567,3288,2402,769,193,13885,554,649,2103,2142,2865,4069,3483,1737,446,18049,184,155,595,656,950,1513,1891,1205,361,7505,64,54,238,266,336,551,1157,1514,732,4910,10,15,47,58,80,82,69,58,31,452,391,381,798,895,914,1151,1258,966,471,7227,2572,5027,11984,12064,13042,14941,15022,8350,2711,85714,1030,3296,8896,9136,7748,6165,4919,1998,631,43817,254,483,1177,1206,2462,3858,2831,1137,338,13738,275,383,1213,1368,1990,3423,3846,2166,755,15421,91,75,275,320,636,1257,1775,1197,570,6195,38,37,112,146,214,479,1037,1518,1238,4809,3,9,45,40,56,71,62,64,38,399,335,296,779,811,920,1042,1270,1234,867,7555,2023,4580,12497,13028,14019,16294,15734,9319,4442,91927,1953,6306,15288,15546,13082,10443,9681,4096,1107,77507,705,1246,2980,2848,5033,7143,5231,1902,529,27626,832,1035,3317,3508,4855,7498,7327,3907,1202,33469,271,230,873,982,1590,2764,3666,2403,932,13707
SOSR221,237,768,1511,1721,1527,1363,1576,574,146,9420,126,194,457,453,770,1052,794,247,39,4129,149,168,506,586,819,1383,1116,498,90,5309,55,30,142,186,285,500,574,340,78,2199,16,8,52,49,96,161,321,375,176,1256,3,0,9,12,3,16,21,8,0,81,89,85,183,234,296,361,425,261,126,2064,678,1251,2858,3247,3796,4829,4826,2310,653,24444,279,813,2181,2417,2214,1917,1536,512,153,12020,78,104,278,310,720,1181,758,294,79,3803,65,90,283,327,610,1042,1072,511,167,4176,24,15,72,91,170,370,499,286,116,1644,14,6,18,35,59,125,273,343,257,1124,0,5,6,4,12,11,12,13,3,75,98,63,173,244,242,338,330,288,224,2005,567,1100,3016,3429,4031,4990,4478,2241,1002,24844,514,1580,3683,4140,3739,3281,3112,1081,300,21440,202,298,730,770,1492,2238,1555,541,112,7935,214,262,793,910,1427,2423,2185,1014,255,9482,80,44,216,281,456,867,1082,627,198,3845
SOSR222,134,430,844,895,849,720,785,266,46,4976,49,99,256,227,423,587,395,97,18,2154,78,89,269,327,505,768,576,216,30,2859,30,28,73,86,166,322,289,179,58,1229,6,9,34,34,55,118,209,207,76,751,3,6,3,5,6,8,12,9,0,46,78,81,160,153,189,237,263,146,63,1372,371,733,1641,1736,2195,2761,2521,1122,298,13388,189,494,1147,1302,1233,1046,684,241,60,6381,35,57,147,177,364,690,370,117,24,1978,35,47,157,184,338,576,534,251,58,2177,11,15,26,45,86,201,259,148,44,840,3,4,12,10,24,71,144,191,121,592,0,0,5,4,3,4,4,4,3,35,66,71,131,150,162,210,193,152,104,1238,342,685,1624,1872,2208,2800,2187,1106,414,13240,324,918,1994,2195,2080,1766,1461,505,111,11360,89,154,397,409,786,1278,764,213,41,4131,106,141,425,509,848,1343,1112,464,87,5033,41,43,98,135,254,522,548,332,101,2076
SOSR231,2236,6397,9518,11281,12155,11008,10623,3570,532,67324,1016,1430,2648,3082,6511,8290,5241,1360,203,29763,1247,1374,3972,5123,7095,9825,7408,2913,455,39417,361,307,912,1280,2174,3374,3648,1986,365,14406,134,93,321,425,652,1230,2238,2371,853,8323,20,33,68,74,90,87,104,148,61,676,968,804,1809,2139,2711,3146,2937,1617,456,16594,5977,10432,19242,23411,31380,36966,32203,13963,2927,176509,2572,6719,13313,16894,18063,15289,10017,2792,559,86212,455,662,1555,1900,5486,8101,5078,1499,253,24993,510,531,1561,2099,4091,6449,5856,2496,543,24142,161,116,327,491,1050,2217,2541,1302,385,8583,69,30,142,155,292,676,1540,1685,721,5316,12,15,52,38,60,76,90,104,74,522,913,671,1454,1843,2318,2692,2356,1435,493,14179,4693,8745,18397,23417,31363,35498,27479,11316,3029,163934,4808,13116,22828,28175,30218,26300,20642,6359,1095,153539,1475,2089,4197,4982,11996,16389,10309,2870,451,54762,1761,1910,5536,7222,11182,16273,13268,5410,998,63555,518,424,1235,1776,3227,5591,6187,3282,748,22989
