SOSR_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOSR201,2071,7293,19598,17350,15837,11325,3258,456,33,77220,3096,10223,29770,26214,20996,14210,4063,855,205,109617,95299,215141,579478,543945,451095,307531,82816,10048,767,2286127
SOSR203,256,750,1649,1246,1098,948,259,42,4,6251,295,688,1573,1253,1200,958,268,99,21,6359,10851,19271,44884,38388,35009,27260,6997,729,72,183465
SOSR211,88,207,534,424,297,215,84,8,0,1855,97,244,653,605,423,265,58,16,3,2367,2770,4654,12837,12160,8983,6120,1485,122,14,49147
SOSR212,221,491,1133,974,874,651,221,35,0,4591,243,411,1076,1032,995,655,201,53,24,4677,7683,10558,26843,26729,25802,20165,5304,536,49,123674
SOSR213,211,496,1097,909,853,674,234,32,3,4512,218,372,948,843,847,640,233,63,18,4193,7006,9437,23915,22889,22607,18709,5185,609,63,110423
SOSR214,107,227,485,428,476,442,145,16,0,2330,142,183,459,418,468,435,194,63,18,2385,3500,4804,11921,11550,12398,11376,3626,463,47,59685
SOSR215,171,357,906,770,729,658,244,42,3,3870,204,319,823,787,899,787,294,89,22,4222,5397,7120,18955,19473,20458,18755,5698,800,75,96731
SOSR221,57,92,202,179,194,187,61,3,0,982,65,81,173,185,242,223,73,33,8,1074,1513,1748,4590,5170,5872,5720,1724,204,18,26552
SOSR222,24,47,126,112,117,112,31,3,0,572,39,62,119,111,153,115,58,16,3,674,739,1007,2438,2717,3304,3220,997,127,10,14558
SOSR231,481,675,1286,1341,1673,1519,520,58,0,7549,647,684,1210,1457,2060,1897,919,427,71,9381,12922,14329,28255,36121,48723,47196,18600,4083,499,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15
SOSR299,3,8,12,13,11,3,0,0,0,56,4,13,33,35,23,9,4,4,0,126,82,217,600,341,277,227,47,11,0,1797
