SOSR_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
SOSR201,245,802,3104,6218,12273,22028,28510,22991,10011,106183,29081,23107,27978,25799,19706,15232,11810,6931,2400,162039,432,534,1278,2128,4226,9574,15929,13457,5222,52762,39,41,62,80,193,525,1744,4665,4711,12048,642,1342,3044,8756,15932,25619,30013,19782,6040,111158,799,607,1079,2588,7521,17779,27516,23307,10444,91638,536,365,687,1168,1859,3095,4624,4636,2424,19393,370,309,535,891,2020,4468,7079,6800,2976,25444,7057,18165,27517,24762,22626,18296,11411,6209,3064,139105,179,124,258,590,1544,3293,5523,5767,2971,20252,18141,12676,15072,18599,21950,25548,21481,12987,6361,152806,342105,217977,274072,244585,182175,123280,65362,26078,6664,1482293,29333,21585,28779,23900,20655,16099,10762,6992,3390,161494,422549,289091,369594,342049,284946,236664,174337,99909,36647,2255791,270,1320,4329,9249,22184,41682,56321,46881,24876,207104,18175,22797,33739,30604,26927,22730,20264,12401,5084,192722,320,454,1447,3625,8359,12922,16127,11807,5329,60394,19,15,48,60,165,488,1898,6305,10240,19235,541,1266,3267,6706,11862,19551,24366,18033,7931,93522,592,549,992,1478,3512,8022,14805,17248,12770,59973
SOSR203,34,110,432,772,1491,2763,3744,2818,1089,13256,3504,2500,2868,2452,1858,1741,1521,818,287,17553,37,58,105,197,418,997,1859,1531,570,5776,0,3,4,8,17,64,239,509,463,1325,60,157,331,652,1272,2168,2947,1837,596,10017,87,59,120,221,723,1840,3093,2587,1174,9907,48,43,72,86,155,275,447,482,245,1856,40,33,63,126,286,683,1111,941,398,3679,1243,2559,3340,2978,2863,2490,1675,745,334,18233,16,19,43,60,178,381,684,635,337,2348,2105,1372,1522,1616,1951,2324,2081,1223,558,14749,26796,16526,19039,14571,12275,9225,5873,2345,635,107300,2999,2196,2195,1724,1834,1616,1182,732,372,14846,35947,24428,28291,23205,21800,20512,17873,10157,3752,185970,40,197,578,1157,2638,5091,7156,5430,2776,25065,2362,2986,3900,3419,3006,2860,2707,1553,620,23420,34,47,148,370,770,1422,1853,1373,651,6665,0,8,9,7,21,59,237,618,1029,1990,58,157,363,612,1141,1952,2480,1799,757,9329,64,60,129,181,414,927,1887,1983,1535,7182
SOSR211,13,25,120,249,415,731,1007,589,145,3281,1147,685,832,791,522,413,365,174,40,4962,19,12,28,55,100,239,444,292,70,1261,0,4,5,5,5,21,66,91,71,267,14,31,103,349,515,774,986,473,75,3327,32,25,38,100,222,497,887,522,156,2467,21,9,23,41,58,96,153,128,33,564,27,9,23,44,93,206,328,220,61,1024,373,636,843,813,762,627,437,180,54,4722,0,5,6,25,59,101,177,151,33,562,768,380,426,526,586,643,570,266,90,4254,10080,4934,5992,5387,3414,2177,1260,408,83,33735,1391,726,782,735,587,455,295,150,41,5168,13526,7128,8713,8335,6266,5168,4391,1982,487,56005,14,42,206,425,793,1360,1782,967,336,5920,862,735,1200,1071,891,829,671,304,71,6635,10,9,53,112,205,348,460,260,54,1507,0,3,0,0,5,19,43,93,110,278,25,45,155,296,443,670,772,376,116,2895,23,12,49,61,155,291,485,402,178,1659
SOSR212,18,59,256,506,1007,1926,2743,2016,722,9247,2492,1509,1590,1627,1323,1198,1048,530,177,11491,35,25,71,141,266,736,1377,1082,359,4076,4,5,6,0,11,52,164,350,276,866,35,110,207,363,871,1498,2197,1395,356,7039,55,52,80,125,521,1276,2281,1830,716,6928,32,26,48,59,108,215,333,385,188,1383,37,28,40,67,166,452,806,670,254,2509,683,1385,1745,1672,1812,1462,1084,521,200,10565,10,16,20,42,117,246,465,449,179,1539,1384,828,785,976,1248,1456,1515,810,351,9352,19624,10349,11449,10473,9202,7074,4317,1610,403,74498,2387,1463,1433,1411,1408,1213,953,643,332,11236,26178,15121,16783,16199,15841,14923,13180,7207,2451,127879,27,104,359,781,1833,3572,4885,3614,1817,16993,1711,1647,2285,2257,1960,2009,1892,1055,381,15190,21,28,77,231,532,952,1285,971,387,4484,3,3,5,4,12,54,169,394,567,1210,48,96,214,427,775,1298,1694,1144,478,6168,49,44,66,108,317,741,1358,1355,936,4971
SOSR213,21,71,231,503,1034,2134,3156,2385,900,10427,2294,1399,1564,1491,1278,1178,1085,697,204,11182,28,33,53,139,282,751,1395,1265,429,4364,0,0,5,8,15,45,147,387,328,939,51,101,173,391,844,1569,2334,1576,447,7490,54,38,57,157,468,1334,2385,2108,827,7425,36,28,39,70,113,216,411,366,188,1456,44,20,45,84,216,552,970,840,293,3067,782,1401,1647,1705,1764,1664,1207,577,246,10993,12,16,12,53,133,274,527,532,224,1784,1377,810,830,953,1239,1644,1542,957,426,9778,17367,9241,10052,8672,7851,6500,4613,1881,477,66663,2267,1336,1530,1345,1315,1139,1046,659,333,10964,23684,13778,15291,14183,14217,14588,14037,8420,2897,121091,22,95,346,832,1888,3621,5356,4278,2110,18535,1511,1500,2090,2061,2005,1946,1923,1162,451,14652,23,30,95,204,487,970,1362,1003,469,4652,0,3,11,3,17,49,150,482,675,1384,39,104,225,426,792,1360,1867,1380,552,6735,36,39,58,124,327,729,1383,1643,1116,5455
SOSR214,12,39,134,272,577,1308,2294,1841,667,7143,1160,738,776,724,650,726,781,475,149,6174,12,14,32,74,164,467,1008,946,296,3015,0,0,5,4,11,45,125,295,252,735,14,56,84,176,469,986,1637,1219,332,4967,35,34,49,84,293,810,1738,1642,640,5314,27,12,16,25,55,131,251,286,116,925,13,8,22,34,133,385,660,604,206,2072,376,762,868,950,1006,1104,937,463,175,6632,16,10,8,13,52,171,356,383,170,1181,660,402,394,509,694,1037,1082,647,315,5750,8789,4910,5120,4410,4453,4078,3365,1455,359,36946,1196,649,666,681,709,799,783,586,265,6338,11985,7263,7627,7239,7895,9208,10239,6397,2180,70033,6,45,176,413,1091,2385,3816,2981,1496,12421,745,766,1022,1055,1168,1256,1391,844,301,8545,6,17,38,112,279,604,1020,721,318,3116,0,0,0,4,13,29,118,316,511,997,19,34,84,196,419,835,1295,947,384,4220,15,17,33,65,175,474,968,1129,837,3719
SOSR215,22,50,208,420,934,2097,3260,2362,826,10178,1852,1110,1244,1198,1088,1180,1154,698,187,9716,27,23,58,116,249,735,1552,1239,359,4364,0,0,4,6,21,46,167,355,316,926,38,63,159,268,655,1406,2316,1495,405,6809,49,27,79,145,412,1315,2554,2064,758,7415,27,19,34,57,105,206,364,379,178,1364,40,17,25,67,182,598,1023,818,270,3036,578,1007,1249,1340,1521,1599,1283,599,187,9358,10,9,18,25,109,254,495,506,237,1666,1016,579,606,786,1078,1548,1610,884,365,8479,15428,7520,7974,7522,7444,6978,4981,1974,509,60334,1956,1138,1071,1182,1212,1307,1189,711,318,10088,20600,11058,11998,12071,13059,14946,15028,8357,2708,109821,22,75,291,613,1567,3492,5162,3810,1899,16931,1350,1090,1650,1671,1653,1917,1941,1082,382,12738,18,25,49,179,433,966,1396,998,412,4475,3,8,4,9,7,40,142,446,712,1364,35,69,163,287,656,1207,1663,1233,490,5812,43,23,60,86,217,695,1402,1488,1026,5055
SOSR221,13,15,43,120,298,694,1111,664,201,3158,508,249,248,363,341,356,390,181,47,2688,11,7,8,29,60,222,486,328,89,1237,5,0,0,0,7,14,33,73,83,209,16,26,29,61,210,453,706,383,71,1945,7,3,12,34,122,428,808,551,195,2158,11,5,7,15,25,61,125,94,30,364,4,7,7,26,56,192,333,230,56,916,146,251,298,380,450,537,431,143,39,2676,9,0,0,16,35,84,149,114,42,451,263,125,133,180,326,541,473,227,84,2354,4031,1984,1980,2031,2109,2205,1577,555,95,16578,466,278,230,298,362,428,413,215,104,2792,5358,2825,2858,3249,3797,4832,4826,2311,653,30711,8,30,59,177,505,1125,1499,912,415,4726,332,269,394,405,500,584,562,260,81,3397,0,0,15,44,113,275,351,219,73,1096,0,0,0,0,4,4,30,94,130,272,9,20,33,81,158,348,459,257,113,1471,5,7,16,25,60,201,353,323,224,1211
SOSR222,4,6,34,67,164,396,553,303,85,1610,272,145,149,162,171,215,224,64,16,1423,4,0,6,9,44,146,251,128,40,629,0,0,0,0,0,11,14,31,29,89,4,6,11,31,100,247,370,183,46,1010,7,0,3,24,66,238,430,229,83,1083,5,6,0,4,20,26,55,41,24,178,3,5,8,11,44,111,210,100,35,530,89,134,178,191,254,308,229,63,13,1451,5,0,5,6,15,56,70,64,26,237,146,106,75,85,190,264,248,109,29,1260,2018,1038,1058,1128,1231,1257,812,294,56,8896,288,212,187,181,234,292,233,108,34,1773,2789,1580,1640,1736,2200,2760,2525,1122,298,16656,4,11,30,95,269,599,737,444,178,2383,175,152,196,251,238,353,274,126,30,1793,3,0,9,19,73,132,188,113,44,584,0,0,0,0,0,0,14,36,55,103,4,8,15,37,77,185,225,126,45,711,5,4,5,16,43,111,175,145,110,610
SOSR231,39,80,273,689,1982,4782,6380,3545,787,18554,2852,2007,1482,2008,2251,2509,2214,974,179,16476,32,54,87,187,554,1580,3053,1875,381,7802,0,0,6,4,24,70,197,348,181,828,63,139,178,385,1217,2746,3962,2071,399,11163,70,76,72,204,845,2685,4879,3070,792,12689,46,35,34,57,172,382,659,453,140,1986,39,23,53,129,319,1022,1657,1068,231,4531,809,1557,1559,1908,2755,2898,2014,640,114,14252,3,13,19,56,189,470,852,692,177,2463,1426,1032,802,1200,2175,3410,2953,1208,328,14536,28814,17177,12460,14647,18597,18305,11987,3899,655,126553,3855,2741,3043,3395,3827,3966,3212,1527,369,25946,37453,24196,19262,23421,31393,36977,32210,13965,2926,221807,41,119,382,1030,3074,6847,8122,4224,1197,25023,1986,1855,2127,2604,3201,3504,2889,1164,221,19565,45,53,91,307,962,1870,2194,1123,265,6907,0,11,4,3,15,42,145,340,301,864,73,118,188,380,900,1836,2258,1280,328,7364,60,64,85,130,405,1203,2025,1461,592,6027
