SOSR_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR201,822705,564204,745220,690688,585234,489125,372835,220034,95489,4585537
SOSR203,70128,48785,57266,48628,45780,43953,38749,22789,10152,386231
SOSR211,26899,13751,18229,16879,12751,10892,9296,4235,1265,114187
SOSR212,50762,29653,34739,33856,33063,31866,28154,15815,6635,264540
SOSR213,46083,26770,31377,29543,29876,30880,29687,18476,7715,250413
SOSR214,23329,13867,15546,15155,16679,19633,21732,13555,5699,145199
SOSR215,39920,21233,24498,25102,27085,31245,30765,17677,7150,224681
SOSR221,10437,5460,5867,6681,7831,9819,9308,4555,1658,61615
SOSR222,5441,3106,3270,3606,4415,5566,4713,2229,714,33052
SOSR231,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOSR279,0,0,6,16,3,14,4,0,0,38
SOSR299,1143,1131,1819,1736,1393,1074,613,152,29,9089
