SOSR_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
SOSR201,2235,31756,359,32118,..,9825,2104,11932,83,12018,..,26000,6303,32299,228,32525,..,78996,34287,113287,833,114119,..,184519,39066,223580,3996,227574,..,1360103,257270,1617374,15776,1633150,..,22251,5188,27441,190048,217490,2734902,1382354,262462,1644813,205824,4585537
SOSR203,44,649,8,658,..,435,97,532,6,535,..,256,54,308,0,308,..,753,231,989,11,1002,..,6905,2208,9113,184,9299,..,34898,5753,40657,511,41166,..,1145,187,1328,17927,19260,325808,36043,5939,41983,18440,386231
SOSR211,50,426,8,429,..,153,31,184,0,184,..,285,38,327,5,329,..,657,350,1009,3,1015,..,5462,1313,6777,135,6912,..,23454,3724,27171,400,27575,..,637,161,798,6609,7411,79209,24094,3880,27975,7005,114187
SOSR212,38,371,0,370,..,337,121,464,0,468,..,590,249,843,8,851,..,515,306,818,17,842,..,4549,1241,5783,140,5926,..,22826,5000,27825,431,28256,..,809,130,934,13828,14765,221516,23638,5128,28759,14258,264540
SOSR213,25,257,8,259,..,263,71,332,4,335,..,177,27,206,0,202,..,423,191,620,10,626,..,2798,578,3378,100,3478,..,15585,2438,18020,249,18274,..,731,107,838,13599,14438,217698,16320,2545,18862,13854,250413
SOSR214,5,79,0,79,..,181,30,208,0,208,..,60,8,64,0,64,..,137,49,190,0,192,..,1307,165,1477,45,1517,..,7896,1194,9087,146,9232,..,409,25,438,8418,8857,127101,8310,1220,9528,8565,145199
SOSR215,7,92,0,93,..,239,68,302,4,309,..,147,27,177,0,177,..,210,226,436,20,453,..,2020,422,2442,57,2491,..,9240,1654,10895,170,11065,..,551,51,605,13645,14250,199372,9789,1708,11498,13816,224681
SOSR221,0,10,0,10,..,54,17,78,3,74,..,22,11,27,0,27,..,44,22,60,0,60,..,474,68,542,12,552,..,1996,260,2257,30,2290,..,139,16,151,3830,3979,55356,2134,272,2408,3859,61615
SOSR222,0,3,0,3,..,32,6,41,3,41,..,12,0,10,0,10,..,14,3,22,0,24,..,255,40,296,3,304,..,1146,142,1288,21,1315,..,78,3,80,2492,2576,29166,1226,145,1370,2515,33052
SOSR231,13,95,0,98,..,357,167,521,11,529,..,281,43,321,0,321,..,298,128,425,3,428,..,3316,424,3740,65,3800,..,15944,2318,18261,230,18488,..,839,81,921,34317,35235,375179,16786,2398,19180,34543,428903
SOSR279,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
SOSR299,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
