SOSR_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
SOSR201,55,5832,..,129236,10895,140129,1414,141541,..,36917,6918,43840,269,44106,..,5645,682,6329,61,6385,..,5612,3458,9076,59,9137,..,6684,1878,8562,64,8628,..,11103,2539,13647,95,13743,..,9871,582,10451,104,10554,..,8607,1605,10208,81,10285,..,6046,843,6891,37,6927,..,3942,375,4314,48,4363,..,8044,1645,9688,61,9746,..,5407,370,5773,57,5834,..,6715,1484,8201,54,8253,..,10742,277,11015,78,11089,..,8324,709,9040,108,9145,..,13637,398,14036,73,14110,..,4882,524,5408,44,5450,..,37593,1902,39494,300,39796,..,18133,2229,20368,168,20538,..,14139,1264,15402,167,15569,..,6734,1443,8176,44,8223,..,12802,3662,16460,106,16564,..,40435,20920,61357,427,61787,..,90045,21086,111131,1885,113015,..,688817,146622,835441,7554,842997,..,11663,2999,14663,92327,106992,1379759,700478,149625,850103,99890,2329751,2734902,..,..,..,..,2734902,..,4327,56,4381,21,4403,..,72742,12631,85374,612,85988,..,534,34,567,13,577,..,61574,18071,79640,547,80188,..,156048,53534,209588,1847,211433
SOSR203,0,112,..,3332,255,3591,43,3634,..,854,140,992,8,1002,..,212,17,231,0,234,..,47,19,61,0,61,..,143,26,165,0,165,..,395,117,510,0,510,..,722,47,771,9,785,..,212,47,265,4,265,..,215,33,244,0,245,..,148,7,157,5,163,..,171,34,210,0,211,..,22,0,27,0,27,..,312,92,397,3,408,..,560,11,568,5,570,..,200,11,206,0,206,..,554,19,575,5,576,..,217,17,230,0,230,..,1530,53,1577,13,1589,..,457,68,526,6,532,..,263,22,285,0,285,..,309,68,379,3,375,..,134,31,164,0,164,..,414,131,543,4,554,..,3312,1127,4437,75,4514,..,17469,3179,20649,242,20892,..,615,109,719,9007,9724,169651,18081,3286,21373,9249,200267,325808,..,..,..,..,325808,..,294,5,302,0,302,..,984,129,1107,21,1125,..,106,0,106,0,106,..,577,127,703,6,712,..,2612,721,3331,37,3368
SOSR211,0,54,..,4037,572,4610,78,4686,..,204,14,222,0,225,..,27,0,25,0,25,..,21,9,35,0,35,..,41,15,61,0,61,..,141,23,166,3,171,..,162,12,178,0,178,..,27,9,29,0,29,..,62,16,79,0,79,..,52,10,65,4,62,..,29,4,34,0,34,..,518,44,557,9,568,..,176,33,216,4,218,..,472,13,489,4,491,..,85,3,88,0,88,..,555,14,566,0,568,..,120,7,125,0,128,..,1234,35,1263,7,1276,..,311,43,357,0,357,..,177,30,203,0,208,..,106,29,130,0,130,..,132,23,154,0,153,..,347,190,537,7,541,..,2714,729,3438,62,3505,..,11780,2083,13859,190,14048,..,313,93,402,3306,3713,40424,12095,2174,14269,3489,58179,79209,..,..,..,..,79209,..,83,0,83,3,84,..,792,104,898,3,902,..,33,3,33,0,38,..,142,39,182,4,185,..,335,138,472,3,476
SOSR212,0,65,..,2184,282,2465,26,2495,..,931,158,1089,13,1098,..,110,14,128,6,125,..,31,19,47,0,47,..,71,11,83,0,83,..,97,14,112,0,112,..,412,28,448,6,453,..,57,32,87,0,87,..,87,10,100,0,102,..,112,4,112,3,119,..,49,3,52,4,58,..,160,10,165,0,171,..,69,10,76,0,72,..,367,15,381,0,381,..,111,7,118,6,122,..,435,9,447,7,454,..,324,91,413,3,415,..,1234,132,1361,15,1371,..,265,25,289,7,296,..,165,14,179,0,182,..,236,74,310,0,310,..,276,135,412,0,413,..,262,171,430,5,436,..,2303,571,2874,72,2944,..,11763,2538,14304,208,14510,..,420,63,480,6963,7447,114701,12184,2600,14786,7170,136657,221516,..,..,..,..,221516,..,315,4,325,0,324,..,1346,393,1742,27,1767,..,143,3,149,5,149,..,326,126,446,5,451,..,1232,913,2145,43,2192
SOSR213,0,30,..,1491,133,1628,18,1646,..,753,140,893,11,897,..,82,3,87,0,87,..,23,3,27,0,27,..,46,14,57,0,57,..,76,6,83,0,84,..,224,12,240,4,244,..,35,5,32,0,32,..,118,17,133,3,135,..,41,5,48,0,48,..,68,3,67,0,67,..,78,10,90,0,90,..,76,15,90,0,91,..,370,19,387,0,387,..,83,10,96,0,102,..,442,13,454,0,458,..,194,39,233,0,237,..,1092,82,1176,9,1175,..,195,27,220,4,229,..,107,18,121,0,126,..,191,44,238,0,236,..,91,15,109,0,107,..,221,117,336,5,346,..,1431,283,1718,51,1765,..,8187,1324,9516,121,9636,..,365,55,422,6687,7098,112589,8551,1380,9930,6806,129324,217698,..,..,..,..,217698,..,273,9,279,0,283,..,418,69,491,15,508,..,83,4,88,6,92,..,225,54,274,4,280,..,829,427,1255,10,1262
SOSR214,0,15,..,713,67,783,13,792,..,471,63,529,12,540,..,44,7,51,0,51,..,23,11,29,0,29,..,22,0,28,0,28,..,39,0,44,0,44,..,118,16,133,3,137,..,7,0,10,0,10,..,48,4,50,4,55,..,26,4,26,0,26,..,37,0,37,0,37,..,33,5,32,0,32,..,37,4,42,0,42,..,164,4,170,0,175,..,41,5,44,0,44,..,178,11,178,3,190,..,55,4,62,0,62,..,444,20,464,4,468,..,131,12,145,0,144,..,37,3,38,0,38,..,129,19,147,0,147,..,27,6,30,0,30,..,80,33,107,0,112,..,676,87,762,21,779,..,4103,623,4724,68,4794,..,203,15,218,4293,4512,65860,4313,635,4943,4362,75164,127101,..,..,..,..,127101,..,96,6,104,0,104,..,174,40,206,3,211,..,32,0,32,0,32,..,93,35,124,4,127,..,489,347,836,6,846
SOSR215,0,18,..,609,65,671,10,674,..,489,69,556,5,570,..,81,9,89,0,89,..,39,30,72,0,72,..,22,0,23,0,23,..,29,4,33,0,32,..,85,0,83,0,83,..,4,0,4,0,4,..,76,10,88,0,91,..,44,3,44,0,44,..,49,3,52,0,57,..,23,0,21,0,21,..,18,7,26,0,26,..,188,11,198,0,198,..,57,7,64,0,64,..,197,11,203,0,203,..,125,30,155,0,153,..,570,51,622,3,622,..,170,11,176,0,176,..,44,10,48,0,48,..,157,43,205,0,205,..,70,9,79,0,79,..,122,114,236,12,245,..,1022,188,1208,26,1234,..,4851,829,5682,84,5766,..,294,30,320,6786,7109,101986,5147,857,6010,6866,114859,199372,..,..,..,..,199372,..,125,0,123,0,129,..,131,26,157,8,164,..,63,4,66,0,70,..,110,56,166,3,165,..,405,251,652,9,658
SOSR221,0,0,..,93,8,101,0,102,..,86,9,97,0,95,..,12,0,12,0,12,..,0,4,5,0,5,..,0,4,4,0,4,..,11,0,10,0,10,..,38,7,41,0,42,..,0,0,0,0,0,..,14,0,12,0,14,..,13,0,14,0,17,..,14,0,14,0,16,..,0,0,0,0,0,..,6,0,13,0,13,..,31,0,30,0,30,..,8,3,10,0,10,..,47,3,46,0,47,..,29,8,36,0,36,..,110,12,126,0,128,..,67,7,71,0,71,..,3,0,3,0,3,..,42,13,51,0,51,..,12,6,17,0,17,..,20,7,27,0,27,..,254,28,284,7,287,..,1062,129,1190,16,1201,..,63,9,71,1883,1956,27746,1127,136,1263,1899,30906,55356,..,..,..,..,55356,..,37,0,37,0,37,..,33,3,41,0,41,..,11,0,11,0,11,..,23,7,26,0,29,..,84,36,122,0,126
SOSR222,0,0,..,36,0,35,0,38,..,42,0,42,6,44,..,8,0,6,0,6,..,4,3,7,0,7,..,5,0,5,0,5,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,12,0,14,0,14,..,0,0,0,0,0,..,9,0,9,0,11,..,0,0,0,0,0,..,6,3,5,0,5,..,39,0,40,5,41,..,10,0,10,0,13,..,37,3,43,0,43,..,9,6,12,0,12,..,91,10,97,6,100,..,44,4,49,0,49,..,0,0,0,0,0,..,17,6,23,0,26,..,6,0,9,0,9,..,10,4,16,0,16,..,136,12,149,5,152,..,604,73,674,14,693,..,26,0,32,1163,1194,14517,633,74,706,1175,16396,29166,..,..,..,..,29166,..,7,0,7,0,7,..,21,5,24,0,24,..,5,0,5,0,5,..,17,4,16,0,16,..,80,26,112,0,112
SOSR231,0,3,..,431,58,490,0,492,..,1118,104,1218,15,1234,..,115,6,122,0,127,..,55,27,82,0,82,..,28,7,36,0,36,..,154,19,173,0,173,..,33,0,36,4,39,..,29,4,30,0,30,..,132,13,144,0,151,..,43,9,46,0,51,..,86,15,100,0,100,..,27,0,28,0,28,..,128,22,148,0,148,..,273,7,282,5,285,..,81,11,95,0,94,..,216,8,225,3,225,..,165,40,210,7,215,..,737,74,808,13,819,..,258,16,275,4,276,..,43,3,43,0,43,..,250,91,341,8,352,..,124,26,148,0,148,..,158,71,230,4,234,..,1666,198,1863,29,1892,..,8047,1162,9207,101,9307,..,372,38,415,14785,15201,182593,8421,1198,9617,14883,207104,375179,..,..,..,..,375179,..,361,3,368,0,365,..,593,57,646,5,652,..,62,3,67,0,67,..,182,55,235,5,243,..,762,430,1199,10,1209
