SOSR_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SOSR201,117,44,44,92,18,163,12,130,109,2527,55,3298,23,23,4,31,10,56,0,117,31,480,8,782,17,44,14,35,4,79,10,266,84,810,9,1372,4,31,3,28,6,93,4,350,43,675,17,1247,41,101,13,50,12,170,13,618,112,1808,25,2961,43,162,17,118,17,571,37,1275,201,1912,47,4380,120,463,38,298,39,1492,93,2262,383,3570,67,8813,201,820,83,674,127,3699,165,2977,510,3850,107,13218,457,1678,148,1699,266,7141,310,3850,750,5436,143,21876,1252,2809,236,5497,715,9214,553,3948,771,5257,169,30423,1607,2235,233,7105,921,9177,492,2978,663,4082,134,29632,3288,2344,246,9074,1171,8771,565,2288,543,3438,113,31838,13196,4639,670,23957,3496,18411,1198,3969,944,5815,197,76488,15987,3556,618,26358,3944,7796,980,2444,522,3294,121,65634,17046,2486,516,22889,3453,8346,800,1648,413,2204,83,59894,15883,1561,368,14838,2649,3446,517,935,215,1115,75,41589,61547,3902,1011,46054,7718,19166,1272,2520
SOSR203,6,3,0,4,0,14,0,5,0,64,0,98,0,0,0,0,0,6,0,3,0,24,0,32,0,4,0,0,0,3,0,6,4,35,0,58,0,0,0,0,0,0,0,10,4,22,0,47,0,8,0,0,0,11,3,23,6,75,0,113,0,3,0,3,0,26,6,57,5,101,4,202,3,14,0,20,7,75,4,106,21,231,0,492,12,57,4,52,12,183,9,192,35,263,11,826,29,113,9,146,30,445,14,287,37,397,11,1502,69,231,13,547,88,675,57,295,61,383,8,2431,94,180,17,800,105,626,40,220,46,234,6,2364,238,198,32,977,157,592,44,165,40,198,8,2653,1031,389,67,2587,336,1177,119,251,69,292,4,6330,1210,293,69,2590,357,472,106,133,19,138,8,5393,1231,208,50,2216,336,469,85,87,26,97,6,4801,1139,106,25,1183,195,182,56,36,12,60,4,2996,2755,209,59,2604,409,740,66,97
SOSR211,0,0,0,0,0,6,0,6,4,54,0,75,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,6,0,0,0,12,0,21,0,33,0,0,0,0,0,0,0,5,0,9,0,21,0,3,0,0,0,5,0,8,7,41,5,67,0,0,0,5,0,17,0,40,4,52,0,119,0,11,0,6,0,48,0,73,13,109,3,267,3,17,5,16,0,176,4,103,23,119,3,473,5,39,0,39,7,307,5,120,24,184,3,747,32,76,8,218,41,412,26,155,35,157,10,1162,64,56,10,257,49,386,19,105,32,96,6,1072,128,65,14,346,61,354,26,76,25,71,3,1168,563,124,26,821,140,492,41,123,26,123,7,2484,593,59,19,617,108,218,28,46,28,67,3,1782,408,40,11,391,71,127,6,23,14,34,0,1129,339,16,12,213,39,46,3,15,7,10,0,707,595,21,10,334,61,131,13,8
SOSR212,0,0,0,7,0,12,0,3,5,87,6,123,0,0,0,0,0,3,0,0,4,13,0,27,0,0,0,0,0,0,0,9,0,20,0,39,0,0,0,0,0,3,0,10,0,24,0,41,0,0,0,4,0,3,0,11,3,72,0,102,5,12,0,5,0,13,0,41,5,65,0,150,5,16,0,12,0,45,4,68,15,151,7,317,4,26,0,29,5,135,4,101,25,174,4,511,18,63,11,100,19,315,17,158,29,241,8,968,66,122,18,391,63,438,29,164,47,251,7,1604,85,137,22,567,90,458,33,124,26,173,8,1726,213,127,14,688,99,375,33,103,28,122,10,1813,850,281,52,1907,299,797,101,150,68,198,6,4699,946,217,41,1954,262,357,77,103,29,97,3,4095,970,122,31,1502,248,309,54,49,20,50,4,3363,888,69,26,851,121,129,34,24,3,28,5,2176,2126,130,66,1800,242,559,62,82
SOSR213,4,0,0,3,0,4,0,3,4,55,3,84,0,0,0,0,0,3,0,0,0,9,0,16,0,5,0,0,0,0,0,3,0,25,0,35,0,0,0,0,0,5,0,7,0,15,0,23,0,11,0,3,0,3,0,12,7,53,0,93,6,7,0,7,0,21,0,49,11,55,0,149,5,12,4,21,6,45,6,73,13,143,6,327,7,29,0,45,9,138,8,113,23,182,8,560,19,80,3,110,15,307,31,177,44,244,3,1028,58,147,18,444,64,464,26,182,42,231,13,1688,86,120,9,664,98,441,35,133,32,159,3,1789,185,154,17,770,93,440,40,119,24,117,7,1970,800,249,48,1856,268,742,83,162,50,200,9,4477,898,165,28,1687,251,293,84,76,20,77,8,3590,870,104,28,1235,136,259,54,44,15,46,6,2809,645,53,17,646,83,100,29,22,14,21,3,1634,1399,101,30,1201,185,358,48,39
SOSR214,7,0,0,0,0,0,0,0,3,21,0,30,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,3,0,3,0,4,0,5,0,21,0,0,0,0,0,0,0,5,8,32,0,50,0,5,0,9,4,9,0,10,11,31,0,76,3,9,0,16,0,23,3,41,4,97,0,209,8,26,4,19,4,70,7,65,13,88,3,301,13,60,6,83,12,155,17,112,25,134,0,616,58,83,13,223,32,227,24,105,31,133,8,938,67,60,11,315,48,233,27,75,19,96,5,961,108,94,16,403,62,190,19,63,18,80,5,1053,374,141,30,936,149,345,48,73,32,85,6,2232,425,140,20,808,124,148,49,43,11,40,6,1811,387,55,8,564,101,137,27,29,9,31,4,1353,322,42,9,297,43,54,18,11,3,11,0,819,651,45,23,443,78,141,30,12
SOSR215,8,0,4,0,0,4,0,3,3,47,0,75,4,0,0,3,0,3,0,5,0,6,0,20,0,0,0,5,0,3,0,10,3,14,0,33,0,0,0,0,0,3,0,4,0,12,0,22,0,0,0,0,0,8,3,12,0,28,0,59,0,6,0,3,0,11,6,25,3,43,0,100,9,19,0,14,0,48,3,60,13,126,0,294,14,36,0,38,8,118,6,95,9,146,5,482,24,87,14,127,20,251,17,125,34,256,9,955,73,134,14,398,60,398,28,149,43,213,7,1521,77,111,20,535,91,414,31,107,33,139,0,1559,168,108,25,712,96,386,34,90,33,109,0,1760,648,227,59,1647,261,618,99,113,40,151,12,3875,761,152,49,1361,248,234,74,69,38,72,10,3075,641,88,39,982,168,224,43,32,14,32,4,2269,557,51,28,560,118,82,23,21,6,16,4,1474,1191,90,36,1010,178,331,32,41
SOSR221,0,0,0,0,0,0,0,0,0,7,0,12,0,0,0,0,0,3,0,0,0,8,0,8,0,0,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,0,14,0,23,0,3,0,0,0,3,0,3,0,17,0,39,0,3,0,4,0,8,0,18,5,31,5,73,0,6,0,20,0,30,3,26,4,52,0,145,8,16,0,26,10,77,0,34,9,61,0,242,9,42,10,115,19,107,16,51,17,65,4,456,14,36,6,165,19,104,15,32,12,23,7,438,47,30,8,179,30,97,13,22,5,25,0,452,160,59,10,459,59,163,19,44,15,42,0,1024,181,48,14,406,47,52,25,20,9,16,0,811,180,28,9,279,49,41,14,7,10,8,0,626,141,11,13,151,31,23,6,6,0,4,0,389,305,27,12,275,50,89,17,8
SOSR222,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,15,0,0,0,3,0,5,0,6,3,6,0,20,0,9,0,0,0,0,0,12,0,18,0,41,0,5,0,7,4,24,0,14,3,27,4,91,4,13,0,17,4,34,7,20,6,34,0,140,13,23,3,49,9,54,5,18,8,25,0,209,13,20,6,89,17,71,8,21,9,19,0,260,25,19,5,103,14,42,3,13,0,18,0,237,104,27,7,239,37,65,13,28,9,19,3,561,116,21,5,176,30,30,13,9,4,12,0,424,83,16,3,130,20,19,7,0,0,8,0,286,60,0,0,57,9,14,4,0,0,5,0,159,169,9,5,117,17,31,8,8
SOSR231,40,5,6,16,0,27,7,7,11,106,3,228,12,6,0,11,0,4,0,6,3,27,0,66,11,4,0,15,3,9,0,22,3,35,0,100,8,5,3,4,3,11,0,11,0,36,0,79,28,5,6,26,4,23,0,29,6,73,4,206,23,15,0,35,0,52,3,69,8,88,4,305,59,37,7,100,16,97,10,119,21,202,9,670,102,87,21,161,18,190,20,161,35,245,7,1052,145,150,24,377,52,416,35,220,59,386,13,1884,242,236,34,905,116,621,64,253,82,358,14,2929,251,220,45,1015,121,649,74,174,64,277,20,2902,451,228,61,1324,161,532,83,140,61,221,12,3272,1354,462,89,2967,372,1015,140,274,99,338,33,7142,1503,340,91,2761,346,491,98,173,50,160,17,6030,1546,207,69,2080,251,440,83,98,33,104,17,4920,1264,141,44,1263,190,185,55,48,12,59,3,3261,3662,288,92,3025,414,903,120,154
