SOSR_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
SOSR201,155525,6024,412,161962,1857,315,40,36,2248,288,33,324,2576,145,6,2727,3072,590,70,73,3809,260,108,366,4176,243,17,4431,4928,906,118,109,6057,545,141,685,6745,383,21,7153,134522,19770,2896,1832,159018,2541,712,3251,162272,6408,437,169117,35393,7891,1107,1139,45536,1632,412,2047,47579,8638,265,56484,386,104,7,565,1066,23,0,20,1088,77,844,2013,170301,27768,4014,3534,205619,4193,1121,5318,210938,15127,1545,227612,34818,4197,552,159,39722,731,160,892,40616,2078,59,42753,37371,6023,631,234,44256,554,125,678,44936,1653,59,46648,1920,344,298,33,2586,31,3,38,2622,142,5,2768,354,55,15,446,868,16,6,23,892,60,89,1045,74462,10617,1489,868,87437,1333,293,1630,89069,3934,216,93210,931,212,19,24,1187,195,19,216,1405,101,0,1502,1489,295,30,35,1841,155,65,219,2065,142,9,2211,2420,508,50,60,3034,348,88,431,3466,242,8,3721,76881,11125,1539,931,90470,1682,382,2063,92529,4177,222,96931,16768,3766,565,550
SOSR203,12662,411,20,13095,67,14,0,0,83,3,0,3,88,3,0,90,203,33,5,12,251,12,7,18,267,10,0,276,266,49,5,12,333,22,7,25,358,8,0,372,10949,1539,260,105,12857,123,40,164,13020,422,15,13464,2251,405,62,46,2768,59,15,72,2838,452,7,3302,5,0,0,6,12,0,5,5,17,3,55,74,13209,1950,324,158,15642,180,54,239,15880,884,74,16836,2318,351,38,7,2719,36,9,43,2763,138,0,2898,3455,461,77,24,4017,28,8,26,4044,136,9,4187,162,18,16,6,201,8,0,8,208,11,0,221,26,0,0,22,46,0,0,0,46,5,7,59,5965,833,133,58,6982,61,12,75,7065,297,10,7365,38,9,0,0,47,4,0,8,54,8,0,63,99,3,4,0,113,3,0,3,115,4,0,122,136,11,4,3,157,12,0,10,170,8,0,179,6102,850,132,61,7142,74,17,90,7234,305,14,7548,980,219,26,6
SOSR211,3649,201,19,3866,67,15,0,0,84,11,3,17,97,12,0,112,95,25,7,7,134,7,4,16,152,5,0,159,166,39,10,7,222,23,6,32,252,19,0,270,3139,497,99,65,3794,76,25,107,3900,215,23,4136,1328,339,44,56,1768,67,14,82,1850,334,4,2191,9,7,0,18,38,0,0,0,38,0,26,66,4481,840,148,132,5602,150,41,189,5787,551,53,6398,764,92,25,9,885,18,6,26,914,57,4,964,764,152,20,7,938,17,8,22,957,49,0,1006,52,11,0,3,62,0,0,0,64,9,0,73,6,6,0,7,18,0,0,0,21,3,6,28,1583,256,41,22,1902,31,12,46,1949,117,4,2067,35,16,0,0,46,5,0,5,57,10,0,66,42,11,3,0,57,3,5,11,65,6,0,69,74,20,0,0,99,11,5,16,117,13,0,130,1654,277,47,23,2001,45,15,62,2066,126,4,2200,566,128,21,22
SOSR212,9365,307,23,9696,35,5,6,4,49,14,5,19,66,3,0,74,126,17,0,3,147,7,0,12,157,13,0,175,162,22,3,9,195,24,4,28,226,19,0,245,7984,1101,239,123,9454,104,34,142,9590,329,23,9942,1531,283,50,47,1910,42,23,66,1978,406,12,2397,19,8,0,11,40,0,0,0,40,5,41,86,9529,1392,291,186,11397,147,62,210,11607,742,80,12431,1906,266,38,11,2225,18,15,30,2251,101,0,2359,2521,316,51,17,2912,30,11,34,2949,83,4,3032,130,26,40,5,197,0,0,0,198,9,0,208,24,7,0,37,59,0,0,0,59,0,8,69,4581,610,128,69,5397,45,25,69,5465,193,13,5672,28,0,6,5,36,13,0,14,49,3,0,52,62,10,5,4,83,5,0,6,90,5,0,93,89,18,3,4,116,13,9,21,135,7,0,142,4674,626,132,79,5514,57,32,91,5603,203,13,5814,736,154,27,28
SOSR213,7841,322,22,8186,40,7,0,0,45,9,0,9,58,8,0,65,94,20,0,3,118,8,4,12,129,6,0,143,133,30,0,3,173,14,4,16,186,15,5,208,6721,923,170,96,7914,83,32,113,8029,336,26,8391,1568,228,54,74,1923,56,11,67,1992,282,7,2287,17,0,0,11,25,0,0,0,25,8,35,67,8303,1150,226,184,9865,139,42,179,10045,623,71,10739,1525,189,22,14,1748,18,8,26,1775,92,0,1867,2271,326,45,20,2654,25,6,33,2690,99,0,2789,113,12,22,7,154,0,0,4,155,9,0,164,21,0,0,32,59,0,0,0,55,4,0,60,3928,530,83,70,4613,46,19,63,4677,201,9,4884,22,3,5,0,30,4,0,4,39,3,0,38,45,4,0,0,55,6,3,4,60,3,0,63,70,10,3,0,80,5,3,7,96,11,0,101,3999,543,89,70,4695,54,22,76,4769,210,11,4983,671,123,34,18
SOSR214,4012,157,5,4173,10,3,0,0,13,5,0,0,16,4,0,22,45,5,0,4,57,7,0,11,66,3,0,71,57,6,0,4,74,7,0,11,83,4,0,89,3274,576,133,68,4050,36,13,44,4094,159,5,4265,730,137,33,25,923,12,0,12,935,178,9,1124,0,0,0,5,9,0,0,0,9,0,18,25,4004,716,161,102,4982,49,13,58,5040,340,35,5418,765,103,15,4,888,13,0,15,903,48,0,960,1060,195,28,14,1299,9,6,13,1310,70,0,1378,79,14,15,0,112,0,0,0,112,5,0,117,9,3,0,13,24,0,0,0,32,11,0,39,1913,322,56,40,2327,19,12,32,2352,130,0,2489,10,0,0,0,7,3,4,0,13,3,0,17,23,5,0,0,29,3,0,3,30,0,0,36,33,6,0,4,38,3,0,9,48,3,0,57,1947,331,53,38,2369,21,13,39,2406,135,3,2545,289,71,9,14
SOSR215,7328,247,8,7581,33,12,0,0,46,6,0,6,53,0,0,55,101,11,3,0,116,0,5,6,124,9,0,129,137,20,4,0,165,7,5,13,174,13,0,183,6256,834,203,102,7400,70,29,100,7500,260,8,7766,1398,188,68,53,1701,31,6,39,1743,253,0,2002,7,3,0,7,24,0,0,0,23,4,31,60,7659,1027,276,162,9123,101,39,137,9267,519,49,9833,1366,187,45,13,1610,23,5,23,1631,78,0,1711,2086,287,39,20,2446,16,7,22,2464,92,3,2568,138,21,22,9,188,0,0,0,188,8,0,196,25,5,0,46,73,0,0,0,78,4,0,84,3621,504,109,91,4321,33,12,48,4364,188,6,4556,25,11,3,0,35,0,0,0,37,6,0,43,48,7,0,3,58,3,5,6,60,4,0,67,79,11,4,3,96,3,5,5,97,11,0,116,3699,514,113,95,4416,32,15,49,4469,197,6,4672,558,102,18,17
SOSR221,1966,72,7,2046,5,0,0,0,5,8,0,8,9,0,0,9,16,15,0,0,26,0,0,0,26,8,0,34,16,15,0,0,32,8,0,8,34,8,0,44,1605,283,57,38,1978,19,0,24,1997,79,7,2086,374,59,13,21,474,11,6,20,490,75,3,566,7,0,0,4,8,0,0,0,8,5,12,17,1986,342,68,67,2456,33,7,35,2494,154,18,2666,377,48,11,0,440,0,4,5,442,20,0,464,585,95,21,15,717,6,5,3,718,22,0,750,44,3,8,0,55,0,0,0,52,5,0,58,11,4,0,6,14,0,0,0,14,0,0,23,1016,150,38,17,1226,3,3,8,1235,54,0,1290,7,0,0,0,7,4,0,4,5,0,0,9,4,0,0,0,13,0,0,0,13,4,0,11,13,0,0,0,14,4,0,4,17,4,0,23,1026,152,38,17,1240,4,3,9,1250,57,4,1314,179,25,4,12
SOSR222,963,44,0,1009,4,0,0,0,9,4,0,4,12,0,0,12,17,0,0,0,19,0,0,0,24,3,0,24,20,4,0,0,26,4,0,5,27,3,0,32,807,126,31,26,984,8,4,12,988,47,0,1042,139,36,3,6,183,10,3,8,193,45,0,240,0,0,0,0,4,0,0,0,4,0,9,17,944,158,37,35,1175,14,4,19,1189,94,11,1301,173,34,0,0,206,3,0,4,212,11,0,226,302,53,12,0,367,6,0,7,373,15,0,388,25,7,4,0,35,0,0,0,35,0,0,33,5,0,0,4,10,0,0,0,10,3,0,18,499,93,18,9,620,12,5,9,626,28,0,661,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,8,4,0,16,12,0,0,0,15,0,0,0,15,4,0,16,507,98,18,9,628,12,5,9,636,31,0,672,68,19,3,9
SOSR231,15044,526,32,15605,56,5,5,0,64,13,0,13,80,6,0,84,87,25,0,0,109,5,0,4,114,3,0,116,139,26,6,0,178,17,0,17,192,10,0,203,13074,1482,326,241,15127,80,26,110,15238,539,32,15807,2298,339,89,106,2833,42,9,56,2890,401,9,3294,34,4,0,8,50,0,0,0,51,6,98,160,15411,1829,418,358,18010,128,34,163,18179,943,144,19259,3477,337,84,32,3924,22,9,31,3959,148,5,4114,5010,687,117,58,5868,34,11,45,5911,195,5,6116,256,51,48,5,365,6,0,6,368,25,0,394,61,16,0,111,189,3,0,3,196,13,9,216,8805,1087,247,212,10351,63,21,86,10433,379,22,10839,38,4,0,0,44,9,0,10,54,7,0,58,64,13,4,0,80,3,0,8,84,5,0,89,102,17,0,3,121,16,5,15,138,7,0,150,8907,1106,246,210,10478,84,20,99,10575,389,22,10992,1240,206,58,55
