SOSR_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SOSR201,1790936,1861199,3652138,52088,53673,105759,6724,7123,13849,242773,248406,491172,4332,4632,8960,1777,1886,3661,1739,1854,3595,1215,1261,2481,669,744,1415,962,1025,1981,8,3,10,260204,266927,527132,18325,19549,37880,4585,3759,8343,335204,343911,679110,102972,99099,202071,2229112,2304205,4533320
SOSR203,145212,156537,301753,5240,5552,10794,499,587,1090,20780,22892,43675,351,382,732,170,173,343,133,153,285,139,162,302,79,81,163,57,64,123,0,0,0,22215,24494,46705,727,846,1567,505,426,930,28689,31314,60002,9771,10132,19895,183668,197986,381653
SOSR211,43253,45003,88257,1265,1432,2701,572,569,1141,5542,5880,11425,269,243,507,73,57,123,43,44,84,33,36,74,49,35,86,30,25,47,0,0,0,6607,6887,13498,305,307,611,126,100,229,8308,8728,17031,3551,3585,7132,55109,57318,112423
SOSR212,101823,108754,210578,5256,5805,11060,568,656,1227,9676,10535,20217,260,290,553,152,158,304,79,79,160,47,74,118,61,67,126,34,33,71,0,0,0,10878,11897,22771,505,560,1063,289,277,558,16926,18542,35465,7528,7833,15356,126275,135126,261403
SOSR213,96168,102916,199086,6078,6891,12972,397,406,806,8170,8860,17032,284,303,582,96,119,217,76,83,158,57,56,108,56,48,102,39,39,79,0,0,5,9171,9911,19086,362,376,735,275,228,500,15890,17407,33297,7589,7579,15171,119655,127900,247555
SOSR214,55533,59655,115195,3453,3912,7361,232,241,477,4582,4947,9528,109,127,235,47,61,103,94,48,140,36,34,75,37,39,74,13,17,34,0,0,0,5152,5518,10670,201,184,387,151,113,264,8956,9729,18687,4785,5051,9832,69267,74436,143708
SOSR215,88001,92080,180079,4252,4712,8965,368,451,823,7309,7655,14963,213,209,417,84,81,164,62,60,119,38,45,90,35,45,79,34,31,68,0,0,0,8150,8574,16726,283,248,531,208,198,401,12888,13736,26625,7681,7839,15523,108570,113656,222224
SOSR221,24710,24865,49573,885,948,1833,118,114,228,2156,2203,4358,61,71,135,18,21,38,19,8,29,20,13,32,17,25,42,13,15,30,0,0,0,2418,2467,4887,65,61,129,49,63,115,3424,3542,6964,2277,2213,4488,30413,30615,61026
SOSR222,13276,13155,26430,422,407,826,64,80,147,1063,1141,2201,60,66,124,23,13,42,13,15,27,18,15,31,6,13,19,4,9,12,0,0,0,1260,1341,2603,59,36,90,29,27,60,1770,1815,3582,1465,1296,2757,16510,16265,32770
SOSR231,180010,170168,350178,4250,4299,8550,743,765,1514,12037,12181,24219,490,446,938,200,172,371,161,113,271,68,73,142,99,100,201,86,51,140,0,0,0,13884,13906,27787,552,506,1063,335,258,592,19020,18968,37989,20966,16162,37134,219996,205299,425293
SOSR279,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,27,36,6,38
SOSR299,847,576,1426,345,229,576,90,83,174,1209,1233,2442,81,96,179,32,23,50,27,26,52,19,13,29,15,11,22,7,9,20,0,0,0,1475,1495,2970,159,136,290,24,22,48,2008,1884,3889,2274,1409,3682,5124,3875,9002
