SOSR_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOSR201,57030,40617,54467,45951,39935,31762,22863,15296,9177,317085,822705,564204,745220,690688,585234,489125,372835,220034,95489,4585537
SOSR203,5896,4183,4212,3486,3524,3126,2506,1672,1027,29636,70128,48785,57266,48628,45780,43953,38749,22789,10152,386231
SOSR211,2760,1366,1576,1469,1126,860,631,321,112,10219,26899,13751,18229,16879,12751,10892,9296,4235,1265,114187
SOSR212,4663,2751,2829,2825,2705,2455,2023,1425,924,22595,50762,29653,34739,33856,33063,31866,28154,15815,6635,264540
SOSR213,4363,2466,2754,2556,2479,2244,2129,1514,923,21440,46083,26770,31377,29543,29876,30880,29687,18476,7715,250413
SOSR214,2336,1213,1285,1336,1374,1569,1618,1251,724,12706,23329,13867,15546,15155,16679,19633,21732,13555,5699,145199
SOSR215,3816,2095,2097,2256,2459,2508,2445,1541,831,20045,39920,21233,24498,25102,27085,31245,30765,17677,7150,224681
SOSR221,932,525,435,613,671,832,778,429,262,5480,10437,5460,5867,6681,7831,9819,9308,4555,1658,61615
SOSR222,557,394,334,346,442,544,407,226,93,3343,5441,3106,3270,3606,4415,5566,4713,2229,714,33052
SOSR231,7484,4975,4847,5718,6814,7225,5760,2781,763,46350,72617,45579,37655,46846,62773,72485,59700,25286,5963,428903
SOSR279,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,14,4,0,0,38
SOSR299,501,403,707,880,652,410,198,23,9,3785,1143,1131,1819,1736,1393,1074,613,152,29,9089
