SOSR_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
SOSR201,26672,25544,52216,27487,25883,53370,27313,25934,53245,27771,26257,54026,28689,26880,55575,137937,130496,268436,29408,27717,57128,28953,27607,56555,29246,27354,56597,29371,28031,57398,28618,27353,55976,145589,138057,283650,27985,26453,54444,28138,27079,55223,27658,26057,53709,27717,26163,53876,27512,25852,53367,139017,131601,270616,26534,25069,51601,25973,24297,50273,25645,24152,49794,25768,24593,50366,26428,25810,52240,130354,123919,254272,29295,27817,57111,31088,29918,61004,31337,29915,61254,32338,30918,63260,34671,32638,67309,158734,151199,309933,36308,33842,70159,37246,35385,72637,37021,35851,72870,36665,36970,73636,36160,37525,73684,183403,179571,362982,37065,38990,76054,37439,39722,77160,37049,39422,76469,37199,39274,76467,37448,38640,76088,186191,196055,382245,37050,38898,75949,37113,38789,75898,36634,37584,74217,36839,37574,74416,35740,36172,71909,183372,189018,372394,34479,34609,69088,32732,32809,65539,31577,31776,63353,30213,30575,60792,29674,29843,59522,158676,159618,318296,29233,29637,58869,29127,30170,59299,28813,30593,59402,29093,30526,59616,29705,31795,61498,145964,152713,298676,29975,32780,62759,28503,30142,58643,27964,29656,57618,26929,28128,55063,25608,26865,52474,138982,147581,286563,25303,26683
SOSR203,2301,2281,4588,2339,2243,4583,2282,2209,4489,2337,2183,4526,2390,2354,4746,11651,11275,22929,2455,2361,4818,2441,2330,4773,2495,2341,4835,2397,2316,4716,2499,2322,4819,12285,11679,23967,2328,2113,4446,2341,2277,4615,2452,2262,4715,2356,2282,4633,2536,2288,4824,12017,11221,23235,2274,2227,4501,2243,2154,4398,2276,2207,4485,2218,2133,4351,2320,2383,4709,11331,11105,22438,2464,2460,4917,2567,2616,5178,2549,2761,5311,2673,2666,5340,2842,2755,5597,13088,13252,26344,2994,2851,5839,3172,3008,6178,2976,3039,6010,2879,2878,5764,2859,3020,5879,14877,14794,29672,2868,2855,5722,2687,2949,5639,2690,2810,5502,2599,2803,5397,2571,2759,5336,13414,14177,27592,2623,2834,5453,2558,2724,5285,2457,2654,5110,2424,2610,5038,2364,2532,4898,12427,13357,25788,2331,2572,4905,2114,2385,4498,2091,2392,4472,2229,2384,4609,2020,2338,4360,10778,12067,22846,2155,2329,4477,2191,2338,4534,2265,2403,4669,2222,2509,4722,2293,2592,4885,11116,12174,23291,2320,2568,4887,2155,2366,4525,2181,2349,4527,2056,2309,4359,1971,2212,4179,10682,11807,22485,1947,2221
SOSR211,901,866,1760,948,916,1866,1015,953,1971,933,916,1851,924,1000,1917,4709,4652,9361,940,963,1900,1007,946,1951,995,905,1899,896,909,1804,933,921,1850,4767,4643,9412,887,857,1741,823,831,1660,784,816,1601,769,828,1597,789,741,1528,4049,4071,8121,752,751,1505,684,627,1311,713,687,1398,720,623,1348,675,609,1286,3547,3305,6850,724,625,1349,699,649,1347,746,651,1397,686,674,1358,726,722,1450,3584,3319,6904,763,828,1590,801,826,1632,812,813,1621,819,892,1708,770,932,1702,3957,4292,8245,939,1045,1981,899,1086,1989,932,1014,1942,1017,1084,2102,971,997,1967,4759,5226,9980,1019,1085,2103,917,971,1891,893,931,1817,924,928,1850,806,840,1648,4564,4749,9310,872,830,1702,786,793,1579,739,759,1495,732,702,1428,645,717,1361,3775,3797,7570,655,641,1301,668,662,1329,680,651,1327,661,625,1295,679,693,1373,3339,3275,6617,669,692,1364,632,637,1264,568,656,1230,550,626,1175,508,592,1105,2929,3204,6137,553,537
SOSR212,1609,1529,3136,1583,1477,3058,1629,1582,3211,1695,1574,3268,1621,1608,3230,8135,7762,15901,1782,1694,3474,1753,1681,3438,1795,1693,3485,1908,1705,3614,1842,1634,3478,9078,8404,17488,1787,1679,3463,1869,1707,3577,1760,1725,3483,1790,1634,3430,1753,1668,3423,8965,8414,17374,1658,1641,3297,1597,1468,3060,1598,1461,3054,1548,1486,3023,1455,1361,2815,7851,7411,15267,1452,1319,2780,1378,1368,2747,1453,1376,2826,1478,1461,2934,1510,1589,3102,7275,7109,14390,1552,1593,3151,1659,1735,3398,1684,1698,3384,1651,1740,3391,1713,1873,3588,8265,8640,16905,1750,1884,3633,1686,1959,3647,1661,1796,3454,1754,1849,3609,1670,1821,3488,8517,9316,17831,1631,1865,3491,1723,1847,3572,1669,1803,3473,1707,1805,3513,1621,1813,3436,8358,9129,17483,1626,1812,3438,1561,1692,3247,1536,1744,3283,1544,1609,3159,1582,1672,3252,7844,8529,16375,1546,1612,3159,1536,1734,3271,1562,1767,3324,1619,1724,3339,1689,1815,3509,7955,8649,16604,1687,1965,3649,1595,1740,3331,1630,1668,3298,1523,1618,3143,1444,1585,3024,7885,8578,16458,1443,1615
SOSR213,1434,1424,2857,1561,1458,3019,1580,1551,3126,1535,1501,3030,1555,1471,3024,7663,7398,15057,1661,1523,3184,1626,1473,3105,1534,1601,3133,1644,1478,3122,1574,1515,3092,8043,7589,15629,1560,1456,3016,1563,1569,3133,1627,1415,3046,1563,1492,3050,1668,1484,3147,7979,7414,15397,1522,1401,2920,1406,1314,2718,1476,1377,2847,1450,1339,2782,1344,1210,2554,7189,6636,13824,1340,1220,2556,1268,1208,2478,1296,1270,2572,1323,1242,2563,1360,1416,2775,6587,6360,12946,1378,1464,2846,1550,1520,3066,1584,1600,3183,1533,1689,3226,1587,1590,3184,7633,7869,15502,1543,1621,3172,1569,1726,3295,1579,1680,3259,1493,1615,3105,1474,1580,3047,7659,8219,15883,1600,1657,3256,1523,1685,3210,1500,1646,3147,1436,1556,2997,1469,1585,3053,7532,8132,15664,1403,1553,2952,1262,1383,2645,1300,1408,2710,1377,1413,2794,1315,1470,2782,6648,7223,13873,1329,1521,2850,1312,1493,2803,1443,1540,2985,1463,1511,2978,1490,1619,3108,7038,7686,14722,1571,1661,3232,1466,1631,3094,1416,1621,3037,1361,1480,2842,1368,1576,2948,7182,7976,15155,1349,1447
SOSR214,761,729,1485,723,645,1362,702,741,1444,799,744,1548,769,764,1532,3748,3619,7369,860,770,1627,824,739,1565,822,817,1638,845,717,1561,792,793,1593,4146,3841,7986,858,781,1642,767,734,1503,809,767,1567,834,757,1596,820,844,1663,4091,3879,7973,828,790,1617,758,718,1476,779,716,1492,774,686,1459,686,592,1280,3819,3501,7320,702,576,1278,670,640,1307,739,619,1361,683,601,1282,661,666,1321,3443,3105,6544,692,695,1383,775,687,1464,766,807,1581,746,760,1510,773,809,1584,3760,3759,7517,809,847,1651,755,821,1581,732,835,1570,762,838,1597,817,812,1629,3871,4157,8031,749,916,1660,821,818,1633,749,809,1561,712,794,1506,661,775,1431,3687,4111,7801,738,751,1485,707,755,1463,697,782,1480,715,745,1461,693,777,1473,3558,3804,7358,741,742,1480,697,822,1521,749,864,1620,809,856,1668,830,902,1729,3830,4191,8023,842,948,1793,748,874,1622,859,920,1779,804,930,1731,806,932,1735,4063,4596,8659,787,898
SOSR215,1250,1204,2457,1207,1184,2387,1271,1190,2463,1376,1216,2598,1299,1197,2496,6408,5995,12403,1435,1295,2730,1431,1294,2729,1403,1276,2684,1402,1334,2724,1440,1398,2841,7108,6595,13709,1366,1336,2698,1419,1353,2770,1400,1385,2779,1464,1306,2767,1434,1355,2789,7081,6723,13806,1345,1285,2624,1231,1174,2404,1242,1224,2466,1103,1034,2136,1098,872,1967,6021,5588,11608,948,923,1866,1021,867,1888,1034,934,1973,1033,873,1911,1003,984,1990,5036,4582,9623,1032,971,2005,1059,1147,2202,1225,1205,2422,1188,1335,2527,1270,1257,2526,5773,5915,11687,1246,1282,2524,1305,1351,2661,1245,1259,2507,1243,1311,2552,1188,1384,2572,6224,6589,12810,1206,1277,2483,1260,1403,2664,1230,1340,2571,1225,1345,2578,1194,1359,2559,6118,6738,12855,1236,1299,2535,1144,1255,2403,1221,1177,2404,1204,1254,2455,1143,1313,2454,5952,6301,12250,1193,1295,2486,1237,1277,2511,1263,1415,2675,1322,1392,2711,1328,1483,2815,6343,6855,13204,1444,1532,2977,1332,1410,2744,1283,1493,2775,1361,1372,2735,1288,1360,2650,6711,7172,13883,1306,1433
SOSR221,300,290,593,304,325,628,308,318,624,340,300,638,324,338,655,1575,1571,3146,366,325,695,336,369,704,388,350,736,412,338,745,370,332,703,1865,1720,3588,388,334,722,400,359,762,384,385,767,382,355,735,364,357,720,1919,1786,3708,375,357,729,318,326,647,331,310,642,255,297,555,283,246,533,1569,1537,3103,278,216,493,256,212,471,260,217,473,231,222,454,237,237,466,1257,1103,2351,264,239,508,273,239,516,265,272,534,265,296,556,272,308,572,1338,1349,2690,300,340,638,315,306,619,309,340,649,294,316,608,305,363,670,1514,1667,3182,337,332,671,290,350,639,306,365,675,344,365,709,324,345,666,1601,1758,3359,329,348,673,315,350,667,320,328,642,348,327,677,336,328,667,1644,1672,3323,354,330,684,363,366,726,336,342,678,352,414,766,363,454,809,1767,1905,3675,433,411,840,389,438,826,428,414,840,395,427,814,387,438,828,2030,2129,4157,410,420
SOSR222,144,134,281,165,141,308,149,164,312,158,142,300,172,153,328,791,739,1531,171,185,359,177,173,345,190,195,386,170,188,357,194,197,391,906,932,1841,209,200,408,215,179,391,225,192,412,220,209,434,222,201,424,1089,982,2067,185,197,384,176,142,316,166,146,310,179,180,359,149,164,316,848,831,1684,161,155,316,133,151,286,150,115,264,152,133,287,146,131,282,737,685,1426,152,135,286,152,134,279,153,153,309,168,188,354,154,146,309,776,755,1535,177,182,358,188,165,356,191,157,347,139,188,327,169,182,348,865,871,1736,172,177,350,170,167,343,173,203,376,196,209,406,167,170,336,878,931,1809,179,191,369,158,169,326,159,173,336,176,185,364,185,216,399,857,939,1798,189,194,383,180,196,380,184,198,376,226,220,442,232,248,482,1016,1060,2073,251,229,480,212,216,433,248,234,482,244,260,504,229,211,444,1185,1154,2342,249,238
SOSR231,1806,1796,3610,1857,1782,3638,1915,1971,3884,2154,1937,4096,2092,2038,4121,9827,9524,19348,2386,2232,4616,2379,2269,4643,2451,2358,4817,2744,2417,5159,2782,2502,5279,12737,11776,24517,2718,2656,5372,2931,2749,5678,3054,2711,5766,3042,2734,5777,3145,3024,6165,14889,13863,28752,3057,2830,5881,2875,2703,5581,2741,2620,5359,2618,2396,5011,2462,2079,4542,13752,12624,26374,2310,1974,4286,2150,1898,4049,2067,1717,3785,2017,1599,3619,1897,1569,3464,10442,8759,19202,1864,1675,3540,1785,1693,3478,1793,1735,3532,1869,1702,3574,1909,1848,3754,9232,8653,17880,1986,1777,3763,1931,1924,3854,2028,1886,3907,1958,2094,4054,2126,2065,4197,10032,9745,19780,2225,2135,4361,2209,2285,4495,2238,2268,4504,2360,2284,4643,2186,2344,4530,11216,11318,22536,2287,2394,4679,2401,2358,4758,2400,2316,4717,2517,2488,5001,2590,2551,5144,12197,12112,24312,2616,2526,5145,2739,2791,5530,2909,2918,5831,2832,2938,5768,3339,3311,6644,14434,14484,28923,3447,3494,6940,3326,3254,6581,3429,3579,7010,3362,3314,6676,3391,3252,6647,16957,16892,33853,3419,3437
