SOSR_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
SOSR201,6234,15112,2515,1524,2163,1477,1230,1532,410,32202,14125,40349,8235,2094,4908,3379,4736,3774,1357,82961,30441,46470,64076,4259,9277,5941,16436,13387,2751,193044,13188,7888,44553,1221,2552,1697,3835,7141,1216,83298,2282,1803,4905,520,739,548,1155,1878,205,14040,3599,31180,2059,6859,1437,1072,1278,1376,417,49278,3446,17574,1082,2178,1005,622,892,807,245,27840,54149,57412,9732,7824,25088,16166,11667,8585,3137,193766,11467,28839,3591,14238,7025,3290,3775,3517,1118,76853,5349,16781,4770,2780,3113,3152,1913,2467,480,40799,4324,899,13274,2581,1612,1844,4349,3536,421,32834,53,65,144,53,49,76,136,198,19,803,2728,3458,2314,1353,1334,800,1917,1280,604,15775,2468,1976,4525,1203,1110,1172,2590,2392,4661,22092,153857,269817,165785,48672,61416,41236,55906,51860,17031,865580,5313,15136,3391,3350,5122,2208,329,1170,490,36516,3393,12191,1361,2063,4058,1468,483,1248,499,26761,3454,9331,2128,1518,2892,1265,875,1604,365,23422,1784,6478,1986,701,1746,1135,114,385,152,14484,1035,1662,1291,704,1177,591,159,603,99,7332
SOSR203,262,739,193,130,108,83,53,109,17,1695,504,1318,442,91,216,138,182,180,43,3124,1858,2265,6104,462,520,506,1635,1445,184,14971,1215,465,5207,223,210,197,550,964,127,9160,372,251,580,66,102,95,181,274,35,1945,326,3055,233,796,140,96,95,136,42,4921,400,2277,130,348,107,64,104,85,22,3544,2727,2596,636,575,1254,882,616,502,99,9891,553,1516,265,1738,366,233,252,365,78,5364,250,790,287,203,149,202,145,196,25,2245,351,54,1242,235,116,160,276,408,31,2880,4,7,15,7,6,5,0,22,0,69,154,192,189,143,80,52,149,102,45,1111,166,122,422,111,56,96,205,269,313,1758,9156,15634,15944,5116,3439,2811,4454,5061,1063,62676,192,620,249,180,268,122,22,69,14,1730,89,227,61,86,153,46,20,58,4,738,130,285,118,97,142,80,91,170,19,1131,95,274,190,76,114,85,14,55,12,913,103,152,112,81,136,97,22,103,4,810
SOSR211,58,99,40,23,33,14,31,15,7,324,131,378,135,46,90,47,136,57,14,1036,454,500,2144,135,225,135,756,523,95,4972,179,45,1235,38,43,30,207,239,32,2046,53,41,136,18,22,12,77,74,5,437,58,330,33,172,28,13,48,48,8,726,48,298,33,60,22,11,40,21,3,542,548,465,168,222,382,222,479,171,38,2699,110,186,96,483,89,63,158,103,22,1310,31,84,52,28,42,25,41,55,4,375,86,15,308,62,57,57,297,117,7,995,0,0,4,0,0,0,3,7,0,27,37,29,55,34,27,17,96,46,9,348,46,25,148,37,31,20,154,112,109,674,1839,2493,4598,1352,1087,673,2527,1590,363,16516,39,95,44,47,52,36,12,19,5,350,29,109,25,59,60,30,6,19,7,348,29,73,39,27,58,29,39,50,8,350,13,26,25,11,27,12,4,4,3,130,15,28,26,14,32,19,4,12,0,149
SOSR212,225,391,95,58,65,37,31,60,5,969,242,539,222,57,99,66,63,83,15,1380,1467,1378,5086,288,386,310,1088,983,145,11124,943,232,3528,123,121,119,323,592,96,6080,400,209,428,63,85,64,171,280,15,1726,211,1648,113,474,74,40,55,67,19,2710,325,1420,101,188,53,33,52,70,16,2264,1840,1568,388,330,706,584,365,332,86,6204,351,857,182,1059,207,150,120,233,35,3191,143,394,161,95,83,104,71,100,12,1157,242,48,771,121,86,123,186,267,17,1860,10,3,4,0,0,7,6,22,3,50,105,101,132,97,41,33,106,99,32,740,188,82,287,82,52,78,178,242,232,1415,6691,8864,11496,3053,2055,1740,2801,3433,740,40869,160,373,132,102,129,63,13,47,13,1033,40,105,25,34,65,17,9,32,4,328,77,142,74,34,84,43,44,94,12,603,54,162,85,28,70,39,4,19,3,460,93,138,105,62,102,47,13,76,9,635
SOSR213,135,326,90,46,34,18,20,50,9,730,218,455,217,47,100,69,61,92,15,1278,1245,1062,5095,303,339,294,1234,1000,160,10727,748,151,3277,89,78,110,439,656,88,5639,316,227,397,61,64,78,196,264,27,1636,130,1044,90,426,57,44,61,66,16,1941,221,1066,80,165,49,37,60,70,6,1744,1351,1079,292,271,557,413,291,329,52,4633,292,666,163,1002,164,111,136,201,37,2778,108,297,154,76,60,78,64,116,9,962,199,32,760,96,54,131,217,262,36,1787,7,7,7,4,0,5,4,15,0,38,107,113,124,72,49,22,81,71,28,669,155,70,281,63,39,69,197,221,228,1319,5234,6579,11016,2730,1643,1469,3070,3420,711,35866,87,292,102,88,108,45,8,41,9,781,39,82,29,35,65,16,7,25,3,302,57,101,70,46,77,34,52,88,11,538,28,102,77,30,56,41,9,17,3,350,80,117,91,68,98,59,11,99,5,622
SOSR214,75,168,35,27,17,16,18,27,6,387,94,188,97,23,37,26,27,36,7,541,654,476,2549,161,174,172,662,661,87,5599,475,93,1813,71,43,60,199,372,60,3192,214,115,282,33,48,54,96,163,32,1035,67,504,53,191,23,12,18,39,9,923,127,580,57,99,24,20,35,25,12,976,657,545,151,146,251,241,137,169,45,2328,180,302,86,484,79,54,56,116,24,1390,63,167,74,42,35,52,22,79,8,536,142,22,447,77,37,49,103,165,18,1065,0,0,0,0,0,0,6,13,0,22,54,57,54,45,29,12,62,46,14,371,75,33,203,46,18,48,115,154,115,800,2874,3258,5900,1450,826,814,1556,2061,434,19171,52,143,68,59,69,31,3,27,4,457,23,35,9,16,27,10,0,17,0,149,38,47,54,28,49,18,27,63,4,334,23,54,29,9,22,16,0,12,6,174,48,83,76,49,66,48,0,57,0,432
SOSR215,162,257,60,39,25,21,16,49,9,630,143,283,137,31,41,35,50,60,6,782,1251,868,4761,240,347,268,1250,916,162,10061,837,182,3138,91,77,84,431,615,82,5539,498,221,538,59,56,77,254,337,32,2070,147,691,71,341,37,33,38,65,15,1441,239,911,83,155,29,30,58,56,17,1575,1129,813,267,188,390,345,237,239,47,3645,315,566,140,668,115,74,99,143,36,2149,105,281,116,72,42,60,47,94,14,828,239,32,694,86,43,92,174,236,25,1620,0,3,5,0,3,0,5,8,0,28,107,90,100,79,39,23,99,88,24,644,164,54,352,76,34,71,220,224,167,1361,5325,5257,10454,2138,1276,1207,2969,3131,626,32374,111,248,106,76,105,37,7,31,11,736,43,58,15,30,68,11,7,12,4,245,81,84,75,35,50,51,41,67,11,486,38,96,53,22,46,28,7,18,3,310,117,177,152,79,118,90,16,123,5,880
SOSR221,49,86,12,7,13,3,6,5,4,187,30,81,29,12,14,9,13,14,4,210,359,184,1358,69,81,71,352,281,35,2795,278,48,854,26,17,29,107,184,31,1564,189,92,165,19,24,27,73,92,12,690,52,168,17,86,9,8,5,13,0,368,80,298,25,41,23,4,14,20,3,504,293,224,65,47,75,80,74,54,15,929,85,152,37,182,33,23,28,35,6,586,36,82,49,23,25,19,8,23,3,264,54,0,161,23,10,20,34,60,6,360,3,0,0,0,0,0,0,3,0,3,30,25,22,12,7,3,27,13,10,148,40,15,113,19,16,36,63,79,42,429,1578,1474,2915,567,337,332,798,867,168,9040,32,69,18,18,32,6,0,11,0,183,10,18,0,5,16,6,0,5,0,58,22,22,23,13,13,7,11,20,8,129,13,23,12,8,7,9,0,6,0,80,41,53,43,31,44,24,0,34,3,264
SOSR222,25,42,7,7,4,8,6,10,3,109,18,41,19,8,7,4,0,6,0,101,208,115,685,47,41,34,184,137,21,1474,127,25,417,19,14,15,78,87,17,800,102,47,89,17,13,13,36,74,10,401,28,79,15,38,10,0,4,7,0,185,33,164,12,25,4,5,11,5,3,267,152,109,45,21,38,36,23,32,16,477,52,84,25,103,11,11,16,18,6,325,21,36,27,7,6,13,12,19,0,142,36,0,105,14,3,13,21,40,5,248,4,0,3,0,0,0,0,3,0,8,10,16,22,12,6,5,13,14,5,107,33,10,47,16,3,11,37,35,24,214,850,766,1508,334,165,176,450,495,109,4850,19,36,10,11,20,0,0,5,0,104,5,7,0,0,12,3,0,8,0,34,14,14,8,8,13,6,16,14,0,95,10,12,11,3,3,8,0,4,0,56,22,32,25,19,25,10,11,37,0,182
SOSR231,545,587,160,57,67,34,49,90,21,1614,365,515,187,39,81,49,39,89,27,1394,4825,1859,9894,427,539,521,2621,1970,375,23036,2581,298,5481,153,172,162,771,1112,192,10914,5354,642,1187,164,169,214,700,1199,126,9747,440,1514,143,481,59,35,66,100,24,2873,663,1392,159,209,72,58,102,110,31,2794,2982,1596,401,290,592,503,344,413,95,7221,796,990,210,983,202,108,135,238,61,3723,266,420,211,100,74,97,84,149,17,1418,431,51,682,118,61,115,232,345,26,2066,17,5,5,0,0,5,6,15,0,56,348,154,182,114,53,43,162,135,45,1235,844,125,692,118,82,117,383,439,390,3197,20458,10147,19600,3254,2233,2061,5703,6411,1437,71296,443,625,208,167,278,68,8,102,22,1922,118,138,33,36,112,15,3,33,0,477,235,204,155,91,152,65,75,151,17,1149,118,193,127,43,105,41,12,31,10,680,1118,504,435,242,476,216,95,572,43,3716
