SOSR_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOSR201,106162,56551,34800,20122,7447,1388,345136,2351,21790,27514,25390,19426,12579,3793,629,113463,64199,242108,207811,135152,83462,52980,20950,5830,812484,26101,76581,84290,73474,54483,36450,16849,5166,373397,40394,94908,85281,84876,71953,42004,21462,6842,447726,5988,5899,5446,4881,4250,2642,904,196,30205,3522,6965,9280,11696,11271,8160,4231,1516,56638,49909,107771,100006,101454,87470,52807,26596,8562,534571,1691,4625,4905,3469,3288,3240,2172,931,24324,29764,49520,39807,31442,27382,26533,24172,16933,245542,181214,613862,570492,426932,310307,204701,101983,39436,2448922
SOSR203,3871,2668,1938,1298,510,59,15947,192,1850,2205,1982,1636,1319,360,63,9606,3439,14048,11798,7910,5342,4228,1614,435,48808,1781,5646,5789,5634,4859,3952,1793,494,29960,5573,13311,10674,9792,8864,5705,2595,836,57351,816,798,684,521,461,370,100,23,3761,335,549,660,777,831,751,378,138,4406,6726,14662,12013,11089,10153,6825,3066,993,65523,102,231,205,208,214,242,221,93,1527,3004,3575,2854,2793,2777,3153,3160,2106,23416,15683,45174,38739,32289,26920,21008,10740,4233,194783
SOSR211,1096,392,217,132,34,0,2958,54,390,445,301,202,167,43,3,1596,461,2944,2933,1401,767,586,168,30,9287,473,2225,2283,1402,1065,716,260,41,8470,1818,4556,3766,2977,2353,1473,520,104,17568,235,303,249,190,136,78,11,6,1201,128,252,269,273,249,196,71,15,1450,2175,5113,4281,3436,2730,1750,607,124,20222,26,89,116,59,51,54,27,14,436,1067,1504,1335,972,792,805,585,207,7273,4299,13285,12495,7967,5830,4212,1725,421,50233
SOSR212,2173,1436,1091,706,230,33,7746,101,1010,1323,1263,1037,829,204,32,5796,1396,7322,7065,4985,3508,2727,988,232,28230,951,3607,4265,4061,3568,2850,1204,251,20745,3548,8834,7904,7446,6561,4105,1703,483,40575,501,515,463,380,304,236,64,14,2470,236,378,492,645,583,545,222,74,3177,4286,9725,8853,8464,7453,4885,1993,573,46230,53,164,176,136,153,155,127,66,1027,2001,2485,2354,2185,2306,2476,2395,1635,17854,8932,26257,26206,22537,19111,14616,7142,2817,127621
SOSR213,1462,1068,810,663,243,40,5791,87,803,1015,926,925,791,243,27,4812,1027,5489,5089,3677,2716,2432,1084,244,21764,720,3242,3648,3692,3305,2763,1367,346,19081,3454,9263,8046,7429,6891,4788,2173,552,42601,513,504,447,390,345,281,68,18,2564,201,361,450,575,598,565,283,82,3111,4167,10130,8938,8385,7829,5636,2525,653,48280,54,120,130,128,127,215,173,54,1002,1769,2164,2008,2006,2079,2636,2644,1811,17120,7904,23379,22278,19877,17791,15142,8282,3183,117844
SOSR214,725,513,568,574,208,31,3354,49,385,532,510,579,603,162,20,2835,474,2669,2553,2030,1798,1973,837,199,12531,416,1650,1826,1924,2087,2052,951,256,11157,1746,4402,4029,4188,4224,3450,1572,439,24054,247,283,240,241,259,188,73,19,1554,108,174,236,327,355,400,219,72,1896,2096,4869,4512,4760,4836,4041,1868,526,27500,19,68,68,60,76,140,120,61,615,1034,1149,1182,1260,1605,2108,2152,1276,11763,4140,11462,11395,11055,11558,11489,6297,2361,69763
SOSR215,1162,1087,998,832,283,41,5434,88,624,860,917,985,829,259,27,4591,709,3903,4238,3503,3052,2912,1219,266,19803,592,2553,3014,3154,3235,2948,1302,336,17134,2743,7927,6982,6664,6876,4833,1964,498,38491,389,404,430,337,373,273,84,21,2306,149,290,380,473,582,612,288,99,2870,3282,8624,7783,7475,7832,5716,2337,620,43669,33,85,104,90,144,200,148,43,847,1833,1782,1919,2176,2602,3267,2690,1559,17829,6577,18551,19085,18404,18849,16709,8237,2891,109299
SOSR221,299,278,320,314,103,10,1545,15,151,235,275,277,269,56,7,1289,166,1018,1173,1029,1005,899,323,61,5667,127,561,815,892,1066,914,339,68,4781,690,1889,1981,2025,2288,1475,569,111,11029,100,92,94,104,115,89,26,8,615,30,77,85,119,172,185,82,20,766,814,2057,2163,2242,2573,1749,672,138,12409,3,16,19,33,34,47,36,10,221,475,417,544,661,865,969,720,415,5066,1617,4434,5259,5406,6140,5161,2246,711,30979
SOSR222,162,156,146,125,32,5,740,4,69,115,153,171,102,29,5,648,101,540,628,589,529,425,116,20,2951,68,335,455,490,533,427,156,29,2493,370,986,1027,1091,1234,762,263,48,5775,55,70,53,47,69,41,10,0,353,25,31,62,69,92,83,39,9,415,448,1092,1139,1209,1400,886,312,55,6543,5,10,15,25,25,27,11,7,125,387,322,312,408,544,564,373,195,3092,1021,2465,2826,3032,3345,2559,1027,316,16598
SOSR231,1846,2442,2513,1954,566,75,10724,110,846,1497,2029,2154,1705,347,29,8712,1576,6584,8612,8812,7942,6461,1912,271,42161,1121,3549,5512,7423,7834,5974,2016,267,33698,5206,11158,12749,15675,16148,9268,3023,492,73722,749,609,740,647,773,487,110,12,4133,303,475,707,1120,1376,1093,381,63,5512,6258,12239,14192,17444,18297,10847,3519,571,83365,61,155,179,253,332,376,215,49,1615,4430,3580,4430,5759,7043,6793,3913,1167,37118,13649,28184,36269,44161,46120,34103,12488,2418,217392
