SOSR_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
SOSR201,..,11315,3775,15090,77,15162,..,228937,75384,304319,2471,306788,..,13333,2153,15486,105,15592,..,15416,554,15978,213,16190,..,12127,313,12443,179,12629,..,84241,17422,101665,636,102300,..,12737,706,13444,110,13554,..,20992,1483,22477,227,22707,..,59287,2598,61883,472,62360,..,18225,1320,19547,214,19763,..,81489,7659,89148,1045,90190,..,43973,2350,46322,385,46708,..,32028,2375,34401,471,34868,..,11169,438,11598,118,11721,..,279899,18925,298817,3043,301863,..,69506,11093,80598,533,81138,..,9719,1174,10893,123,11010,..,11116,5684,16804,110,16918,..,12495,3338,15838,142,15981,..,22404,4420,26823,205,27025,..,19976,1108,21086,233,21315,..,18050,3135,21180,171,21352,..,10677,1360,12040,77,12112,..,7473,693,8164,79,8240,..,14322,2743,17064,131,17193,..,10149,971,11116,107,11221,..,12928,2763,15688,118,15803,..,18667,486,19148,167,19319,..,15200,1193,16395,193,16585,..,23600,660,24256,162,24418,..,8991,1089,10080,90,10171,..,66453,3431,69888,606,70493,..,34843,3917,38761,355,39118,..,29530
SOSR203,..,112,24,131,0,131,..,3297,869,4169,44,4215,..,1549,330,1877,7,1891,..,520,27,539,0,546,..,635,20,652,8,664,..,810,113,923,15,936,..,382,22,405,4,406,..,521,30,552,4,552,..,1362,56,1419,9,1427,..,659,25,683,7,690,..,2725,210,2932,46,2982,..,844,50,893,14,898,..,900,73,971,8,975,..,236,7,240,0,243,..,7629,461,8090,89,8178,..,1653,221,1874,20,1890,..,377,31,413,0,412,..,79,23,106,0,106,..,253,45,299,0,299,..,810,179,996,4,998,..,1553,107,1657,20,1678,..,451,94,540,7,549,..,362,36,405,0,406,..,262,26,287,3,291,..,317,55,374,4,377,..,51,4,58,6,63,..,616,156,774,6,777,..,925,17,943,6,952,..,327,14,346,0,348,..,935,22,954,11,965,..,370,31,399,6,408,..,2560,89,2642,20,2670,..,862,109,967,10,978,..,604
SOSR211,..,73,13,89,0,89,..,554,189,744,14,753,..,308,47,359,4,361,..,150,6,159,6,160,..,189,8,191,0,192,..,333,51,387,3,390,..,641,79,714,12,730,..,236,25,262,0,265,..,1170,63,1234,20,1253,..,345,138,479,5,486,..,4546,553,5104,102,5200,..,427,28,455,5,459,..,1060,107,1170,15,1185,..,119,3,123,0,127,..,8537,1003,9540,158,9703,..,394,32,433,5,437,..,48,0,50,0,50,..,43,16,52,0,52,..,94,17,108,3,113,..,267,48,316,3,316,..,327,25,346,3,352,..,60,10,74,0,74,..,113,28,139,0,139,..,108,14,121,0,129,..,51,3,55,0,55,..,972,102,1073,15,1088,..,357,72,427,4,432,..,820,24,845,10,852,..,139,6,149,3,148,..,981,26,1008,7,1012,..,204,8,209,0,212,..,2144,71,2211,20,2233,..,592,86,682,3,682,..,372
SOSR212,..,50,22,69,0,69,..,1605,1061,2667,54,2713,..,265,20,292,3,298,..,301,19,318,3,323,..,444,4,451,4,457,..,689,118,814,6,820,..,175,15,189,0,189,..,281,38,319,5,322,..,608,37,646,4,653,..,268,36,304,0,306,..,2340,349,2687,30,2721,..,513,24,541,10,548,..,333,23,359,0,363,..,115,4,118,3,121,..,4638,517,5159,60,5212,..,1827,260,2089,28,2121,..,198,30,228,4,231,..,54,30,80,0,80,..,125,26,149,0,149,..,205,22,225,0,227,..,820,61,880,16,895,..,128,57,182,0,182,..,176,12,184,0,188,..,169,6,183,5,189,..,88,5,97,3,96,..,318,28,345,3,346,..,125,16,138,4,141,..,638,28,666,6,676,..,195,31,220,3,225,..,727,23,750,6,757,..,581,201,785,13,799,..,2141,277,2424,36,2453,..,476,53,530,5,538,..,330
SOSR213,..,63,55,117,0,122,..,1114,529,1646,13,1659,..,254,43,292,0,293,..,273,10,288,5,289,..,417,18,433,4,438,..,519,63,581,3,581,..,79,4,84,0,86,..,130,12,133,0,141,..,481,24,505,7,512,..,257,19,279,7,286,..,1540,146,1683,16,1699,..,359,12,374,3,372,..,281,27,304,6,309,..,69,0,69,0,69,..,3185,244,3424,39,3469,..,1408,204,1616,14,1628,..,151,10,150,0,152,..,38,6,48,0,48,..,66,20,85,0,85,..,151,13,169,0,170,..,417,29,449,6,451,..,74,5,79,0,82,..,228,18,248,3,252,..,81,8,90,0,90,..,101,6,107,0,106,..,187,15,204,0,203,..,154,25,177,4,185,..,584,20,599,6,609,..,151,19,175,7,176,..,714,18,731,0,733,..,331,81,410,3,414,..,1781,144,1917,14,1931,..,388,43,434,7,435,..,233
SOSR214,..,39,12,54,0,54,..,624,396,1015,14,1031,..,142,26,169,0,169,..,164,9,169,0,169,..,328,9,338,3,340,..,393,65,460,12,475,..,65,6,72,0,72,..,84,6,88,0,88,..,243,7,245,0,245,..,148,10,163,0,161,..,688,72,765,13,777,..,142,10,150,3,152,..,127,6,136,5,139,..,37,0,37,0,37,..,1530,119,1652,24,1677,..,898,103,1001,24,1016,..,78,5,82,4,85,..,40,14,56,0,56,..,37,9,43,0,45,..,88,10,96,0,96,..,240,34,271,5,277,..,29,10,36,0,36,..,81,10,90,3,96,..,35,4,43,0,46,..,56,0,55,0,55,..,56,3,55,0,55,..,62,9,73,0,73,..,279,10,294,0,290,..,64,7,73,0,73,..,291,10,298,3,304,..,122,23,145,3,141,..,754,48,804,6,807,..,233,13,248,3,251,..,72
SOSR215,..,38,14,48,0,48,..,556,316,873,13,883,..,134,9,145,7,148,..,260,8,271,9,281,..,500,13,514,3,515,..,384,42,428,11,430,..,28,0,32,0,32,..,39,0,40,0,40,..,204,12,218,0,220,..,171,12,180,0,180,..,592,62,654,8,666,..,167,10,175,0,175,..,86,6,93,5,93,..,29,0,29,0,29,..,1317,102,1423,15,1439,..,992,128,1118,12,1129,..,127,13,144,0,144,..,77,42,122,0,122,..,34,5,42,0,42,..,71,6,78,0,79,..,175,7,185,0,184,..,26,0,25,0,25,..,136,20,157,4,162,..,80,6,86,0,88,..,61,4,71,0,74,..,51,6,54,0,54,..,46,9,56,0,56,..,295,18,308,4,312,..,103,8,112,3,115,..,311,13,323,0,323,..,210,75,284,0,288,..,915,117,1034,9,1044,..,324,15,339,0,345,..,81
SOSR221,..,8,0,8,0,8,..,114,42,152,3,158,..,43,4,39,0,39,..,64,3,67,0,66,..,104,0,104,0,107,..,101,10,111,0,111,..,14,0,14,0,14,..,12,0,12,0,12,..,51,0,54,0,54,..,15,0,16,0,16,..,47,10,50,0,50,..,28,0,31,0,25,..,19,0,19,0,19,..,3,0,5,0,5,..,187,12,198,0,200,..,184,18,203,0,206,..,17,0,21,0,21,..,3,4,4,0,4,..,6,4,9,0,9,..,24,4,27,0,27,..,68,8,76,0,79,..,11,0,11,0,11,..,16,4,19,0,23,..,23,3,31,0,29,..,34,0,34,0,29,..,17,0,17,0,15,..,16,0,18,0,18,..,45,0,47,0,47,..,15,4,13,0,13,..,59,3,59,0,60,..,57,11,65,0,65,..,172,15,191,0,194,..,115,13,131,0,133,..,10
SOSR222,..,9,0,9,0,9,..,104,33,138,0,138,..,17,0,17,0,17,..,36,0,36,0,41,..,78,0,76,4,82,..,52,5,64,0,64,..,4,0,4,0,4,..,0,0,0,0,0,..,11,0,11,0,11,..,17,0,17,0,20,..,17,0,18,0,18,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,73,0,72,0,75,..,102,0,100,3,105,..,10,0,16,0,16,..,7,3,9,0,9,..,6,0,9,0,9,..,12,5,12,0,12,..,15,0,13,0,13,..,0,0,0,0,0,..,20,0,23,0,23,..,3,0,3,0,3,..,15,0,15,0,13,..,4,0,4,0,4,..,17,5,17,0,17,..,65,0,66,0,69,..,12,0,12,0,14,..,60,3,61,0,61,..,20,13,31,0,31,..,157,15,169,5,179,..,84,8,92,0,92,..,3
SOSR231,..,38,20,63,0,63,..,982,510,1498,17,1511,..,397,45,450,4,451,..,433,26,461,7,466,..,1030,20,1055,13,1068,..,897,110,1005,17,1021,..,39,3,40,0,40,..,41,0,46,0,46,..,154,13,167,4,169,..,31,6,30,0,30,..,539,94,631,3,629,..,117,8,122,0,122,..,108,10,113,0,118,..,13,0,10,0,10,..,1033,128,1156,11,1170,..,2395,194,2582,33,2614,..,199,17,215,0,213,..,100,53,151,0,151,..,45,15,61,0,66,..,334,54,384,0,390,..,78,9,87,4,92,..,59,10,66,0,66,..,243,23,265,3,265,..,100,8,109,4,108,..,161,22,187,3,192,..,83,20,106,5,110,..,271,36,309,0,309,..,447,13,460,6,469,..,139,18,155,4,162,..,362,19,381,6,386,..,314,103,416,7,423,..,1263,154,1415,23,1440,..,530,29,562,9,570,..,79
