SOSR_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
SOSR201,137,28,29,28,130138,130354,2881,151,87,63,155546,158734,102477,3722,4729,255,258406,369594,217320,9612,16167,576,98384,342049,183998,12996,27359,1476,59116,284946,156394,10854,31662,3484,34266,236664,123482,6883,21977,7089,14904,174337,72344,2707,9087,10869,4900,99909,21569,569,1817,11309,1384,36647,880601,47515,112926,35162,757038,1833238,206,24,21,21,123650,123919,7049,424,246,48,143429,151199,138744,6245,7760,449,222435,375628,222009,13683,23493,1659,87793,348635,183820,16502,41393,4637,53940,300286,151260,12452,46367,12624,29758,252467,114084,7178,34780,28933,13524,198500,54059,2288,14527,44486,4766,120121,10755,382,3398,42375,1944,58840,881981,59174,171990,135219,681230,1929594,337,55,53,48,253780,254272,9929,581,336,114,298971,309933,241221,9970,12487,701,480835,745220,439328,23295,39659,2231,186175,690688,367816,29495,68751,6117,113054,585234,307655,23301,78030,16108,64031,489125,237570,14061,56761,36018,28425,372835,126403,4991,23612,55357,9665,220034,32321,943,5216,53685,3322,95489,1762580,106685,284910,170382,1438269,3762827
SOSR203,15,9,4,7,11307,11331,202,17,10,10,12855,13088,7273,383,336,28,20279,28291,13154,926,1273,55,7795,23205,12204,1292,2646,131,5530,21800,12178,1155,3362,379,3444,20512,11989,774,2704,847,1549,17873,7035,278,1052,1305,494,10157,2075,61,165,1314,128,3752,66125,4887,11553,4072,63378,150016,9,6,0,3,11088,11105,451,48,11,8,12739,13252,9255,673,506,47,18501,28973,13868,1454,1976,166,7959,25426,12292,1716,4099,468,5406,23981,12490,1448,5286,1246,2967,23437,11261,864,4431,3056,1274,20876,5580,226,1615,4721,495,12629,1132,40,327,4693,208,6406,66329,6480,18243,14399,60635,166091,28,14,4,8,22391,22438,648,68,18,17,25594,26344,16525,1055,841,66,38775,57266,27023,2385,3248,218,15753,48628,24499,3004,6745,600,10928,45780,24668,2608,8645,1622,6409,43953,23252,1638,7135,3900,2822,38749,12610,498,2671,6024,984,22789,3203,105,492,6014,343,10152,132452,11368,29795,18476,124011,316110
SOSR211,0,4,0,0,3534,3547,87,7,4,4,3487,3584,2997,156,176,5,5377,8713,5090,369,504,13,2365,8335,3526,383,861,38,1467,6266,3138,295,902,125,703,5168,2929,249,674,253,290,4391,1337,72,258,233,84,1982,268,7,41,157,10,487,19374,1545,3405,828,17322,42480,5,0,0,0,3295,3305,209,20,3,0,3086,3319,4232,316,233,19,4719,9515,4911,563,678,69,2312,8546,3300,511,1188,156,1318,6478,3091,397,1288,356,584,5722,2656,247,976,848,182,4900,925,68,332,876,45,2255,132,4,52,570,22,780,19467,2136,4748,2898,15573,44812,12,4,0,0,6834,6850,297,27,7,0,6569,6904,7225,470,414,28,10097,18229,10002,931,1180,80,4680,16879,6825,894,2051,197,2786,12751,6231,695,2188,480,1288,10892,5585,496,1650,1100,472,9296,2264,145,588,1108,129,4235,401,9,91,727,30,1265,38836,3675,8159,3726,32892,87292
SOSR212,6,0,0,0,7842,7851,123,10,8,3,7138,7275,4833,277,199,12,11463,16783,9528,657,901,39,5075,16199,9516,911,1847,108,3450,15841,9561,777,2298,259,2027,14923,9333,474,1819,578,969,13180,5081,192,716,900,314,7207,1444,28,110,781,98,2451,49427,3322,7890,2685,38374,101705,9,0,4,5,7400,7411,271,24,6,10,6804,7109,6248,466,327,30,10881,17952,10072,1005,1319,111,5153,17655,9710,1192,2854,304,3160,17225,9668,990,3447,885,1951,16943,8802,539,2715,2187,733,14981,3935,164,1060,3208,249,8611,742,25,227,3075,111,4177,49446,4412,11956,9806,36442,112074,12,6,4,5,15239,15267,390,31,12,13,13944,14390,11087,740,523,46,22348,34739,19601,1659,2224,153,10228,33856,19231,2108,4703,414,6614,33063,19227,1771,5742,1148,3978,31866,18139,1012,4535,2766,1701,28154,9015,353,1771,4104,567,15815,2187,50,333,3852,211,6635,98877,7735,19849,12491,74821,213775
SOSR213,0,0,0,3,7182,7189,140,14,4,5,6430,6587,4539,259,191,16,10292,15291,7976,588,813,31,4768,14183,7836,860,1784,105,3626,14217,8787,796,2388,277,2335,14588,9427,629,2189,642,1149,14037,5991,237,831,997,364,8420,1572,49,166,1003,107,2897,46273,3437,8363,3085,36251,97402,10,4,0,3,6623,6636,244,41,8,5,6061,6360,5722,428,327,39,9574,16087,8293,861,1287,106,4813,15359,8269,1165,2682,277,3272,15658,9007,968,3517,913,1890,16290,9078,647,2790,2296,838,15650,4631,157,1177,3820,268,10056,864,33,247,3561,116,4820,46118,4295,12031,11022,33460,106926,11,6,0,8,13807,13824,386,52,12,10,12491,12946,10262,687,516,53,19865,31377,16268,1451,2094,136,9586,29543,16105,2024,4461,386,6894,29876,17798,1763,5907,1189,4220,30880,18506,1269,4974,2942,1993,29687,10615,396,2009,4815,636,18476,2436,76,416,4559,222,7715,92387,7725,20395,14107,69708,204331
SOSR214,0,0,0,0,3813,3819,45,0,3,3,3390,3443,2036,117,88,10,5370,7627,3845,298,430,13,2656,7239,4134,483,963,64,2252,7895,5274,526,1568,197,1641,9208,6860,490,1520,529,844,10239,4417,207,667,830,275,6397,1126,35,128,805,87,2180,27747,2156,5363,2451,20326,58042,3,0,0,0,3499,3501,101,13,0,0,2989,3105,2589,220,191,21,4899,7917,4180,464,627,48,2594,7912,4395,644,1547,165,2042,8788,5685,623,2183,556,1368,10424,6722,478,2149,1557,598,11496,3372,160,859,2536,227,7159,592,15,182,2637,96,3524,27639,2621,7747,7512,18306,63822,5,0,5,3,7309,7320,143,13,5,4,6376,6544,4624,334,283,29,10271,15546,8029,756,1059,65,5246,15155,8528,1126,2509,223,4292,16679,10963,1150,3755,757,3015,19633,13584,971,3663,2078,1442,21732,7794,368,1527,3370,500,13555,1718,59,311,3437,178,5699,55387,4775,13110,9967,38633,121867
SOSR215,5,0,0,0,6013,6021,83,10,0,7,4937,5036,3359,169,127,10,8329,11998,6713,480,670,28,4183,12071,7120,747,1518,105,3574,13059,8703,776,2515,303,2648,14946,9749,698,2449,748,1380,15028,5640,254,1013,986,459,8357,1418,47,142,983,116,2708,42786,3181,8446,3175,31635,89222,3,3,0,0,5578,5588,171,13,5,5,4392,4582,4408,298,270,21,7497,12503,7195,724,977,97,4039,13034,7492,899,2290,269,3083,14035,9239,900,3315,866,1978,16302,9213,552,2916,2119,927,15740,4272,178,1056,3478,342,9321,752,43,185,3354,102,4441,42743,3604,11032,10215,27947,95544,5,4,3,5,11594,11608,256,21,9,5,9329,9623,7766,469,400,35,15823,24498,13907,1204,1654,127,8220,25102,14608,1644,3805,372,6660,27085,17939,1676,5833,1174,4633,31245,18966,1253,5372,2869,2308,30765,9914,429,2073,4461,805,17677,2170,86,331,4346,221,7150,85534,6786,19476,13389,59584,184765
SOSR221,0,0,0,0,1569,1569,17,5,0,0,1235,1257,817,41,36,0,1963,2858,1850,121,188,6,1078,3249,2084,224,463,26,1010,3797,2782,282,828,91,842,4832,3020,307,849,209,448,4826,1502,99,291,291,137,2311,325,10,44,238,44,653,12391,1083,2699,853,8332,25357,0,0,0,0,1534,1537,34,4,0,0,1059,1103,1089,68,56,8,1788,3016,2014,175,226,23,993,3431,2282,268,593,62,827,4032,2929,257,970,226,604,4990,2762,176,736,551,248,4478,1101,44,259,778,67,2240,177,11,48,733,28,1002,12391,1008,2891,2385,7149,25825,0,0,0,0,3105,3103,49,6,0,0,2294,2351,1906,109,96,13,3750,5867,3863,298,417,30,2074,6681,4365,491,1051,85,1838,7831,5710,547,1799,311,1451,9819,5782,486,1583,758,693,9308,2598,140,547,1067,207,4555,503,21,93,969,69,1658,24781,2093,5591,3239,15476,51183
SOSR222,0,0,0,0,849,848,15,0,0,0,725,737,364,17,25,0,1229,1640,933,66,93,0,646,1736,1189,117,261,14,618,2200,1498,178,496,54,536,2760,1538,156,468,124,237,2525,714,42,155,143,62,1122,155,0,30,94,16,298,6414,569,1529,429,4921,13866,0,0,0,6,831,831,22,3,0,0,661,685,517,33,23,0,1048,1631,1057,98,124,10,573,1872,1208,129,329,44,512,2212,1697,127,483,141,355,2803,1309,98,387,272,124,2187,536,13,119,397,35,1106,67,0,27,311,9,414,6413,509,1496,1177,4159,13745,0,0,0,6,1677,1684,31,6,0,0,1382,1426,885,48,50,3,2287,3270,1991,159,216,11,1229,3606,2398,247,590,53,1128,4415,3198,302,976,189,896,5566,2852,254,858,386,363,4713,1247,62,273,538,95,2229,227,0,54,405,23,714,12825,1076,3025,1598,9081,27613
SOSR231,5,5,0,0,13738,13752,189,17,4,3,10228,10442,5380,232,232,16,13401,19262,13735,864,1216,56,7545,23421,19388,1492,3298,205,7007,31393,24209,1673,5200,694,5207,36977,22171,1401,4802,1341,2498,32210,9708,440,1554,1544,716,13965,1658,58,157,917,135,2926,96445,6188,16472,4781,60466,184354,11,4,0,8,12611,12624,239,15,4,3,8502,8759,6812,318,308,31,10935,18401,15254,862,1305,109,5895,23422,20999,1319,3404,471,5183,31378,24688,1287,4852,1456,3221,35508,19426,681,3393,2695,1295,27492,6702,150,984,3191,292,11317,727,12,130,2108,54,3033,94845,4652,14375,10069,47989,171931,14,10,4,8,26339,26374,423,33,12,8,18729,19202,12189,550,543,47,24328,37655,28988,1726,2528,160,13439,46846,40385,2810,6696,680,12195,62773,48893,2964,10048,2151,8428,72485,41599,2080,8189,4035,3794,59700,16410,591,2541,4732,1010,25286,2378,73,289,3024,192,5963,191293,10836,30850,14844,108455,356286
