SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR201,245,3087,96,54142,385,80,159,219,226,372,117,258,159,1051,10601,13630,322,87,205,209,99,158,41,151,107,2340,2479,6196,106504,21157,2765,58749,8234,41178,4209,29685,5062,134262,15133,426935
SOSR203,18,184,5,2602,28,4,13,33,11,23,6,22,15,125,1059,1350,25,12,17,18,8,12,8,11,12,311,221,646,7708,2003,252,5979,704,3158,421,2916,530,14359,1514,39549
SOSR211,3,18,0,365,10,0,4,3,4,8,0,10,6,24,277,349,10,0,11,10,0,3,4,0,3,60,80,176,2044,368,67,1325,193,1038,97,607,139,3153,421,9440
SOSR212,18,175,6,2042,24,8,10,25,6,21,10,20,6,97,760,989,17,9,8,18,7,14,3,13,11,217,197,516,5337,1253,202,3893,515,2318,297,1972,392,10602,1132,27903
SOSR213,17,120,0,1403,24,0,10,19,15,21,6,25,14,113,817,1063,23,8,15,23,4,17,0,14,12,283,216,616,4522,1207,196,3822,473,2251,298,2121,427,11592,1221,28131
SOSR214,9,95,6,811,11,0,6,9,3,16,6,16,5,62,572,704,12,9,3,15,0,4,0,11,4,214,138,426,2427,881,144,2085,279,1235,209,1451,292,8593,888,18492
SOSR215,9,153,3,1446,16,9,5,31,10,24,0,25,14,112,815,1062,20,9,21,13,0,13,4,5,17,277,242,617,4042,1295,241,3514,471,2112,334,2142,401,11305,1241,27098
SOSR221,6,51,0,402,4,3,0,3,0,11,0,4,0,27,239,291,13,3,11,9,4,4,0,8,4,97,63,212,1035,452,81,1027,131,632,95,697,140,3330,363,7997
SOSR222,0,20,0,194,3,5,0,0,5,5,0,3,0,11,141,176,5,6,0,3,0,3,0,3,0,35,31,93,586,234,47,512,80,386,62,360,76,1595,193,4130
SOSR231,58,385,7,4608,73,19,20,71,27,100,12,69,29,203,1725,2359,128,52,69,96,25,46,19,41,36,410,414,1342,10047,3665,773,8659,1109,4843,796,4697,1049,17692,2532,55871
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
