SOSR_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOSR201,191,576,1482,1419,1411,1090,468,183,11,6834,13,79,501,763,772,588,148,24,5,2884,1762,6169,20867,24865,26355,20947,4921,526,45,106462,119,703,3621,4928,3589,2434,511,48,8,15968,6086,19448,50324,40262,31699,20038,4778,504,30,173168,645,2592,8297,10614,10942,8040,2118,284,34,43576,10281,17329,23697,18418,14245,9830,3206,456,25,97490,15032,13288,16862,10735,6497,4692,1264,159,14,68546,914,5890,20227,20755,17054,14528,3952,316,10,83635,418,1698,6256,8224,5655,3005,617,88,5,25966,171,3287,15328,19568,12816,6197,1598,286,49,59302,205,1149,4575,4872,3815,2609,1089,278,29,18623,571,6966,35046,37319,24782,14946,5902,1121,52,126703,779,3599,9957,8330,7448,5703,1878,273,10,37987,543,3601,14815,15834,13787,10318,2816,336,18,62068,1774,4618,14490,13951,11267,9220,3229,355,17,58924,786,4874,19242,17171,14238,11312,4239,596,36,72495,2062,2961,5804,4443,3200,2015,780,129,5,21411,993,3593,9449,8602,8203,6435,2069,347,21,39710,1724,6132,17886,15835,12691,9054,2575,522,107,66528
SOSR203,66,129,335,299,301,237,132,45,6,1549,16,84,376,304,265,158,30,0,0,1238,248,754,2258,2002,2161,1731,337,25,3,9517,16,49,388,380,358,328,38,0,0,1559,864,2224,4847,3339,2420,1847,402,36,4,15992,71,229,537,583,674,543,132,21,0,2799,1186,1506,1926,1325,1151,870,335,34,0,8333,1793,1094,1391,716,441,330,118,12,0,5901,61,295,1101,1030,1044,1161,404,38,0,5132,36,105,281,303,265,129,38,5,0,1164,10,147,558,691,569,277,86,16,0,2353,9,81,236,226,204,199,67,17,0,1040,29,364,1446,1356,1072,675,321,48,10,5316,72,228,548,491,482,432,161,12,0,2432,22,229,1242,1493,1473,1084,250,29,3,5820,117,337,1324,1359,1126,979,290,16,0,5547,70,573,1999,1693,1606,1232,386,37,0,7605,173,241,384,230,230,155,66,11,0,1485,126,361,803,640,580,515,159,28,0,3219,176,435,1006,776,769,601,169,58,14,3996
SOSR211,8,22,55,47,49,30,11,12,0,242,0,0,18,35,30,10,3,0,0,102,76,235,688,807,649,461,101,6,0,3024,6,22,99,110,94,72,10,0,0,408,247,662,1476,976,699,446,89,5,0,4598,24,51,210,261,209,149,40,5,0,946,253,350,589,480,314,193,65,5,0,2254,425,203,251,176,96,58,19,0,0,1233,29,144,947,1023,674,553,143,8,0,3523,7,10,72,110,39,12,9,0,0,267,3,28,117,180,96,39,9,0,0,473,0,27,83,75,49,29,8,0,0,269,10,55,248,344,157,88,52,4,0,967,24,70,183,212,149,128,34,13,0,809,96,194,519,531,416,284,61,4,0,2106,29,57,197,229,189,136,52,8,0,885,8,62,324,342,274,193,41,7,0,1252,28,28,56,51,54,18,13,0,0,258,58,126,301,242,187,137,55,5,0,1114,54,156,420,402,280,169,42,4,3,1523
SOSR212,66,188,580,507,477,386,157,50,7,2421,3,27,79,134,117,106,15,0,0,484,179,441,1267,1385,1490,1234,252,20,0,6261,4,63,344,415,456,381,65,4,0,1738,657,1414,3128,2499,2025,1409,326,28,0,11487,55,123,379,460,491,445,100,11,0,2066,913,759,1084,866,826,674,221,33,0,5381,1228,533,666,478,350,256,128,13,0,3651,54,215,704,862,1004,1028,306,32,0,4210,25,74,158,148,157,109,28,3,0,702,8,54,215,345,344,181,74,6,0,1230,12,37,135,147,163,124,72,14,0,707,44,151,685,785,706,506,273,36,0,3178,42,104,346,368,359,312,106,14,0,1642,26,152,773,950,999,744,187,19,0,3849,81,151,722,765,625,583,186,10,0,3120,46,231,927,961,872,723,221,26,0,4007,99,90,156,178,154,130,34,10,0,855,101,233,541,454,427,374,150,24,0,2303,131,253,679,647,636,421,115,26,9,2916
SOSR213,91,182,540,427,349,364,217,90,16,2281,4,18,86,128,139,109,23,5,0,505,222,527,1445,1404,1565,1218,267,21,3,6669,10,46,259,308,344,343,52,3,0,1366,637,1316,3035,2154,1739,1289,328,15,7,10526,59,111,331,396,473,404,113,19,0,1897,770,618,923,785,728,621,230,30,5,4713,1054,496,487,404,264,223,84,7,0,3026,54,126,614,762,900,1027,312,40,4,3837,23,58,147,133,128,86,27,4,0,612,4,32,157,258,212,151,41,10,4,865,11,31,86,110,103,93,51,16,0,509,28,117,476,589,502,352,203,32,0,2302,56,118,287,317,316,303,118,24,0,1548,14,124,849,930,886,777,161,17,0,3762,48,127,503,557,519,461,192,18,0,2421,41,189,703,708,709,658,198,19,3,3223,81,69,139,127,125,78,41,5,0,676,133,260,563,479,429,410,136,28,3,2428,126,236,622,544,549,435,151,33,10,2696
SOSR214,68,113,303,244,239,220,156,59,7,1404,3,23,90,66,74,57,11,0,0,320,124,302,755,725,778,676,170,15,5,3547,3,13,125,117,151,171,27,3,0,610,320,700,1592,1195,1048,898,245,11,0,6017,41,70,170,193,237,204,67,12,0,999,383,327,447,368,386,349,144,27,0,2426,460,247,318,242,203,180,72,8,0,1735,23,65,262,326,391,511,202,18,0,1797,9,17,59,63,58,61,23,8,0,294,3,16,68,103,102,72,29,8,0,399,8,17,55,70,70,67,44,13,0,334,11,47,223,251,233,222,149,36,4,1176,16,51,126,182,197,198,65,13,5,840,27,90,392,411,552,465,138,15,0,2086,20,57,236,286,274,273,101,10,0,1248,28,77,318,310,332,408,138,13,0,1631,43,39,81,68,78,79,57,3,0,450,69,113,238,224,263,272,83,9,0,1270,89,117,283,264,306,269,130,37,8,1495
SOSR215,122,260,695,532,606,571,326,116,25,3248,4,29,97,120,128,99,17,7,0,498,179,391,1050,1113,1225,1195,282,24,0,5460,9,46,213,257,274,298,50,0,0,1152,576,1134,2784,2185,1774,1431,344,35,0,10267,45,94,243,358,399,369,96,13,0,1621,647,384,577,578,600,584,226,31,0,3636,647,331,430,348,326,302,137,29,0,2545,35,112,455,648,808,868,375,37,0,3344,16,24,83,97,104,79,15,5,0,422,0,18,77,148,199,116,59,18,0,635,3,16,55,93,104,95,50,12,5,433,29,83,310,477,428,401,263,52,0,2048,34,96,257,296,322,275,120,17,0,1418,25,98,570,657,746,739,186,9,0,3028,40,83,367,482,455,459,171,16,0,2074,28,123,383,411,476,596,217,23,0,2253,57,62,135,151,166,127,43,9,0,751,97,211,481,381,429,408,164,28,3,2205,114,189,546,485,571,498,191,54,9,2663
SOSR221,46,96,205,174,200,235,140,39,6,1132,5,8,40,44,32,37,9,0,0,177,53,93,238,281,323,284,75,9,0,1359,3,7,41,88,98,92,12,0,0,346,156,286,620,636,550,483,92,5,0,2840,20,23,71,87,102,111,49,8,0,471,153,116,145,159,150,175,58,4,0,959,180,73,86,81,75,92,40,4,0,635,12,35,116,126,217,252,84,8,0,852,0,6,22,16,26,35,10,0,0,106,0,5,30,45,42,32,17,4,0,174,0,3,19,28,29,33,14,5,0,128,5,29,73,104,126,130,84,10,0,570,7,26,64,77,78,94,36,3,0,390,0,16,129,198,263,216,58,4,0,880,10,16,108,138,135,148,69,0,0,630,10,20,91,98,130,159,56,5,0,573,19,9,30,46,45,52,19,7,0,224,32,49,117,95,116,124,40,3,0,580,39,46,100,119,144,146,43,15,5,662
SOSR222,17,43,96,133,127,140,70,24,4,654,0,5,19,14,27,20,7,0,0,87,19,42,130,144,171,175,43,3,0,730,0,7,26,34,49,39,7,0,0,158,62,133,278,273,292,269,70,4,0,1381,13,18,32,33,58,48,19,0,0,214,59,40,70,69,83,79,37,10,0,448,88,62,129,76,81,91,29,4,0,570,10,25,73,93,114,161,64,10,0,545,0,3,9,12,16,11,8,0,0,53,0,0,7,20,28,17,8,0,0,86,3,4,6,16,18,10,10,0,0,78,8,9,42,62,66,68,41,5,0,300,5,11,45,43,56,54,27,0,0,238,0,3,53,95,136,151,31,0,0,475,4,12,49,75,80,85,40,0,0,340,8,9,40,38,85,86,34,0,0,301,3,20,19,26,27,34,11,3,0,146,16,21,67,65,60,77,18,8,0,329,21,43,80,62,98,72,38,11,3,425
SOSR231,804,1210,2983,3534,4561,5767,4450,1742,272,25316,22,53,215,409,365,310,70,5,0,1449,431,628,1273,1682,2563,2435,713,111,4,9851,19,58,267,423,609,610,127,9,0,2134,1376,2152,3548,3967,4506,3606,982,89,5,20227,151,176,388,598,818,866,281,46,0,3327,1184,717,632,700,965,967,378,56,12,5610,1258,427,362,310,452,490,237,34,5,3585,89,212,608,967,1573,1938,672,68,6,6128,28,44,85,136,214,171,46,6,0,725,8,47,118,249,345,272,113,30,5,1187,24,56,108,144,247,242,123,24,5,974,63,198,468,802,1150,1075,624,97,7,4487,83,166,306,415,562,624,210,26,0,2389,149,350,803,1090,1543,1380,368,30,0,5714,101,163,396,650,862,896,389,36,0,3489,71,172,435,571,886,1171,507,43,3,3863,130,111,228,249,330,368,156,21,0,1599,305,413,673,721,928,943,340,42,0,4367,359,448,707,841,1189,1153,550,262,45,5558
