SOSR_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOSR201,4392,10067,8055,7691,6713,5039,2582,553,45100,6960,27470,35320,15887,7375,2729,365,35,96134,12548,53290,50761,46747,44566,32574,17895,5537,263920,9434,28813,21892,18246,13052,8055,4594,1401,105490,1229,4127,4086,3530,2583,1429,635,185,17803,3557,16797,12783,9813,7719,5074,2270,803,58813,1281,7698,6783,6326,6807,6504,3278,835,39512,13688,58090,62456,45675,30136,18435,7450,1901,237828,7255,24711,21260,17999,13505,10102,4117,982,99935,6316,17709,12956,7246,4021,2185,954,257,51639,3622,12332,11875,6517,4244,2049,1014,251,41904,430,409,273,150,140,135,83,20,1645,1266,4448,5314,4289,3032,1920,914,301,21486,16435,28084,22524,17460,13678,11043,9400,5343,123960,88409,294048,276333,207579,157583,107274,55546,18407,1205173,6180,13358,12203,8664,5455,2967,977,297,50097,1900,11095,12632,5619,2966,1011,163,18,35408,1725,9888,8990,5333,3819,2247,1545,831,34367,1667,6458,4714,3042,1641,626,216,60,18424,1156,2772,2435,1707,1133,470,141,44,9856,13393,52424,38848,29121,22792,15517,7362,2790,182251,5662,29034,27284,25458,22854,19269,8635,2137,140339,15031,72077
SOSR203,233,506,449,410,339,324,160,34,2450,334,1205,1188,562,324,185,28,5,3830,1281,4560,3420,3607,3679,3166,1714,512,21930,1150,3496,2242,1588,1398,953,522,189,11538,186,521,528,483,395,290,176,48,2637,354,1579,1234,1071,857,559,229,72,5949,140,970,881,787,863,1044,591,115,5394,671,2577,2982,2447,1905,1377,475,107,12539,598,1667,1384,1313,1022,835,305,73,7198,466,898,725,431,256,249,89,18,3137,296,1061,909,609,429,252,110,40,3721,28,36,17,16,13,8,4,0,117,63,327,351,329,210,185,88,25,1587,1632,2062,1550,1543,1375,1302,1165,671,11300,7429,21480,17873,15200,13069,10720,5659,1907,93333,286,663,558,417,259,134,42,8,2379,58,307,290,172,140,78,15,0,1061,162,464,342,314,210,149,78,70,1787,120,445,240,182,95,45,10,5,1134,159,296,246,206,118,42,27,4,1098,1603,5483,3907,3052,3058,2284,971,353,20711,630,2842,2774,2320,2104,2149,997,279,14095,881,3700
SOSR211,35,77,116,89,42,50,14,0,426,80,357,527,151,66,32,3,0,1219,410,1435,1417,1153,1035,829,343,80,6712,364,787,533,354,280,226,92,14,2642,37,124,151,104,65,65,18,4,566,60,236,231,155,113,69,35,3,906,31,135,154,129,142,163,59,7,815,141,887,1024,594,404,266,84,11,3408,176,453,441,301,204,121,47,5,1748,77,185,125,53,29,27,12,3,502,110,424,415,156,91,63,25,0,1292,19,15,0,3,5,0,0,0,41,31,102,146,77,50,41,22,6,487,592,829,737,534,410,352,237,71,3764,2160,6048,6015,3865,2947,2300,990,216,24535,40,168,153,81,37,21,0,0,502,12,228,203,51,28,25,5,0,545,42,160,146,78,65,38,13,3,557,24,63,61,28,10,7,0,0,190,19,75,66,40,23,9,4,3,238,267,1164,829,587,473,338,122,28,3805,186,822,786,504,328,269,90,8,2999,280,1374
SOSR212,90,240,254,245,217,228,77,24,1378,137,439,544,311,168,87,14,0,1702,798,2748,2753,2747,2832,2393,1158,309,15738,615,2008,1590,1261,992,734,304,100,7599,114,410,493,474,360,228,108,27,2216,137,737,778,606,520,367,128,31,3311,86,583,583,473,562,701,313,69,3370,340,1407,1784,1638,1336,1057,346,64,7969,344,948,838,807,627,434,182,31,4206,184,441,367,249,122,118,44,12,1532,191,588,573,464,307,179,113,10,2438,19,30,15,13,7,3,0,0,88,52,176,236,219,167,116,52,15,1037,1108,1365,1332,1250,1113,1021,964,519,8674,4225,12120,12148,10753,9332,7671,3809,1215,61266,132,296,357,272,182,97,35,3,1387,11,135,143,80,65,43,8,0,493,44,191,197,192,126,85,47,28,906,37,165,152,105,65,24,10,0,562,79,224,231,143,102,45,23,6,850,787,2937,2451,2008,2025,1380,640,207,12424,423,1903,2020,1748,1589,1496,600,120,9908,549,2334
SOSR213,54,173,209,194,158,176,100,16,1082,123,423,508,269,168,107,33,3,1624,823,2680,2530,2747,2919,2707,1404,366,16181,596,1933,1406,1103,1027,772,427,118,7380,125,425,444,416,350,282,156,43,2237,98,575,462,447,457,306,114,35,2498,63,387,444,363,473,666,369,89,2862,256,1099,1355,1223,1042,832,332,76,6213,233,770,733,717,581,486,184,40,3743,167,359,303,209,148,139,50,17,1394,194,584,555,427,292,231,101,24,2399,14,14,17,11,12,12,4,0,76,52,183,210,199,170,128,80,23,1047,946,1254,1110,1141,1015,1108,1017,601,8196,3744,10851,10287,9460,8824,7952,4372,1444,56936,79,250,281,191,154,88,20,5,1068,20,122,124,82,75,45,12,0,484,58,173,173,155,131,79,50,44,869,39,116,111,91,71,30,5,3,473,98,188,218,177,105,49,23,0,857,676,2529,1973,1745,1859,1525,732,223,11264,380,1655,1582,1367,1260,1340,734,144,8460,508,2110
SOSR214,20,70,97,122,126,164,66,11,671,60,185,208,102,90,87,16,0,743,390,1344,1289,1452,1673,1824,1026,258,9247,331,997,756,660,693,647,329,114,4538,96,227,284,279,251,189,100,51,1476,46,251,227,167,244,255,85,32,1312,43,195,248,232,285,480,285,41,1810,104,514,608,585,625,669,261,39,3418,136,336,324,369,391,375,172,37,2135,85,174,166,129,98,111,44,5,802,124,327,318,259,221,154,63,14,1478,6,16,5,8,0,3,3,0,44,16,70,108,113,123,109,51,16,596,550,661,629,696,797,896,873,433,5540,2005,5360,5256,5173,5604,5961,3373,1072,33808,27,127,147,122,99,87,24,9,651,5,48,56,47,52,34,9,0,259,49,93,85,104,82,63,41,23,547,13,53,52,45,50,25,9,0,240,62,138,140,124,101,34,19,6,624,312,1220,1041,974,1180,1123,522,168,6546,172,816,841,778,832,1063,516,127,5135,248,984
SOSR215,39,117,151,195,192,238,120,19,1061,77,217,298,184,147,105,18,0,1049,669,2375,2268,2505,2907,2756,1329,335,15146,535,1847,1437,1069,1067,845,378,123,7297,167,501,543,521,446,350,163,43,2735,77,328,325,336,398,351,142,21,1987,44,284,372,368,505,704,329,57,2660,145,694,954,989,995,885,368,59,5094,177,495,508,580,572,560,227,43,3160,125,260,251,201,171,133,60,11,1211,183,443,470,424,347,224,101,26,2205,9,18,7,10,0,5,0,0,52,34,118,198,186,189,138,66,16,949,1034,996,1107,1167,1360,1456,1094,509,8719,3313,8685,8901,8734,9309,8736,4382,1263,53319,47,206,225,239,174,124,42,10,1069,11,59,88,87,97,54,10,0,404,55,144,150,136,129,99,65,29,809,34,105,99,79,68,47,17,3,443,110,289,281,233,174,79,23,6,1207,458,1838,1609,1585,1855,1585,671,251,9852,305,1393,1399,1313,1346,1536,724,130,8150,300,1512
SOSR221,3,29,47,49,55,87,27,6,315,19,56,78,56,46,37,9,0,301,149,605,642,737,959,850,375,74,4394,131,414,427,372,380,274,116,32,2152,61,136,182,180,177,95,52,13,889,12,67,79,96,129,105,33,12,540,8,87,119,119,163,252,97,11,869,24,168,259,250,283,257,78,13,1333,36,119,146,160,176,215,66,17,927,34,65,80,61,75,63,13,5,401,26,79,113,102,113,69,26,6,526,3,0,0,0,3,0,0,0,14,8,17,42,59,53,30,19,7,244,257,248,301,383,430,501,325,130,2578,781,2090,2529,2624,3055,2835,1248,319,15484,8,29,64,71,53,26,4,0,260,4,8,14,28,25,19,5,0,105,9,18,41,56,50,28,19,9,224,4,29,22,28,17,17,6,0,119,26,93,74,67,70,22,8,0,355,124,441,387,439,619,426,185,52,2670,75,360,416,386,408,471,191,41,2344,77,362
SOSR222,4,23,28,36,20,42,7,5,166,3,27,34,29,27,8,0,0,138,85,335,306,390,507,427,180,28,2256,66,198,202,187,238,138,45,18,1094,26,72,117,105,94,60,22,8,505,6,26,38,58,67,37,7,0,244,9,34,69,72,86,109,41,3,419,15,76,129,159,146,142,31,8,692,25,72,76,85,89,80,27,4,459,22,35,40,39,37,26,15,0,212,20,66,80,67,64,40,9,3,356,0,6,0,0,0,0,0,0,12,3,20,26,36,41,35,14,4,168,226,195,176,237,280,296,169,71,1647,508,1179,1329,1499,1683,1439,569,148,8361,0,27,34,46,21,18,8,0,151,0,3,9,10,20,10,0,0,44,7,27,33,26,21,13,8,0,134,9,21,16,16,8,4,0,0,77,20,51,52,54,37,12,3,0,236,71,231,243,247,343,213,74,14,1439,35,173,184,216,238,192,86,21,1138,44,187
SOSR231,93,221,302,450,552,574,232,27,2454,135,258,427,430,354,209,28,0,1846,1537,3812,4798,6415,7476,5671,2137,314,32162,1019,2396,2551,2904,2693,1763,661,107,14095,630,1485,2084,2522,2559,1388,426,75,11174,122,415,504,682,1012,808,261,44,3849,68,335,559,701,1000,1415,481,45,4602,322,990,1517,2107,2187,1760,562,60,9510,322,601,714,1013,1152,1191,349,44,5392,205,359,392,390,321,337,100,10,2115,178,394,504,631,612,322,118,11,2777,13,22,15,12,5,5,3,6,76,71,159,295,419,408,310,108,21,1793,2397,2111,2562,3248,3689,3434,1915,533,19879,7102,13561,17229,21918,24029,19190,7385,1310,111724,135,346,559,659,514,318,70,11,2603,12,52,135,192,188,104,16,0,701,95,252,311,392,337,162,87,33,1665,50,147,213,229,159,78,27,5,900,458,926,1086,1018,795,279,63,13,4633,945,2827,3205,3917,4566,2961,947,198,19563,410,1788,2345,2753,3076,3178,1017,122,14683,586,2234
