SOSR_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR201,6202,12802,11400,5990,15964,14045,3686,6380,756,77220,3856,11558,9921,6057,23805,22459,4396,9117,18458,109617,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
SOSR203,421,1141,880,463,1289,1181,272,556,49,6251,297,791,533,363,1166,1177,256,619,1153,6359,10093,29463,22780,16008,37811,36134,10191,18471,2525,183465
SOSR211,131,261,244,109,442,381,93,170,19,1855,86,237,175,141,537,444,95,141,513,2367,2472,6352,5362,4047,11840,10534,2731,4697,1101,49147
SOSR212,348,788,616,333,973,851,220,404,54,4591,218,537,387,253,811,867,192,474,938,4677,6864,18176,14284,10449,25690,25356,7508,13239,2106,123674
SOSR213,286,726,564,340,921,932,224,467,48,4512,192,471,321,258,781,802,179,392,789,4193,5950,17028,13326,9785,22517,22144,6196,11564,1913,110423
SOSR214,166,401,301,180,409,480,131,228,38,2330,150,312,200,137,384,421,84,212,480,2385,3808,9691,7346,5340,11123,11698,3216,6271,1193,59685
SOSR215,273,630,446,292,670,814,242,424,77,3870,236,543,339,207,725,767,175,415,817,4222,6068,14976,11704,8365,17710,19134,5559,11127,2096,96731
SOSR221,53,158,136,83,164,197,58,124,16,982,85,132,98,51,185,176,28,110,217,1074,1693,4382,3280,2373,4542,5147,1425,3133,587,26552
SOSR222,38,91,61,35,118,110,31,67,15,572,43,76,43,43,101,108,33,70,149,674,1001,2264,1807,1260,2513,2727,844,1789,362,14558
SOSR231,459,1257,908,544,1227,1597,373,1064,123,7549,554,1194,797,505,1181,1628,405,1092,2017,9381,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOSR299,7,4,5,3,11,15,0,0,4,56,20,10,10,8,17,19,0,7,36,126,164,300,218,132,329,340,91,164,69,1797
