SOSR_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOSR201,317061,630357,268429,237562,293250,189209,128895,176135,45239,2286127
SOSR203,19774,42051,25114,25506,21249,16900,10719,19196,2962,183465
SOSR211,4268,7034,7376,6977,6236,4480,5980,5722,1071,49147
SOSR212,14859,25561,17852,15745,15078,11535,7241,13597,2207,123674
SOSR213,11814,19655,17034,15334,12799,10227,7701,13837,2027,110423
SOSR214,6811,9912,9430,8311,6697,5573,3785,7970,1200,59685
SOSR215,12178,16212,16128,12503,10739,8114,7028,11905,1926,96731
SOSR221,3561,4557,4400,3271,2986,2218,1880,3176,502,26552
SOSR222,2014,2396,2349,1839,1493,1106,1167,1899,296,14558
SOSR231,49603,32892,31088,20303,21775,13827,13365,23534,4329,210724
SOSR279,0,4,0,0,0,0,0,4,0,15
SOSR299,174,334,250,227,143,129,177,308,49,1797
