SOSR_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOSR201,51986,25073,26284,51355,24986,26643,51629,25442,26329,51779,24507,25774,50281,125304,131720,257023,24102,25520,49622,22849,24830,47680,22359,24030,46393,21388,23307,44704,20657,23054,43710,111352,120744,232099,20481,22347,42831,19443,21673,41112,18167,20726,38895,17890,20199,38090,17229,19700,36933,93208,104647,197859,16812,19542,36355,16298,18911,35210,15655,18152,33805,15821,18400,34223,16545,18845,35382,81118,93851,174972,13774,15596,29370,12670,14632,27299,11908,13951,25861,10432,12446,22883,10310,12146,22456,59100,68774,127870,40815,51351,92163,23478,33987,57467,10508,18461,28971,2447,5609,8053,216,781,1001,2255791,2329751,4585537
SOSR203,4165,2098,2257,4359,2170,2384,4555,2146,2408,4556,2087,2438,4528,10457,11711,22170,2029,2448,4473,2024,2329,4356,2021,2368,4393,1992,2340,4331,1995,2241,4234,10059,11726,21785,1930,2230,4158,1885,2121,4009,1957,2186,4140,1764,2178,3940,1784,2094,3878,9314,10807,20124,1733,2044,3782,1788,2010,3797,1665,1955,3621,1587,1939,3529,1781,2124,3905,8557,10073,18630,1365,1590,2953,1240,1527,2770,1245,1502,2747,1088,1302,2385,1087,1306,2396,6021,7228,13258,4133,5402,9535,2396,3608,6000,1096,2097,3197,241,640,877,19,61,78,185970,200267,386231
SOSR211,1092,544,582,1126,528,584,1112,532,601,1131,582,584,1166,2733,2891,5627,526,610,1135,460,600,1059,498,551,1049,468,543,1009,482,530,1009,2428,2831,5262,479,553,1034,536,554,1093,446,550,1001,479,529,1005,418,498,907,2352,2691,5043,451,482,932,443,465,914,390,415,806,378,413,795,375,427,799,2042,2205,4250,333,329,657,279,336,618,220,246,470,241,226,468,190,244,433,1258,1382,2638,724,875,1596,337,478,819,111,229,336,31,58,89,3,10,11,56005,58179,114187
SOSR212,3058,1477,1659,3137,1455,1658,3118,1473,1770,3240,1544,1782,3324,7396,8487,15881,1569,1739,3304,1461,1730,3193,1564,1680,3246,1487,1709,3190,1444,1603,3047,7521,8455,15985,1430,1640,3074,1340,1625,2966,1312,1568,2879,1324,1560,2889,1408,1435,2844,6817,7832,14651,1281,1495,2773,1289,1452,2737,1272,1378,2645,1275,1348,2624,1245,1474,2717,6356,7144,13502,1016,1149,2164,946,1030,1973,924,986,1906,712,908,1623,775,922,1697,4377,4994,9372,2832,3618,6448,1576,2468,4037,725,1281,2000,149,396,547,7,45,51,127879,136657,264540
SOSR213,2795,1398,1581,2977,1463,1557,3019,1450,1703,3158,1545,1697,3246,7211,7981,15191,1481,1688,3172,1537,1623,3165,1492,1705,3196,1448,1663,3117,1414,1621,3036,7374,8306,15685,1461,1601,3067,1400,1624,3024,1483,1620,3104,1406,1644,3049,1422,1575,2998,7179,8063,15238,1392,1489,2880,1400,1583,2977,1368,1534,2901,1319,1400,2724,1375,1589,2962,6858,7592,14445,1131,1290,2419,1021,1205,2228,978,1165,2147,905,1101,2010,886,1035,1922,4920,5805,10728,3494,4253,7753,1876,2739,4610,836,1562,2394,167,457,617,17,77,89,121091,129324,250413
SOSR214,1680,847,901,1744,843,964,1814,936,1095,2034,953,1088,2042,4367,4941,9312,942,1088,2031,966,1116,2087,1004,1112,2115,967,1113,2080,966,1049,2012,4841,5480,10320,1003,1100,2101,1009,1195,2203,1025,1187,2206,1045,1223,2271,1041,1157,2199,5116,5863,10984,1063,1122,2188,1011,1140,2147,1003,1097,2098,963,1101,2063,1073,1172,2251,5117,5635,10751,866,932,1804,856,919,1771,784,855,1637,707,756,1457,665,747,1404,3880,4201,8083,2520,2953,5471,1403,1996,3398,634,1150,1778,138,323,459,13,54,63,70033,75164,145199
SOSR215,2734,1395,1520,2915,1444,1614,3054,1519,1621,3138,1566,1703,3264,7228,7889,15119,1520,1671,3194,1563,1646,3213,1540,1732,3275,1554,1679,3231,1538,1678,3218,7719,8412,16133,1515,1607,3119,1572,1673,3246,1474,1580,3053,1625,1715,3342,1556,1627,3181,7742,8197,15939,1500,1511,3009,1422,1553,2977,1389,1512,2899,1459,1472,2936,1514,1498,3009,7282,7539,14825,1194,1242,2439,1078,1182,2260,1001,1145,2144,866,972,1841,882,964,1849,5031,5503,10533,3329,3815,7147,1761,2438,4196,779,1478,2256,152,461,615,20,65,84,109821,114859,224681
SOSR221,833,438,467,904,470,484,955,483,478,965,472,493,967,2271,2343,4613,507,532,1047,496,502,997,534,498,1026,532,544,1076,489,569,1059,2560,2646,5207,510,492,1005,501,484,990,521,482,1002,478,485,966,529,446,969,2545,2387,4934,450,429,879,518,467,983,405,404,810,466,388,851,445,408,850,2282,2094,4377,361,308,666,304,270,578,296,291,587,261,234,491,234,261,500,1455,1357,2811,854,887,1741,418,575,997,177,301,475,56,109,163,0,22,22,30711,30906,61615
SOSR222,490,237,251,486,245,268,512,269,274,539,305,305,613,1301,1340,2645,306,326,631,303,299,600,292,277,568,286,290,578,271,269,540,1458,1464,2922,290,268,555,269,276,549,270,239,504,266,230,495,251,211,461,1340,1226,2567,251,207,460,270,217,487,221,178,399,229,181,409,209,174,385,1180,963,2148,200,159,360,185,152,343,146,152,295,109,112,220,112,107,218,751,688,1433,373,416,793,218,244,455,77,129,205,9,47,50,0,4,4,16656,16396,33052
SOSR231,6862,3369,3392,6757,3635,3554,7194,3710,3694,7409,3865,3683,7550,18007,17764,35770,3987,3705,7685,3681,3596,7272,3889,3617,7508,3733,3507,7238,3685,3321,7009,18974,17743,36717,3699,3321,7022,3529,3195,6728,3503,3051,6552,3510,3028,6546,3244,2711,5957,17489,15311,32797,3219,2704,5924,3015,2597,5609,2905,2370,5275,2808,2262,5074,2777,2249,5024,14725,12180,26899,2309,1760,4070,2045,1624,3668,1688,1452,3135,1515,1255,2775,1491,1230,2721,9043,7320,16362,4920,3998,8923,2035,1978,4009,734,832,1568,158,202,362,8,11,19,221807,207104,428903
