SOSR_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
SOSR201,1976,6450,5376,3111,8711,6715,1109,2040,7598,43091,67964,200613,172210,111052,229130,184976,44100,72421,15378,1097849,432,1549,1391,1003,2751,2385,651,1238,129,11526,238,175,167,142,436,969,372,1227,49,3774,3868,11938,10968,8171,47578,42103,12105,18809,1008,156556,699,891,1147,1130,7041,7408,1913,3272,162,23666,5598,13863,14877,11506,36678,66650,16509,34049,2841,202578,1918,4822,5157,3829,19664,19550,5320,8433,331,69030,13750,56476,34553,16883,39786,30124,7988,13505,1977,215049,14501,53948,24857,9135,15577,11138,3011,6756,1723,140638,5005,10336,12695,6887,23055,26990,7892,14413,1561,108830,1865,3544,2956,2146,11056,12075,2797,5393,265,42097,3767,4381,6682,5478,26278,40111,7809,15714,645,110864,1334,3441,3457,2249,8907,9294,2444,5283,273,36675,5959,18619,18202,13328,49032,71122,15591,33248,1177,226276,3756,14221,13311,5997,15932,12762,2801,5076,828,74683,6554,7665,9248,7783,38043,32275,8802,12320,817,123509,9224,36082,26399,17484,42438,32430,12172,23401,1195,200824,16251,45509,54279,46603,63322,51670,11257,20047,2449,311384,5945,9285,4789,2946,6727,6601,1490,3213,327,41323
SOSR203,138,427,289,182,391,275,39,118,510,2362,6375,19373,15986,10876,17745,11966,3124,4897,1123,91459,85,306,196,138,399,432,142,325,30,2050,111,57,42,24,89,284,133,637,14,1402,431,1077,831,618,3353,3790,1117,1566,101,12898,90,72,124,120,548,667,202,337,12,2176,477,1100,1003,904,3326,6225,1650,3186,184,18058,145,277,269,204,1020,1049,356,483,23,3816,1175,5525,3243,1662,3491,2373,674,1010,164,19320,1357,5841,2130,809,1341,891,221,564,155,13306,333,637,672,414,1162,1403,487,1232,88,6418,116,242,187,102,521,436,159,188,9,1969,231,241,430,344,1534,1316,348,585,20,5052,67,197,161,121,572,474,140,335,16,2082,336,1063,995,697,2263,2538,646,1253,38,9827,309,1428,859,472,975,645,160,301,62,5212,773,802,930,749,3390,3043,751,969,63,11471,851,2833,2489,1748,4142,2719,1211,2177,92,18274,2176,5004,6408,5846,6759,5108,1160,1936,216,34615,325,839,378,210,461,380,94,213,22,2924
SOSR211,38,130,93,56,172,90,22,29,214,843,1519,4140,3661,2612,5414,3243,737,1122,454,22912,18,33,33,26,90,86,25,51,4,360,9,0,3,5,14,27,12,47,0,120,130,262,183,182,1213,1209,351,457,31,4017,24,16,22,22,165,162,41,77,5,526,132,334,346,286,1004,1799,480,811,99,5288,51,66,61,56,410,351,128,177,13,1308,325,1350,859,494,1128,701,174,226,67,5333,288,1174,473,184,314,216,50,110,51,2857,185,268,337,277,1005,1078,355,936,83,4521,29,35,30,10,155,97,18,38,5,423,60,45,84,60,387,388,56,81,11,1161,27,42,53,31,188,114,42,68,8,568,61,171,169,120,511,536,87,144,14,1808,94,354,264,173,439,233,47,108,28,1743,154,205,247,187,1060,1184,247,316,42,3643,175,497,487,439,1044,517,206,329,21,3712,383,899,1233,1210,1645,962,209,377,87,6996,120,117,55,39,91,58,13,27,10,536
SOSR212,114,315,210,127,269,208,41,79,403,1765,4231,12223,10302,7234,12259,8529,2255,3475,949,61456,121,372,381,289,772,738,238,536,82,3521,58,12,18,21,52,117,49,223,3,546,279,652,452,375,2072,2353,1086,1124,70,8473,101,83,95,106,627,713,204,345,17,2277,393,723,697,672,2310,4589,1162,2344,181,13066,90,207,167,149,724,837,263,442,20,2898,790,3571,1981,1066,2383,1576,467,695,126,12660,874,3508,1233,510,936,627,154,466,112,8423,324,471,513,311,1042,1286,526,1041,65,5571,69,133,90,74,338,251,75,132,12,1167,116,126,241,175,705,766,188,353,16,2690,64,168,136,101,365,308,111,235,11,1499,198,686,679,487,1370,1521,369,847,30,6194,195,823,493,306,761,552,141,261,55,3587,528,616,665,522,2282,2176,545,690,60,8082,612,1622,1582,1205,2665,1757,813,1432,77,11756,1289,2672,3636,3356,4203,3218,661,1090,168,20296,205,391,201,139,310,261,58,112,16,1698
SOSR213,89,272,181,128,223,193,30,64,319,1496,3703,11522,9702,6761,10461,7013,1773,2816,806,54572,128,389,318,251,663,693,190,521,57,3211,69,10,17,15,86,111,47,222,8,583,324,664,546,451,2517,2485,836,1111,86,9018,77,70,82,86,493,482,148,272,13,1724,298,710,618,564,2084,4167,1092,2147,171,11859,96,221,168,146,630,726,242,334,18,2589,674,3239,1797,1030,2076,1430,405,597,125,11375,716,3219,1132,434,759,476,124,408,94,7364,274,419,457,291,780,1106,374,1056,104,4868,51,143,102,80,312,217,46,89,8,1048,107,141,190,177,618,577,130,214,8,2157,42,100,93,95,335,254,76,176,12,1175,135,561,519,384,1007,1113,278,564,35,4583,195,909,547,282,681,421,99,159,43,3335,469,494,590,439,2028,2053,496,696,61,7327,473,1509,1487,1168,2142,1265,598,1141,84,9860,1189,2676,3598,3205,3360,2650,573,904,140,18282,160,351,174,106,256,177,31,92,16,1360
SOSR214,72,167,119,59,122,110,20,28,185,889,2289,6476,5152,3531,5170,3850,942,1666,533,29604,88,271,252,157,306,407,120,323,44,1965,39,11,9,8,23,60,30,171,3,360,224,488,342,284,1279,1376,487,566,56,5104,36,30,37,32,185,255,67,110,10,764,238,466,369,405,1196,2277,546,1211,94,6809,45,147,97,106,334,335,114,199,8,1383,373,1651,1024,565,990,760,222,323,78,5979,558,1692,597,256,448,311,89,277,90,4315,144,249,278,140,386,498,157,496,34,2382,35,70,44,38,119,106,33,63,3,518,65,76,114,74,258,274,64,108,4,1039,42,86,78,55,182,166,37,89,6,739,78,359,317,225,480,543,148,322,27,2504,126,517,268,163,285,211,54,92,34,1750,295,319,302,249,1062,1133,230,329,37,3949,298,777,758,533,1049,657,305,615,36,5033,689,1531,1830,1642,1591,1277,265,473,100,9399,123,225,140,78,155,155,27,62,9,977
SOSR215,109,306,219,106,220,177,26,62,339,1558,3650,10167,8421,5632,7927,5999,1588,2763,890,47034,219,512,452,300,838,941,287,823,126,4497,61,35,20,20,65,92,63,219,5,577,333,657,506,432,1810,2006,767,937,82,7530,62,50,71,60,347,474,136,236,14,1452,459,795,655,606,1962,3876,976,2104,204,11643,79,201,180,120,582,614,204,324,27,2327,563,2536,1453,815,1571,1168,337,605,134,9183,787,2414,887,421,685,522,120,541,109,6481,266,438,449,258,728,889,346,946,62,4386,46,102,95,61,171,156,44,72,10,757,104,127,199,140,395,410,98,200,12,1689,53,140,124,95,253,198,54,142,8,1066,166,588,584,404,709,914,241,610,27,4240,188,830,405,259,448,414,94,170,47,2866,491,471,541,422,1595,1561,395,509,56,6042,459,1347,1219,869,1634,1147,531,1052,88,8346,1073,2280,2905,2449,2199,1937,398,683,160,14083,164,291,158,124,333,233,49,104,24,1486
SOSR221,44,83,54,18,62,34,6,15,100,411,1017,2985,2279,1560,2072,1564,392,723,265,12865,70,183,175,102,221,317,115,324,24,1524,18,10,6,9,18,41,18,84,4,198,79,175,149,112,433,466,183,249,27,1870,18,23,15,20,77,145,33,81,9,414,117,245,213,187,507,1068,269,534,66,3219,15,60,57,37,136,190,38,94,8,628,186,700,386,226,403,289,95,171,35,2493,203,664,186,102,136,115,38,138,34,1623,55,127,126,82,152,259,69,271,24,1166,7,31,19,12,50,32,17,22,0,187,21,42,67,32,115,97,28,54,3,459,15,22,37,27,62,56,25,32,3,281,59,211,156,132,201,215,65,145,8,1190,56,246,122,69,111,86,24,52,21,794,148,138,164,114,442,462,84,135,16,1699,144,449,342,284,453,348,157,289,27,2486,285,678,770,656,575,514,76,189,46,3796,58,91,68,34,101,68,8,41,3,476
SOSR222,21,36,18,27,40,24,8,18,57,247,555,1495,1224,808,1156,879,260,457,156,6997,39,127,81,50,133,172,65,199,22,890,8,7,9,3,12,15,15,35,4,98,60,78,57,52,246,270,100,151,6,1018,7,9,15,6,34,67,23,33,8,209,73,114,111,91,276,478,122,271,28,1566,14,30,27,16,65,76,35,39,10,314,75,294,202,117,185,150,33,86,23,1161,156,425,199,92,133,132,37,127,21,1331,41,90,107,47,107,150,51,169,12,767,8,12,16,3,15,23,7,13,0,101,16,20,22,21,38,62,6,35,0,219,5,26,16,7,31,24,8,25,0,154,18,88,90,62,92,125,36,84,9,603,31,142,77,27,71,55,17,39,12,476,78,68,71,67,243,220,64,70,5,890,74,211,198,120,244,174,75,149,11,1263,171,296,371,361,300,283,64,90,27,1965,35,51,47,27,64,33,12,19,6,297
SOSR231,289,690,487,274,442,454,72,226,891,3824,6831,21726,17466,11048,14075,13340,3335,8626,2310,98750,1029,4158,3430,2483,3200,6262,2044,14081,911,37598,154,80,74,51,147,327,163,672,43,1708,607,1513,1051,778,2919,3589,1253,2333,190,14225,140,154,153,134,659,797,229,480,40,2782,910,1922,1564,1331,3529,7383,1830,4796,444,23712,180,501,405,311,891,1277,431,926,73,4994,926,4391,2402,1273,2082,1815,506,1164,243,14790,1286,4079,1309,541,724,720,171,738,193,9757,522,931,852,500,1101,1598,568,1969,200,8232,85,214,157,78,281,282,85,187,18,1388,152,288,367,234,565,682,196,463,31,2984,94,245,220,131,368,476,97,339,38,2005,353,1440,1281,865,1427,2014,622,1508,97,9604,355,1284,724,453,695,657,174,427,94,4872,809,850,1011,766,2692,3125,726,1260,118,11351,853,2786,2481,1548,2749,2050,892,1942,157,15461,1942,4275,5165,4103,3594,3347,745,1406,303,24882,352,671,420,308,585,491,130,460,55,3468
