SOSR_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
SOSR201,8335,1163,32834,2043,607,5890,3309,3964,530,16344,2527,909,6544,1629,1084,230,12925,7971,2314,19875,6487,4294,977,41922,1651,506,4868,2662,3487,499,13677,20021,5272,44436,9799,6617,1411,87556,3112,1054,9351,5332,5388,858,25084,10138,5188,20843,8277,6698,888,52030,32287,16504,52173,14372,11519,1723,128582,34570,17267,82540,35513,34085,5140,209117,1935,882,6186,2561,2362,264,14197,2787,1066,7324,6816,9828,768,28591,4205,897,10410,4632,4625,3961,28726,143020,57687,338428,138001,132303,22919,832364,822,182,2186,1270,1841,263,6567,630,114,1232,318,732,81,3101,12174,2400,33003,16983,34286,2852,101691,3528,734,7067,2422,4151,388,18284,7752,1728,26809,18791,82920,3437,141436,6492,1413,17989,7996,11452,1254,46591,13321,3001,45203,23540,28709,3804,117572,6238,1056,22737,17357,18072,2404,67882,9076,1764,21514,14705,19261,2601,68921,6665,1778,16436,4714,3838,693,34122,18986,5214,46334,13040,7797,1956,93326,3610,974,10358,5071,7393,990,28394,49199,10479,106044,20759,13397,3287,203160,6373,1720,17944,10012,12655,1649,50353,19104,8433,38873,17972,16873,1926,103185,51374
SOSR203,1373,86,2916,56,21,177,171,334,27,785,54,50,227,104,133,11,577,127,107,715,416,464,47,1882,27,17,161,165,330,34,735,493,260,1603,585,686,71,3696,90,58,351,325,700,47,1571,550,458,1492,962,1067,91,4619,1850,1548,4939,1411,1547,116,11409,2522,2075,8210,4070,5603,542,23024,87,57,333,165,280,25,940,102,66,346,574,1172,53,2323,101,44,335,256,397,241,1375,6773,5064,22117,11784,17967,1754,65465,51,30,292,208,533,51,1163,75,20,212,83,566,18,977,557,116,1569,1112,4196,206,7751,135,46,424,265,709,38,1621,264,104,1261,1200,9405,255,12495,107,42,499,418,1104,58,2227,544,198,2349,1681,3946,306,9026,406,83,1278,1160,2521,181,5622,339,67,741,681,1703,134,3669,132,86,520,254,405,33,1433,340,218,1586,839,735,79,3795,67,28,397,305,664,49,1507,1192,512,4009,1266,1280,130,8394,215,98,659,548,1382,87,2979,974,739,2774,2050,2553,197,9289,3101
SOSR211,332,31,629,25,9,101,106,275,24,536,16,0,47,27,23,0,116,46,13,148,98,154,21,481,9,4,29,39,108,6,202,83,36,257,135,151,15,673,39,18,95,103,257,19,539,85,65,310,314,352,29,1153,295,328,884,442,509,33,2488,340,349,1480,1105,1528,131,4939,6,8,36,36,68,9,158,17,6,65,125,318,20,557,29,10,89,87,169,102,477,1180,916,4159,3337,5419,554,15557,18,8,28,48,85,7,195,0,3,13,6,47,3,76,106,25,397,372,1353,89,2347,35,3,51,49,173,16,327,60,14,234,368,2573,106,3358,34,12,140,123,411,25,747,134,46,444,504,1234,83,2443,69,8,199,250,587,48,1169,126,40,409,635,1174,103,2489,44,5,136,61,68,9,323,112,23,301,190,218,31,872,21,8,56,84,197,14,371,237,63,608,274,287,36,1503,66,24,170,183,509,44,985,215,106,637,648,967,62,2644,438
SOSR212,930,87,1803,28,19,134,185,324,18,718,31,28,126,56,74,3,322,71,41,303,278,278,39,1008,15,3,106,120,253,31,528,272,162,951,431,500,53,2373,43,37,230,246,456,40,1059,275,274,1013,906,844,63,3380,1085,1080,3243,966,1226,99,7694,1336,1242,4634,2759,3436,373,13779,42,29,167,121,186,11,562,47,41,218,442,879,51,1679,49,31,210,219,276,198,983,3609,3197,13275,8668,12394,1360,42493,85,34,403,328,679,121,1651,16,7,57,54,234,11,374,220,80,1005,741,2922,154,5121,117,54,349,286,902,32,1740,124,59,697,905,7048,165,9002,79,23,305,281,874,61,1613,189,103,1100,1091,2701,230,5407,89,41,618,688,1736,144,3311,105,51,435,627,1600,105,2918,58,50,279,154,259,23,808,152,91,714,519,425,66,1965,29,7,221,202,533,54,1049,643,306,2264,867,939,108,5121,82,59,388,394,978,71,1978,509,416,1757,1746,1868,134,6431,1622
SOSR213,914,86,1598,12,6,74,138,272,25,534,18,29,83,58,75,9,275,38,30,231,226,299,30,854,5,6,72,106,234,21,454,163,104,651,350,442,44,1761,19,28,151,216,488,56,951,229,228,801,739,789,60,2847,852,844,2583,915,1252,100,6550,1020,993,3655,2732,3867,330,12599,30,27,140,105,134,11,450,44,31,164,394,855,42,1524,37,25,144,155,282,177,825,2691,2511,10126,7720,12735,1247,37031,66,29,349,289,837,105,1673,16,0,58,56,300,3,429,150,70,766,763,3283,172,5207,55,24,233,168,722,31,1234,79,49,416,694,6539,170,7952,34,16,211,273,845,40,1420,128,73,744,824,2738,188,4705,72,40,416,565,1578,138,2798,81,34,259,473,1559,111,2519,55,51,205,119,255,15,703,107,61,461,438,410,44,1514,18,13,135,177,443,38,821,416,197,1493,719,843,72,3747,35,40,271,354,1039,88,1820,439,352,1492,1557,1835,128,5811,1232
SOSR214,555,80,1073,15,10,51,79,155,15,318,13,8,52,31,38,7,147,21,19,131,108,123,26,436,10,11,44,68,156,22,303,109,64,422,177,256,21,1045,16,15,95,121,238,17,494,134,93,396,382,414,36,1451,433,492,1357,478,528,46,3337,433,496,1779,1515,2000,214,6445,35,30,116,91,109,6,384,24,28,90,192,430,16,774,16,16,71,96,155,113,461,1386,1390,5515,4238,6660,811,20003,24,15,194,192,546,75,1050,8,8,32,24,151,6,228,116,36,452,380,1699,158,2837,20,18,83,91,343,19,566,74,34,280,371,3692,117,4570,16,17,127,128,408,37,736,60,47,441,449,1363,120,2487,54,32,288,390,1007,127,1891,36,25,144,211,761,63,1248,27,17,112,70,117,19,351,64,41,242,195,180,32,746,15,18,92,125,286,25,558,255,120,841,359,431,45,2052,33,13,152,206,500,36,938,241,169,685,802,1046,75,3015,653
SOSR215,834,81,1709,26,25,93,121,267,33,564,22,16,89,45,69,7,253,37,33,188,180,236,30,705,8,7,76,99,219,27,436,218,111,638,327,404,34,1739,13,32,143,187,363,35,776,216,208,720,609,655,50,2453,775,853,2258,770,854,63,5568,739,755,2710,2321,3010,321,9868,46,37,145,108,186,9,534,40,23,168,315,667,34,1244,34,37,163,182,305,180,895,2399,2333,8807,6896,10607,1219,32263,62,38,337,360,1350,138,2289,15,3,38,44,269,11,382,118,69,627,590,2832,157,4392,59,25,180,153,655,17,1088,75,62,457,642,6561,209,8003,31,17,209,241,795,47,1338,100,67,654,715,2231,243,4001,120,48,519,627,1518,128,2959,59,53,267,389,1416,115,2298,45,21,177,110,189,17,562,94,70,380,293,322,41,1201,23,13,129,160,392,42,758,486,219,1415,609,708,64,3506,38,46,273,302,810,75,1536,385,303,1220,1203,1571,120,4802,1151
SOSR221,211,20,399,6,4,28,39,69,16,151,9,8,18,15,15,0,61,15,5,39,55,71,8,191,3,3,24,30,43,0,110,56,32,188,105,108,15,501,7,6,50,49,98,11,223,57,56,190,163,187,8,662,229,225,708,195,262,27,1646,176,198,790,610,778,95,2647,21,15,49,48,53,3,183,3,3,34,67,175,8,299,10,10,31,29,78,48,209,640,616,2560,1808,2849,349,8820,11,21,140,120,478,53,820,3,0,13,11,92,3,126,25,12,158,147,735,49,1127,10,7,43,50,199,8,314,14,14,128,189,1837,70,2243,9,5,51,57,209,17,352,18,14,205,195,596,70,1106,17,14,119,130,379,36,696,14,4,63,90,363,41,581,11,11,30,31,49,3,142,25,20,89,84,93,14,326,7,4,46,45,94,8,203,129,53,388,181,213,21,991,13,16,89,86,227,23,456,104,82,319,347,490,27,1358,348
SOSR222,165,7,354,3,0,27,25,41,7,108,0,9,18,0,8,0,31,3,3,28,21,23,0,89,0,0,16,11,24,0,52,20,13,92,53,59,3,242,9,11,34,38,55,6,144,35,33,102,90,83,8,342,95,115,335,137,124,7,817,102,117,380,316,417,51,1379,10,6,42,28,15,0,99,3,5,26,38,103,0,174,4,5,29,24,46,26,135,321,339,1369,1018,1533,163,4749,10,10,61,61,282,25,444,0,0,6,4,53,0,64,13,18,69,88,405,17,605,7,5,37,13,76,6,140,6,11,64,78,841,28,1038,0,3,21,22,112,0,169,16,10,97,105,284,26,535,18,14,140,129,340,35,676,8,8,44,64,220,26,372,6,13,32,14,21,0,73,19,6,61,39,34,5,162,0,5,19,20,67,0,116,54,20,202,98,106,13,492,10,9,48,53,149,12,280,56,50,177,180,225,17,713,161
SOSR231,1169,161,2417,29,21,188,277,487,76,1084,55,38,189,103,101,16,493,101,54,383,308,316,45,1198,23,15,133,149,354,50,722,462,262,1653,763,849,122,4113,48,54,295,354,567,76,1394,413,411,1326,1166,1065,106,4482,1365,1414,4387,1494,1645,200,10516,1480,1570,5657,3881,4571,639,17805,87,78,365,286,368,45,1226,105,62,315,533,1162,87,2258,88,68,421,459,641,415,2088,4909,4754,19966,14277,19497,3073,66474,579,486,3913,4068,9918,1256,20225,45,12,178,117,779,39,1170,301,173,1460,1291,5334,316,8864,94,51,371,320,1210,50,2095,137,128,1153,1509,12629,443,16001,90,60,500,498,1617,151,2921,144,112,1266,1182,3318,374,6408,110,98,701,746,1976,249,3877,89,62,451,717,2804,238,4355,96,54,359,202,260,25,1004,202,103,795,542,460,67,2172,55,36,260,277,711,93,1435,1017,470,3475,1334,1495,208,8000,104,81,492,596,1434,146,2854,696,585,2285,2244,2751,222,8789,1898
