SOSR_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOSR201,676,2614,187,146656,4591,927,585,4516,791,2899,444,1355,747,2788,13873,33514,443,78,343,484,161,251,67,85,182,458,2113,4676,135868,27903,5181,163791,25536,100931,7535,34015,7888,52126,17539,578308
SOSR203,29,86,14,7075,376,80,38,417,57,217,32,84,43,169,1114,2626,23,3,19,27,10,12,4,5,12,40,112,272,8219,2105,401,14173,2111,5920,649,2050,483,2889,1312,40318
SOSR211,6,23,5,1213,86,16,20,106,24,65,13,38,17,63,404,844,9,0,5,8,5,3,5,0,5,7,61,114,2830,558,132,3387,606,2798,185,959,262,1265,518,13499
SOSR212,28,54,6,5158,347,61,23,361,57,138,25,72,33,136,869,2124,32,3,25,34,12,9,3,4,4,31,95,251,6564,1394,327,10219,1515,4098,487,1279,375,1982,1032,29278
SOSR213,26,51,3,3443,308,48,21,321,31,155,34,64,36,141,813,1964,21,3,16,31,11,7,10,0,15,19,75,210,5318,1282,245,9041,1268,3789,478,1266,371,1849,955,25875
SOSR214,7,23,5,1467,147,47,14,180,24,83,21,33,15,109,442,1118,16,0,16,17,9,8,4,0,7,16,48,143,2606,804,161,4317,697,1834,294,692,221,1058,534,13217
SOSR215,24,34,4,2973,284,68,29,297,50,153,28,67,32,119,724,1847,22,0,25,25,14,11,4,9,16,20,79,231,4491,1172,338,7727,1308,3306,442,1037,340,1597,858,22618
SOSR221,4,9,0,789,88,25,8,110,16,46,17,24,5,38,210,577,0,0,4,17,0,0,0,0,4,4,15,58,1146,358,100,2197,325,837,139,299,97,436,243,6185
SOSR222,0,9,0,377,52,17,3,58,3,18,7,15,0,33,141,352,3,0,4,0,0,0,0,0,0,7,18,40,644,177,45,1048,170,417,76,173,57,254,167,3234
SOSR231,57,121,26,8862,958,218,107,1071,127,396,78,182,82,305,1665,5192,106,9,78,107,22,35,18,15,13,68,206,681,11758,2655,776,17274,2210,6093,898,2143,704,3215,2049,49784
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
