SOSR_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
SOSR201,812,87,3,905,913,219,18,14,1167,165,60,228,1396,155,6,1558,36508,5817,884,388,43599,949,271,1218,44823,2987,86,47886,6987,1758,226,187,9168,295,124,415,9582,3137,19,12741,37,14,0,43,94,0,0,0,93,13,85,189,43533,7590,1114,622,52855,1244,391,1634,54497,6142,181,60821,8992,1289,190,51,10523,193,63,257,10779,932,5,11716,7871,1800,212,40,9929,145,63,215,10140,903,14,11052,470,93,118,5,682,12,8,19,704,89,0,791,70,23,0,131,220,3,0,7,229,30,19,277,17404,3202,519,228,21354,356,134,491,21849,1956,36,23842,170,62,8,9,251,62,16,74,324,34,0,359,223,75,4,5,301,41,29,70,376,79,0,452,390,139,17,11,556,102,40,148,698,115,0,816,17800,3338,534,243,21914,462,175,636,22547,2072,39,24658,3975,1093,154,121,5341,169,54,225,5564,2516,22,8108,22,11,0,35,72,0,0,4,73,7,67,145,21794,4446,692,395
SOSR203,28,0,0,29,30,6,0,0,38,9,7,11,49,4,0,50,1915,250,47,11,2221,30,11,41,2263,137,4,2405,286,54,15,3,360,3,0,3,364,116,0,479,0,0,0,0,0,0,0,0,0,0,0,0,2203,306,66,9,2586,31,11,46,2626,251,3,2888,327,42,12,6,389,3,0,3,391,28,0,426,371,71,11,0,455,4,0,6,463,26,0,483,29,4,6,0,31,0,0,0,36,4,0,40,0,0,0,3,5,0,0,0,5,0,0,12,725,118,29,10,881,10,0,12,893,58,3,961,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,5,0,0,0,6,3,0,8,5,0,0,0,10,0,0,0,7,4,0,13,731,122,29,6,891,14,0,14,905,63,3,973,118,21,3,0,144,0,0,0,142,67,0,210,4,0,0,0,4,0,0,0,4,0,0,5,851,138,30,14
SOSR211,17,6,0,21,15,11,3,0,27,6,0,6,32,5,0,35,402,75,9,8,495,14,3,19,518,36,0,550,106,30,4,0,140,8,0,6,148,69,0,217,5,0,0,0,4,0,0,0,4,0,0,9,516,106,14,10,642,21,9,26,668,104,0,771,90,12,4,0,106,0,0,0,106,13,0,124,69,12,0,0,85,0,4,0,89,10,0,96,10,0,0,0,12,0,0,0,12,0,0,12,0,0,0,8,8,0,0,0,8,0,0,8,166,27,3,9,209,0,0,9,217,22,0,235,3,0,0,0,3,6,0,6,5,0,0,14,0,0,0,0,0,0,0,3,5,0,0,5,3,0,0,0,8,5,0,9,12,3,0,10,173,27,6,9,215,5,4,12,228,24,0,253,50,8,0,4,59,3,0,3,65,38,0,105,0,0,0,0,0,0,0,0,0,0,0,0,222,44,5,8
SOSR212,10,0,0,12,18,6,0,0,17,0,0,0,20,0,0,24,1315,169,35,9,1536,21,9,23,1559,79,0,1644,148,33,6,10,196,0,3,8,205,80,0,288,4,0,0,0,4,0,0,0,4,0,0,4,1468,205,44,19,1735,24,11,30,1766,166,4,1934,218,28,4,0,249,3,0,3,256,14,0,269,233,46,8,3,286,7,0,9,299,15,0,314,4,0,5,0,12,0,0,0,12,3,0,15,0,0,0,0,4,0,0,0,4,0,0,5,461,73,16,3,551,14,0,12,565,33,0,597,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,3,3,4,0,0,5,0,0,0,12,0,0,12,467,75,16,3,556,10,0,13,571,33,0,605,85,18,0,4,102,6,0,6,109,44,0,150,0,0,0,0,0,0,0,0,0,0,5,4,552,91,13,5
SOSR213,19,0,0,20,17,3,0,0,22,0,0,0,24,0,0,26,1015,158,30,15,1226,16,4,18,1246,54,0,1306,151,21,12,8,183,4,4,3,188,45,0,233,0,0,0,0,0,0,0,0,0,0,4,5,1169,181,44,22,1413,18,8,21,1434,101,7,1540,181,27,0,0,206,0,0,0,204,11,0,220,170,25,7,0,204,0,0,0,208,12,0,221,10,3,5,0,15,3,0,3,15,0,0,21,0,0,0,0,3,0,0,0,3,0,0,3,359,55,12,3,431,4,0,3,434,31,0,465,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,3,5,0,0,5,7,0,0,0,6,0,0,3,10,0,0,10,361,57,12,3,437,3,4,7,447,31,0,473,42,8,3,0,49,0,0,0,49,12,0,63,0,0,0,0,0,0,0,0,0,0,4,4,407,61,19,4
SOSR214,3,0,0,3,4,0,0,0,8,0,0,0,9,0,0,9,444,61,19,7,534,9,4,15,550,32,0,580,61,8,0,0,76,0,0,3,78,27,0,103,0,0,0,0,0,0,0,0,0,0,0,0,512,66,17,14,610,6,9,16,629,60,0,684,86,7,0,0,89,0,0,0,91,4,0,100,61,16,0,0,82,0,0,0,82,4,0,88,4,0,0,0,6,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,145,22,3,4,177,0,0,0,177,10,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,22,3,4,179,0,0,0,176,10,0,193,21,3,3,0,26,0,0,0,26,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0,165,32,8,4
SOSR215,12,0,0,11,16,4,0,0,22,0,0,0,24,0,0,23,741,117,28,20,911,11,0,7,924,51,4,975,111,19,10,0,135,0,6,4,143,41,0,188,0,0,0,0,0,0,0,0,0,0,4,6,860,133,40,20,1052,9,3,18,1067,96,11,1174,105,22,3,0,131,0,0,0,131,9,0,143,135,28,4,3,168,0,0,0,168,8,0,175,10,0,7,0,14,0,0,0,14,0,0,14,0,0,0,3,6,0,0,0,6,0,0,5,253,48,13,10,323,0,0,0,323,16,0,340,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,5,0,0,3,6,0,0,0,3,0,0,0,10,0,0,7,260,53,13,10,324,0,0,0,327,22,0,346,36,5,3,0,41,0,0,0,44,17,0,63,0,0,0,0,0,0,0,0,0,3,0,3,292,55,13,3
SOSR221,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,4,224,30,11,4,261,0,0,3,269,7,0,281,27,0,0,0,28,0,0,0,32,9,0,39,0,0,0,0,0,0,0,0,0,0,0,0,252,29,11,7,298,0,0,0,301,18,0,319,30,5,0,0,34,0,0,0,35,0,0,35,41,7,0,0,50,0,0,0,50,0,0,50,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,75,11,0,4,88,0,0,0,88,0,0,93,0,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,5,74,8,6,4,91,0,0,0,95,0,0,93,15,0,0,0,13,0,0,0,13,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,93,8,6,4
SOSR222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,17,7,0,145,4,5,5,154,5,0,157,10,0,0,0,11,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,135,13,7,0,160,4,8,4,165,7,0,172,20,3,0,0,19,0,0,0,19,0,0,22,12,8,0,0,21,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,44,0,0,0,44,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,0,44,0,0,0,44,4,0,47,3,0,0,0,9,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,35,10,0,5
SOSR231,20,4,0,22,23,4,0,0,34,0,0,0,31,4,0,34,2404,288,77,63,2835,25,6,29,2865,138,8,3011,264,57,24,7,350,7,3,7,355,90,3,449,0,0,0,0,0,0,0,0,0,0,10,12,2666,341,106,71,3188,31,5,35,3224,230,20,3470,412,46,7,0,472,5,0,5,474,38,0,514,407,76,18,8,510,3,5,3,512,30,0,537,27,4,8,0,38,0,0,0,38,0,0,41,0,0,0,3,13,0,0,0,13,5,0,14,848,128,37,19,1024,3,5,5,1033,67,0,1110,0,0,0,0,3,0,0,0,4,0,0,5,3,0,0,0,3,0,0,0,3,0,0,9,6,0,0,0,14,0,0,0,9,0,0,13,859,127,37,15,1035,3,0,10,1050,77,0,1122,125,24,0,5,150,3,0,3,155,39,0,196,0,0,0,0,0,0,0,0,0,0,4,4,983,148,34,22
