SOSR_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOSR201,37,2000,844,391,2255,0.9,1906,2.6
SOSR203,38,1517,753,310,1936,0.8,1475,2.4
SOSR211,34,1560,734,320,1768,0.8,1494,2.7
SOSR212,39,1517,773,300,1991,0.8,1559,2.5
SOSR213,41,1460,704,285,1778,0.7,1351,2.4
SOSR214,48,1400,645,280,1598,0.7,1206,2.2
SOSR215,45,1460,685,270,1755,0.7,1311,2.3
SOSR221,48,1300,671,260,1704,0.7,1284,2.3
SOSR222,47,1274,672,240,1663,0.7,1285,2.3
SOSR231,47,1603,752,250,1978,0.8,1659,2.6
SOSR279,50,0,2200,0,0,0,0,0
SOSR299,37,0,464,0,0,0,0,0
