SOSR_CODE_2021,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
SOSR201,7182,87376,4013,23285,10120,3703,749,2169,1045,139650,7421,56545,964,19192,7022,2368,451,1429,680,96074,42097,55556,4385,15679,64081,17856,2425,6956,2969,212006,16371,50402,2798,40881,23417,6943,1267,4527,1952,148557,7607,21283,2843,5198,7545,5380,576,1464,598,52506,4455,1708,10238,8965,7410,5100,985,3868,560,43298,52,75,32,116,96,65,23,103,19,580,2713,4366,676,2486,3399,1261,246,779,423,16351,1216,2083,622,2271,2554,1306,310,1159,3317,14826,104094,324195,36723,126409,140627,50668,9004,27477,13169,832364,11548,30253,5906,4875,7283,3685,1562,2701,902,68714,17521,52543,9591,4149,8970,4847,5216,5022,1856,109717,33891,55804,66201,5782,12162,7210,17311,14984,3113,216466,14973,14361,46536,1922,4302,2838,3950,7531,1375,97778,3318,3468,6196,1223,1915,1146,1313,2480,306,21374,10780,118562,6075,30141,11561,4774,2027,3544,1457,188924,10864,74116,2049,21369,8027,2988,1347,2233,921,123912,96250,112965,14117,23502,89176,34026,14096,15540,6105,405772,27836,79234,6393,55118,30437,10235,5046,8040,3074,225413,12951,38066,7618,7979,10657,8534,2491,3931,1074,93307
SOSR203,655,9590,493,2890,1066,404,64,234,80,15479,631,5670,94,2026,613,228,30,147,38,9469,2054,2463,298,1086,4727,1149,122,485,127,12513,997,3371,245,5355,1676,657,114,549,159,13123,369,1018,197,374,447,365,37,139,30,2969,429,117,1175,1000,663,533,81,457,39,4487,0,10,3,6,5,6,3,8,0,53,105,220,40,153,185,77,12,61,20,874,77,136,63,238,181,115,24,128,206,1166,5922,24154,3324,13643,10367,3964,666,2666,755,65465,458,1352,441,303,378,200,79,181,35,3426,586,1540,504,176,373,189,207,242,55,3864,1988,2545,6220,559,663,584,1719,1619,201,16101,1314,743,5392,297,328,282,564,1016,136,10076,470,403,689,147,232,195,197,379,43,2754,978,12644,734,3688,1205,495,161,374,115,20392,1035,7953,223,2370,718,292,131,229,65,13013,4783,5065,931,1656,5985,2030,740,989,231,22399,1557,4891,506,7088,2046,890,372,912,233,18490,623,1806,475,581,598,571,185,334,51,5223
SOSR211,100,1429,119,701,205,92,30,61,17,2746,135,1066,21,756,120,53,19,47,18,2220,492,543,73,340,1470,351,97,172,46,3579,207,497,61,1681,451,156,72,184,37,3336,37,113,19,53,86,57,15,18,5,392,112,38,297,294,230,152,57,134,15,1315,0,4,0,3,3,3,0,9,0,24,18,24,6,64,37,20,10,17,13,212,20,32,16,80,57,44,22,44,73,394,1232,4068,775,4129,2886,1047,387,791,237,15557,97,194,90,66,84,53,40,39,17,673,159,488,160,107,150,78,147,75,27,1385,480,576,2186,162,284,164,794,576,99,5323,190,68,1266,49,66,42,210,245,37,2179,70,67,160,30,55,34,86,83,11,587,154,1752,152,872,232,104,76,108,20,3472,181,1359,54,814,138,64,60,75,19,2766,1041,1010,244,560,1859,569,578,345,87,6284,316,683,158,2164,538,223,230,285,53,4648,67,196,70,78,132,83,54,69,10,770
SOSR212,450,5546,308,1699,715,233,38,154,53,9206,489,4100,60,1446,451,172,16,114,40,6885,1515,1575,201,676,3287,788,67,356,101,8562,652,2107,142,3454,1064,406,66,380,91,8378,206,572,106,175,261,155,21,62,18,1579,300,114,898,658,535,405,48,317,37,3315,3,0,0,6,3,9,0,16,0,37,69,129,33,97,118,30,15,31,16,539,84,106,33,144,154,102,14,140,154,934,4198,15189,2215,8602,7033,2511,363,1842,550,42493,384,769,228,159,198,100,45,110,20,2002,277,644,247,90,161,83,68,113,19,1709,1545,1519,5168,320,464,357,1133,1076,160,11729,1005,398,3609,151,194,153,328,609,97,6534,490,346,536,129,186,111,184,353,29,2358,672,7201,420,2175,787,281,91,224,74,11918,807,5515,159,1634,510,202,73,188,59,9146,3354,3140,587,1011,3992,1369,431,686,191,14766,1001,2966,330,4517,1267,558,183,616,129,11572,354,964,264,267,342,257,93,166,28,2744
SOSR213,371,4375,304,1776,580,212,46,197,49,7908,394,3280,41,1309,308,121,11,103,34,5603,1073,1168,186,645,3019,692,73,315,89,7264,542,1665,139,3702,926,370,58,408,75,7878,134,418,84,177,213,152,26,83,15,1303,269,83,828,672,490,405,45,320,35,3147,3,6,0,3,5,7,0,9,0,37,64,92,26,82,93,38,13,39,9,443,61,82,40,146,157,87,17,123,144,854,3190,11853,2023,8784,6194,2286,356,1863,479,37031,218,618,195,136,145,64,28,82,15,1509,257,532,247,83,165,86,68,120,21,1579,1301,1154,5163,347,416,333,1283,1091,167,11262,775,252,3356,119,135,149,448,670,83,5986,399,342,490,128,158,130,209,364,28,2257,501,5427,394,2207,641,255,101,261,73,9848,613,4347,117,1470,359,156,75,171,44,7346,2429,2244,485,915,3570,1108,365,639,144,11894,833,2326,298,4706,1092,483,191,612,116,10653,236,718,241,250,272,233,86,200,26,2267
SOSR214,232,2190,199,1030,301,123,16,100,33,4226,264,1745,28,699,231,87,5,64,18,3138,644,584,111,339,1506,410,25,201,39,3856,310,724,92,1816,524,209,22,246,40,3989,81,236,37,73,122,81,9,48,6,690,167,46,436,350,251,206,16,211,22,1713,0,0,0,3,5,0,0,7,0,22,35,70,12,47,41,25,6,20,5,267,40,46,24,100,90,66,8,111,76,548,1950,6021,1181,4633,3300,1325,151,1182,263,20003,129,317,106,84,85,45,27,49,10,836,115,225,110,35,70,43,24,60,12,690,686,527,2606,190,220,188,688,724,92,5931,499,148,1839,87,69,71,199,386,67,3362,264,200,359,88,110,105,100,220,34,1470,300,2699,251,1230,322,136,29,142,48,5154,388,2326,90,796,257,105,47,84,24,4122,1294,1129,260,490,1753,651,163,363,81,6188,489,1026,181,2304,605,272,79,367,66,5381,142,407,110,112,153,125,34,118,12,1225
SOSR215,372,3375,283,1524,538,198,29,188,47,6546,421,2960,57,1126,354,116,26,120,38,5219,1123,910,169,506,2355,596,56,304,75,6098,536,1376,128,2787,846,292,51,343,76,6422,170,416,96,150,186,109,19,72,17,1238,287,79,712,555,434,337,37,299,24,2767,0,4,0,4,3,3,0,5,0,19,64,99,27,81,81,25,8,22,13,414,53,74,46,182,134,118,15,129,118,875,3420,9953,1923,7152,5316,2004,322,1725,451,32263,268,506,167,116,131,54,25,80,21,1362,185,341,158,60,114,47,52,74,9,1029,1332,955,4834,268,395,313,1292,987,174,10546,878,283,3192,111,125,110,435,628,89,5850,614,398,684,143,179,168,272,456,39,2953,520,4073,356,1867,566,227,65,251,58,7985,661,3864,140,1282,385,144,78,180,52,6790,2254,1721,437,691,2746,948,292,539,119,9744,846,1939,267,3455,961,366,146,482,112,8574,278,696,213,226,225,168,69,164,33,2065
SOSR221,93,928,61,376,160,61,5,29,10,1731,127,843,13,326,100,30,3,23,7,1474,290,265,49,143,677,157,13,65,22,1671,146,395,40,686,223,101,12,101,22,1731,35,139,32,48,75,27,4,16,9,393,67,16,161,158,113,97,7,82,10,712,0,0,0,0,0,0,0,0,0,5,17,28,10,22,28,4,0,5,3,123,25,17,14,42,45,38,6,45,31,265,916,2819,474,1866,1524,580,72,445,123,8820,80,159,33,24,41,16,6,10,4,369,45,99,28,20,28,18,12,15,6,266,383,204,1382,83,102,74,360,297,41,2927,286,68,868,32,28,39,106,189,31,1643,229,142,205,50,64,54,77,125,20,953,140,1101,78,461,170,71,17,42,14,2099,208,1147,42,364,117,35,15,45,10,1974,581,489,112,193,757,235,82,119,36,2604,235,545,81,873,257,122,39,134,28,2315,72,228,79,69,92,51,15,40,7,655
SOSR222,67,475,38,227,84,34,5,35,6,982,60,437,13,160,46,20,0,13,3,756,169,140,23,57,314,84,0,40,10,838,83,225,30,356,122,54,8,65,7,959,23,61,12,32,17,16,5,17,0,175,43,7,101,65,64,43,6,47,6,375,0,0,0,0,0,4,0,0,0,4,10,26,0,16,14,3,0,0,3,68,14,15,4,23,15,12,0,15,19,121,545,1481,272,982,749,298,47,305,62,4749,40,76,17,16,26,7,10,9,8,214,25,48,21,8,19,8,0,11,0,135,228,130,691,58,48,44,199,150,23,1567,141,40,431,23,17,22,78,92,19,855,125,82,110,35,35,25,47,109,10,586,98,550,60,269,88,34,13,50,7,1164,93,602,22,183,53,22,13,27,3,1022,315,248,71,80,358,121,23,74,22,1313,136,301,56,461,133,68,24,84,13,1280,45,98,36,36,25,27,16,29,0,315
SOSR231,1522,7547,639,2466,1300,335,64,397,123,14398,1578,5272,143,1715,787,185,37,221,100,10045,2932,2110,300,784,4703,969,110,552,141,12613,1489,2649,296,4094,1498,469,66,591,155,11304,430,779,187,253,393,204,28,137,44,2452,735,124,1060,780,817,440,61,456,64,4535,9,5,3,5,3,0,0,15,0,44,228,208,69,147,197,56,24,62,29,1013,363,202,120,311,329,233,39,254,268,2132,11321,20576,3768,11135,11146,3316,623,3583,1011,66474,988,1214,372,228,344,109,58,191,49,3538,481,652,216,75,188,66,41,125,30,1876,5062,2063,10048,524,689,587,2694,2121,393,24183,2698,491,5607,198,276,197,782,1146,201,11596,6476,1145,1625,407,649,430,792,1765,164,13461,1966,9065,779,2946,1361,370,129,497,150,17270,2238,6665,302,1921,859,246,139,338,130,12843,5912,3705,706,1072,5298,1473,462,968,236,19834,2285,3637,503,5071,1698,578,197,831,214,15023,696,1197,398,355,468,305,108,285,61,3872
