SOSR_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
SOSR201,31,1167,1480,4627,2361,1658,780,274,77,12454,34,271,276,3553,998,795,698,460,197,7286,8,175,308,2834,1361,3991,7392,7025,4210,27295,59,285,389,915,435,203,153,40,6,2483,47,338,742,3481,1070,424,173,83,12,6375,56,191,349,2592,1893,1918,1420,663,133,9216,125,1304,3382,11612,3381,2935,2652,999,190,26574,0,11,23,191,296,1013,2528,1890,536,6486,0,61,352,1959,690,1052,866,415,141,5532,17,197,967,3049,928,441,237,92,44,5967,25,147,2820,6471,400,115,63,15,4,10056,16,110,172,639,467,553,1457,1204,521,5136,433,3546,4992,15321,6167,4643,2395,958,216,38672,8,60,135,1450,1294,1820,2427,1089,281,8561,232,1732,2369,9847,1447,608,292,81,9,16608,5,24,57,221,309,144,50,15,5,823,133,1267,2725,10187,3904,2556,1438,333,64,22606,5,36,59,1056,638,1033,1521,628,334,5316,11,175,341,987,666,630,270,62,5,3145,12,169,320,1773,1375,1838,1792,1265,375,8926
SOSR203,0,28,27,55,32,16,8,0,0,171,0,19,24,139,54,46,49,36,22,399,0,3,11,67,27,100,217,191,123,739,0,10,13,23,18,3,0,0,0,72,0,13,19,81,14,10,0,0,0,129,4,0,6,22,5,14,9,3,0,71,0,39,73,215,69,43,54,17,7,511,0,0,0,5,3,9,59,28,3,118,0,4,22,50,13,5,6,0,0,93,6,5,67,332,112,60,35,23,5,636,0,6,53,274,12,0,0,0,0,350,0,6,9,22,23,52,255,233,82,684,14,96,152,524,342,291,182,76,12,1693,0,0,0,26,36,70,99,51,20,302,11,73,104,426,43,4,4,0,0,673,0,7,8,14,30,10,0,0,0,66,12,81,144,501,146,46,33,6,0,974,0,0,0,20,19,26,50,17,11,144,0,0,3,9,4,0,0,0,0,18,0,11,22,91,82,151,188,112,43,697
SOSR211,0,15,17,40,13,6,4,0,0,97,0,0,0,18,11,9,15,17,0,66,0,5,4,16,16,39,60,39,6,188,0,0,5,7,4,0,5,0,0,7,0,0,3,22,11,3,3,0,0,46,0,4,3,19,17,14,6,5,0,73,0,43,15,56,13,13,10,7,0,159,0,6,16,29,29,59,142,81,13,368,0,3,0,44,7,4,4,0,0,66,3,14,44,182,50,19,8,0,0,321,0,16,30,79,3,0,0,0,0,133,0,0,0,3,10,3,52,48,5,131,25,214,206,393,178,132,70,19,7,1248,0,0,0,35,20,16,37,3,0,114,6,57,24,240,39,15,8,0,0,391,0,0,0,4,10,0,0,0,0,23,9,85,157,383,185,71,22,7,0,918,0,0,0,19,8,8,16,6,9,62,0,34,37,110,69,47,21,4,0,335,0,0,0,26,12,67,45,33,9,207
SOSR212,0,27,26,134,51,44,16,0,0,297,0,20,15,90,45,53,43,28,12,313,0,0,4,52,29,102,249,207,126,773,0,8,7,16,13,3,5,0,0,44,8,3,13,43,0,5,0,0,0,76,0,0,4,12,8,7,7,0,0,38,6,50,100,580,125,55,23,8,0,958,0,0,3,10,19,32,93,50,15,222,0,0,6,23,8,9,4,0,0,46,0,0,6,16,0,0,0,0,3,31,0,3,12,118,6,3,0,0,0,151,0,0,11,32,39,46,162,100,39,425,8,108,160,494,284,227,152,69,11,1515,0,3,0,7,10,11,16,11,5,65,7,42,38,129,21,15,5,4,0,258,0,0,0,11,16,9,3,0,0,48,9,78,87,373,92,35,19,4,0,704,0,0,3,10,10,11,20,9,9,71,0,11,18,39,21,15,12,0,0,117,0,3,16,75,66,108,168,97,25,553
SOSR213,0,7,5,35,13,9,0,0,0,72,0,6,13,58,33,36,42,28,19,223,0,0,8,28,24,93,225,159,108,650,0,6,3,8,7,0,0,0,0,33,0,3,8,16,0,0,0,0,0,25,0,0,0,18,7,3,8,4,0,40,0,16,21,164,31,25,13,8,0,274,0,0,0,4,0,41,105,75,17,246,0,4,8,28,7,12,17,10,0,92,0,4,4,54,19,3,4,0,0,92,0,5,7,110,6,0,5,0,0,137,4,6,0,16,22,60,239,226,68,637,7,61,94,359,245,231,185,79,14,1275,0,0,0,14,6,12,10,3,0,46,0,13,12,96,20,14,3,0,0,157,0,0,3,7,11,13,6,0,0,33,13,63,111,268,107,48,20,4,0,633,0,0,9,19,17,11,38,18,5,113,0,4,9,58,4,13,6,0,0,88,0,10,11,54,51,104,153,134,37,562
SOSR214,0,0,0,12,4,3,0,0,0,27,0,4,10,34,19,19,30,29,10,142,0,4,4,37,7,50,179,125,59,465,0,0,0,3,3,0,0,0,0,15,0,0,0,12,4,0,0,0,0,17,0,0,0,5,3,3,4,0,4,19,0,13,25,116,20,19,4,0,0,198,0,0,0,4,7,41,70,44,8,171,0,0,3,7,5,0,8,4,0,34,0,0,3,4,7,0,0,0,0,19,5,5,10,64,0,0,0,0,0,76,0,0,3,7,13,32,142,124,22,348,6,27,39,184,155,158,148,66,15,799,0,0,0,4,5,13,5,0,0,26,4,3,0,37,6,0,0,0,0,53,0,4,5,6,17,14,0,0,0,36,0,45,54,141,42,10,6,0,0,303,0,0,0,8,9,0,23,8,5,49,0,0,6,10,0,0,0,0,0,17,0,6,10,20,26,66,103,81,25,334
SOSR215,0,0,0,10,6,3,0,0,0,20,0,7,11,66,35,35,31,25,12,221,0,0,0,32,20,62,154,129,69,469,0,5,4,10,4,4,3,0,0,28,0,0,0,10,0,0,0,0,0,16,0,0,0,10,3,3,4,0,0,27,0,10,37,172,51,23,13,0,0,315,0,0,0,3,5,26,62,17,3,121,0,3,3,12,3,11,6,0,0,46,0,0,5,33,17,8,3,0,0,79,0,0,15,81,0,0,0,0,0,99,0,3,0,23,38,64,208,165,56,562,10,53,85,307,259,263,207,94,8,1266,0,0,5,4,0,10,10,5,4,32,0,3,6,31,7,4,4,0,0,54,0,0,0,9,21,3,3,0,0,39,0,45,48,137,38,15,9,4,0,291,0,4,0,13,10,9,32,10,8,88,0,0,4,23,4,4,0,0,0,29,0,10,12,47,58,95,135,96,21,469
SOSR221,0,0,0,0,0,4,0,0,0,3,0,0,3,19,12,17,12,4,5,72,0,0,0,8,5,18,43,19,14,111,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,18,6,10,9,5,0,45,0,0,0,0,0,12,31,9,0,54,0,0,0,9,0,5,8,0,0,15,0,0,0,3,3,0,3,0,0,6,0,0,4,3,0,0,0,0,0,7,0,0,0,8,8,17,65,35,7,150,0,14,13,70,76,75,80,30,0,351,0,0,0,0,0,0,8,0,0,8,0,0,6,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,8,3,29,9,0,4,0,0,58,0,0,0,4,3,7,3,0,0,21,0,0,0,9,0,0,0,0,0,10,0,0,0,11,10,36,44,22,8,135
SOSR222,0,0,0,0,0,0,0,0,0,0,0,0,6,3,7,11,3,4,0,30,0,0,0,0,3,10,20,11,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,7,15,6,9,0,0,0,37,0,0,0,0,0,7,9,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,12,0,0,0,8,0,0,0,0,0,11,0,0,0,6,7,12,34,29,0,84,0,3,3,43,35,49,37,14,3,184,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,6,28,12,3,0,0,0,61,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,4,8,18,19,11,5,66
SOSR231,0,0,4,24,13,7,5,0,0,47,0,5,7,93,64,75,85,53,10,393,0,3,7,48,46,184,494,348,103,1226,0,0,3,11,6,4,4,0,0,34,0,3,3,12,5,0,0,0,0,34,0,4,3,35,32,32,25,8,0,128,4,11,40,291,68,59,19,8,0,497,0,0,0,7,20,93,239,100,17,482,0,0,0,13,11,22,15,3,5,57,0,0,7,23,5,4,3,0,0,45,0,0,0,17,4,0,0,0,0,24,0,8,9,72,80,142,454,287,46,1103,9,93,123,570,513,642,446,124,20,2541,0,0,0,11,26,40,54,19,8,152,0,4,4,40,6,3,3,0,0,59,0,0,0,18,41,16,6,0,0,86,11,71,52,268,51,14,19,0,0,495,0,0,10,25,13,19,51,21,0,137,0,0,15,75,12,4,0,0,0,108,0,8,3,70,81,174,218,120,24,699
