SOSR_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SOSR201,5208,10595,7807,5824,7858,4210,2275,43779,1022,1082,709,536,780,420,258,4815,304,481,302,253,323,166,85,1917,10731,22351,17654,13709,20002,11490,6439,102374,425,844,582,473,618,376,222,3534,657,1328,704,515,643,317,181,4342,1077,2173,1285,987,1265,688,400,7880,11813,24522,18935,14696,21265,12176,6838,110248,11142,13006,7718,5707,7125,3992,2563,51249,384,481,285,223,155,71,59,1664,23339,38005,26940,20629,28546,16249,9453,163164
SOSR203,865,1779,1180,832,981,272,109,6031,188,178,99,71,82,33,15,669,46,78,46,19,23,9,6,224,1511,3064,2260,1741,2250,732,339,11898,54,99,70,53,85,21,4,387,94,178,113,58,60,15,3,523,149,278,186,114,144,30,10,906,1668,3338,2443,1855,2392,765,344,12804,1739,1804,1012,748,730,233,102,6360,47,60,36,28,18,3,0,185,3454,5201,3490,2624,3137,999,451,19352
SOSR211,295,525,332,217,298,69,24,1763,51,65,26,19,24,7,6,196,33,32,26,11,17,10,3,131,572,1035,707,470,650,200,96,3733,35,64,42,32,40,7,8,229,72,102,44,36,29,18,0,307,107,167,80,72,71,22,11,535,678,1209,793,543,728,225,98,4273,932,925,497,306,325,88,35,3115,12,18,10,13,6,5,3,65,1625,2150,1300,860,1058,312,142,7449
SOSR212,572,1147,808,551,655,185,60,3975,115,122,65,38,51,12,4,399,31,46,40,28,28,6,9,187,1011,2109,1667,1156,1515,468,187,8106,39,68,53,45,43,15,4,269,86,104,67,28,27,7,8,317,123,173,117,72,72,19,8,590,1129,2279,1787,1224,1585,490,199,8696,1140,1258,690,410,429,115,46,4089,34,37,32,16,16,0,0,136,2306,3583,2504,1651,2030,610,245,12925
SOSR213,595,1147,781,593,636,178,59,3989,135,135,84,49,56,9,3,472,27,49,28,20,19,5,0,145,995,1967,1484,1160,1469,404,146,7635,35,73,57,37,39,4,4,245,81,133,50,39,34,13,5,358,115,201,109,74,73,22,10,604,1109,2177,1594,1232,1544,424,151,8237,1348,1297,671,471,453,96,47,4376,19,48,38,20,9,0,0,141,2478,3518,2308,1727,2002,527,195,12756
SOSR214,299,610,435,302,334,81,23,2085,53,55,40,41,39,8,0,241,9,23,18,10,15,3,0,81,468,1041,807,601,796,222,77,4013,5,35,34,19,23,4,0,127,33,57,35,21,30,5,3,182,40,92,63,47,51,10,3,301,506,1132,870,650,854,235,75,4317,580,665,329,256,230,53,14,2133,9,21,16,16,4,0,0,59,1093,1823,1210,921,1083,285,90,6510
SOSR215,470,938,644,512,532,134,40,3273,70,81,59,40,59,11,5,322,17,31,21,23,24,10,0,125,733,1524,1216,972,1164,273,83,5964,23,38,31,29,31,9,0,169,36,64,40,27,24,5,0,201,59,108,74,60,49,12,7,369,788,1632,1289,1029,1215,281,86,6326,890,896,516,355,319,69,36,3080,41,36,33,15,6,0,0,123,1721,2563,1836,1395,1540,353,121,9530
SOSR221,76,191,151,95,114,21,9,655,11,17,11,9,5,4,0,53,0,7,9,6,4,0,0,30,139,338,277,206,255,52,23,1296,4,11,13,4,4,0,0,45,7,21,11,5,11,0,0,54,16,31,28,8,13,0,0,102,150,369,310,221,270,52,23,1399,182,197,122,90,81,9,4,687,0,0,0,0,0,0,0,9,342,571,425,309,347,61,30,2092
SOSR222,49,104,67,55,58,12,0,352,9,15,9,10,5,4,0,56,0,5,6,4,5,0,0,21,91,192,145,119,124,37,5,714,0,4,0,3,5,0,0,17,9,6,4,13,8,0,0,36,7,10,5,13,10,0,0,54,100,203,150,134,133,32,5,766,112,114,78,59,39,12,3,429,3,4,0,6,0,0,0,12,216,323,231,199,173,51,9,1201
SOSR231,375,842,609,461,549,137,56,3028,85,87,55,28,41,19,11,325,33,46,28,18,26,7,4,159,707,1588,1245,1017,1277,348,157,6340,18,37,47,32,36,4,3,175,27,59,30,31,24,8,0,187,50,98,80,62,65,13,7,367,752,1685,1323,1078,1337,359,162,6704,793,851,574,394,354,114,43,3119,31,33,35,19,19,5,0,142,1579,2574,1934,1484,1709,470,203,9960
