SOSR_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
SOSR201,1430,1345,2776,131593,124433,256026,4915,4714,9629,137937,130496,268436,1316,1284,2593,138756,131478,270234,5524,5297,10819,145589,138057,283650,1333,1318,2643,132520,125441,257959,5159,4848,10008,139017,131601,270616,1314,1230,2542,124338,118377,242718,4702,4316,9012,130354,123919,254272,1493,1468,2967,150322,143650,293972,6919,6080,12999,158734,151199,309933,1436,1330,2766,172717,169863,342578,9257,8384,17640,183403,179571,362982,1154,1079,2233,176688,186733,363421,8347,8233,16584,186191,196055,382245,906,840,1740,174804,180754,355556,7666,7431,15095,183372,189018,372394,759,755,1516,151489,153138,304628,6430,5719,12151,158676,159618,318296,771,756,1524,139522,146737,286254,5674,5216,10891,145964,152713,298676,754,692,1453,132991,142200,275188,5236,4687,9920,138982,147581,286563,499,615,1109,120114,126952,247069,4696,4154,8849,125304,131720,257023,441,402,843,107044,116610,223657,3866,3731,7593,111352,120744,232099,749,867,1613,297364,360933,658299,12783,15662,28448,310894,377463,688353,14350,13982,28330,2150263,2227305,4377570,91171,88463,179637,2255791,2329751,4585537
SOSR203,405,402,808,10799,10413,21211,445,462,907,11651,11275,22929,438,408,841,11230,10750,21979,623,521,1146,12285,11679,23967,375,358,733,11089,10400,21484,555,465,1020,12017,11221,23235,304,333,636,10526,10246,20771,502,528,1033,11331,11105,22438,313,369,682,12089,12268,24358,692,610,1306,13088,13252,26344,323,320,646,13796,13760,27553,759,723,1479,14877,14794,29672,190,235,424,12594,13365,25955,626,585,1208,13414,14177,27592,164,196,360,11717,12586,24306,542,579,1121,12427,13357,25788,137,161,294,10134,11370,21513,506,533,1035,10778,12067,22846,126,176,304,10448,11482,21933,537,513,1054,11116,12174,23291,145,158,298,10057,11215,21276,481,435,916,10682,11807,22485,124,129,254,9882,11164,21047,445,419,867,10457,11711,22170,93,102,195,9542,11242,20775,427,386,812,10059,11726,21785,164,199,363,30201,37954,68157,1419,1759,3176,31783,39917,71699,3299,3538,6838,174112,188207,362316,8554,8524,17084,185970,200267,386231
SOSR211,181,172,353,4268,4253,8521,256,228,489,4709,4652,9361,184,181,365,4280,4162,8442,304,300,601,4767,4643,9412,167,154,319,3597,3618,7215,292,294,583,4049,4071,8121,130,132,259,3210,2951,6162,205,220,425,3547,3305,6850,115,115,231,3254,3005,6253,219,200,423,3584,3319,6904,100,115,213,3614,3903,7515,245,274,516,3957,4292,8245,91,114,200,4398,4833,9227,274,277,551,4759,5226,9980,56,74,132,4250,4392,8646,257,281,537,4564,4749,9310,38,67,102,3502,3504,7002,241,225,461,3775,3797,7570,44,66,111,3088,3032,6114,212,177,386,3339,3275,6617,44,68,113,2743,2964,5715,138,170,309,2929,3204,6137,37,41,73,2552,2721,5268,152,130,279,2733,2891,5627,29,50,76,2275,2686,4961,129,93,221,2428,2831,5262,53,56,108,6485,7493,13983,320,379,706,6862,7933,14792,1251,1411,2663,51519,53517,105032,3234,3254,6492,56005,58179,114187
SOSR212,404,395,798,7368,7025,14392,367,345,712,8135,7762,15901,446,420,866,8152,7532,15685,481,451,934,9078,8404,17488,466,406,872,8031,7548,15580,470,455,924,8965,8414,17374,340,350,693,7103,6686,13790,404,380,778,7851,7411,15267,280,267,547,6599,6508,13106,391,337,728,7275,7109,14390,255,284,542,7553,7883,15435,459,466,931,8265,8640,16905,217,266,490,7850,8581,16428,449,467,916,8517,9316,17831,156,191,350,7764,8469,16233,436,464,906,8358,9129,17483,158,173,337,7251,7956,15206,437,400,834,7844,8529,16375,166,168,333,7369,8098,15469,424,385,802,7955,8649,16604,126,172,297,7380,8051,15425,381,356,735,7885,8578,16458,114,154,271,6918,7953,14872,364,380,741,7396,8487,15881,96,134,225,7073,7961,15035,358,367,722,7521,8455,15985,172,207,377,21392,26081,47478,1269,1480,2755,22835,27770,50606,3394,3601,6992,117803,126331,244130,6683,6726,13406,127879,136657,264540
SOSR213,340,337,670,6962,6720,13683,358,343,702,7663,7398,15057,365,342,709,7251,6831,14077,431,414,843,8043,7589,15629,353,339,691,7197,6698,13895,429,386,818,7979,7414,15397,293,248,544,6567,6059,12628,327,325,653,7189,6636,13824,218,217,435,6027,5817,11842,338,329,664,6587,6360,12946,201,183,389,7027,7292,14318,405,391,791,7633,7869,15502,163,189,353,7102,7639,14745,391,394,782,7659,8219,15883,153,148,309,6999,7570,14566,378,409,792,7532,8132,15664,121,113,233,6196,6761,12962,337,348,685,6648,7223,13873,104,132,239,6585,7219,13801,346,336,682,7038,7686,14722,123,138,263,6691,7520,14219,358,317,677,7182,7976,15155,121,99,219,6769,7563,14331,318,321,643,7211,7981,15191,69,105,181,6993,7882,14879,311,312,625,7374,8306,15685,120,177,296,23929,28764,52695,1304,1590,2892,25349,30535,55880,2755,2775,5526,112299,120340,232638,6038,6206,12247,121091,129324,250413
SOSR214,152,170,321,3417,3283,6700,178,173,348,3748,3619,7369,182,163,350,3705,3435,7143,252,235,492,4146,3841,7986,171,142,309,3675,3481,7157,249,257,509,4091,3879,7973,124,117,239,3490,3184,6670,207,204,409,3819,3501,7320,103,114,218,3174,2848,6026,160,138,301,3443,3105,6544,82,85,171,3469,3469,6940,198,203,405,3760,3759,7517,78,93,173,3575,3857,7441,218,202,419,3871,4157,8031,78,71,154,3377,3777,7148,238,267,501,3687,4111,7801,45,67,109,3303,3541,6841,200,198,397,3558,3804,7358,57,78,135,3545,3896,7448,222,218,440,3830,4191,8023,67,79,145,3775,4324,8096,222,197,417,4063,4596,8659,57,74,129,4075,4656,8735,237,215,451,4367,4941,9312,52,55,110,4508,5161,9663,285,268,549,4841,5480,10320,80,127,211,17594,20705,38299,1132,1343,2476,18812,22175,40988,1333,1435,2767,64690,69614,134309,4004,4118,8123,70033,75164,145199
SOSR215,247,249,499,5823,5419,11241,340,328,665,6408,5995,12403,259,230,492,6400,5961,12361,449,402,857,7108,6595,13709,224,240,464,6418,6073,12488,435,422,854,7081,6723,13806,201,168,365,5433,5063,10501,387,353,747,6021,5588,11608,142,156,296,4558,4147,8705,343,281,618,5036,4582,9623,121,144,268,5297,5411,10711,349,352,707,5773,5915,11687,133,123,255,5742,6101,11847,342,365,711,6224,6589,12810,96,111,211,5619,6232,11856,398,390,788,6118,6738,12855,94,108,205,5458,5824,11281,403,362,765,5952,6301,12250,97,95,190,5862,6347,12205,394,414,808,6343,6855,13204,100,111,210,6189,6653,12844,421,415,831,6711,7172,13883,98,116,218,6682,7418,14094,444,359,807,7228,7889,15119,85,84,173,7208,7911,15124,424,407,836,7719,8412,16133,165,181,345,24330,27542,51874,1601,1778,3382,26098,29502,55600,2069,2124,4190,101017,106104,207121,6736,6634,13375,109821,114859,224681
SOSR221,63,70,131,1420,1435,2850,95,70,159,1575,1571,3146,59,62,120,1697,1548,3249,107,113,215,1865,1720,3588,64,48,108,1750,1627,3378,113,110,221,1919,1786,3708,50,41,91,1426,1388,2815,95,100,192,1569,1537,3103,30,35,65,1141,1001,2141,81,67,153,1257,1103,2351,29,24,58,1220,1248,2466,94,71,171,1338,1349,2690,22,33,56,1424,1551,2977,71,83,156,1514,1667,3182,21,25,50,1470,1614,3090,110,113,218,1601,1758,3359,30,30,55,1526,1536,3061,92,112,207,1644,1672,3323,27,22,56,1613,1769,3382,129,111,238,1767,1905,3675,22,42,63,1862,1975,3842,142,111,253,2030,2129,4157,21,26,47,2095,2172,4267,154,143,299,2271,2343,4613,25,22,44,2398,2480,4873,142,147,291,2560,2646,5207,48,41,85,7214,7172,14380,543,511,1055,7793,7722,15523,498,527,1023,28244,28523,56768,1968,1861,3831,30711,30906,61615
SOSR222,33,30,58,705,673,1384,58,36,89,791,739,1531,38,33,69,811,842,1651,61,57,118,906,932,1841,38,37,75,956,866,1823,94,76,169,1089,982,2067,27,25,54,741,742,1482,75,68,147,848,831,1684,15,23,32,649,605,1256,76,66,140,737,685,1426,15,15,32,700,691,1391,63,47,111,776,755,1535,20,19,40,771,786,1555,68,69,139,865,871,1736,17,13,34,792,844,1642,65,68,137,878,931,1809,14,20,31,772,856,1630,73,67,136,857,939,1798,12,10,19,928,967,1895,75,83,160,1016,1060,2073,24,20,46,1059,1065,2123,110,63,173,1185,1154,2342,20,26,43,1175,1229,2404,102,87,196,1301,1340,2645,28,13,43,1329,1347,2677,104,97,199,1458,1464,2922,27,35,64,3642,3438,7080,270,233,505,3943,3708,7651,320,306,632,15039,14957,29997,1293,1131,2425,16656,16396,33052
SOSR231,287,277,560,8903,8622,17523,636,624,1259,9827,9524,19348,321,313,631,11421,10577,21993,995,889,1885,12737,11776,24517,383,364,747,13355,12433,25787,1151,1065,2223,14889,13863,28752,258,305,563,12473,11347,23817,1019,970,1989,13752,12624,26374,234,185,420,9449,7942,17393,752,636,1388,10442,8759,19202,222,143,359,8322,7862,16189,687,646,1333,9232,8653,17880,217,148,361,9058,8909,17963,757,697,1450,10032,9745,19780,219,149,366,10138,10332,20476,861,837,1694,11216,11318,22536,174,161,333,11110,11037,22147,923,907,1828,12197,12112,24312,172,147,318,13167,13296,26463,1095,1039,2138,14434,14484,28923,200,198,398,15489,15542,31030,1275,1151,2427,16957,16892,33853,202,154,356,16496,16427,32923,1303,1181,2484,18007,17764,35770,167,155,323,17442,16382,33822,1368,1208,2572,18974,17743,36717,279,196,479,45131,38572,83701,3692,3077,6767,49104,41842,90947,3341,2885,6228,201957,189277,391234,16505,14938,31443,221807,207104,428903
