SOSR_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOSR201,384975,69254,37981,1118,289,493621,465538,84272,56274,644,319,607042,166756,87875,137475,1654,546,394316,11233,9577,12144,8,31,32995,1871,2057,3554,20,40,7538,38013,15065,16319,560,176,70128,5844,1737,1702,914,89,10287,1164,534,593,26,22,2340,224871,116854,171787,3185,901,517594,12824,8600,6086,147,60,27717,14644,4254,3591,120,123,22723,1102854,283230,275722,5212,1691,1668713
SOSR203,43588,3488,638,169,43,47921,47162,2536,469,35,58,50264,24533,6682,1959,57,57,33285,3212,1714,256,0,5,5189,632,594,124,5,11,1367,6016,1146,279,23,38,7512,505,143,37,129,9,830,166,82,11,0,0,263,35073,10359,2669,216,125,48446,1471,602,49,54,8,2179,1609,384,81,11,5,2084,128909,17364,3902,484,240,150904
SOSR211,8698,664,40,5,4,9406,15771,577,47,0,15,16414,7416,1331,176,9,11,8942,773,326,53,0,0,1158,106,67,6,0,0,181,1421,187,28,3,0,1641,334,64,0,4,0,408,55,21,0,0,0,77,10111,1997,266,18,11,12412,260,48,8,0,0,314,631,130,5,30,5,805,35469,3418,370,63,35,39352
SOSR212,29876,2074,770,259,34,33020,34631,1066,404,25,25,36151,12379,3338,1521,42,24,17301,1907,735,402,3,0,3052,318,198,180,14,4,709,3911,600,282,30,20,4844,465,103,78,88,8,740,139,45,37,3,4,225,19111,5014,2504,174,58,26859,1130,356,151,102,9,1744,1254,239,110,23,15,1647,86012,8748,3936,577,148,99425
SOSR213,32725,2121,502,355,27,35725,32783,891,169,22,23,33897,11960,2862,1193,39,17,16067,1859,961,253,4,0,3072,335,236,98,0,0,673,3760,563,154,22,17,4519,422,116,37,97,4,677,115,63,17,0,0,194,18450,4804,1755,159,41,25205,900,335,80,35,5,1350,1413,367,67,20,10,1878,86269,8512,2577,595,103,98057
SOSR214,22952,1587,121,245,40,24950,17446,521,55,35,21,18080,6606,1653,220,38,15,8532,1071,571,77,0,0,1730,161,183,63,0,0,407,2389,347,52,35,12,2831,234,61,20,89,10,413,71,43,8,3,0,121,10537,2858,449,167,41,14046,707,278,17,19,6,1032,982,171,21,53,13,1240,52627,5412,664,517,126,59350
SOSR215,34290,1196,276,442,49,36250,31087,494,116,63,42,31803,7734,1278,402,50,21,9484,1036,414,207,4,0,1667,223,151,77,5,0,454,3975,373,82,52,28,4500,486,68,23,145,16,734,98,38,12,4,0,151,13548,2324,797,255,63,16990,1067,85,58,22,5,1237,1560,149,43,40,17,1808,81547,4250,1302,818,172,88095
SOSR221,10582,137,66,188,16,10989,8698,82,38,33,9,8864,1512,100,131,8,3,1747,67,96,22,0,0,189,40,45,14,0,0,93,1218,40,18,18,9,1296,169,15,12,51,3,244,24,7,0,0,0,37,3026,298,194,71,14,3601,345,24,10,11,3,390,419,17,12,29,0,475,23075,556,315,338,38,24321
SOSR222,5577,42,36,68,10,5723,4812,30,24,21,0,4885,597,42,27,5,5,670,35,16,12,0,0,72,14,10,4,0,0,32,676,9,12,13,5,719,108,3,19,26,5,163,14,0,0,3,0,24,1452,89,76,41,14,1670,210,0,3,6,5,228,274,5,10,12,0,296,12323,162,142,151,31,12809
SOSR231,69717,258,61,940,139,71115,54863,149,29,137,82,55254,4511,54,34,39,19,4660,79,29,5,3,6,115,80,6,8,5,6,99,6878,40,27,63,39,7041,2118,20,10,323,47,2518,127,0,0,24,3,157,13786,150,86,454,111,14585,5388,28,9,77,38,5547,2574,12,3,105,19,2713,146332,587,189,1712,393,149218
