SOSR_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOSR201,52093,47587,99680,130633,121613,252249,35345,34363,69707,21572,22494,44069,187847,178728,366571,85043,78252,163303,31676,32468,64142,31597,32522,64121,148527,143449,291975,11603,10038,21637,11705,15504,27213,13495,6116,19607,18747,26463,45212,223,166,387,55764,58286,114056,65887,79009,144892,25462,31061,56528,7724,9253,16980,20683,33531,54212,286,316,601,120043,153173,273215,176104,211741,387849,11011,10551,21567,13795,20128,33919,270,265,539,25074,30946,56020,108277,103957,212228,697920,716398,1414322
SOSR203,4483,4134,8621,9967,9298,19263,4162,4078,8235,1681,1666,3341,15819,15049,30870,6395,6093,12483,3238,3515,6755,2512,2483,4996,12155,12104,24256,716,847,1570,656,1075,1728,1407,830,2233,1593,2116,3711,15,18,34,4385,4887,9276,3435,5044,8474,1574,2091,3670,465,718,1185,1490,3003,4490,21,20,44,6982,10872,17856,11382,15775,27162,593,579,1175,827,1318,2145,21,13,33,1441,1915,3360,9786,9992,19775,55067,58974,114038
SOSR211,1507,1575,3082,3811,3591,7401,1246,1271,2515,699,772,1469,5765,5636,11400,2370,2415,4782,832,894,1727,538,540,1073,3740,3860,7595,327,240,569,255,397,653,456,259,710,445,798,1239,9,8,18,1488,1707,3194,480,811,1290,230,493,725,103,144,245,296,613,907,3,5,6,1113,2057,3171,2606,3771,6373,300,281,582,300,524,819,5,11,12,601,819,1420,3591,3579,7168,17804,19240,37043
SOSR212,3090,2930,6022,7823,7077,14898,3068,3047,6118,874,750,1631,11775,10895,22669,4701,4449,9152,2687,2886,5572,1249,1252,2497,8648,8598,17248,370,521,892,330,653,990,1084,670,1755,1082,1639,2718,25,9,38,2888,3492,6387,1114,1877,2986,445,898,1343,180,336,517,764,1680,2442,7,13,17,2505,4804,7312,5402,8313,13716,318,306,624,552,852,1403,18,20,32,885,1178,2060,7560,7721,15282,37354,39636,76993
SOSR213,2882,2567,5453,6948,6399,13341,2614,2644,5259,817,812,1630,10393,9866,20263,4617,4336,8956,2049,2173,4217,1060,1006,2066,7724,7521,15245,356,428,784,255,555,817,964,618,1580,837,1593,2432,17,16,36,2422,3218,5638,769,1341,2107,320,763,1080,149,299,448,677,1577,2252,4,19,24,1919,4003,5917,4343,7226,11572,330,297,630,465,799,1264,17,10,34,815,1114,1925,7537,7382,14915,33697,35681,69377
SOSR214,1418,1324,2740,3589,3314,6900,1380,1327,2709,346,351,694,5313,4997,10308,2406,2272,4680,1046,1140,2183,553,563,1120,4008,3982,7990,215,207,421,129,237,367,527,292,823,419,762,1180,11,11,19,1309,1505,2811,344,572,914,163,366,530,81,141,217,277,766,1047,5,3,5,859,1860,2719,2167,3366,5536,154,112,270,251,400,651,18,11,29,427,524,948,4701,4876,9582,18041,19062,37107
SOSR215,2500,2130,4635,6697,6210,12905,1770,1905,3679,639,560,1197,9116,8681,17794,4395,4253,8645,1332,1417,2751,948,991,1934,6676,6663,13341,229,308,536,153,376,532,861,496,1357,657,1244,1901,23,7,28,1923,2432,4355,555,988,1543,257,608,863,107,221,331,492,1395,1884,12,15,24,1419,3221,4639,3348,5657,9008,175,183,359,343,629,970,9,14,22,531,819,1351,7493,7566,15060,29658,31514,61178
SOSR221,601,575,1182,1889,1739,3630,369,323,693,201,184,387,2467,2250,4707,1140,1168,2309,342,383,728,275,250,521,1755,1803,3558,60,83,140,48,115,161,212,119,336,184,318,502,0,6,10,506,641,1144,119,248,370,71,144,216,19,42,56,101,338,442,0,0,5,315,775,1092,821,1417,2237,46,52,102,90,138,227,3,0,4,145,187,329,2132,2072,4201,7923,8297,16213
SOSR222,301,278,578,1016,980,1989,146,148,296,72,72,144,1231,1200,2431,634,638,1272,178,187,364,143,134,276,961,959,1913,14,41,52,25,50,75,111,58,171,86,184,272,0,6,4,241,333,574,79,135,210,30,93,126,12,37,49,64,183,242,7,4,4,194,449,640,434,779,1215,31,27,57,45,95,140,4,0,3,83,117,201,1424,1258,2677,4428,4595,9021
SOSR231,3890,3553,7441,11438,10251,21689,3810,3807,7617,1794,1804,3603,17055,15872,32926,7592,7135,14724,3974,4127,8099,2962,3119,6082,14531,14391,28919,489,590,1076,221,546,765,1914,840,2752,1083,2021,3112,43,20,68,3745,4021,7768,1551,2574,4125,325,955,1275,257,491,752,730,2239,2972,14,27,40,2880,6289,9163,6635,10311,16948,405,356,760,534,1014,1552,34,36,72,974,1398,2376,20633,15812,36444,63724,61339,125059
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
SOSR299,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
