SOSR_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
SOSR201,45054,108558,298729,286936,230484,162999,48162,6822,532,1188278,95,325,1079,1071,1099,731,227,62,0,4692,5,23,175,293,277,97,19,3,0,892,2146,3133,9986,12044,12589,8383,1662,147,7,50097,30,320,1999,2765,1712,753,112,7,0,7700,321,2017,7991,7793,6295,3928,938,108,0,29406,287,1573,5554,6732,6465,3882,860,91,5,25453,14941,22623,25946,19329,18590,12821,3020,271,12,117561,20155,15264,15333,8775,7097,4465,919,88,3,72093,323,1905,6059,6360,5965,3814,723,47,5,25195,536,1402,4690,4572,3100,1455,335,40,6,16132,165,2788,14442,16962,11003,5059,1048,87,5,51566,238,1461,5225,4350,3686,2224,738,131,14,18057,547,7423,32362,27613,18524,9845,2914,326,20,99573,477,3242,10251,8423,7739,5076,1356,119,7,36694,354,3163,14632,16632,14856,9687,1937,181,7,61439,2777,9361,33680,34589,32785,23043,5264,398,12,141900,2380,19778,64230,55428,49666,37418,9364,612,23,238881,2020,3008,5057,4161,3231,1814,539,83,8,19913,1076,3700,10155,8740,7634,4890,1191,111,7,37510
SOSR203,5168,9458,22995,19240,17188,13489,3927,500,45,92003,22,61,109,99,81,71,46,14,0,501,0,16,53,34,28,16,10,0,0,164,283,355,683,685,719,528,111,6,0,3377,5,44,176,171,151,65,9,0,0,616,46,211,512,481,434,299,84,5,0,2066,42,79,229,229,224,170,34,0,0,1018,1761,1924,2290,1641,1684,1363,303,22,0,10988,2351,1627,1279,809,664,539,125,5,3,7403,26,103,308,262,263,257,64,5,0,1286,42,96,209,179,158,84,26,0,0,803,14,122,698,820,661,315,63,0,0,2693,21,104,297,214,203,149,46,9,5,1039,40,366,1337,1133,906,546,163,15,0,4512,58,234,643,571,616,515,121,10,0,2779,26,275,1300,1494,1429,914,189,18,0,5649,220,812,2974,3164,2957,2134,442,19,0,12725,333,2504,7044,5789,5462,4857,979,41,5,27010,152,249,326,278,230,147,51,8,0,1438,125,385,839,606,518,431,105,11,3,3028
SOSR211,1376,2504,6846,6654,4697,3199,863,84,8,26233,0,6,22,38,23,21,0,3,0,115,0,0,0,0,7,3,0,0,0,15,44,70,237,276,207,140,18,0,0,998,0,11,29,39,26,12,0,0,0,118,6,59,200,171,136,90,23,0,0,692,7,17,96,94,75,61,5,0,0,362,461,454,671,531,508,368,84,3,0,3085,539,286,318,203,166,101,21,0,0,1630,11,89,299,231,204,137,27,0,0,1004,8,21,47,46,12,10,0,0,0,153,4,49,231,206,118,70,14,0,0,693,11,44,93,70,44,38,5,0,0,300,11,65,272,253,128,82,35,8,0,842,18,82,234,233,202,130,29,9,0,936,18,95,362,400,366,239,58,4,0,1536,49,191,766,813,581,352,82,0,0,2826,91,394,1593,1449,1196,854,162,6,0,5750,41,37,60,64,41,32,4,0,0,279,28,86,226,176,107,77,24,6,0,735
SOSR212,3766,5292,13575,13360,12678,10125,3010,379,32,62220,25,93,368,235,181,131,49,9,0,1101,0,3,12,18,14,17,0,0,0,60,215,155,412,480,502,372,68,3,0,2212,6,38,126,136,146,76,10,0,0,535,23,114,362,405,363,248,70,0,0,1580,15,55,175,201,182,166,31,3,0,822,1287,992,1252,1130,1261,1113,232,13,0,7281,1494,803,757,616,545,435,111,5,0,4770,28,94,267,300,329,280,63,0,0,1358,21,48,109,117,106,52,15,3,0,467,9,77,332,420,391,197,30,0,0,1465,7,83,168,195,192,94,46,9,0,792,30,185,816,783,639,415,129,12,5,3015,44,143,429,438,435,356,95,0,0,1942,36,202,821,1117,1131,774,143,4,0,4231,164,479,1836,2186,2121,1518,319,18,0,8640,175,1201,3863,3522,3628,3184,696,25,0,16289,123,95,172,176,154,96,21,0,0,847,114,253,591,516,446,278,72,10,0,2283
SOSR213,3455,4796,12253,11528,10988,9399,2946,426,46,55852,39,82,255,165,157,135,81,27,0,940,0,6,21,12,26,12,0,0,0,71,158,195,538,499,501,378,77,4,0,2351,4,24,78,90,81,59,11,0,0,356,37,91,318,296,307,227,64,4,0,1333,24,46,149,144,181,125,29,5,0,698,1135,862,1152,1029,1212,1037,215,13,0,6654,1385,638,732,536,496,452,102,3,0,4341,10,57,192,208,271,234,50,4,0,1029,28,49,86,98,89,72,15,0,0,441,8,70,314,392,307,172,20,3,0,1289,13,76,163,145,155,82,32,5,0,667,38,166,541,633,473,316,109,12,0,2280,49,130,339,397,419,374,81,8,0,1793,33,138,732,887,934,671,161,7,0,3570,146,461,1587,1771,1823,1350,278,14,0,7432,204,1084,3475,3175,3355,3053,695,24,0,15062,71,90,129,153,120,90,29,5,0,689,84,238,539,436,420,272,91,7,0,2087
SOSR214,1736,2511,6148,5717,5956,5638,2038,310,25,30084,32,51,99,105,95,101,59,17,0,558,0,6,9,7,14,5,0,0,0,46,138,120,322,288,346,270,61,4,0,1557,0,9,26,43,45,25,3,4,0,151,14,59,183,180,170,145,36,7,0,786,18,26,67,73,111,55,31,0,0,381,533,396,567,551,700,620,169,11,6,3552,661,361,421,347,371,328,85,8,0,2583,8,28,119,107,141,139,45,3,0,585,4,15,46,41,51,46,12,7,0,221,4,37,146,159,158,111,23,0,0,635,12,35,88,69,110,75,20,0,0,408,20,79,282,309,291,239,92,15,0,1325,14,55,155,211,226,193,52,5,0,909,24,96,338,436,480,397,81,9,0,1862,47,178,778,919,919,728,199,11,0,3783,106,526,1608,1491,1738,1825,462,14,0,7772,34,46,98,117,106,94,36,7,0,529,46,113,250,207,214,173,60,10,0,1059
SOSR215,2717,3775,9817,9812,10140,9520,3324,539,46,49696,59,129,231,229,232,205,117,40,4,1247,0,9,16,11,18,16,0,0,0,80,161,134,357,422,470,420,92,4,0,2068,5,15,67,85,70,51,15,0,0,302,20,86,325,335,320,239,50,5,0,1376,15,49,151,142,170,141,33,5,0,713,879,562,854,853,1080,1055,251,19,0,5545,982,446,639,571,618,508,161,19,3,3936,16,41,177,225,261,254,63,15,0,1042,12,17,70,78,76,54,19,0,0,336,9,56,225,264,251,196,46,4,0,1053,14,49,143,131,144,121,29,5,0,634,16,127,437,586,487,386,146,15,0,2191,28,76,255,312,360,317,81,19,0,1447,18,117,607,743,760,628,139,5,0,3017,79,296,1305,1545,1502,1240,292,16,0,6270,157,790,2415,2303,2729,2762,631,32,5,11832,50,72,177,142,147,103,45,8,0,739,76,143,424,391,300,244,78,10,0,1670
SOSR221,746,951,2360,2638,2885,2935,1025,143,12,13690,13,21,79,70,74,74,44,9,0,387,0,7,5,9,5,5,0,0,0,20,37,34,82,92,142,101,25,4,0,509,0,4,11,17,18,10,0,0,0,68,5,22,91,98,86,66,23,0,0,381,4,16,18,32,34,47,6,0,0,164,258,142,238,249,302,265,76,5,0,1530,269,107,140,125,144,160,39,3,0,990,8,17,37,47,89,90,23,0,0,310,0,6,16,19,17,19,4,0,0,79,0,14,67,66,89,42,6,0,0,280,3,8,21,34,43,27,9,0,0,156,3,29,128,144,140,126,43,3,0,622,11,19,51,87,93,123,19,4,0,408,3,26,124,195,230,203,37,0,0,818,22,75,329,461,481,376,94,6,0,1853,48,162,570,611,773,866,175,4,0,3221,16,15,47,57,42,54,21,3,0,252,19,43,86,88,79,61,26,0,0,403
SOSR222,340,521,1270,1375,1665,1682,617,88,6,7570,11,12,42,42,51,44,22,10,0,239,0,0,0,4,0,0,0,0,0,10,19,20,40,44,69,67,18,5,0,282,0,0,10,7,14,10,0,0,0,47,4,9,35,34,47,42,8,3,0,185,6,7,19,12,27,25,5,0,0,104,81,70,92,123,140,169,39,3,0,714,165,89,151,98,94,127,25,0,0,760,12,26,23,38,58,53,9,3,0,222,0,3,7,9,16,3,3,0,0,43,0,4,30,24,35,30,7,0,0,131,0,9,14,15,22,9,3,0,0,75,4,14,54,76,87,46,23,0,0,302,9,9,54,31,51,51,18,3,0,238,0,12,73,114,118,75,18,0,0,414,14,43,147,207,250,225,42,0,0,924,27,97,265,316,410,456,92,5,0,1662,10,12,23,38,32,15,10,0,0,147,10,25,59,44,60,31,6,0,0,242
SOSR231,6651,7807,14609,18457,24663,25293,11331,2791,370,111976,390,494,1308,1673,2264,2926,2364,784,82,12282,4,26,34,56,73,46,12,0,0,260,397,263,548,744,1162,950,274,38,0,4374,10,31,108,169,179,133,19,0,0,649,64,172,550,793,962,744,186,22,3,3482,71,104,247,303,442,383,94,16,7,1665,1711,1027,1085,1263,1955,1719,390,37,3,9191,2022,802,682,660,904,834,250,29,0,6174,45,99,252,352,617,545,173,17,0,2106,21,41,115,127,169,142,39,7,0,661,18,83,295,463,490,362,90,4,0,1797,35,64,181,213,249,205,75,15,0,1032,101,297,789,1211,1340,1014,337,31,0,5113,69,133,354,448,692,607,154,16,3,2483,98,313,778,1287,1649,1267,228,13,0,5638,245,564,1712,2586,3380,2764,686,36,0,11970,315,1274,3196,3774,5522,5613,1274,54,0,21016,212,215,303,316,404,326,82,7,0,1868,180,263,611,622,737,578,172,18,0,3179
