SOSR_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SOSR201,2255791,2329751,4585537,137937,130496,268436,284607,269664,554271,130354,123919,254272,158734,151199,309933,369594,375628,745220,342049,348635,690688,284946,300286,585234,236664,252467,489125,174337,198500,372835,99909,120121,220034,36647,58840,95489,2196519,2268839,4465358,59271,60910,120182,13413,13132,26549,535,453,984,402,392,796,14350,13982,28330,1335821,1360789,2696611,820685,872238,1692930,1355143,1379759,2734902,790152,842997,1633150,1816550,1881144,3697692,41566,39109,80676,268014,254273,522292,109007,107731,216743,77105,79622,156735,93145,130971,224112,1180452,1277561,2458016,176149,166541,342691,196348,177143,373495,82521,79952,162474,72721,93978,166699,24815,33109,57927,2122655,2194406,4317066,122116,121883,244000
SOSR203,185970,200267,386231,11651,11275,22929,24299,22903,47200,11331,11105,22438,13088,13252,26344,28291,28973,57266,23205,25426,48628,21800,23981,45780,20512,23437,43953,17873,20876,38749,10157,12629,22789,3752,6406,10152,178987,193497,372486,6979,6771,13750,3103,3349,6452,118,114,229,81,73,156,3299,3538,6838,148708,161221,309928,27805,29436,57244,156161,169651,325808,20277,20892,41166,163725,178204,341925,3436,3316,6756,22736,21562,44301,8442,8722,17165,4567,5709,10273,6054,9631,15685,74430,88845,163271,21643,21986,43630,24968,24257,49228,10969,11028,21998,7430,8555,15984,1167,1193,2358,172449,185557,358005,12598,13695,26288
SOSR211,56005,58179,114187,4709,4652,9361,8819,8719,17535,3547,3305,6850,3584,3319,6904,8713,9515,18229,8335,8546,16879,6266,6478,12751,5168,5722,10892,4391,4900,9296,1982,2255,4235,487,780,1265,54419,56747,111166,1588,1435,3025,1183,1330,2519,36,32,70,25,47,74,1251,1411,2663,38197,39708,77903,14324,14977,29301,38787,40424,79209,13525,14048,27575,46440,48019,94453,1186,1290,2475,8007,7914,15922,2484,2469,4953,1005,1090,2093,1513,2872,4386,19395,22436,41830,5865,5654,11521,8457,7804,16262,3182,3008,6195,2090,2185,4282,468,612,1080,52040,54393,106439,3624,3500,7127
SOSR212,127879,136657,264540,8135,7762,15901,18043,16814,34860,7851,7411,15267,7275,7109,14390,16783,17952,34739,16199,17655,33856,15841,17225,33063,14923,16943,31866,13180,14981,28154,7207,8611,15815,2451,4177,6635,122508,131584,254087,5378,5068,10447,3210,3429,6638,85,73,159,93,101,198,3394,3601,6992,101396,108761,210153,18994,20341,39333,106815,114701,221516,13745,14510,28256,111616,120022,231636,2340,2316,4651,16729,15647,32370,5706,5743,11444,1897,2486,4384,3095,5694,8792,45793,56706,102500,16114,15975,32084,18452,17261,35716,7980,7557,15538,5308,5859,11169,969,940,1909,118364,126583,244944,9065,9567,18629
SOSR213,121091,129324,250413,7663,7398,15057,16022,15001,31024,7189,6636,13824,6587,6360,12946,15291,16087,31377,14183,15359,29543,14217,15658,29876,14588,16290,30880,14037,15650,29687,8420,10056,18476,2897,4820,7715,115912,124562,240472,5181,4761,9938,2620,2625,5248,78,85,166,56,61,115,2755,2775,5526,98465,105294,203751,15687,16875,32568,105109,112589,217698,8640,9636,18274,107959,115984,223945,2200,2081,4281,14884,13943,28829,5085,5076,10161,1501,1909,3408,2467,5254,7717,38988,49201,88192,16274,16728,32996,20492,18756,39244,8584,8163,16744,5778,6101,11881,573,594,1173,111561,119597,231157,8130,8435,16565
SOSR214,70033,75164,145199,3748,3619,7369,8238,7720,15958,3819,3501,7320,3443,3105,6544,7627,7917,15546,7239,7912,15155,7895,8788,16679,9208,10424,19633,10239,11496,21732,6397,7159,13555,2180,3524,5699,66732,71975,138711,3295,3190,6485,1264,1342,2603,46,59,101,29,32,61,1333,1435,2767,56455,60617,117075,8896,9649,18540,61242,65860,127101,4446,4794,9232,62564,67317,129881,1063,1052,2120,7580,7122,14701,2661,2608,5270,825,862,1686,1193,2528,3722,22124,28138,50265,9535,9847,19386,12122,11335,23457,5527,5270,10797,3749,3919,7668,327,302,631,63918,68507,132421,5654,6035,11688
SOSR215,109821,114859,224681,6408,5995,12403,14190,13320,27513,6021,5588,11608,5036,4582,9623,11998,12503,24498,12071,13034,25102,13059,14035,27085,14946,16302,31245,15028,15740,30765,8357,9321,17677,2708,4441,7150,104505,109919,214422,5326,4940,10258,1942,2008,3949,76,60,137,49,50,104,2069,2124,4190,89568,93547,183115,12397,13434,25833,97386,101986,199372,5299,5766,11065,98291,103080,201374,1876,1671,3552,13076,12308,25388,4258,4313,8571,1087,1408,2500,1850,4233,6087,33901,44045,77945,14635,14691,29329,19016,16377,35393,8495,7204,15697,5397,5173,10573,452,399,848,100051,104703,204755,8784,9321,18108
SOSR221,30711,30906,61615,1575,1571,3146,3783,3514,7295,1569,1537,3103,1257,1103,2351,2858,3016,5867,3249,3431,6681,3797,4032,7831,4832,4990,9819,4826,4478,9308,2311,2240,4555,653,1002,1658,29027,29401,58423,1688,1508,3194,463,496,959,23,16,37,15,14,30,498,527,1023,25038,25237,50276,3375,3436,6809,27602,27746,55356,1086,1201,2290,27654,27891,55538,441,443,883,3516,3234,6753,1098,1158,2256,273,352,620,456,1038,1497,9472,12074,21547,4297,4056,8347,5553,4453,10009,2497,1896,4393,1373,1229,2602,78,75,152,27776,28069,55845,2585,2590,5173
SOSR222,16656,16396,33052,791,739,1531,1992,1914,3910,848,831,1684,737,685,1426,1640,1631,3270,1736,1872,3606,2200,2212,4415,2760,2803,5566,2525,2187,4713,1122,1106,2229,298,414,714,15684,15579,31260,973,818,1790,304,283,588,13,15,23,8,13,20,320,306,632,13409,13245,26650,1677,1792,3475,14653,14517,29166,626,693,1315,14782,14599,29381,223,209,427,1812,1741,3547,560,589,1154,157,189,344,253,606,858,5000,6409,11412,2268,2107,4375,2980,2311,5288,1363,975,2340,816,653,1472,46,35,86,14752,14746,29504,3615,3518,7129
SOSR231,221807,207104,428903,9827,9524,19348,27628,25643,53269,13752,12624,26374,10442,8759,19202,19262,18401,37655,23421,23422,46846,31393,31378,62773,36977,35508,72485,32210,27492,59700,13965,11317,25286,2926,3033,5963,211307,198418,409722,10496,8682,19182,3161,2755,5915,105,67,165,75,68,141,3341,2885,6228,180744,168187,348928,22437,21977,44415,192589,182593,375179,9185,9307,18488,194890,184388,379277,2849,2698,5544,25088,23382,48473,9808,9648,19463,2532,3050,5580,2781,6730,9512,67735,86738,154470,31446,26976,58421,41627,26348,67977,16613,10696,27309,9412,6227,15637,683,521,1204,197193,189230,386425,21683,16479,38166
SOSR279,36,6,38,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,35,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,3,9,0,13,5,0,5,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,72,565
SOSR299,5170,3915,9089,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,0,0,0,5170,3915,9089,241,206,448,4,3,9,0,0,4,246,214,462,2348,1934,4283,743,649,1390,2445,2041,4485,490,492,977,2541,2153,4693,39,23,63,201,203,407,57,85,140,55,75,133,95,175,267,1215,1231,2452,366,285,652,529,389,919,235,157,395,152,91,240,37,18,51,0,0,0,0,0,0
