SOSR_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
SOSR201,3429,917,1164,71,928,428,800,3603,170,11526,825,1202,523,14,340,28,649,132,70,3774,29766,20132,30948,1879,15406,8185,21150,27076,2013,156556,4741,6538,2422,47,4297,1084,2814,1230,506,23666,28265,12716,98189,397,18898,2800,10111,28208,3000,202578,17263,12129,4294,249,11965,9378,9576,3397,786,69030,36697,17274,10550,1771,14120,106338,11106,15579,1618,215049,23167,2208,21932,39501,4040,18831,2254,27722,975,140638,11995,9138,3923,2319,21764,4168,49131,4672,1715,108830,7916,19173,5021,282,5205,2961,478,511,541,42097,18622,46261,1169,715,38435,3277,175,211,1995,110864,5952,5334,1090,385,6314,15149,846,956,645,36675,33892,138026,15941,739,30082,3240,758,1405,2193,226276,9355,11600,6617,4656,9469,1414,3083,27553,917,74683,18331,33850,5679,28137,28709,499,905,5109,2290,123509,17177,122337,4713,35498,17238,465,314,1846,1237,200824,18264,135293,10181,91683,41321,1748,1926,8814,2149,311384,7807,10676,3034,11443,3855,1650,278,1854,731,41323,8449,8940,29469,13491,8173,1534,1033,5362,767,77220,15151,16605,11562,4278,12687,6042,11495,10891,20909,109617
SOSR203,638,135,236,12,116,51,168,656,30,2050,143,233,296,20,57,9,522,109,20,1402,1888,1067,3022,244,906,716,1657,3252,154,12898,309,373,423,12,482,61,327,152,41,2176,1991,571,9666,35,1443,264,1281,2591,221,18058,653,411,422,8,481,759,719,341,30,3816,2850,971,1088,203,989,10312,1015,1809,85,19320,1895,90,1695,3564,319,2016,310,3348,61,13306,568,293,290,105,1203,350,3232,321,63,6418,304,674,291,14,378,222,22,33,21,1969,799,1807,71,41,2083,141,10,17,83,5052,261,226,84,28,370,955,44,80,35,2082,1091,5223,1192,47,1950,116,39,87,81,9827,379,559,570,417,551,58,132,2501,42,5212,1342,2555,473,3463,2741,42,196,498,177,11471,1260,10991,456,3551,1533,28,52,303,90,18274,1692,14166,1022,11463,4241,169,210,1408,237,34615,543,528,276,828,243,137,15,286,61,2924,522,544,2746,1076,550,127,101,553,31,6251,654,631,803,378,603,369,662,857,1403,6359
SOSR211,82,24,45,3,39,16,50,94,4,360,10,8,19,5,9,0,57,6,0,120,506,241,939,44,335,134,715,1020,85,4017,48,49,84,5,98,22,145,63,12,526,369,122,2607,11,464,76,561,1007,68,5288,166,104,161,6,235,202,320,94,14,1308,667,120,309,48,324,2738,572,522,39,5333,414,28,345,562,45,602,105,740,16,2857,313,121,173,58,895,109,2630,170,60,4521,63,142,82,6,66,44,3,8,7,423,92,336,10,17,622,50,3,6,24,1161,67,24,36,9,109,217,64,41,7,568,162,837,288,12,417,25,11,30,30,1808,106,173,138,148,202,21,143,791,22,1743,386,542,419,1146,789,16,73,197,70,3643,210,1797,120,1140,341,0,11,63,31,3712,318,2046,246,3181,793,30,46,286,41,6996,58,64,59,177,59,36,5,71,5,536,92,107,962,261,166,33,38,179,13,1855,140,153,325,146,231,104,420,326,524,2367
SOSR212,1049,155,248,14,188,71,254,1476,64,3521,55,48,162,5,35,3,198,40,10,546,1439,663,1953,99,734,526,1013,1929,112,8473,323,350,576,8,412,28,336,212,36,2277,1554,351,6901,13,1186,167,917,1816,170,13066,576,300,259,4,454,578,430,256,31,2898,1910,499,756,108,641,6959,542,1194,60,12660,1307,69,1060,2034,295,1300,207,2104,47,8423,614,327,317,168,1183,252,2360,276,75,5571,173,422,190,8,189,127,12,31,20,1167,445,911,32,18,1146,86,4,9,35,2690,192,116,78,24,321,647,36,64,21,1499,666,3120,781,25,1354,95,17,76,53,6194,299,427,375,250,379,57,143,1620,31,3587,996,1643,423,2569,1843,28,99,363,105,8082,916,6942,233,2402,977,22,20,166,73,11756,1128,8188,642,6562,2698,91,119,740,138,20296,331,321,195,433,141,94,13,143,23,1698,374,298,2041,799,438,86,69,441,45,4591,511,418,626,210,467,306,440,626,1069,4677
SOSR213,1028,153,290,10,167,76,265,1174,59,3211,63,67,177,3,35,0,191,32,13,583,1173,502,2232,108,758,419,1311,2403,120,9018,195,207,438,11,277,34,334,186,36,1724,1200,269,6075,21,953,140,1153,1897,140,11859,465,222,285,4,373,564,421,237,31,2589,1601,327,752,76,526,6362,496,1192,44,11375,1124,35,913,1777,235,1169,142,1925,44,7364,466,210,260,95,907,205,2396,248,77,4868,143,323,201,7,185,135,13,22,19,1048,301,636,32,16,1051,76,3,11,32,2157,125,114,57,20,271,502,30,30,18,1175,417,2179,704,30,1087,51,17,61,46,4583,216,334,407,252,321,37,106,1644,24,3335,835,1555,399,2313,1537,22,160,392,122,7327,648,5494,249,2303,884,9,24,206,39,9860,885,6121,595,7083,2295,78,110,991,122,18282,251,284,166,337,121,54,6,125,23,1360,296,315,2169,671,416,64,71,482,28,4512,389,328,638,202,391,216,449,583,1000,4193
SOSR214,633,98,234,7,117,35,118,692,20,1965,30,39,75,0,16,0,163,26,3,360,632,300,1171,119,417,298,615,1492,59,5104,118,65,174,0,105,11,194,67,19,764,698,181,3406,24,521,67,653,1160,95,6809,227,115,115,3,172,372,185,176,15,1383,881,156,434,53,278,3356,178,608,32,5979,813,38,556,1098,137,531,33,1092,24,4315,224,92,128,66,480,113,1113,133,30,2382,90,165,107,0,78,37,4,20,4,518,134,349,14,4,482,32,6,4,21,1039,86,57,31,4,131,378,14,30,11,739,275,1144,348,23,612,41,6,23,28,2504,117,152,286,124,132,14,41,867,11,1750,456,720,216,1275,838,21,101,250,67,3949,363,2830,105,1135,425,17,22,109,33,5033,478,2886,375,3696,1238,44,36,584,62,9399,177,204,134,204,80,41,6,107,20,977,138,166,1149,356,216,33,32,213,7,2330,230,163,352,107,213,126,245,321,630,2385
SOSR215,1404,157,477,23,223,67,446,1635,59,4497,60,57,156,7,32,4,223,34,11,577,1131,445,1892,147,663,415,1020,1711,111,7530,203,183,340,4,229,17,303,149,30,1452,1262,218,5937,29,926,111,1235,1768,146,11643,436,202,244,8,337,527,383,173,22,2327,1475,255,700,91,437,4969,298,898,47,9183,1374,46,879,1750,240,673,58,1420,42,6481,471,193,269,97,854,194,2069,195,51,4386,123,266,140,9,108,58,26,25,9,757,275,499,24,13,766,53,9,15,32,1689,149,50,54,21,224,507,27,27,12,1066,487,2022,557,26,982,52,12,51,35,4240,242,219,493,174,264,26,96,1326,25,2866,758,1166,396,1750,1202,13,233,412,109,6042,615,4773,223,1821,639,16,38,181,51,8346,720,4575,475,5528,1716,62,56,852,99,14083,262,363,191,290,101,59,17,172,27,1486,277,250,2042,503,359,52,54,298,27,3870,454,272,651,208,421,237,438,567,982,4222
SOSR221,627,55,160,3,78,23,133,427,11,1524,25,15,49,0,5,0,88,6,10,198,300,106,532,28,141,89,204,460,9,1870,63,42,120,0,52,4,89,42,0,414,385,50,1644,6,266,33,328,474,38,3219,113,64,73,0,77,152,87,54,3,628,395,60,180,28,112,1384,88,230,14,2493,321,8,197,422,50,185,17,412,13,1623,123,37,52,24,239,61,568,50,13,1166,40,66,40,5,23,12,3,3,3,187,74,126,7,0,213,15,0,0,9,459,44,19,14,0,53,135,4,15,0,281,138,556,151,13,296,10,6,17,12,1190,55,70,171,59,61,7,20,334,12,794,214,303,102,494,354,4,79,117,35,1699,204,1417,52,521,231,5,14,40,8,2486,218,1259,109,1410,496,16,23,234,27,3796,68,151,52,98,34,16,3,50,4,476,59,60,509,106,103,27,20,83,6,982,109,79,180,46,103,48,108,133,273,1074
SOSR222,312,29,87,4,40,13,76,313,12,890,8,6,28,0,5,0,46,3,0,98,148,75,271,19,80,50,136,231,5,1018,27,20,51,0,28,0,48,16,8,209,187,22,756,5,110,16,207,252,16,1566,54,25,31,4,36,71,57,35,7,314,208,29,81,15,51,649,30,93,3,1161,325,8,186,347,45,104,15,285,11,1331,108,20,34,37,120,47,377,37,9,767,19,43,5,0,12,10,0,3,0,101,35,68,3,6,99,4,0,3,5,219,16,14,25,0,33,55,0,7,3,154,67,257,90,5,145,8,5,12,7,603,30,29,95,36,34,10,23,219,7,476,115,187,59,246,168,0,44,62,7,890,74,755,21,258,113,5,7,31,5,1263,112,664,68,726,237,7,9,128,7,1965,42,89,50,43,26,7,7,28,0,297,35,30,318,59,54,7,10,48,4,572,78,33,98,34,57,42,73,91,174,674
SOSR231,25876,584,1506,76,1203,283,1262,6467,341,37598,206,148,470,7,98,6,636,106,22,1708,2798,1034,3757,211,1283,784,1524,2657,170,14225,450,302,701,6,402,33,586,243,49,2782,3337,498,10790,51,2432,183,2726,3424,271,23712,1192,446,540,17,693,1137,556,368,40,4994,2492,488,1106,153,798,7891,461,1329,76,14790,2030,71,937,2623,370,1214,118,2319,73,9757,1187,375,500,162,1473,320,3775,356,85,8232,271,495,241,11,206,105,17,28,13,1388,527,1020,36,12,1201,80,10,17,90,2984,281,172,138,29,349,844,67,77,48,2005,1197,4589,1328,25,2110,110,47,109,80,9604,529,386,973,281,483,55,128,1999,45,4872,1693,2252,719,3340,2155,25,432,554,177,11351,1272,8560,538,3267,1327,36,58,321,76,15461,1485,9659,755,8264,3208,105,103,1150,154,24882,526,725,647,638,241,87,39,509,54,3468,693,427,4126,780,782,94,98,480,67,7549,1561,651,1277,361,969,429,704,1023,2407,9381
