SOSR_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SOSR201,1102854,3201336,156608,323779,126620,312906,283230,636687,85159,154126,52785,86616,62551,102756,74315,128371,914,1992,275722,473854,360,447,1205,1523,13,32,3635,7117,5212,9122,1691,3380,1668713,4324380,188947,..,1857654,4324380
SOSR203,128909,322151,14717,23560,2647,5217,17364,28778,3156,4808,269,419,306,450,134,229,39,59,3902,5968,62,81,219,313,0,7,203,456,484,861,240,493,150904,358250,11552,..,162458,358250
SOSR211,35469,99877,3056,5146,362,794,3418,5936,345,525,0,0,0,0,0,0,21,51,370,575,42,44,0,0,6,3,17,59,63,113,35,94,39352,106598,2464,..,41818,106598
SOSR212,86012,223503,7347,11753,1404,2772,8748,14522,3769,5600,117,164,24,28,0,0,30,54,3936,5843,75,115,242,407,17,37,242,380,577,946,148,290,99425,245101,10914,..,110340,245101
SOSR213,86269,213762,7950,11719,560,960,8512,12676,2497,3558,49,92,0,0,0,0,34,60,2577,3707,131,188,351,498,15,30,93,201,595,914,103,218,98057,231273,8678,..,106733,231273
SOSR214,52627,122307,4946,7221,468,905,5412,8129,588,844,39,54,6,5,0,0,30,42,664,951,156,225,245,364,3,7,121,243,517,838,126,268,59350,132487,14820,..,74176,132487
SOSR215,81547,194679,3775,5563,481,1005,4250,6564,1240,1803,9,20,16,25,7,20,36,80,1302,1948,301,446,295,418,19,27,204,421,818,1319,172,358,88095,204865,17285,..,105378,204865
SOSR221,23075,53941,481,731,69,137,556,866,131,174,0,4,166,251,0,0,13,20,315,454,143,213,75,105,5,9,109,231,338,563,38,55,24321,55878,9261,..,33585,55878
SOSR222,12323,28609,132,231,28,56,162,288,92,169,15,50,15,38,9,18,8,10,142,289,49,79,30,60,12,21,60,124,151,281,31,63,12809,29527,4954,..,17761,29527
SOSR231,146332,381391,443,978,143,344,587,1327,117,207,0,5,0,3,5,14,64,134,189,354,636,943,887,1422,83,158,99,227,1712,2748,393,825,149218,386645,29150,..,178369,386645
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SOSR299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
