SOSR_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SOSR201,12580,3298,5178,620,21676,3725,782,1403,204,6112,2650,1372,2844,256,7121,2042,1247,4056,200,7544,10046,2961,6721,535,20262,7050,4380,10158,562,22146,37085,8813,12515,1114,59522,25083,13218,16851,1932,57085,28186,21876,18640,2057,70755,33285,30423,17479,2521,83704,20457,29632,13539,1675,65312,23526,31838,11528,1635,68523,52954,76488,19902,3039,152383,41166,65634,9165,1894,117860,31695,59894,6326,1146,99054,21455,41589,2712,617,66374,54142,146656,7689,1099,209595,13630,33514,11755,678,59573,6196,4676,2648,363,13888,426935,578308,181096,22149,1208493
SOSR203,536,98,216,26,868,259,32,90,9,400,173,58,190,22,446,137,47,388,9,584,887,113,872,42,1919,695,202,1581,54,2533,4480,492,1796,114,6873,3106,826,2353,200,6489,3413,1502,2341,207,7454,3920,2431,2035,224,8615,2257,2364,1422,140,6177,2514,2653,1064,100,6332,5170,6330,1672,228,13394,3549,5393,659,123,9721,2477,4801,401,52,7731,1377,2996,159,25,4568,2602,7075,336,40,10047,1350,2626,1184,73,5232,646,272,300,45,1259,39549,40318,19064,1704,100639
SOSR211,233,75,122,6,435,60,18,33,0,119,54,33,87,0,176,49,21,166,0,237,194,67,346,18,625,168,119,582,15,883,1104,267,643,32,2052,710,473,787,51,2017,751,747,767,42,2309,903,1162,654,54,2777,585,1072,398,34,2093,634,1168,332,36,2166,1462,2484,509,68,4513,908,1782,204,40,2939,496,1129,122,19,1763,232,707,41,12,998,365,1213,73,11,1661,349,844,318,16,1536,176,114,116,14,417,9440,13499,6300,471,29716
SOSR212,532,123,160,5,815,200,27,61,10,294,130,39,149,9,325,109,41,282,12,436,706,102,543,26,1380,483,150,960,25,1610,3087,317,1114,60,4582,2184,511,1444,122,4265,2411,968,1466,116,4972,2731,1604,1232,121,5686,1390,1726,954,74,4147,1722,1813,751,73,4356,3544,4699,1065,126,9436,2505,4095,457,54,7116,1697,3363,287,27,5377,925,2176,98,14,3213,2042,5158,222,30,7454,989,2124,857,36,4009,516,251,231,26,1019,27903,29278,12349,963,70491
SOSR213,523,84,151,15,765,219,16,55,11,300,149,35,149,13,342,129,23,296,11,464,821,93,580,27,1517,589,149,1046,24,1808,3710,327,1216,69,5322,2534,560,1576,129,4795,2615,1028,1462,114,5222,2813,1688,1208,98,5805,1462,1789,864,68,4185,1686,1970,606,65,4324,3465,4477,977,94,9006,2160,3590,391,57,6195,1451,2809,206,32,4492,716,1634,84,8,2437,1403,3443,190,26,5056,1063,1964,801,32,3859,616,210,221,26,1071,28131,25875,12075,906,66984
SOSR214,371,30,81,9,490,194,15,31,0,243,97,16,82,3,193,119,21,169,0,312,602,50,329,16,990,402,76,613,27,1117,2818,209,708,38,3767,1814,301,825,73,3014,1828,616,834,72,3347,1850,938,690,59,3544,927,961,464,36,2390,1115,1053,355,31,2555,1951,2232,492,64,4736,1229,1811,205,21,3271,807,1353,91,14,2263,421,819,49,3,1299,811,1467,104,8,2385,704,1118,467,28,2310,426,143,131,24,719,18492,13217,6722,519,38951
SOSR215,413,75,125,5,622,259,20,43,8,333,161,33,116,10,318,107,22,254,15,399,776,59,493,17,1339,548,100,793,19,1462,3726,294,975,55,5050,2524,482,1194,111,4315,2563,955,1131,109,4757,2756,1521,947,87,5308,1378,1559,615,59,3606,1619,1760,469,66,3920,3179,3875,704,66,7820,1967,3075,280,46,5364,1355,2269,166,13,3803,640,1474,63,19,2194,1446,2973,140,14,4577,1062,1847,731,56,3698,617,231,234,44,1121,27098,22618,9482,813,60017
SOSR221,143,12,30,0,182,68,8,11,0,87,61,12,30,5,104,48,5,48,0,107,268,23,101,3,399,188,39,199,5,428,1147,73,213,16,1450,721,145,293,28,1193,743,242,278,26,1292,801,456,222,20,1498,440,438,140,14,1040,496,452,109,11,1066,867,1024,161,19,2063,563,811,61,9,1449,354,626,31,0,1015,172,389,8,0,571,402,789,30,9,1236,291,577,181,15,1060,212,58,49,6,328,7997,6185,2210,192,16577
SOSR222,82,12,17,5,113,30,8,12,0,49,25,3,13,0,45,26,6,33,3,62,133,15,59,3,212,79,20,100,0,204,623,41,151,3,822,367,91,166,19,644,358,140,141,15,652,458,209,110,10,779,221,260,91,10,577,241,237,66,4,544,481,561,105,11,1155,279,424,33,8,738,178,286,13,3,482,84,159,0,0,246,194,377,22,0,587,176,352,111,3,646,93,40,39,3,173,4130,3234,1276,108,8750
SOSR231,1190,228,215,18,1646,570,66,76,6,725,375,100,179,12,670,352,79,243,12,694,1724,206,502,46,2477,1156,305,808,24,2302,5686,670,897,58,7320,4259,1052,1235,146,6686,4907,1884,1257,143,8195,5329,2929,1041,112,9414,2788,2902,739,44,6475,3622,3272,642,65,7599,6679,7142,981,96,14902,4273,6030,453,60,10817,2977,4920,278,29,8209,1662,3261,137,19,5086,4608,8862,375,39,13883,2359,5192,1116,60,8723,1342,681,272,37,2335,55871,49784,11459,1045,118159
