SOSR_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
SOSR201,54701,9209,761,356,58900,6433,130354,52096,23372,3023,1319,69066,9852,158734,99567,95531,17203,6766,124763,25767,369594,79304,112787,31315,12528,86521,19599,342049,70589,97571,25121,9622,67791,14254,284946,55787,76336,20885,8441,64294,10926,236664,32857,49884,19792,9140,54326,8326,174337,16463,23246,10639,5592,37202,6773,99909,5063,5615,2497,1653,17914,3899,36647,466419,493550,131248,55426,580772,105827,1833238,55069,13494,1426,492,47610,5822,123919,50518,35208,6204,2835,48311,8126,151199,71719,115162,39076,36550,91150,21963,375628,36423,102102,66619,64546,62203,16739,348635,30760,99848,62822,44115,50348,12396,300286,26424,79864,50197,34229,51610,10133,252467,16707,48384,40138,30237,53573,9459,198500,11478,23395,19175,15656,41894,8518,120121,6152,7746,4107,2801,30680,7348,58840,305254,525215,289765,231458,477386,100511,1929594,109767,22705,2190,847,106508,12258,254272,102609,58584,9236,4150,117375,17977,309933,171291,210691,56277,43319,215916,47728,745220,115729,214890,97934,77081,148719,36335,690688,101342,197420,87944,53744,118135,26646,585234,82212,156196,71085,42669,115901,21057,489125,49567,98267,59931,39379,107898,17783,372835,27938,46648,29811,21247,79102,15297,220034,11217,13361,6604,4456
SOSR203,4917,802,68,30,4872,648,11331,4510,2293,308,97,5023,862,13088,7964,8505,1665,685,7723,1754,28291,5760,8445,2347,958,4446,1250,23205,5512,7770,1994,793,4546,1188,21800,4944,6651,1878,784,5188,1074,20512,3155,5068,2239,1118,5321,973,17873,1440,2380,1209,725,3613,796,10157,427,522,301,220,1811,467,3752,38633,42433,12007,5404,42540,9003,150016,5114,1231,128,54,3933,651,11105,4186,3684,768,420,3458,740,13252,4722,9857,3996,3921,4911,1563,28973,2417,8114,5490,5183,2957,1256,25426,2552,8694,5212,3215,3203,1102,23981,2621,7538,4861,2986,4433,1001,23437,1570,4811,4357,3654,5416,1075,20876,1074,2142,2002,1975,4381,1059,12629,668,789,431,375,3245,898,6406,24917,46860,27249,21792,35926,9347,166091,10029,2031,194,82,8806,1292,22438,8691,5975,1079,519,8480,1597,26344,12686,18359,5664,4604,12636,3318,57266,8179,16564,7836,6146,7402,2500,48628,8066,16464,7206,4008,7740,2293,45780,7564,14190,6745,3768,9619,2070,43953,4723,9884,6595,4769,10739,2050,38749,2509,4520,3214,2697,7993,1858,22789,1100,1309,731,594
SOSR211,1243,282,20,16,1722,267,3547,1028,519,80,54,1616,288,3584,2112,2147,490,225,3032,711,8713,1807,2477,708,352,2382,604,8335,1506,1763,507,243,1844,419,6266,1101,1379,455,199,1698,332,5168,712,1058,460,272,1649,249,4391,281,376,201,120,851,155,1982,65,73,22,21,266,43,487,9848,10073,2937,1494,15060,3059,42480,1275,417,58,27,1246,274,3305,784,762,199,187,1147,241,3319,1066,2394,1311,1700,2343,700,9515,708,2186,1558,1749,1740,594,8546,651,2016,1115,909,1378,405,6478,522,1610,1062,780,1468,279,5722,359,1011,883,795,1588,267,4900,191,387,288,307,912,175,2255,67,89,54,38,457,72,780,5631,10871,6525,6495,12278,3017,44812,2513,705,78,44,2970,541,6850,1810,1287,277,237,2764,528,6904,3176,4539,1798,1929,5377,1408,18229,2519,4664,2266,2100,4124,1202,16879,2160,3776,1620,1145,3215,825,12751,1623,2988,1518,978,3167,611,10892,1068,2069,1335,1064,3244,514,9296,476,765,487,425,1765,328,4235,138,159,78,57
SOSR212,3364,499,33,22,3367,556,7851,2480,1027,146,83,3037,499,7275,4577,4782,949,429,4900,1149,16783,3968,5575,1622,694,3272,1075,16199,4102,5455,1293,599,3402,986,15841,3591,4895,1355,561,3663,850,14923,2366,3745,1593,797,3898,779,13180,1027,1571,814,569,2603,628,7207,292,353,160,144,1167,338,2451,25769,27902,7977,3897,29317,6850,101705,3386,720,82,39,2721,482,7411,2233,1813,412,254,1986,413,7109,2613,5627,2420,2711,3436,1141,17952,1523,5438,3810,3607,2246,1039,17655,1733,6297,3657,2321,2365,856,17225,1713,5607,3483,2083,3211,856,16943,1036,3475,3167,2584,3833,883,14981,661,1457,1305,1301,3074,820,8611,383,496,269,220,2174,631,4177,15277,30922,18603,15105,25040,7121,112074,6747,1225,115,61,6092,1036,15267,4718,2845,565,333,5022,911,14390,7190,10406,3374,3141,8335,2293,34739,5487,11007,5435,4301,5520,2103,33856,5836,11742,4950,2918,5772,1843,33063,5305,10502,4831,2638,6874,1703,31866,3400,7217,4760,3377,7736,1664,28154,1683,3028,2117,1867,5679,1445,15815,678,851,430,364
SOSR213,3096,516,39,25,3057,465,7189,2239,1039,150,82,2640,444,6587,4111,4374,924,456,4245,1188,15291,3433,4878,1387,639,2875,976,14183,3634,4706,1275,546,3134,920,14217,3496,4603,1304,625,3773,787,14588,2436,3803,1805,961,4198,836,14037,1153,1858,1022,642,3034,720,8420,313,382,205,186,1364,441,2897,23901,26156,8108,4147,28310,6776,97402,3075,700,87,34,2321,414,6636,1792,1638,404,316,1823,384,6360,2229,4952,2291,2799,2887,931,16087,1390,4697,3325,3181,1929,843,15359,1574,5585,3312,2177,2268,744,15658,1595,5131,3413,2262,3135,753,16290,1037,3433,3322,2917,4050,888,15650,803,1677,1548,1576,3478,978,10056,391,532,373,262,2450,815,4820,13889,28341,18086,15526,24334,6751,106926,6169,1213,128,63,5378,880,13824,4025,2670,560,394,4467,825,12946,6335,9326,3214,3257,7128,2121,31377,4824,9572,4711,3813,4801,1815,29543,5210,10286,4587,2726,5404,1671,29876,5090,9739,4717,2889,6898,1544,30880,3473,7235,5130,3872,8245,1720,29687,1953,3541,2571,2212,6510,1697,18476,709,909,576,446
SOSR214,1682,264,22,6,1557,286,3819,1189,547,68,36,1401,203,3443,2095,2182,481,246,2104,517,7627,1751,2502,754,319,1400,516,7239,1914,2653,808,314,1696,514,7895,2030,2940,926,442,2297,574,9208,1658,2848,1353,813,2878,682,10239,855,1370,756,573,2233,608,6397,259,282,156,110,1052,315,2180,13435,15590,5321,2862,16623,4214,58042,1579,420,47,17,1157,275,3501,910,845,174,144,848,178,3105,1018,2457,1211,1385,1347,492,7917,678,2481,1748,1672,842,484,7912,957,3149,1867,1199,1150,468,8788,1038,3371,2156,1479,1824,553,10424,782,2652,2445,2058,2810,740,11496,496,1161,1163,1142,2466,724,7159,292,352,232,206,1901,540,3524,7756,16894,11052,9301,14348,4473,63822,3271,683,69,20,2714,563,7320,2096,1386,243,181,2250,385,6544,3116,4641,1695,1632,3456,1005,15546,2428,4985,2507,1991,2246,1001,15155,2867,5803,2674,1511,2844,983,16679,3072,6310,3074,1923,4118,1131,19633,2440,5500,3794,2874,5690,1426,21732,1358,2534,1915,1713,4700,1331,13555,551,635,391,311
SOSR215,2683,478,37,28,2247,549,6021,1745,819,124,56,1901,397,5036,3381,3650,895,345,2885,837,11998,2918,4283,1292,586,2093,904,12071,3211,4532,1340,525,2503,938,13059,3366,4843,1552,748,3460,984,14946,2393,4098,2118,1247,4081,1092,15028,1107,1888,1041,744,2815,757,8357,297,364,204,180,1317,355,2708,21102,24957,8589,4448,23298,6817,89222,2568,674,70,27,1766,486,5588,1309,1219,300,245,1195,325,4582,1496,4053,1976,2352,1792,823,12503,1090,4042,2914,2899,1241,849,13034,1446,4982,3050,2030,1593,931,14035,1683,5200,3599,2369,2551,900,16302,1102,3519,3428,3076,3560,1047,15740,647,1539,1557,1581,3075,918,9321,367,471,295,250,2402,652,4441,11708,25705,17200,14822,19181,6931,95544,5253,1155,99,52,4007,1042,11608,3051,2039,421,299,3094,717,9623,4873,7702,2874,2699,4677,1667,24498,4013,8327,4207,3478,3331,1753,25102,4656,9518,4387,2550,4105,1867,27085,5040,10048,5154,3113,6011,1885,31245,3498,7624,5547,4321,7643,2142,30765,1757,3419,2607,2326,5895,1673,17677,659,835,498,428
SOSR221,728,122,7,8,559,150,1569,482,231,30,13,408,91,1257,803,876,232,129,626,202,2858,795,1173,384,177,486,231,3249,914,1290,402,194,708,286,3797,1077,1568,536,265,1043,349,4832,810,1266,670,437,1272,374,4826,285,492,301,240,763,230,2311,67,81,68,32,305,100,653,5943,7108,2625,1489,6173,2017,25357,708,192,13,13,449,159,1537,361,276,83,53,242,78,1103,373,982,482,613,381,181,3016,272,1054,774,822,264,251,3431,371,1497,889,637,393,246,4032,510,1592,1115,766,692,321,4990,304,1022,974,945,941,297,4478,151,355,352,435,707,243,2240,86,94,82,60,495,188,1002,3133,7058,4765,4345,4575,1951,25825,1437,314,22,15,1006,307,3103,844,510,119,64,654,167,2351,1176,1859,712,740,1002,383,5867,1072,2229,1155,994,755,479,6681,1283,2788,1291,831,1107,534,7831,1587,3157,1647,1026,1737,669,9819,1109,2284,1641,1383,2217,676,9308,430,846,654,679,1473,475,4555,149,178,148,91
SOSR222,388,70,7,0,260,121,848,257,114,18,6,255,89,737,473,469,87,52,397,163,1640,394,611,201,109,263,157,1736,487,814,237,108,353,193,2200,617,850,315,186,576,226,2760,371,697,338,229,670,221,2525,142,232,144,112,364,128,1122,31,41,36,23,127,40,298,3163,3886,1391,821,3277,1333,13866,384,89,7,4,251,96,831,186,186,48,22,162,82,685,197,517,254,309,216,128,1631,141,568,409,447,150,152,1872,204,801,487,329,232,160,2212,273,912,598,446,384,184,2803,130,472,478,511,451,151,2187,79,178,185,223,310,136,1106,47,48,33,27,194,66,414,1639,3773,2499,2319,2352,1163,13745,775,163,16,3,510,218,1684,439,294,65,31,416,171,1426,670,989,343,358,618,294,3270,536,1176,618,554,418,306,3606,694,1619,721,441,581,358,4415,888,1761,912,628,963,408,5566,499,1166,817,738,1124,370,4713,216,409,329,336,676,268,2229,84,86,65,50
SOSR231,6354,1253,131,47,4560,1407,13752,3958,1613,233,115,3527,998,10442,5117,5261,1389,600,4208,2684,19262,5369,7821,2671,1259,3349,2949,23421,7378,10624,3532,1599,5143,3111,31393,8219,11637,4387,2328,7280,3126,36977,5404,8643,4543,3252,7507,2866,32210,2070,2923,1698,1591,4170,1513,13965,406,463,242,211,1158,444,2926,44285,50244,18823,11004,40902,19090,184354,6152,1626,183,60,3288,1308,12624,3009,2321,522,267,1932,702,8759,2497,5521,3071,3538,2266,1506,18401,1610,6904,5618,5818,1585,1897,23422,2464,10809,7645,5630,2493,2340,31378,2796,10976,8639,6628,3906,2563,35508,1509,5874,6567,6901,4450,2182,27492,799,1981,1998,2586,2659,1297,11317,370,450,302,298,1145,464,3033,21210,46456,34558,31727,23723,14252,171931,12507,2880,317,109,7848,2714,26374,6973,3931,758,382,5470,1695,19202,7616,10776,4459,4145,6478,4191,37655,6984,14724,8291,7071,4933,4843,46846,9840,21434,11178,7231,7633,5455,62773,11009,22614,13026,8958,11184,5686,72485,6918,14517,11110,10148,11954,5053,59700,2868,4904,3700,4183,6828,2801,25286,781,909,548,508
