SOSR_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
SOSR201,116,123,83,318,241,209,452,772,4359,49,5178,40,198,44,287,73,94,163,455,943,8,1403,61,507,107,669,157,202,361,1029,1790,19,2844,79,827,137,1043,226,280,506,1549,2475,24,4056,151,1289,243,1681,271,350,621,2303,4375,40,6721,391,2738,458,3586,324,468,797,4379,5727,44,10158,1139,4098,579,5817,293,381,671,6491,5974,50,12515,2557,4684,545,7788,300,295,602,8390,8377,85,16851,4678,5019,614,10316,234,238,472,10789,7787,67,18640,5609,4398,556,10562,244,207,452,11016,6413,50,17479,5434,3135,434,9002,153,135,292,9288,4222,27,13539,5228,2330,347,7901,114,97,211,8112,3392,22,11528,10527,3500,653,14679,186,132,314,14996,4871,34,19902,4615,1550,281,6445,96,67,164,6610,2541,19,9165,3956,997,204,5154,51,28,77,5236,1080,10,6326,1512,437,86,2028,22,17,42,2070,639,4,2712,5131,963,184,6279,73,28,101,6380,1301,18,7689,4233,2256,670,7154,212,176,384,7542,3768,440,11755,206,144
SOSR203,3,5,6,12,14,6,19,38,173,0,216,0,13,6,18,8,3,9,28,66,0,90,0,33,13,48,12,23,33,79,113,0,190,3,70,17,88,27,23,50,139,247,0,388,7,171,34,214,39,47,88,307,561,3,872,39,426,81,546,68,86,152,695,879,3,1581,137,652,87,871,49,59,105,982,802,12,1796,341,797,92,1227,27,42,73,1294,1057,6,2353,566,771,85,1416,27,26,49,1466,860,8,2341,673,578,64,1315,22,20,45,1353,680,10,2035,616,379,55,1046,10,12,19,1068,345,6,1422,541,262,28,829,3,6,9,841,214,9,1064,928,341,55,1321,6,3,13,1336,332,3,1672,394,119,15,526,9,0,9,537,117,4,659,268,67,15,349,3,0,4,351,49,0,401,104,26,5,134,0,0,0,134,24,0,159,206,47,15,266,4,0,4,266,63,0,336,419,271,57,742,21,15,29,778,375,32,1184,17,15
SOSR211,4,6,6,6,10,10,24,34,86,0,122,0,5,0,5,3,3,6,10,23,0,33,0,10,3,13,8,7,14,28,56,3,87,5,23,8,37,3,9,13,47,124,0,166,3,41,8,57,24,17,39,99,241,3,346,20,109,33,158,14,31,45,210,375,0,582,42,189,36,269,20,35,53,321,323,3,643,139,225,33,389,23,11,37,426,359,6,787,235,191,17,443,14,16,33,469,291,3,767,223,143,24,392,15,9,24,416,238,0,654,166,78,16,260,6,0,10,270,134,0,398,158,65,9,230,3,5,10,243,91,0,332,256,95,23,376,4,7,11,389,121,0,509,107,25,13,144,4,0,5,147,54,0,204,70,24,0,93,0,0,0,96,21,0,122,24,8,0,36,0,3,3,36,0,0,41,39,7,3,59,0,0,0,59,21,0,73,93,70,21,185,7,0,12,194,120,4,318,6,18
SOSR212,3,4,12,15,7,6,15,29,121,3,160,0,14,4,15,4,3,9,21,40,0,61,0,34,8,39,8,7,16,57,89,0,149,4,51,19,72,7,16,27,97,184,0,282,9,113,16,139,25,30,53,193,345,3,543,26,269,49,341,26,50,81,421,527,6,960,103,405,60,568,26,30,58,623,489,6,1114,223,518,51,791,21,23,49,835,602,11,1444,434,451,47,930,14,20,39,964,496,4,1466,444,379,43,869,10,9,22,889,338,4,1232,457,248,31,737,10,7,21,756,198,4,954,389,157,36,579,3,3,9,587,162,3,751,628,197,47,871,8,8,17,886,177,0,1065,267,88,13,364,4,0,7,373,86,0,457,198,45,9,256,0,0,0,256,32,0,287,65,14,0,83,0,0,0,81,17,0,98,140,40,7,183,3,0,3,183,35,0,222,339,199,50,588,7,5,16,604,216,37,857,23,17
SOSR213,0,4,7,13,0,9,13,25,115,3,151,0,13,0,15,4,5,7,22,34,0,55,0,28,3,33,11,3,15,50,97,0,149,3,51,11,67,16,28,49,116,178,6,296,3,100,22,129,32,30,68,194,392,4,580,37,301,63,400,27,55,82,481,564,4,1046,111,438,64,612,23,34,58,672,537,6,1216,234,538,58,829,16,31,49,871,697,11,1576,358,484,50,892,19,16,38,930,524,3,1462,380,366,56,798,7,6,16,814,388,5,1208,369,235,37,643,9,3,13,654,209,0,864,306,138,20,465,7,0,5,475,133,0,606,538,205,39,782,10,10,12,798,178,0,977,220,72,12,299,4,0,3,304,83,0,391,136,36,12,185,0,0,0,184,16,0,206,53,17,4,69,0,0,0,69,14,0,84,115,29,5,150,0,0,0,149,38,0,190,262,188,36,490,7,14,19,509,261,33,801,17,14
SOSR214,0,5,4,11,5,3,8,19,62,0,81,0,9,3,5,0,0,0,8,24,0,31,0,14,6,18,4,4,9,32,44,0,82,0,45,10,55,6,6,19,72,98,0,169,3,51,9,72,18,17,31,105,224,5,329,26,174,41,235,14,31,50,291,323,0,613,70,281,27,372,18,17,35,401,307,0,708,113,235,32,381,8,16,21,403,421,3,825,192,223,32,451,9,16,30,474,352,3,834,230,189,30,451,0,3,8,458,231,0,690,191,127,27,343,0,12,11,356,111,5,464,178,66,12,250,0,0,0,257,97,0,355,267,100,27,393,0,0,0,397,89,5,492,117,44,3,169,0,0,0,168,44,0,205,63,12,11,79,0,0,0,81,8,0,91,24,7,7,36,0,0,0,36,8,0,49,54,11,0,66,5,0,5,71,26,0,104,140,114,12,264,5,3,5,269,177,20,467,10,12
SOSR215,13,0,0,15,6,10,18,30,96,4,125,5,10,0,18,5,5,8,23,17,0,43,0,22,8,30,6,3,16,44,71,0,116,0,56,18,75,13,11,20,95,163,0,254,13,108,19,139,24,20,39,178,305,3,493,32,257,33,325,24,34,52,380,413,0,793,75,397,45,512,12,18,32,544,423,3,975,184,401,40,626,11,15,31,653,536,5,1194,273,354,41,664,14,10,29,690,431,9,1131,279,298,36,612,8,10,14,630,312,8,947,248,172,20,440,6,5,11,445,163,3,615,226,113,19,360,6,0,4,366,102,0,469,380,134,26,535,0,6,7,545,161,0,704,149,51,13,212,0,0,3,214,62,0,280,111,23,9,144,0,0,0,144,17,0,166,41,10,0,51,0,0,0,51,11,0,63,87,22,3,112,0,0,4,111,27,0,140,233,178,40,457,8,6,18,475,226,29,731,16,18
SOSR221,3,0,0,3,4,0,0,9,27,0,30,0,4,0,0,0,0,0,0,9,0,11,0,4,0,4,3,3,7,13,19,0,30,0,10,5,14,0,9,11,24,30,0,48,5,21,8,33,3,5,6,37,65,0,101,5,61,13,86,4,7,16,97,106,0,199,23,90,7,120,5,6,8,128,87,0,213,41,81,9,132,3,0,9,142,149,0,293,64,83,12,155,3,8,13,162,114,4,278,73,61,5,139,3,3,6,150,74,0,222,55,34,8,100,0,0,0,101,41,0,140,61,26,3,88,0,0,0,88,23,0,109,92,27,4,128,0,0,0,128,24,3,161,38,9,4,49,0,0,0,49,11,0,61,20,5,0,22,0,0,0,22,6,0,31,0,0,0,0,0,0,0,0,0,0,8,14,4,0,23,0,0,0,23,8,0,30,67,39,8,116,4,0,4,117,55,3,181,3,0
SOSR222,0,0,0,0,0,0,3,0,9,0,17,0,0,0,6,0,0,0,3,6,0,12,0,6,0,4,0,0,0,9,9,0,13,0,8,0,7,0,0,0,12,21,0,33,0,10,3,16,4,0,7,24,35,0,59,4,25,13,45,5,3,11,50,44,0,100,18,57,10,80,4,5,9,95,60,0,151,22,42,4,71,4,8,3,78,90,3,166,33,37,5,76,0,4,3,79,56,0,141,41,16,4,64,0,0,0,66,46,0,110,41,20,3,60,0,0,0,61,26,0,91,32,14,4,46,0,0,0,46,17,0,66,60,22,11,84,0,0,0,84,17,0,105,13,4,0,19,0,0,0,19,19,0,33,10,0,3,16,0,0,0,16,0,0,13,4,0,0,4,0,0,0,4,0,0,0,16,3,0,17,0,0,0,18,5,0,22,32,28,8,66,0,0,0,64,45,0,111,0,0
SOSR231,12,10,12,34,5,7,10,45,163,4,215,8,18,5,29,3,0,8,28,43,3,76,16,39,4,57,10,5,21,72,97,5,179,16,64,6,90,11,6,20,108,133,3,243,33,104,25,154,16,17,37,193,308,6,502,58,236,52,345,9,35,42,386,424,3,808,99,338,48,486,18,23,40,524,370,3,897,197,340,51,587,18,16,34,630,602,8,1235,329,347,40,720,13,13,25,745,500,8,1257,292,276,52,626,11,10,24,641,392,8,1041,301,183,25,512,12,3,19,531,208,6,739,297,132,26,451,6,0,8,459,176,5,642,520,185,31,740,11,5,12,751,230,4,981,236,90,23,346,0,0,4,350,106,0,453,166,44,14,225,0,0,0,227,56,0,278,87,21,7,108,0,0,0,108,26,0,137,220,69,18,302,3,0,4,305,65,3,375,394,245,62,699,12,7,20,723,359,38,1116,31,19
