SOSR_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOSR201,48597,11248,95489,771675,1018770,421012,286889,1058156,206331,3762827
SOSR203,5051,1366,10152,63548,89295,39256,27197,78467,18346,316110
SOSR211,719,117,1265,15477,20953,9466,7992,27334,6075,87292
SOSR212,3338,971,6635,41045,58821,26580,19005,54357,13969,213775
SOSR213,3817,1260,7715,37793,54494,26194,19675,52651,13528,204331
SOSR214,2950,856,5699,21190,32485,16369,12164,30968,8689,121867
SOSR215,3720,1009,7150,32804,50666,25789,19274,42480,13755,184765
SOSR221,800,288,1658,9080,14164,7390,5829,10746,3971,51183
SOSR222,317,104,714,4804,7663,3888,3141,5629,2490,27613
SOSR231,2306,903,5963,65495,96696,53383,42734,64628,33347,356286
SOSR279,0,0,0,0,3,0,0,8,27,38
SOSR299,12,17,29,1148,1118,391,326,1694,3270,7946
