SOSR_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOSR201,10279,15725,19858,17131,63435,86925,29034,72265,2415,317061,23438,57048,57640,51778,140971,174365,41910,78609,4607,630357,11462,23518,25266,17011,64219,77652,17886,27067,4346,268429,23595,60770,45474,26198,36522,25474,6132,9796,3597,237562,10915,37817,39977,25279,84659,62763,12378,16989,2465,293250,14264,62535,30366,12604,29343,23135,5639,9112,2218,189209,4785,13432,14862,9003,32462,29163,8514,14067,2599,128895,9692,45897,29404,13521,33925,24922,6051,9531,3181,176135,2278,4364,3617,2234,8512,7759,1465,3464,11538,45239,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
SOSR203,692,1118,1287,1094,3986,4950,1885,4638,127,19774,2138,4090,4772,4620,9410,9350,2757,4705,224,42051,949,2002,1934,1411,5909,7684,1892,3051,285,25114,2319,6164,4905,3232,3861,2869,687,1137,328,25506,955,2976,3194,2181,6178,3772,823,1020,135,21249,1234,6149,2774,1223,2485,1739,441,678,179,16900,477,1090,936,622,2206,2452,869,1906,161,10719,1127,5589,2789,1485,3237,2833,739,1072,319,19196,208,285,190,141,525,488,92,267,764,2962,10093,29463,22780,16008,37811,36134,10191,18471,2525,183465
SOSR211,158,207,229,225,966,1175,384,878,38,4268,330,539,675,736,1894,1687,463,654,65,7034,267,424,472,359,1937,2420,560,815,136,7376,525,1235,1195,939,1457,938,190,361,137,6977,278,629,778,496,2053,1289,260,382,72,6236,341,1500,744,361,742,439,116,164,63,4480,218,414,486,401,1373,1432,479,1014,155,5980,305,1324,727,469,1205,971,234,352,130,5722,60,94,54,54,208,175,47,77,298,1071,2472,6352,5362,4047,11840,10534,2731,4697,1101,49147
SOSR212,573,756,944,795,2870,3766,1477,3530,139,14859,1342,2432,2935,2773,5620,5727,1662,2887,173,25561,771,1161,1221,975,4219,5546,1380,2333,241,17852,1514,3347,2750,1951,2694,1986,527,777,207,15745,644,2034,2311,1573,4165,2813,621,781,137,15078,799,4071,1805,865,1831,1214,319,506,137,11535,338,592,538,384,1469,1726,734,1333,123,7241,753,3593,1643,1012,2482,2204,699,895,313,13597,128,191,134,114,340,378,85,195,635,2207,6864,18176,14284,10449,25690,25356,7508,13239,2106,123674
SOSR213,473,631,771,666,2263,2904,1098,2886,109,11814,1042,2027,2330,2312,4086,4247,1267,2208,140,19655,649,1242,1179,931,4060,5303,1306,2107,254,17034,1329,3307,3019,2014,2400,1878,455,699,227,15334,564,1769,1943,1439,3528,2332,522,610,90,12799,670,3558,1639,824,1612,1105,269,420,124,10227,338,612,571,387,1536,1808,692,1618,148,7701,750,3674,1749,1116,2666,2216,526,863,274,13837,130,195,123,95,360,351,65,160,547,2027,5950,17028,13326,9785,22517,22144,6196,11564,1913,110423
SOSR214,310,488,448,424,1217,1684,601,1555,82,6811,568,1130,1210,1135,1872,2093,592,1216,89,9912,436,802,696,594,2102,2799,687,1140,164,9430,917,1845,1541,1011,1253,994,237,380,133,8311,314,1085,1106,729,1674,1141,255,336,60,6697,404,1841,925,496,815,626,144,242,77,5573,207,295,293,206,707,893,306,817,64,3785,554,2064,1037,676,1285,1298,371,507,181,7970,103,129,81,65,188,173,28,80,345,1200,3808,9691,7346,5340,11123,11698,3216,6271,1193,59685
SOSR215,550,796,887,710,2011,2940,1081,3038,155,12178,982,1927,2061,1947,2892,3303,1045,1919,139,16212,731,1358,1127,937,3509,4830,1160,2164,310,16128,1338,2837,2434,1545,1781,1380,383,576,236,12503,552,1791,1762,1150,2624,1884,378,496,106,10739,566,2622,1349,690,1261,869,222,389,146,8114,388,481,504,348,1310,1661,662,1526,155,7028,785,2967,1438,950,2051,1967,565,865,320,11905,168,198,142,85,278,312,60,157,528,1926,6068,14976,11704,8365,17710,19134,5559,11127,2096,96731
SOSR221,154,250,254,221,544,853,292,939,46,3561,289,637,604,554,807,868,261,506,35,4557,209,403,347,283,869,1276,323,590,102,4400,338,794,596,433,441,380,68,153,64,3271,162,536,540,330,685,480,89,147,28,2986,159,713,366,193,327,253,66,99,46,2218,94,140,160,95,315,449,155,431,44,1880,236,850,376,246,488,532,153,216,75,3176,57,51,36,26,64,60,12,51,149,502,1693,4382,3280,2373,4542,5147,1425,3133,587,26552
SOSR222,78,171,134,124,307,434,171,564,33,2014,158,292,320,266,452,470,143,278,19,2396,122,225,191,141,524,651,157,302,39,2349,235,418,329,233,236,191,71,84,37,1839,74,259,256,174,327,247,57,71,21,1493,90,320,203,94,158,116,26,64,21,1106,66,76,113,58,188,266,115,253,25,1167,147,485,245,164,292,295,94,139,54,1899,23,29,19,6,23,45,14,28,109,296,1001,2264,1807,1260,2513,2727,844,1789,362,14558
SOSR231,1465,3749,3755,2878,4825,9708,3324,18802,1097,49603,1948,4420,4619,3785,5223,6258,2039,4246,351,32892,1399,2714,2310,1844,5814,9003,2218,5139,642,31088,2210,4930,3823,2242,2647,2457,598,1034,354,20303,1052,4283,3968,2389,4439,3496,679,1182,297,21775,955,4800,2209,1085,1758,1554,376,817,268,13827,804,1052,972,665,2126,3046,1146,3222,334,13365,1580,5804,2837,1846,3343,4039,1113,2380,599,23534,349,480,285,195,436,551,141,467,1428,4329,11764,32233,24778,16930,30606,40115,11640,37299,5376,210724
SOSR279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
SOSR299,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
