SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
2000,119157,2998,381,1403,216,124159,89349,993,167,233,110,90859,17737,2982,575,108,43,21455,2229,1135,301,7,3,3684,480,390,143,6,6,1024,12881,776,155,143,67,14035,2692,169,73,469,67,3468,289,89,12,29,4,433,36321,5548,1268,766,193,44091,6453,349,92,117,51,7059,4897,347,72,202,49,5571,256181,10236,1980,2723,617,271738
2001,2321,177,10,17,0,2524,4111,127,0,5,3,4246,878,289,0,5,4,1183,135,25,36,0,0,194,15,50,4,0,0,68,261,53,13,0,0,333,26,5,10,9,0,47,5,8,0,0,0,15,1324,432,59,12,3,1837,158,16,0,0,0,173,100,8,3,0,0,110,8012,754,74,38,8,8888
2002,2307,190,9,15,0,2521,1742,47,3,0,0,1799,681,203,35,7,0,926,145,83,12,0,0,235,49,48,4,0,0,102,305,37,6,0,0,354,14,10,0,0,0,29,8,9,0,0,0,20,1215,385,58,8,4,1666,77,72,0,0,0,148,111,31,0,0,0,145,5448,723,75,28,11,6280
2003,12816,1182,201,23,10,14237,13567,800,94,15,19,14492,7323,2071,584,10,21,10006,861,462,68,0,3,1393,140,152,37,0,3,338,1621,335,85,10,6,2055,127,38,13,8,3,192,47,20,0,0,0,73,10120,3077,789,29,40,14054,444,154,14,4,4,624,442,127,23,0,6,596,37386,5345,1121,70,73,43993
2004,12635,594,55,43,24,13352,13298,372,45,6,25,13746,6141,1390,166,14,10,7726,858,405,81,0,0,1344,216,117,24,0,0,354,1965,227,38,7,12,2250,146,17,8,13,0,183,45,11,7,0,0,62,9378,2172,310,33,27,11914,417,49,5,0,0,474,446,70,10,0,4,530,36178,3252,429,84,77,40027
2005,2159,60,0,4,6,2223,1408,22,0,0,0,1431,438,47,0,3,0,497,59,76,0,0,0,138,25,6,0,0,0,35,244,13,5,3,0,261,12,0,0,7,0,24,3,0,0,0,0,3,783,148,0,14,3,947,52,3,0,0,0,55,70,3,0,0,0,78,4471,234,11,21,7,4737
2006,1893,129,0,10,0,2039,1558,29,0,7,3,1591,513,183,0,6,0,697,148,69,3,0,0,224,26,21,0,0,0,43,233,34,0,0,0,269,21,14,0,29,0,72,9,9,0,0,0,17,950,328,3,34,3,1323,38,24,0,3,0,66,78,32,0,3,0,110,4516,549,0,56,8,5127
2007,3122,264,0,94,10,3488,2610,83,0,9,4,2704,932,326,13,0,0,1279,214,151,0,0,0,361,30,21,0,0,0,56,345,59,0,6,3,417,58,7,0,13,0,80,9,0,0,0,0,9,1582,574,17,17,7,2197,108,75,0,4,3,188,137,45,0,0,3,191,7564,1044,21,122,26,8772
2008,33789,2587,480,225,28,37109,36504,1818,350,20,24,38720,15747,3940,1305,44,38,21073,1584,894,114,0,0,2588,331,341,76,5,9,763,3785,731,184,24,21,4744,362,113,26,173,7,676,106,52,11,4,0,171,21921,6065,1711,249,68,30018,1344,557,30,50,9,1989,1170,235,50,16,10,1477,94723,11267,2616,566,137,109315
2009,2671,137,11,11,0,2836,3444,92,11,0,0,3553,426,146,14,0,0,584,21,20,5,0,0,41,6,12,4,0,0,20,215,53,0,0,0,269,12,5,0,6,0,24,4,0,0,0,0,4,685,229,15,9,5,940,78,4,0,0,0,90,67,3,0,0,0,71,6949,473,41,24,4,7487
