SUA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
2000,284788,284101,568884,11797,12602,24399,1485,1543,3029,22282,23113,45397,848,858,1707,356,328,686,318,237,556,184,170,352,173,197,371,154,117,269,0,0,0,25798,26566,52364,1076,959,2038,663,581,1243,39334,40710,80045,32240,28293,60534,356360,353099,709455
2001,9745,10220,19966,594,646,1242,17,22,38,967,984,1951,20,19,38,5,8,18,5,5,6,3,3,6,4,0,3,3,0,3,0,0,0,1031,1039,2067,30,38,64,18,22,36,1671,1741,3413,493,523,1013,11911,12486,24397
2002,5860,6470,12327,401,443,846,25,36,58,431,497,926,26,31,57,0,7,4,8,6,15,5,3,11,9,4,12,0,0,0,0,0,0,509,588,1088,18,21,42,27,7,39,959,1057,2016,541,627,1175,7359,8154,15515
2003,41786,45435,87219,1550,1642,3190,113,128,246,6235,6751,12983,126,119,248,47,46,96,43,66,107,32,33,66,26,20,46,11,18,28,0,0,0,6631,7183,13815,202,227,429,161,130,286,8542,9179,17723,2849,2915,5771,53174,57529,110706
2004,39421,42483,81903,1326,1457,2786,161,177,346,4762,5401,10162,74,79,149,49,56,102,31,44,77,22,29,55,26,27,46,17,18,29,0,0,0,5144,5834,10976,138,171,310,107,103,210,6718,7562,14282,2726,2915,5639,48866,52962,101828
2005,4025,4522,8545,249,264,518,13,11,26,320,381,706,0,3,8,0,7,7,0,4,8,0,0,0,0,4,0,5,3,5,0,0,0,348,414,760,17,22,35,5,6,13,617,705,1323,900,493,1391,5539,5724,11263
2006,5061,5351,10415,393,411,802,17,20,31,264,253,514,8,11,21,3,7,13,0,0,0,9,0,7,0,0,6,0,0,0,0,0,0,299,292,589,41,23,68,16,13,21,750,734,1481,379,364,744,6194,6442,12634
2007,8513,9207,17721,507,581,1080,155,169,327,748,795,1537,25,37,63,8,9,21,6,8,18,3,8,7,9,12,23,0,4,3,0,0,0,963,1040,1999,22,30,55,28,24,52,1515,1673,3188,693,707,1401,10720,11584,22311
2008,110458,117228,227694,4764,5072,9835,319,369,694,14305,15665,29971,248,289,530,98,105,203,89,74,164,116,123,240,51,67,120,44,51,99,0,0,0,15277,16738,32012,555,638,1192,325,283,602,20914,22725,43645,7870,7021,14895,139251,146981,286231
2009,9322,9456,18782,273,293,569,14,27,41,732,731,1467,22,18,33,5,3,11,9,8,8,0,3,3,0,0,0,3,3,8,0,0,0,782,797,1577,27,37,66,10,10,22,1098,1138,2230,486,491,970,10898,11083,21981
