SUA_CODE_2021,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
2000,113,350,497,667,744,876,339,55,3618,219,573,769,583,501,355,58,4,3062,2161,6523,7019,8642,10358,9316,4105,815,48943,1451,4218,3837,3752,3988,2981,1257,331,21812,871,2106,2764,3093,3094,1840,675,168,14614,191,872,934,1035,1429,1192,412,76,6146,115,744,1112,1188,1659,2416,1010,143,8387,423,1867,2573,3023,3247,2981,1005,153,15279,522,1280,1379,1787,1910,1997,674,124,9674,346,656,728,664,562,557,198,28,3743,453,1130,1234,1233,1143,695,264,48,6202,25,49,21,27,16,13,9,0,165,95,310,524,634,663,514,229,55,3021,3746,3773,4329,5048,5713,5693,3836,1493,33630,10736,24444,27723,31380,35023,31421,14076,3497,178290,155,557,766,849,631,450,111,29,3547,22,118,212,256,297,187,40,6,1134,170,431,482,537,493,284,181,81,2664,77,248,300,311,230,142,51,3,1355,550,1301,1367,1263,976,365,103,20,5949,1404,5158,5049,5526,6949,5271,2017,581,31951,738,3493,4021,4235,4660,5215,2101,376,24840,984,4008
2001,5,27,20,18,16,22,7,3,124,8,74,89,37,16,7,4,0,239,81,314,327,332,310,240,98,24,1726,96,285,210,108,62,63,27,8,854,3,43,41,33,18,13,8,5,168,13,33,31,36,24,18,4,0,162,12,59,41,44,24,56,16,8,261,26,144,201,132,116,78,22,6,727,26,94,85,57,41,28,13,3,351,21,45,35,27,12,9,3,0,152,11,38,44,27,24,17,9,0,163,5,6,0,0,0,0,0,0,9,6,24,27,22,13,9,3,0,115,74,109,111,100,83,67,51,15,609,389,1283,1254,976,762,642,277,61,5646,12,34,41,36,14,6,3,0,146,5,34,33,12,5,11,0,0,95,5,21,29,28,11,7,3,4,102,6,27,13,15,3,3,0,0,77,5,14,28,23,12,0,0,0,82,72,206,180,148,123,86,38,3,858,49,246,225,172,125,102,52,10,987,46,277
2002,0,12,3,3,7,14,5,0,49,5,17,17,11,9,10,0,0,73,50,142,112,143,171,175,98,32,928,28,93,82,76,50,73,40,10,444,8,29,25,34,35,21,20,0,169,4,39,36,33,41,17,7,0,174,3,18,15,16,24,38,26,4,150,10,61,71,58,54,49,25,3,342,10,28,39,37,36,29,14,0,196,4,14,10,10,9,6,5,0,69,11,33,30,30,25,28,8,6,161,4,0,0,3,0,0,0,0,11,9,7,9,12,11,6,6,6,59,64,76,68,79,86,83,84,54,596,215,562,527,540,548,556,348,114,3412,0,13,14,4,7,0,0,0,46,5,3,0,6,3,3,0,0,20,4,4,9,8,6,7,3,3,54,0,0,5,11,0,0,0,0,21,8,17,16,18,9,4,0,0,67,39,147,114,123,156,125,71,21,793,14,93,70,89,79,97,64,11,516,32,122
2003,51,126,122,128,101,97,37,8,670,101,355,391,181,110,69,10,0,1218,329,1138,986,1022,999,839,460,114,5886,332,853,607,416,415,262,150,46,3083,62,170,161,161,120,92,49,12,825,92,401,324,332,276,192,89,29,1736,32,275,281,270,259,378,192,32,1733,152,657,793,802,597,422,142,26,3589,144,461,369,404,299,291,94,23,2088,140,279,226,128,106,88,37,6,1005,98,254,257,190,138,84,27,15,1061,8,8,3,4,5,0,0,0,34,18,99,100,103,51,52,31,9,456,458,526,424,442,411,394,360,197,3211,2004,5609,5048,4585,3887,3254,1680,514,26589,43,152,147,120,76,31,12,0,594,23,77,92,53,46,16,3,0,315,39,90,81,85,50,34,7,12,408,17,61,63,31,28,20,3,5,219,51,86,85,61,43,16,10,0,348,413,1324,1080,914,927,700,307,100,5771,160,842,831,732,653,699,314,98,4329,272,982
2004,27,101,82,86,64,81,43,7,491,51,232,287,130,79,40,12,0,835,313,1101,905,921,1034,903,481,144,5795,228,728,567,487,405,324,149,57,2947,42,152,160,169,152,108,57,20,854,87,381,329,289,247,162,72,19,1587,53,259,245,216,244,303,176,35,1524,161,521,657,583,482,393,119,27,2938,145,352,341,358,269,226,88,14,1793,80,186,131,80,58,65,22,11,629,62,273,257,167,116,78,34,11,990,0,5,3,6,4,3,0,0,32,15,68,86,83,57,45,26,6,380,389,521,403,435,380,376,364,226,3098,1639,4863,4460,3996,3601,3102,1646,575,23883,34,115,118,88,59,40,12,3,468,3,55,40,50,42,33,13,0,235,32,92,70,85,71,38,22,15,433,19,50,44,36,20,6,0,0,179,55,91,67,71,43,21,5,6,355,467,1465,1099,866,920,714,277,101,5916,179,705,759,640,555,593,269,69,3767,212,850
2005,0,6,18,17,17,18,21,0,102,0,7,19,17,14,7,11,0,78,15,53,68,90,119,140,68,15,575,12,51,35,48,48,28,16,7,246,4,10,19,27,19,11,7,0,103,5,7,31,25,39,21,16,3,149,0,15,25,35,37,62,50,7,234,12,21,44,42,51,47,29,0,252,6,25,67,70,72,77,31,4,356,4,29,53,65,51,42,8,6,249,3,23,10,10,11,14,4,0,73,0,0,0,0,0,0,0,0,3,0,11,13,18,9,9,3,0,60,49,60,65,72,47,74,64,71,504,116,320,487,533,531,552,325,115,2974,0,4,17,10,10,16,7,0,74,0,0,6,5,4,0,0,0,23,0,9,7,13,5,4,8,0,46,0,12,13,16,16,10,0,0,55,0,12,14,19,13,6,0,0,68,10,58,80,102,138,101,50,12,554,3,46,77,91,87,145,95,10,554,8,44
2006,0,11,13,4,6,9,3,0,43,7,13,15,10,4,4,0,0,46,38,136,128,104,112,114,53,19,697,38,89,65,32,58,26,23,6,339,4,28,31,19,18,19,10,0,134,0,16,17,27,18,12,0,0,94,0,18,18,9,26,40,20,9,145,14,60,53,56,44,33,9,8,270,10,20,18,36,30,18,10,0,149,3,16,11,4,4,4,0,3,47,12,44,37,22,17,14,7,0,166,0,4,3,0,0,3,0,0,9,5,13,3,13,7,6,3,0,50,33,75,59,58,42,54,63,33,421,171,548,469,408,391,354,196,73,2597,0,14,10,4,7,0,0,0,34,0,7,3,0,5,0,0,0,12,5,10,7,5,3,0,0,0,35,0,6,0,5,6,0,0,0,15,9,7,13,10,4,4,0,0,43,22,108,80,72,74,67,52,18,493,26,72,62,53,60,80,35,6,396,36,96
2007,4,3,14,9,7,8,6,4,54,10,28,11,16,12,0,0,0,74,79,215,234,263,290,288,140,23,1526,47,157,114,118,113,100,38,16,702,5,52,77,70,45,34,17,9,308,10,43,41,38,26,25,10,7,198,10,40,35,34,47,53,23,0,239,15,64,88,111,99,93,33,0,499,16,50,47,53,44,29,11,3,249,14,7,10,5,0,3,6,0,62,13,53,57,54,45,26,14,3,271,0,0,0,4,0,0,0,0,9,0,12,8,17,20,11,8,0,81,88,106,79,115,114,137,124,65,833,315,835,812,906,858,806,435,132,5102,8,12,22,22,9,5,0,0,85,4,7,7,0,0,4,0,0,18,0,16,5,10,9,9,4,3,60,4,5,6,3,6,0,3,0,31,10,16,13,11,12,3,3,0,65,76,215,182,176,199,132,58,17,1064,36,133,156,156,122,85,60,13,760,31,146
2008,195,394,393,380,331,334,161,28,2224,243,771,788,453,264,152,20,3,2688,897,3236,2739,3068,3134,2934,1470,416,17894,858,2960,2111,1504,1171,787,424,142,9959,143,347,437,386,313,243,143,42,2052,224,1067,947,749,661,449,140,60,4297,93,646,687,572,675,867,473,88,4091,480,1926,2445,1995,1624,1292,492,93,10353,429,1200,1076,978,814,646,261,51,5461,338,629,610,379,182,190,50,9,2396,196,730,648,440,297,182,77,32,2599,17,20,9,6,13,9,0,0,82,57,212,298,265,201,153,71,27,1282,1130,1414,1181,1151,1009,1012,821,454,8169,5300,15558,14359,12324,10685,9245,4606,1449,73530,268,537,496,382,257,151,46,8,2146,37,212,207,126,96,57,11,0,753,111,345,276,227,154,121,72,64,1375,95,422,250,186,93,45,21,3,1124,93,191,212,175,111,43,28,7,853,998,3901,2992,2462,2359,1761,765,253,15484,439,2012,2185,1796,1803,1924,853,195,11204,581,2723
2009,4,17,29,37,27,28,19,3,166,0,21,51,50,17,19,3,0,168,64,178,334,392,372,298,133,24,1798,51,163,200,152,124,64,27,3,791,15,20,41,51,28,17,10,6,178,15,35,35,46,42,27,13,0,218,9,27,54,49,76,77,35,8,329,13,59,209,221,202,104,45,9,872,19,58,85,92,73,46,21,0,397,34,37,36,28,21,16,3,0,180,5,8,26,34,26,14,4,0,122,0,0,0,0,0,3,0,0,0,6,12,20,38,31,13,3,0,126,73,41,82,94,94,70,58,24,540,304,682,1200,1281,1142,798,383,84,5871,14,22,59,44,43,19,7,0,216,4,0,14,17,9,3,0,0,52,5,9,28,32,16,11,8,0,108,6,13,21,24,14,8,3,0,82,11,14,24,21,29,5,0,0,95,33,127,236,247,170,114,43,8,970,20,127,218,204,198,176,62,9,1018,16,118
