SUA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
2000,26010,797,2127,101,1382,349,1796,8502,389,41454,264,211,610,9,122,3,962,149,27,2358,3631,1470,5765,430,1816,1273,2778,5696,285,23129,633,476,1048,10,629,45,948,405,78,4274,4011,687,15806,92,2625,292,3785,5173,387,32848,1352,600,715,23,910,1813,926,651,54,7041,4196,703,1980,261,1203,14251,762,2543,138,26049,4144,135,2455,5156,724,2020,210,4597,144,19583,1510,494,733,279,2257,577,6136,586,123,12690,389,770,413,22,305,167,29,58,19,2174,741,1462,62,19,2080,131,21,27,115,4645,367,217,180,46,564,1427,75,107,52,3019,1482,6286,1807,69,3154,180,55,160,118,13319,692,646,1537,526,702,87,216,3887,85,8371,2539,3676,1156,5530,3629,57,785,1152,305,18831,1861,14222,677,5422,2085,48,106,563,130,25108,2350,14892,1422,15855,5298,172,183,2607,267,43048,764,1242,795,959,344,160,70,657,65,5058,852,723,6034,1350,1093,166,164,894,81,11364,1789,860,1898,594,1173,666,1170,1708,3561,13419
2001,73,12,17,0,20,8,19,36,0,187,9,7,18,0,3,0,41,4,0,70,124,57,202,4,77,47,80,73,6,675,25,9,31,0,27,5,34,20,3,170,159,37,919,5,178,14,199,291,25,1823,63,26,34,0,55,61,52,22,0,315,158,29,64,0,73,552,73,88,5,1058,60,4,74,150,17,143,13,145,3,615,107,42,61,15,229,32,434,43,10,979,10,51,27,0,19,13,4,0,0,121,41,80,3,3,146,9,0,3,5,299,21,6,16,0,36,63,11,10,0,166,73,299,91,0,136,10,4,10,11,625,25,32,31,21,34,9,20,129,4,309,107,151,53,377,193,0,9,38,7,937,68,675,32,286,123,0,3,26,6,1221,73,433,43,476,255,4,9,37,8,1341,31,25,23,58,17,5,0,18,0,177,27,29,270,84,43,3,10,25,0,501,45,46,83,22,66,25,73,50,113,518
2002,97,9,17,5,14,6,23,92,8,265,6,0,12,0,0,0,6,4,0,28,64,20,115,8,39,27,57,262,0,592,17,16,17,0,17,3,19,13,0,91,64,16,316,0,60,6,84,90,3,649,29,8,14,0,28,59,29,24,0,192,105,20,48,3,33,419,22,70,0,726,69,3,43,110,10,63,3,125,0,433,11,6,9,3,36,12,121,7,5,209,8,7,15,0,0,8,0,0,0,38,4,25,0,0,37,0,0,0,4,68,4,7,0,0,32,34,0,0,0,81,11,98,32,0,67,7,0,5,0,225,5,27,27,18,15,4,4,94,0,203,33,77,14,92,86,3,9,21,8,344,26,279,13,179,51,0,0,18,8,570,42,406,41,420,140,3,5,59,16,1146,11,16,8,13,9,0,0,4,0,62,16,19,155,41,20,4,3,33,0,289,32,17,38,18,19,20,28,29,72,278
2003,256,48,88,9,57,23,48,175,9,715,51,83,86,8,18,4,120,27,5,393,617,311,925,64,295,220,448,845,42,3760,91,82,128,0,99,4,81,38,6,533,581,139,2642,3,425,67,393,668,53,4966,170,73,95,6,130,260,140,82,8,961,808,220,305,54,295,2923,177,489,19,5292,602,35,455,969,85,620,80,931,8,3795,140,66,82,22,378,131,840,72,16,1750,89,227,89,11,220,59,7,18,10,729,145,311,6,9,370,48,0,0,14,902,77,58,26,11,125,288,8,23,11,622,286,1548,346,15,558,26,12,18,19,2830,113,148,180,141,183,19,25,608,4,1423,436,661,157,857,997,14,60,123,58,3359,411,3347,141,1107,492,16,12,118,28,5674,490,4092,296,3274,1320,49,66,368,56,10016,166,165,114,230,84,52,10,146,17,984,162,136,778,332,141,39,43,166,3,1804,164,159,249,103,162,93,136,214,391,1677
2004,244,43,90,5,41,19,68,249,6,751,67,128,191,12,30,3,357,75,10,873,517,254,868,56,270,228,440,1307,48,3981,88,96,124,0,152,4,85,34,10,597,530,93,2281,15,397,69,303,631,50,4372,135,75,59,0,121,198,161,64,3,807,688,189,284,57,225,2644,184,489,21,4776,451,18,386,849,89,547,119,961,13,3433,131,43,53,15,312,91,755,65,16,1480,73,150,81,3,75,61,0,5,8,461,241,617,27,7,724,29,0,7,26,1676,59,42,20,6,77,239,8,22,9,481,195,1000,294,12,449,19,10,25,23,2028,82,138,133,122,133,11,14,725,17,1368,334,671,121,888,670,11,95,154,42,2986,244,2558,79,938,330,10,5,46,26,4238,433,4060,258,3027,1134,61,61,328,63,9427,132,108,60,231,52,30,3,51,4,677,148,188,800,246,176,29,20,146,9,1760,158,117,199,101,160,96,137,254,358,1582
2005,27,5,5,0,0,0,3,15,0,58,0,0,0,0,0,0,8,3,0,12,70,34,100,13,38,16,19,147,0,443,8,10,3,0,4,0,0,0,0,32,49,7,193,0,23,7,43,42,4,365,13,9,3,0,15,19,4,0,0,58,69,25,31,0,19,196,11,54,0,413,42,6,39,86,5,20,12,57,0,261,23,6,5,3,13,8,52,0,0,119,13,39,9,0,5,0,0,4,4,77,16,26,0,0,14,0,0,0,0,63,6,11,0,0,12,16,0,5,0,46,28,205,31,7,52,0,0,0,0,326,13,8,29,9,10,0,0,37,0,105,54,118,13,109,62,0,9,15,9,390,33,385,9,64,29,0,0,6,3,532,55,361,25,234,92,0,0,35,5,799,21,85,16,16,4,0,0,5,0,153,21,22,53,24,18,0,4,4,0,156,14,34,14,7,12,10,6,20,37,160
2006,69,14,31,0,13,3,38,156,3,323,3,3,0,0,0,0,10,3,4,25,111,35,163,7,59,30,152,607,16,1174,5,0,24,0,10,0,19,9,0,64,55,11,227,0,39,6,55,87,10,483,19,3,13,0,16,28,12,11,0,100,86,8,48,5,23,331,23,77,4,606,46,0,58,76,16,77,6,116,0,386,19,0,17,0,31,6,123,5,0,199,8,22,11,0,13,12,0,0,0,72,9,24,0,0,28,0,0,0,0,66,7,5,0,0,11,25,0,0,0,45,10,69,20,0,59,0,0,0,5,165,11,21,23,48,12,0,0,102,5,218,34,29,10,70,45,0,13,22,6,239,21,209,16,112,38,0,4,8,0,405,35,199,25,420,87,3,0,80,4,853,8,15,5,15,4,5,0,4,0,60,9,11,122,29,22,4,3,29,4,227,14,0,20,12,11,7,28,42,68,215
2007,163,20,36,0,21,14,23,53,4,336,4,0,6,0,0,0,18,0,0,30,137,61,268,18,65,84,97,210,8,941,10,13,23,0,9,4,26,9,0,99,165,36,585,0,122,15,107,162,16,1200,36,28,26,0,38,54,35,19,0,229,152,43,70,7,51,606,42,96,3,1062,216,0,160,243,62,108,26,228,11,1055,39,11,8,3,48,14,173,13,0,310,8,19,5,0,4,9,0,3,0,45,19,61,0,3,74,5,0,0,0,156,17,4,0,0,20,45,4,7,4,114,30,173,41,0,82,3,0,3,4,342,28,27,26,26,35,4,3,113,0,267,68,88,26,143,102,4,16,26,9,484,39,487,10,167,48,10,0,15,3,777,91,597,46,658,190,16,3,90,10,1699,36,16,31,65,22,4,0,41,3,224,42,18,200,73,38,7,6,49,3,438,44,13,51,16,41,30,38,37,98,354
2008,577,89,153,13,87,43,84,391,24,1458,45,48,64,0,27,0,114,20,4,333,1387,833,2092,188,607,517,1085,1512,112,8339,252,290,299,15,342,62,259,133,37,1672,1820,565,8478,21,1208,213,1055,2257,196,15812,660,434,458,8,411,564,608,305,28,3476,2268,896,750,136,775,7550,955,1271,86,14676,1452,73,1226,2781,259,1373,165,2303,52,9680,592,336,296,142,895,224,2500,315,63,5377,247,517,205,7,169,141,15,11,19,1317,745,1504,55,36,1584,102,9,19,74,4126,241,205,73,20,303,757,51,57,26,1731,1148,4679,957,37,1661,123,32,66,79,8787,352,471,506,264,382,60,139,1769,38,3973,1117,2054,380,3065,1843,26,87,334,140,9052,1125,8533,373,2473,1159,25,57,192,71,14009,1318,9798,697,7831,2967,104,135,942,177,23966,473,492,229,580,181,93,11,169,50,2285,430,388,2129,867,408,73,62,356,33,4759,627,601,604,257,498,306,552,569,1059,5071
2009,57,6,21,0,4,8,3,42,0,148,3,9,7,0,0,0,8,0,0,27,155,71,156,11,92,50,41,53,3,636,27,27,26,0,18,0,23,4,0,132,234,56,807,0,168,16,125,155,15,1571,76,45,26,3,38,48,29,8,0,266,137,35,47,9,45,433,36,73,5,824,84,3,37,155,23,76,4,115,0,496,112,138,65,35,146,32,175,34,9,738,32,61,25,8,13,6,0,10,3,153,105,135,9,0,128,25,0,0,0,396,34,12,8,0,25,51,3,9,7,145,146,478,93,3,148,11,4,4,9,891,50,34,55,18,29,3,7,89,3,288,125,229,53,309,170,0,8,28,16,938,138,740,28,190,100,0,0,11,12,1218,77,569,32,370,202,5,5,32,7,1301,44,59,13,54,11,7,0,19,3,210,47,33,167,59,52,0,7,15,11,391,84,40,59,8,64,22,24,30,70,400
