SUA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
2010,0,0,0,0,0,0,0,0,7,0,8,0,0,0,3,0,0,0,3,0,0,0,0,8,0,8,0,0,0,7,4,0,13,0,5,0,4,0,0,0,6,17,0,19,0,14,4,17,4,5,3,22,26,0,45,4,29,9,41,0,3,7,47,47,0,88,4,23,6,30,0,0,0,30,35,0,66,15,32,4,57,0,5,5,62,41,0,101,29,29,0,55,5,0,3,62,25,0,90,31,17,5,49,0,0,0,53,30,0,83,20,12,0,35,0,0,0,35,11,0,50,14,7,0,23,0,0,0,23,14,0,35,35,15,5,52,0,0,0,52,11,0,61,10,3,0,14,0,0,0,16,6,0,24,11,0,0,11,0,0,0,11,4,0,9,0,0,0,4,0,0,0,4,0,0,4,5,0,0,7,0,0,0,7,0,0,8,13,15,0,33,0,0,0,33,15,0,49,0,0
2011,124,128,86,343,252,227,479,821,4522,49,5393,42,213,45,301,80,93,171,476,981,8,1468,66,524,106,692,175,211,380,1076,1880,26,2981,84,860,147,1088,236,286,531,1616,2619,32,4265,161,1366,256,1781,295,379,673,2458,4683,42,7186,410,2928,511,3852,341,508,852,4698,6221,42,10970,1203,4378,636,6218,322,416,737,6949,6425,51,13422,2748,5026,594,8365,314,321,631,8999,8889,94,17985,5023,5326,649,10998,256,260,513,11514,8199,71,19782,5965,4664,590,11227,263,215,482,11703,6775,54,18534,5731,3300,460,9491,166,146,310,9801,4418,24,14243,5505,2451,366,8321,124,104,224,8550,3535,19,12105,11014,3676,686,15383,194,141,338,15719,5091,34,20848,4868,1607,301,6781,104,67,173,6951,2651,24,9626,4125,1042,218,5388,57,29,84,5473,1127,10,6605,1584,456,92,2128,22,19,47,2176,647,4,2823,5242,984,193,6421,71,28,99,6527,1337,18,7872,4464,2400,715,7585,223,182,403,7991,3978,464,12434,225,159
2012,0,0,5,6,0,0,0,6,28,0,31,0,0,0,5,0,0,0,5,3,0,5,0,8,0,8,0,0,5,10,29,0,38,0,12,8,15,3,10,14,26,49,0,73,0,27,0,27,3,6,9,42,90,7,127,9,54,11,75,9,18,27,102,120,0,225,30,80,16,128,12,5,11,133,114,4,251,48,81,13,142,0,10,14,155,128,3,283,105,83,15,206,3,3,10,211,120,0,333,103,63,9,175,6,0,7,188,69,0,256,96,44,0,146,0,0,0,150,54,3,204,75,22,4,97,0,0,3,101,31,0,130,125,25,5,159,0,0,0,165,37,0,200,35,11,0,51,0,0,0,51,18,0,65,30,0,0,33,0,0,0,33,4,0,38,5,0,0,3,0,0,0,3,3,0,13,17,11,0,33,0,0,0,33,7,4,38,73,31,10,112,0,0,3,111,51,6,170,4,8
2013,0,0,0,0,0,0,0,4,9,0,16,0,0,0,0,0,0,0,0,8,0,6,0,3,0,3,0,0,0,5,10,0,15,0,3,4,11,0,6,3,15,19,0,35,0,13,4,14,7,4,17,29,53,0,84,4,25,6,34,4,6,12,42,70,0,110,12,46,4,63,7,4,14,78,67,0,143,24,48,8,75,0,0,4,80,89,0,173,24,35,5,70,0,0,0,71,51,0,123,34,33,5,68,0,0,0,68,34,0,99,32,8,0,43,0,5,4,51,22,0,72,17,14,3,30,0,0,0,37,12,0,52,38,15,3,56,0,0,0,57,20,0,73,13,7,0,23,0,0,0,23,6,0,22,14,0,0,14,0,0,0,14,3,0,14,0,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,7,5,0,8,26,13,3,41,0,0,0,41,31,3,73,4,5
2014,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,4,0,5,3,0,0,6,3,7,8,0,23,0,5,0,3,3,3,8,8,22,0,29,0,10,3,13,0,10,10,19,39,0,53,5,19,6,33,0,0,3,35,29,0,68,10,26,4,38,0,0,0,38,45,0,86,14,19,6,32,0,0,0,35,30,0,61,12,12,0,23,0,0,0,23,19,0,39,14,12,0,24,0,0,0,21,8,0,36,7,8,0,16,0,0,0,16,7,0,25,17,6,0,22,0,0,0,22,8,0,30,11,0,0,12,0,0,0,12,6,0,23,5,0,0,12,0,0,0,12,0,0,12,7,0,0,7,0,0,0,7,0,0,7,3,0,0,4,0,0,0,4,0,0,7,19,9,0,25,0,0,0,25,6,0,41,0,4
2015,0,0,0,3,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,4,0,15,0,5,0,8,0,0,0,4,11,0,17,0,3,0,8,4,0,5,9,40,0,51,4,18,9,29,0,3,5,34,34,0,63,8,26,0,33,0,7,10,43,38,0,82,15,35,3,50,0,4,4,51,34,0,84,18,31,0,52,0,0,5,58,27,0,85,23,25,0,47,0,0,0,47,25,0,75,27,9,6,44,0,0,0,44,14,0,58,16,11,0,25,0,0,0,25,7,0,37,37,17,0,51,0,0,0,53,8,0,64,13,0,0,11,0,0,0,16,7,0,19,5,4,0,10,0,0,0,10,0,0,10,0,0,0,7,0,0,0,7,0,0,9,5,3,0,9,0,0,0,9,5,0,18,13,9,3,30,0,0,5,32,18,5,53,4,0
2016,0,0,4,4,4,3,3,7,30,0,45,0,4,0,3,0,0,0,3,6,0,10,0,7,4,10,0,4,8,17,18,0,32,0,11,5,15,0,5,0,17,58,0,75,7,29,4,32,10,9,13,48,90,0,140,5,58,6,65,3,10,16,81,135,4,217,30,90,17,133,3,7,10,147,111,0,258,51,102,10,172,4,12,13,180,149,3,333,83,91,13,188,0,6,7,199,117,0,315,80,73,9,152,3,4,3,164,86,0,248,85,32,9,125,3,4,6,136,39,0,171,74,28,3,108,0,0,3,107,36,0,149,103,41,3,149,0,0,0,152,35,0,184,39,16,8,59,4,0,4,63,10,0,74,18,6,0,29,0,0,0,29,3,0,33,8,0,0,9,0,0,0,9,5,0,14,19,0,0,23,0,0,0,23,14,0,37,64,33,4,107,7,0,7,107,60,15,179,5,3
2017,0,0,0,4,0,0,6,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,5,0,0,0,8,11,0,19,0,5,3,10,4,0,4,11,14,0,25,0,14,6,14,0,0,0,18,17,0,37,6,20,4,26,0,0,0,29,23,0,51,18,26,0,43,0,0,0,43,26,0,69,17,27,0,39,0,0,0,36,25,0,62,23,9,3,33,0,0,0,33,14,0,54,13,13,3,23,0,0,0,23,12,0,37,19,6,0,23,0,0,0,24,6,0,26,27,10,0,30,0,0,0,30,4,0,35,10,0,0,7,0,0,0,7,4,0,17,9,0,0,6,0,0,0,6,0,0,12,0,0,0,3,0,0,0,3,0,0,3,4,0,0,6,0,0,0,6,0,0,11,4,5,0,8,0,0,0,13,17,0,27,0,0
2018,0,0,0,0,0,0,0,5,19,0,25,0,3,0,3,0,0,0,3,9,0,15,0,6,0,6,4,0,4,11,17,0,29,0,11,0,16,7,5,9,28,43,0,71,0,17,0,19,10,9,18,32,86,0,118,3,52,7,68,13,12,31,97,130,0,226,18,71,11,98,9,14,19,119,109,0,226,36,107,7,148,5,7,16,163,149,0,312,58,78,4,143,5,4,10,147,120,0,272,71,71,10,150,0,0,6,154,68,3,223,79,44,4,125,4,0,4,133,36,0,164,65,21,11,90,6,0,6,93,18,0,116,101,22,11,128,3,0,3,132,33,0,165,44,13,0,57,3,0,3,56,13,0,72,21,8,4,33,0,0,0,33,5,0,40,4,0,0,12,0,0,0,15,4,0,10,16,10,0,24,0,0,0,24,10,0,35,46,41,13,97,3,4,8,100,43,5,154,9,4
2019,0,0,0,0,0,0,3,4,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,8,0,9,0,3,4,11,12,0,28,0,3,0,6,0,0,0,6,26,0,36,5,29,7,31,3,5,11,44,48,0,86,10,46,5,63,4,0,3,67,47,0,117,14,44,3,60,5,4,6,73,58,0,133,37,36,8,82,4,0,9,93,54,0,143,36,29,4,69,0,0,0,75,33,0,106,26,18,0,44,0,0,0,47,13,0,57,35,14,0,47,0,0,0,47,16,0,63,45,25,6,74,0,0,0,79,18,0,93,15,5,0,23,0,0,0,23,5,0,24,3,4,0,7,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,4,14,4,3,20,0,0,0,19,0,0,19,27,11,0,43,0,4,4,48,24,4,78,0,0
2020,0,0,0,3,0,0,0,3,16,0,17,0,0,0,3,0,0,0,3,6,0,11,0,4,0,5,0,4,4,9,13,0,24,0,10,0,8,0,3,7,15,21,0,37,0,16,3,22,5,7,11,31,59,0,89,10,50,10,67,4,6,15,81,65,0,152,14,60,8,83,4,4,4,88,64,0,153,34,85,9,122,7,3,14,133,93,0,225,51,85,3,143,0,5,5,142,83,0,231,61,56,13,126,5,0,5,130,58,0,192,55,36,4,92,0,0,0,96,39,0,128,52,22,3,81,0,0,0,78,13,0,94,93,31,3,130,3,0,5,133,30,0,163,34,13,4,45,0,0,0,45,14,0,56,21,12,0,32,0,0,0,32,0,0,32,11,6,6,11,0,0,0,11,3,0,12,21,6,4,25,0,0,0,25,5,0,36,42,42,6,91,5,0,4,94,36,5,140,0,0
2021,3,0,0,3,5,0,5,4,14,0,21,0,0,0,0,0,0,0,0,9,0,9,0,3,3,5,0,0,0,7,5,0,13,0,9,0,13,0,0,3,15,15,0,33,0,19,6,20,5,4,9,28,45,0,78,6,53,6,62,0,3,4,67,70,0,134,18,71,13,96,0,5,5,102,62,0,167,38,89,10,131,5,4,10,138,65,0,210,61,71,5,138,0,0,0,143,60,0,196,81,57,8,144,0,3,6,144,53,0,195,56,43,7,108,0,0,4,108,31,0,138,42,24,5,74,0,0,0,74,24,0,102,60,20,14,96,0,0,0,96,15,0,117,37,9,0,49,0,0,0,49,5,0,59,23,4,5,35,0,0,0,35,3,0,35,3,0,0,3,0,0,0,3,5,0,7,17,7,0,18,6,0,6,20,0,0,21,33,26,3,58,0,6,6,63,27,4,93,0,0
