SUA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
2000,0,15,..,1144,106,1251,10,1258,..,1435,162,1600,25,1626,..,207,21,225,0,231,..,90,58,154,0,154,..,56,14,68,0,68,..,92,8,102,0,102,..,262,24,279,3,285,..,33,5,39,0,42,..,178,25,199,3,204,..,103,10,111,0,116,..,139,15,157,6,163,..,46,3,50,0,50,..,120,24,143,0,143,..,610,24,634,8,641,..,171,20,192,3,192,..,561,31,593,6,598,..,338,76,421,4,419,..,1679,155,1834,22,1853,..,514,37,553,0,548,..,82,8,93,0,93,..,488,145,635,3,642,..,118,33,149,0,149,..,271,194,465,13,479,..,2747,396,3138,56,3197,..,13452,2138,15593,219,15809,..,795,67,862,25098,25960,314543,14246,2206,16451,25317,356315,629316,..,..,..,..,629316,..,465,6,471,0,478,..,495,86,577,14,587,..,152,11,156,0,157,..,334,137,468,9,479,..,1463,922,2390,21,2413
2001,0,7,..,359,45,401,6,408,..,43,6,49,0,49,..,8,0,8,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,15,0,15,..,8,0,6,0,6,..,0,0,0,0,0,..,17,0,22,0,22,..,16,0,13,0,13,..,4,0,4,0,4,..,19,0,19,0,19,..,21,0,27,0,27,..,21,0,21,0,21,..,4,0,4,0,4,..,35,0,37,0,37,..,14,0,13,0,13,..,73,3,71,0,71,..,44,0,51,0,48,..,18,3,19,0,19,..,9,0,13,0,13,..,6,0,11,0,11,..,24,13,32,0,31,..,234,25,263,5,269,..,1095,121,1216,17,1233,..,34,3,35,453,494,10928,1124,126,1248,477,12651,21309,..,..,..,..,21309,..,24,0,25,0,25,..,37,0,38,4,44,..,6,0,6,0,6,..,11,3,17,0,17,..,41,18,62,0,66
2002,0,9,..,52,0,55,0,55,..,35,4,36,0,36,..,4,0,5,0,5,..,0,0,0,0,0,..,7,0,10,0,10,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,0,3,..,3,3,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,32,7,37,0,37,..,3,0,0,0,0,..,37,0,36,0,36,..,6,4,15,0,13,..,82,5,87,0,88,..,5,0,5,0,5,..,13,0,15,0,13,..,7,9,20,0,20,..,0,0,0,0,0,..,18,11,32,0,32,..,50,17,60,4,66,..,378,73,454,5,458,..,22,11,29,555,584,7184,404,88,482,563,8232,13721,..,..,..,..,13721,..,26,0,27,0,27,..,16,0,16,0,16,..,8,4,10,0,9,..,13,3,20,0,20,..,41,18,60,0,60
2003,0,24,..,871,77,953,13,959,..,72,4,79,0,75,..,80,4,85,0,85,..,9,0,10,0,10,..,31,4,35,0,35,..,16,0,17,0,17,..,231,18,247,3,252,..,29,6,32,0,33,..,29,0,29,0,29,..,31,0,32,0,34,..,38,8,46,0,45,..,10,0,16,0,16,..,23,4,24,0,24,..,113,3,112,6,115,..,41,0,38,0,38,..,125,6,129,0,129,..,44,0,47,0,47,..,322,6,334,6,331,..,99,3,110,6,106,..,66,0,68,0,67,..,75,13,90,0,92,..,5,3,13,0,13,..,89,14,104,0,104,..,559,54,612,17,627,..,3581,409,3987,51,4039,..,179,17,198,2604,2800,51325,3759,424,4183,2658,58167,98523,..,..,..,..,98523,..,66,0,67,0,67,..,174,5,181,4,187,..,25,0,25,0,25,..,134,33,165,0,165,..,732,216,946,16,962
2004,0,22,..,569,38,608,8,618,..,87,4,96,0,96,..,26,0,26,0,26,..,11,0,15,0,15,..,30,7,37,0,37,..,4,0,4,0,4,..,228,21,245,3,252,..,16,0,15,0,17,..,9,0,9,0,9,..,12,5,18,4,20,..,25,4,25,0,25,..,0,0,0,0,0,..,12,0,10,0,10,..,122,0,123,0,128,..,46,3,48,0,48,..,132,3,138,4,136,..,58,9,65,0,65,..,358,21,381,3,385,..,54,3,59,0,59,..,37,0,34,0,34,..,52,12,63,0,63,..,7,3,14,0,14,..,77,21,94,5,95,..,852,441,1293,20,1315,..,3091,712,3805,47,3853,..,159,38,189,2602,2788,46934,3251,742,3992,2648,53577,90175,..,..,..,..,90175,..,81,3,85,0,85,..,192,7,196,5,203,..,42,0,42,0,42,..,115,25,136,4,140,..,402,150,551,3,559
2005,0,0,..,13,0,11,0,11,..,9,0,11,0,11,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,8,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,7,0,7,..,7,0,3,0,3,..,6,0,6,0,6,..,17,3,17,0,17,..,13,0,12,0,18,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,42,7,53,0,53,..,196,18,215,3,222,..,12,0,16,443,456,5087,214,18,229,441,5759,9578,..,..,..,..,9578,..,5,0,5,0,5,..,4,0,10,0,10,..,0,0,0,0,0,..,11,0,11,0,11,..,15,6,16,0,16
2006,0,0,..,31,3,35,0,35,..,17,0,23,0,24,..,3,0,3,0,3,..,0,0,0,0,0,..,7,3,10,0,10,..,0,0,0,0,0,..,18,0,18,0,18,..,0,0,3,0,3,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,11,3,17,0,17,..,12,9,17,0,17,..,42,5,46,0,46,..,0,0,0,0,0,..,0,0,0,0,0,..,8,4,10,0,15,..,0,0,0,0,0,..,7,4,4,0,4,..,62,15,69,3,73,..,293,125,412,11,421,..,12,0,13,301,313,5764,306,119,429,307,6503,11195,..,..,..,..,11195,..,5,0,5,0,5,..,28,8,31,0,35,..,0,0,0,0,0,..,9,0,12,0,12,..,129,159,283,0,286
2007,0,0,..,91,11,106,0,106,..,26,4,32,3,32,..,7,0,7,0,7,..,0,0,0,0,0,..,4,3,3,0,3,..,0,0,0,0,0,..,17,5,23,0,23,..,6,0,6,0,6,..,0,0,0,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,4,..,26,0,26,0,26,..,0,0,0,0,0,..,45,0,49,0,47,..,9,0,12,0,12,..,79,4,84,0,86,..,12,0,9,0,9,..,3,0,3,0,3,..,9,0,13,0,13,..,0,0,0,0,0,..,19,12,27,0,27,..,69,5,76,0,76,..,423,59,478,8,488,..,36,3,40,626,660,10562,454,62,522,632,11712,20313,..,..,..,..,20313,..,8,0,8,0,14,..,13,0,17,0,18,..,21,0,23,0,23,..,18,4,23,0,23,..,31,14,41,5,47
2008,0,71,..,2196,172,2366,29,2396,..,965,154,1114,17,1128,..,172,13,187,0,189,..,31,19,47,0,47,..,99,13,113,0,113,..,444,121,558,0,564,..,293,17,315,5,316,..,188,42,229,0,231,..,238,34,271,0,269,..,162,14,178,0,184,..,158,30,190,0,190,..,20,0,23,0,23,..,337,91,431,10,440,..,417,12,422,0,426,..,148,4,154,5,154,..,455,12,463,0,465,..,140,6,146,0,149,..,1157,31,1184,8,1196,..,424,63,492,5,496,..,181,22,200,6,201,..,248,56,311,0,314,..,147,25,178,0,178,..,340,130,467,8,472,..,2475,683,3162,68,3230,..,13916,2375,16291,197,16491,..,412,58,470,6281,6747,125435,14326,2439,16765,6478,148681,242730,..,..,..,..,242730,..,254,0,254,0,254,..,778,123,904,12,910,..,43,0,47,0,43,..,410,80,489,11,494,..,1723,435,2162,26,2189
2009,0,0,..,45,8,49,3,52,..,69,0,67,0,67,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,12,4,18,0,18,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,6,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,17,0,17,0,17,..,33,0,34,0,37,..,3,0,3,0,3,..,10,0,16,0,16,..,18,0,14,0,14,..,14,6,11,0,11,..,95,8,108,0,108,..,525,45,562,9,575,..,31,0,31,452,480,10145,553,45,593,460,11198,20204,..,..,..,..,20204,..,34,0,34,0,34,..,22,0,22,0,22,..,9,0,9,0,9,..,16,3,18,0,18,..,38,3,45,0,44
