SUA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
2000,9304,11640,26567,29174,34823,35642,14799,3202,388,165532,431,617,1563,1834,2372,2911,2304,761,83,12879,6,36,59,69,86,63,16,0,3,326,593,453,1087,1220,1680,1416,363,31,5,6852,8,36,163,236,245,178,36,4,0,898,71,227,779,896,1001,827,200,23,0,4027,93,152,356,385,549,471,122,20,7,2144,2588,1532,2220,2430,3293,3076,757,59,0,15952,3073,1410,1794,1566,1854,1747,525,43,3,12017,63,129,410,544,840,819,242,34,0,3081,27,60,193,196,230,213,69,10,0,1007,23,149,565,715,751,569,122,10,0,2896,35,111,324,330,398,330,103,19,0,1655,98,388,1241,1746,1706,1392,473,47,0,7091,101,225,689,871,1132,1036,258,38,0,4345,87,367,1428,2142,2558,2063,419,31,0,9094,295,859,3276,4367,4988,4169,1035,49,4,19042,505,2166,6291,6700,8833,9483,2162,92,3,36234,238,243,505,503,551,435,151,15,0,2651,241,451,1063,979,1025,823,255,26,0,4855
2001,329,540,1497,1463,1258,903,255,27,0,6266,0,16,13,14,6,12,3,0,0,73,0,0,0,6,0,7,0,0,0,6,25,11,20,40,40,28,3,0,0,172,0,0,9,13,16,4,0,0,0,34,3,23,70,68,48,35,6,0,0,253,0,3,21,30,25,17,0,0,0,93,73,108,135,91,119,83,21,4,0,632,155,70,65,48,27,18,9,0,0,385,3,15,66,57,56,38,10,0,0,252,0,3,13,7,8,3,0,0,0,36,0,9,49,42,50,9,9,0,0,170,0,12,26,15,19,5,4,0,0,87,6,30,93,88,64,33,11,4,0,323,8,13,44,36,46,25,4,0,0,163,0,17,117,127,127,79,23,0,0,494,22,70,240,250,236,141,20,3,0,983,7,93,295,276,248,215,37,0,0,1176,17,12,23,15,14,6,0,0,0,92,16,31,55,57,47,13,4,0,0,221
2002,229,281,682,566,628,573,230,41,3,3233,7,7,27,11,10,9,8,10,0,89,0,3,0,0,0,0,0,0,0,3,13,19,32,42,27,46,9,0,0,201,0,5,0,6,0,3,0,0,0,15,0,4,17,16,17,13,0,0,0,73,0,7,10,4,19,12,7,0,0,57,72,42,70,62,68,63,11,0,0,390,79,35,43,26,18,30,9,0,0,240,0,0,6,0,12,15,6,0,0,37,0,0,0,0,4,0,0,0,0,13,0,0,9,6,8,8,6,0,0,39,0,3,9,11,15,8,0,0,0,54,0,7,20,30,17,19,14,0,0,119,0,14,28,20,30,19,8,0,0,115,3,6,38,52,48,29,10,0,0,186,13,41,87,88,113,84,18,0,0,439,16,59,200,175,207,210,51,0,0,918,0,0,7,8,7,8,0,0,0,29,3,15,25,18,35,8,8,0,0,120
2003,1617,2579,6115,5364,5083,4055,1162,144,15,26116,5,27,23,35,28,23,24,8,0,170,0,0,11,16,10,3,0,0,0,49,101,84,151,199,229,170,33,0,0,976,0,4,33,33,41,18,7,0,0,140,16,43,115,155,129,97,26,0,0,576,19,19,52,52,58,40,9,0,0,249,498,505,615,439,453,422,86,6,0,3023,703,438,327,252,186,154,34,0,0,2097,4,34,103,87,87,85,20,3,0,420,14,32,89,70,74,35,17,0,0,322,4,30,102,101,117,71,7,0,0,433,12,29,85,65,54,40,17,0,0,301,11,101,335,352,270,154,38,3,0,1259,23,65,177,146,171,125,32,4,0,748,7,92,354,468,431,240,51,3,0,1654,78,218,860,999,972,694,149,8,0,3980,109,697,1861,1679,1654,1448,269,11,0,7717,53,75,94,111,89,58,18,0,0,498,36,114,228,166,155,114,30,3,3,850
2004,1466,2341,5499,4920,4546,3711,1141,138,12,23776,3,10,47,38,25,30,19,8,0,178,0,13,41,17,16,13,4,0,0,106,85,117,253,231,214,149,33,0,0,1079,0,23,32,38,42,20,9,0,0,166,15,63,125,106,135,94,20,4,0,554,5,14,45,46,39,45,11,0,0,208,504,409,518,382,446,371,79,13,0,2728,647,350,311,226,197,164,36,0,0,1936,0,17,52,50,73,73,18,0,0,289,8,28,53,29,36,24,10,0,0,181,8,47,183,283,226,120,20,0,0,895,7,27,62,41,51,38,5,4,0,236,14,87,268,247,212,132,47,5,0,1008,23,70,174,144,176,176,33,4,0,794,10,70,287,395,348,255,57,3,0,1426,62,197,671,760,708,518,111,3,0,3025,101,695,1868,1574,1485,1385,292,6,0,7400,35,58,64,74,64,44,11,0,0,352,28,77,208,175,139,138,35,3,0,811
2005,112,124,316,465,517,467,177,24,5,2209,0,0,6,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,4,10,0,29,27,35,29,11,0,0,146,0,0,0,4,3,0,0,0,0,5,0,0,7,10,7,7,6,0,0,41,0,0,0,8,6,0,6,0,0,14,52,17,25,26,47,44,17,0,0,229,35,16,32,21,23,18,8,0,0,152,0,0,6,6,9,14,0,0,0,35,0,0,6,12,15,13,0,0,0,46,0,3,0,15,3,7,0,0,0,27,0,0,6,5,4,8,4,0,0,27,0,6,23,36,35,28,11,0,0,140,0,0,9,13,12,19,11,0,0,52,0,0,29,41,65,45,12,0,0,191,5,6,32,106,106,83,26,0,0,367,4,16,94,121,154,183,42,0,0,625,0,0,13,16,26,19,0,4,0,82,0,7,10,18,20,7,11,0,0,77
2006,219,283,712,585,569,490,178,25,5,3057,4,7,28,19,6,10,8,0,0,96,0,0,0,0,0,0,0,0,0,0,23,59,123,68,51,28,3,0,0,361,0,0,0,4,4,3,3,0,0,13,0,0,10,13,10,9,3,0,0,48,0,4,12,0,10,9,3,0,0,31,85,43,59,48,67,50,14,0,0,372,73,21,45,36,33,32,5,0,0,238,0,0,0,9,11,3,6,0,0,28,0,4,4,8,9,6,0,0,0,30,0,4,3,8,12,4,0,0,0,28,0,3,4,9,6,3,0,0,0,27,0,13,14,22,23,20,9,0,0,103,4,8,15,31,21,26,3,0,0,110,5,4,14,32,41,20,14,0,0,131,14,23,59,76,78,69,8,0,0,321,11,44,145,137,167,179,43,0,0,723,4,5,8,9,0,4,4,0,0,31,3,10,20,15,22,9,10,0,0,91
2007,391,398,935,913,1058,1008,332,46,5,5083,0,7,8,10,17,12,7,3,0,66,0,0,0,0,0,0,0,0,0,0,38,23,33,60,60,39,11,0,0,269,0,0,7,3,7,0,0,0,0,20,3,0,24,27,39,39,5,0,0,139,0,0,3,18,17,6,0,0,0,55,87,79,97,96,128,114,38,0,0,638,140,66,93,74,95,92,18,8,0,578,0,6,3,11,26,15,13,0,0,73,0,3,7,7,3,0,0,0,0,19,3,11,13,20,34,15,8,0,0,97,0,0,9,18,14,14,0,0,0,62,4,11,47,45,45,30,5,3,0,186,4,4,26,34,33,33,10,0,0,150,5,12,37,65,63,44,6,0,0,233,12,37,108,147,151,116,19,0,0,589,16,108,300,256,327,329,73,4,0,1420,24,14,22,21,16,15,9,0,0,125,8,21,62,45,41,39,4,0,0,224
2008,3811,6682,16282,15421,13924,10637,3305,456,41,70550,26,44,65,70,84,90,48,20,0,443,0,4,7,7,8,10,0,0,0,45,223,204,409,463,512,363,85,3,0,2256,0,21,141,145,114,49,5,0,0,474,23,149,442,458,372,237,84,10,0,1780,26,63,197,229,252,166,38,3,0,976,1291,1454,1665,1386,1343,1049,233,11,3,8429,1769,1198,906,544,515,389,84,12,0,5418,32,89,220,253,258,199,44,0,0,1096,35,46,115,152,108,74,15,0,0,543,4,66,605,728,562,243,48,0,0,2253,10,77,223,197,207,134,41,5,0,893,32,280,1071,1052,897,532,181,17,0,4060,38,156,421,464,478,376,102,8,0,2031,26,153,985,1178,1192,789,146,15,0,4481,131,595,2129,2535,2320,1691,336,12,0,9757,202,1487,4715,4152,4110,3531,737,36,0,18965,118,161,258,211,181,116,32,9,0,1076,104,307,649,546,434,331,74,7,0,2451
2009,373,409,733,1297,1432,1111,306,61,3,5725,10,3,3,10,16,13,9,0,0,60,0,0,0,0,4,0,0,0,0,4,27,14,22,47,52,40,10,0,0,206,0,3,6,10,10,9,0,0,0,36,4,4,33,60,70,44,9,0,0,225,0,3,4,14,33,14,6,0,0,74,124,70,42,60,95,75,22,0,0,489,130,38,20,22,41,20,8,0,0,276,0,17,22,51,65,41,12,0,0,206,4,0,8,21,19,12,0,0,0,61,0,7,31,79,64,43,6,0,0,223,0,0,10,15,22,11,0,0,0,70,6,20,68,142,108,52,23,3,0,419,0,6,10,32,38,31,7,0,0,132,7,16,70,130,138,90,17,0,0,467,19,31,137,251,257,199,43,0,0,939,20,71,159,290,317,187,49,3,0,1108,8,20,13,16,13,13,5,0,0,94,8,18,23,60,45,37,4,0,0,193
