SUA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2000,1259,4102,5997,5907,7194,8762,8667,4095,1002,46983,772,4540,8297,7492,9174,10250,6711,2538,626,50408,402,3328,9593,8835,10527,11359,5969,1740,340,52088,103,1624,6717,6763,7771,7694,3254,942,181,35041,51,763,5502,6051,6903,6491,2523,824,237,29342,27,311,3071,4388,5030,4350,1499,392,96,19158,18,235,3711,6920,8459,6512,2055,497,110,28508,7,28,545,1401,1812,1428,579,186,44,6034,31,67,724,2105,3111,2781,1369,557,159,10902,4125,2874,6835,7733,8653,9581,9482,6795,3926,60009,38547,29910,68929,76856,93509,112766,105370,53737,18413,598038
2001,50,183,271,227,206,189,187,78,20,1418,23,192,407,323,268,220,159,73,52,1722,8,162,506,374,334,264,143,34,5,1826,3,83,415,344,324,239,93,13,5,1520,0,45,387,361,297,178,59,10,5,1332,0,16,208,252,223,148,30,10,0,884,4,13,331,449,427,244,48,5,0,1524,0,3,44,100,86,50,10,0,0,302,0,0,31,100,117,59,20,6,0,339,85,65,167,164,156,143,158,89,34,1058,1388,1376,3571,3442,3135,2664,2371,1187,431,19557
2002,24,113,191,155,149,191,187,127,39,1176,25,131,249,186,212,195,126,64,27,1219,10,84,251,213,241,201,109,43,13,1158,0,43,165,145,137,126,69,31,10,721,0,13,170,102,135,128,53,18,4,622,0,10,69,76,91,76,25,8,3,359,0,0,73,124,106,72,23,7,3,414,0,0,12,18,19,26,3,3,0,81,4,0,13,28,44,33,13,9,0,146,82,63,125,124,135,139,183,190,157,1188,842,795,1807,1580,1787,2010,2117,1477,567,12979
2003,205,982,1365,988,928,1002,1046,604,180,7293,121,1015,2010,1373,1258,1184,796,333,156,8243,49,734,2222,1735,1583,1406,661,223,43,8655,13,361,1643,1295,1212,1012,373,100,32,6049,6,142,1357,1195,1096,855,258,90,41,5028,0,57,796,998,893,583,163,38,16,3543,4,55,954,1575,1524,977,222,38,5,5363,0,8,127,320,328,214,45,13,6,1067,8,21,143,460,611,357,137,57,14,1804,432,470,905,699,728,670,743,685,609,5942,6815,7130,15403,13881,13566,13020,11670,6629,2851,90958
2004,174,842,1247,967,901,972,963,523,178,6767,101,996,1915,1381,1245,1201,775,341,101,8055,53,689,1949,1532,1448,1346,639,214,68,7944,8,374,1504,1200,1103,888,383,97,22,5584,7,174,1307,1197,1027,784,286,77,41,4905,0,71,770,858,849,560,153,40,9,3309,0,55,846,1307,1342,845,196,41,15,4639,0,11,103,249,259,171,41,12,5,854,0,11,103,299,354,246,95,41,26,1169,374,385,853,713,714,725,720,649,567,5702,5980,6489,13979,12582,12136,12212,11096,6354,2812,83646
2005,15,41,80,111,109,129,156,94,24,759,6,41,100,108,128,155,113,69,13,741,3,24,122,128,170,167,108,48,5,773,0,14,82,114,108,111,64,10,7,508,0,3,55,111,117,102,61,9,7,461,0,5,36,78,108,67,32,16,5,336,0,4,42,141,144,116,45,17,3,503,0,0,0,31,37,22,11,0,0,103,0,0,12,26,48,38,17,10,3,152,56,68,255,220,187,110,154,153,201,1408,510,334,1057,1365,1533,1631,1779,1064,472,9742
2006,32,101,137,108,104,149,156,68,20,881,40,144,275,180,193,181,98,59,15,1176,14,117,363,204,227,191,88,27,8,1233,6,49,175,154,130,109,53,20,8,690,0,13,93,111,117,78,30,0,7,446,0,5,49,80,90,61,11,16,0,311,0,0,53,96,103,73,18,6,0,359,0,0,10,17,19,11,0,0,0,66,0,0,6,18,23,16,20,4,0,87,31,20,94,80,83,84,119,106,78,703,704,677,1657,1409,1489,1553,1536,1056,502,10580
2007,52,168,206,197,209,266,276,151,43,1577,23,169,325,221,289,342,207,83,31,1699,6,143,402,296,328,349,163,54,20,1767,5,67,255,237,258,200,82,23,6,1128,3,35,220,215,258,205,61,26,13,1024,0,12,102,163,179,120,38,11,5,628,0,10,129,256,289,182,40,8,7,919,0,0,19,48,54,35,10,8,4,177,0,0,15,51,88,72,36,7,12,279,88,70,166,138,186,196,223,246,206,1519,1284,1051,2351,2308,2763,3085,3166,1985,753,18753
2008,373,2244,3149,2457,2265,2452,2749,1502,406,17593,232,2365,4425,3236,3127,2970,2246,896,248,19750,95,1790,5634,4057,3752,3524,1953,585,152,21545,25,931,4611,3451,3119,2571,1132,331,80,16249,7,397,3959,3561,3165,2244,852,285,89,14564,4,145,2539,2793,2583,1656,530,133,41,10424,9,103,3329,5377,4616,2853,681,206,51,17205,7,24,463,1112,1082,666,164,63,16,3601,10,41,521,1734,2008,1165,446,150,55,6125,950,1201,2624,2209,2025,1739,2052,1786,1497,16069,16313,18066,40178,37815,35719,33780,30849,17271,7134,237121
2009,30,117,113,159,185,190,214,112,14,1126,20,116,142,208,250,202,172,81,8,1201,5,87,196,249,294,277,176,56,13,1356,0,60,199,252,248,208,111,37,0,1118,0,30,189,298,312,244,71,22,4,1176,0,11,137,259,247,188,37,14,5,892,0,16,242,563,608,369,96,8,0,1905,0,0,29,184,176,116,17,0,0,522,0,0,46,246,317,180,57,9,7,861,98,62,80,140,176,149,136,106,78,1019,1544,970,1727,3066,3378,2951,2322,1172,319,17437
