SUA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
2010,379,9,0,0,0,0,0,43,433,384,38,24,4,0,0,0,47,496,334,105,78,29,8,0,0,34,579,197,115,145,69,7,3,4,28,571,86,83,170,110,36,4,9,27,529,59,58,162,91,40,12,6,26,465,58,48,178,132,38,12,6,29,500,58,47,179,135,40,9,9,25,494,56,41,187,152,62,12,12,29,552,68,35,194,147,69,19,9,28,562,65,34,191,121,71,29,8,29,531,44,28,129,143,51,17,11,32,455,13,24,109,104,78,22,8,30,389,21,16,59,81,67,22,17,39,307,23,12,59,86,70,34,26,41,359,1848,688,1862,1407,621,202,119,488,7233
2011,120169,327,34,4,0,4,17,10309,130864,139552,4238,1427,241,38,9,26,12199,157732,141857,18431,9395,2802,694,178,92,13965,187399,100450,44302,35140,9658,2556,743,387,11966,205195,53060,40974,65654,20191,5286,1520,1013,9951,197641,32370,28067,64622,24370,6575,2005,1464,7537,167015,28002,25138,61576,26757,7623,2381,1786,6952,160222,25226,22814,60680,27910,8123,2320,1702,6514,155281,20810,19860,53209,27134,8348,2263,1546,5746,138922,17160,17403,47765,26819,8979,2400,1601,5340,127457,13117,14525,41184,24136,8470,2376,1533,5207,110534,9383,10200,37498,23501,8545,2430,1618,5447,98628,5694,6004,25667,17938,7398,2405,1800,4870,71778,3581,3811,16131,13334,6733,2507,2322,4661,53077,4028,4760,15626,13464,7629,3471,3882,7688,60543,714449,260856,535600,258258,87000,27010,20776,118346,2022295
2012,1290,13,0,0,0,0,0,202,1502,1133,119,51,8,0,0,0,144,1455,1039,280,252,68,22,4,0,176,1834,527,369,403,224,80,28,12,184,1828,278,243,538,284,117,43,24,164,1699,220,194,525,318,113,27,40,141,1579,209,174,583,373,154,47,36,150,1719,184,169,550,438,169,60,36,150,1759,200,157,590,394,170,49,27,136,1722,181,154,602,414,185,50,46,127,1753,139,113,513,374,179,44,22,118,1502,105,92,482,384,168,44,39,137,1452,65,48,272,238,145,55,38,102,962,48,36,155,197,151,73,49,97,810,33,48,163,160,172,85,87,132,873,5653,2197,5674,3882,1824,609,461,2157,22449
2013,508,10,0,0,0,0,0,59,578,437,61,24,5,0,0,0,56,578,371,127,107,33,7,3,0,58,709,172,125,190,77,16,10,10,51,649,127,91,216,119,42,11,5,60,672,94,70,189,116,47,9,9,45,576,87,72,221,133,55,20,19,53,672,78,75,255,157,78,27,20,52,753,80,81,287,179,78,24,15,67,809,81,73,248,182,78,27,20,57,762,69,56,280,209,81,18,22,59,787,50,42,212,182,77,30,11,63,670,14,27,129,114,50,38,19,47,442,12,16,80,94,59,30,33,34,363,19,21,67,84,68,32,42,33,365,2206,943,2500,1685,740,276,225,812,9391
2014,273,5,0,0,0,0,0,23,298,181,33,8,5,0,0,0,23,243,152,44,38,19,4,0,0,17,284,78,65,85,19,7,9,5,23,285,57,42,106,54,17,9,3,33,317,45,51,119,56,20,8,3,19,319,50,46,153,84,28,13,3,17,392,40,40,146,71,33,5,7,14,355,52,54,157,83,39,16,6,19,420,45,42,162,125,40,11,8,29,467,37,39,171,116,47,12,10,25,461,27,34,117,89,41,14,9,16,340,13,7,66,59,36,11,10,26,234,9,11,45,46,33,9,14,26,194,5,12,53,46,38,25,20,21,219,1065,520,1424,869,394,137,91,328,4833
2015,387,8,0,0,0,0,0,42,436,309,30,13,4,0,0,0,29,389,278,77,59,10,3,0,0,31,467,147,106,117,49,19,4,0,19,478,77,81,180,85,39,8,3,34,510,62,40,154,86,44,13,3,23,427,61,58,174,123,31,6,11,25,486,80,62,177,130,52,8,9,36,561,54,32,184,114,38,13,13,21,466,51,45,199,135,63,11,3,31,545,48,35,184,121,51,18,10,33,500,30,24,159,126,55,23,8,36,459,22,20,96,94,58,17,15,30,347,10,8,40,68,41,23,22,36,259,20,13,44,55,43,29,27,74,293,1634,643,1777,1212,534,172,133,509,6615
2016,1389,19,3,0,0,0,0,157,1575,1178,129,55,11,3,0,0,167,1541,1031,346,227,95,25,10,4,166,1916,585,367,446,201,68,22,19,169,1881,298,245,553,322,118,55,29,153,1761,213,197,559,315,129,42,52,110,1616,179,175,529,359,122,51,66,116,1605,191,158,575,381,130,50,40,98,1632,179,167,536,413,155,48,44,123,1662,157,133,518,399,174,42,41,127,1582,104,111,503,407,174,43,26,123,1489,82,92,468,378,174,47,41,112,1385,60,43,245,273,180,54,43,127,1033,42,27,144,207,121,69,52,105,766,39,46,157,184,152,79,77,126,862,5731,2262,5516,3934,1721,626,545,1971,22300
2017,235,4,0,0,0,0,0,22,261,277,25,9,0,0,0,0,37,353,241,82,62,17,6,4,0,44,453,121,91,110,44,12,3,5,31,411,55,69,121,71,23,4,3,31,375,52,38,101,61,34,17,3,20,323,26,25,91,76,29,12,5,12,282,36,28,91,86,27,15,7,15,300,34,25,99,113,30,15,4,22,349,37,19,111,79,44,6,6,20,323,30,10,100,104,32,15,3,17,306,19,7,88,79,40,10,9,28,286,16,11,55,71,47,15,16,21,246,5,10,39,59,37,30,22,28,229,13,8,38,52,55,21,37,40,266,1190,453,1109,917,412,163,118,401,4763
2018,1058,16,0,0,0,0,0,121,1198,918,118,45,15,4,0,0,134,1233,831,253,174,56,19,7,5,118,1451,469,311,416,150,44,19,10,132,1544,283,192,436,224,80,28,23,128,1389,189,161,412,213,91,36,28,99,1227,179,155,459,259,101,28,29,71,1276,165,149,451,292,108,25,29,109,1330,184,133,506,345,137,36,24,116,1482,161,127,483,368,157,49,23,115,1490,101,81,496,344,146,37,28,89,1321,81,64,431,321,140,39,22,123,1218,44,40,230,249,125,54,34,101,884,30,26,139,174,99,37,33,123,657,25,38,128,143,106,66,61,198,765,4716,1861,4805,3156,1349,463,346,1769,18460
2019,508,0,0,0,0,0,0,64,578,408,52,14,7,0,0,0,33,516,356,102,73,23,0,0,0,60,616,201,105,138,70,20,3,5,32,576,115,86,193,87,22,11,5,25,543,94,80,214,132,39,13,11,32,620,101,75,202,124,57,11,7,52,627,79,60,228,169,54,23,13,36,657,90,54,199,170,67,20,5,42,652,69,73,218,173,78,28,5,32,677,58,37,210,174,92,20,8,37,641,59,41,195,186,87,20,10,51,642,51,32,152,141,72,19,25,60,542,22,13,83,110,71,28,26,53,416,34,12,100,111,81,44,47,80,509,2228,829,2229,1674,758,243,166,684,8806
2020,1077,13,0,0,0,0,0,103,1189,926,82,23,8,0,0,0,84,1121,845,254,175,64,17,0,0,123,1487,423,323,419,186,40,8,5,96,1508,260,197,451,268,94,22,7,85,1380,184,141,384,260,78,38,17,67,1175,171,142,432,302,87,34,20,77,1264,175,144,487,324,130,39,25,70,1392,155,139,480,349,140,39,23,73,1394,169,130,453,403,169,37,20,81,1462,116,81,431,346,170,53,19,79,1299,92,81,416,365,135,54,33,79,1259,62,61,276,261,127,55,29,65,928,29,23,130,167,112,45,35,67,607,30,37,117,157,120,52,70,53,636,4710,1840,4667,3453,1423,471,313,1213,18089
2021,958,3,0,0,0,0,0,93,1055,804,47,12,0,0,0,0,64,931,727,182,118,34,3,6,0,79,1146,415,254,259,107,26,6,0,64,1141,200,172,406,173,47,12,8,67,1093,154,178,405,218,77,18,13,66,1134,179,110,363,287,103,24,14,75,1144,157,140,441,294,119,27,18,41,1237,165,98,405,312,131,37,19,62,1232,162,116,384,336,137,37,23,66,1261,105,103,380,303,127,35,18,58,1133,86,48,302,318,148,48,21,76,1045,59,35,197,205,104,63,30,72,765,40,22,96,141,93,40,63,69,566,35,31,112,128,110,59,90,118,681,4257,1540,3883,2855,1237,411,318,1071,15570
