SUA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
2000,2528,321,5148,50,50,298,385,730,95,1611,70,54,269,141,186,16,737,122,87,572,471,597,85,1932,26,33,211,267,576,82,1195,649,384,2228,1027,1248,141,5674,67,84,474,578,1057,139,2403,693,617,2132,1860,1888,162,7346,2221,2442,6904,2303,2637,252,16753,2284,2482,8778,6872,8832,1047,30301,161,139,537,409,542,57,1837,133,90,480,852,1886,103,3548,116,104,527,576,939,593,2848,7454,7431,29397,21833,32643,4444,103194,579,498,4128,4286,11384,1393,22279,52,19,218,157,1077,48,1580,427,244,2114,1869,8478,563,13684,139,85,530,473,1886,76,3192,213,165,1404,1821,17967,628,22194,95,68,605,697,2325,209,3991,242,204,1908,1985,6191,677,11210,273,174,1510,1788,4539,504,8793,139,104,708,1034,4192,358,6529,146,77,519,307,475,48,1573,287,174,1113,816,829,121,3330,69,66,386,459,1109,126,2215,1444,671,4579,1889,2214,252,11049,141,123,810,968,2408,240,4701,1178,918,3627,3721,4911,359,14717,3222
2001,72,6,133,4,4,23,35,65,9,138,3,4,11,5,6,0,29,12,7,25,31,40,6,110,0,0,6,16,25,7,52,38,15,90,52,54,5,249,10,0,26,29,37,0,93,30,29,111,106,121,5,401,99,134,362,116,151,10,871,85,83,303,240,258,24,984,6,0,15,8,28,0,60,5,3,17,43,87,0,159,3,0,18,18,42,29,112,324,285,1128,889,1241,135,4005,4,3,20,22,47,6,102,0,0,0,10,27,0,36,16,5,71,82,252,3,428,3,0,13,21,75,6,118,17,6,72,118,963,21,1195,13,4,31,38,86,8,172,25,5,87,93,230,19,461,13,6,35,52,102,6,211,24,6,69,107,315,19,543,5,8,30,21,26,3,92,14,4,64,55,58,14,212,4,0,19,27,53,6,106,82,25,207,100,92,8,512,11,4,34,34,89,5,177,50,43,174,189,277,15,760,145
2002,57,0,81,0,0,0,5,12,0,13,0,0,0,0,3,0,5,0,0,3,10,4,0,14,0,0,4,8,15,3,39,6,8,31,19,25,0,88,0,0,11,6,32,0,47,6,17,43,42,41,9,157,46,41,127,66,79,10,363,61,53,202,183,254,20,769,0,0,4,3,8,0,21,0,4,10,19,42,0,87,0,3,6,17,19,16,62,132,145,506,472,796,72,2118,8,0,31,17,53,8,112,0,0,4,3,15,0,20,4,3,42,36,194,14,298,5,6,21,6,36,0,72,4,0,12,30,367,14,432,0,0,8,18,52,3,87,5,9,47,51,193,9,311,3,0,17,29,93,6,150,5,0,6,16,85,9,111,0,0,5,0,18,0,30,0,0,11,20,6,0,41,0,0,7,17,31,5,59,12,12,66,27,46,5,171,0,0,18,9,59,6,91,13,24,74,82,81,15,284,53
2003,378,31,771,19,4,57,55,119,12,267,18,19,77,52,65,4,238,21,15,80,81,79,12,283,9,4,49,39,103,9,214,137,68,431,155,206,17,1017,21,16,92,84,196,15,418,181,122,419,277,330,25,1350,597,462,1489,418,526,30,3526,735,616,2284,1157,1560,152,6504,41,20,106,58,93,13,317,29,24,82,165,320,11,627,27,7,75,70,93,63,335,1998,1461,6041,3258,5198,490,18449,20,10,108,94,218,16,451,26,6,74,31,135,6,281,140,38,428,342,1275,58,2273,45,19,92,60,197,4,419,46,32,289,341,2662,54,3418,17,5,89,92,302,12,522,108,49,555,398,1178,92,2380,99,27,309,287,751,51,1523,85,10,186,166,492,38,976,41,38,165,100,177,12,531,64,39,227,181,128,14,665,11,7,116,89,214,11,453,334,142,1144,341,368,39,2369,47,29,173,139,392,28,805,315,203,777,614,780,49,2735,956
2004,368,27,717,9,3,33,36,80,8,163,5,9,64,14,28,0,127,28,18,188,115,181,22,546,3,5,32,31,77,9,157,75,66,338,121,176,11,795,15,16,67,82,233,17,440,117,115,361,255,284,24,1150,336,417,1167,322,418,38,2703,670,610,2180,1159,1570,155,6343,11,11,82,36,76,6,228,28,14,102,158,328,13,639,12,15,58,58,114,64,330,1430,1378,5382,3015,5048,523,16776,12,4,95,59,209,22,399,31,11,124,40,397,11,607,92,30,400,303,1404,65,2290,21,20,108,79,199,11,438,26,21,189,241,2446,57,2983,12,8,69,77,237,13,418,60,51,440,351,1064,81,2048,49,17,232,268,670,49,1277,22,6,109,134,431,34,739,20,13,120,46,104,12,311,67,54,459,250,276,30,1138,13,4,68,71,168,10,338,168,125,783,273,321,21,1691,32,18,116,130,421,20,743,209,188,644,564,716,54,2374,522
2005,31,0,62,0,5,3,4,7,0,24,7,7,16,6,5,0,34,0,3,7,3,11,0,26,0,0,7,7,4,0,21,27,16,53,20,10,0,121,0,3,12,7,13,0,35,30,25,50,28,35,0,171,109,55,120,28,32,0,344,106,69,184,104,94,10,568,16,9,37,12,3,0,68,7,4,15,14,17,3,60,8,3,14,5,10,7,45,337,213,622,294,324,47,1833,3,6,12,7,5,0,37,0,0,0,0,6,0,8,13,11,64,56,118,8,271,5,0,11,3,9,0,25,4,0,23,35,179,8,252,3,0,6,8,19,0,34,5,6,59,37,66,8,188,5,0,30,23,51,0,120,5,8,8,15,33,8,71,7,9,29,12,6,0,66,5,4,23,12,11,0,52,6,5,12,10,14,0,37,59,21,128,48,18,0,284,4,4,26,9,24,0,70,61,42,95,51,78,5,331,175
2006,49,4,76,0,0,3,0,3,0,11,0,5,9,4,3,0,21,0,0,0,5,4,0,17,0,0,0,9,10,4,25,9,0,19,18,22,3,67,0,0,3,6,55,3,66,7,4,29,23,29,0,99,18,32,118,36,61,0,265,32,29,126,131,234,22,571,0,0,3,6,10,0,17,0,0,6,15,45,0,68,0,0,0,7,15,15,34,82,73,402,343,757,72,1731,6,4,22,27,90,15,156,0,0,0,0,15,0,13,16,13,85,74,336,23,554,0,0,0,8,37,0,48,3,3,10,22,272,4,316,0,0,4,11,33,0,51,6,0,22,31,151,14,222,3,0,22,23,82,11,131,0,0,3,7,66,4,81,0,5,9,7,14,0,43,0,0,10,15,16,4,44,0,0,0,6,16,6,36,9,0,48,24,33,0,116,3,0,12,15,93,0,125,18,6,53,43,61,4,182,31
2007,115,12,222,0,0,9,3,20,0,34,0,0,7,0,5,0,16,0,0,14,23,18,3,61,0,0,8,3,27,0,42,10,9,63,29,23,3,134,3,0,13,20,45,0,79,8,17,54,58,48,3,196,61,71,255,48,84,10,533,85,111,355,231,347,44,1177,5,0,13,14,21,0,57,9,4,21,39,97,6,160,0,0,10,18,17,13,53,192,231,967,656,1098,125,3270,4,3,58,22,99,10,191,0,0,3,0,22,0,21,15,11,86,65,351,14,546,8,0,13,7,43,0,72,11,6,64,51,655,15,801,0,0,8,22,86,5,128,8,0,77,71,241,18,421,6,4,70,88,253,23,453,0,0,10,19,100,7,141,0,0,12,0,7,0,22,6,3,27,41,30,3,108,3,0,13,11,51,0,74,16,14,118,63,50,5,262,3,0,18,23,94,4,140,24,24,103,114,128,5,394,72
2008,972,73,2189,40,17,147,150,263,26,643,52,50,167,63,68,6,395,146,113,724,373,360,31,1738,29,14,156,148,262,31,640,461,227,1517,538,570,71,3382,78,51,336,285,444,28,1221,420,360,1241,821,787,66,3698,1533,1159,3860,1157,1082,94,8872,1741,1525,5959,2906,3825,380,16328,69,47,279,153,189,15,748,84,52,312,495,912,51,1910,80,45,345,258,289,205,1215,5305,3905,17836,9548,12771,1341,50717,53,38,234,169,327,29,858,21,8,48,32,114,5,225,431,88,1228,798,2608,120,5279,111,23,340,215,507,34,1236,259,97,1292,1218,8143,224,11229,130,44,553,408,1003,51,2195,455,143,2055,1475,2772,231,7133,299,68,1044,883,1741,144,4181,300,73,650,626,1446,120,3210,116,78,392,171,204,20,978,356,197,1481,690,548,54,3323,64,22,372,265,506,53,1281,1156,431,3673,1155,1065,135,7619,178,85,614,491,1004,59,2434,745,559,2341,1705,1919,154,7417,2550
2009,36,0,93,3,8,21,42,33,0,115,4,6,17,11,8,0,47,17,11,70,41,33,0,161,3,0,12,13,22,3,49,54,22,160,53,52,4,349,3,5,25,24,23,6,81,53,43,132,86,55,8,384,146,131,357,97,99,13,836,116,119,360,164,162,30,950,12,4,27,12,9,0,63,8,0,27,43,64,3,142,5,3,21,13,33,19,100,444,384,1418,758,800,120,3926,12,7,27,19,18,3,86,0,0,7,0,10,0,24,20,10,108,65,221,8,430,12,4,39,11,55,7,116,20,17,112,119,844,22,1128,13,5,46,38,68,9,176,14,8,102,75,145,18,358,10,9,51,24,54,8,153,21,20,72,140,214,17,482,15,16,38,28,23,4,111,28,22,131,64,48,0,295,3,0,32,24,45,6,108,123,46,347,120,101,12,754,10,5,53,35,82,5,192,89,62,240,212,157,11,771,215
2010,67,3,98,0,0,0,5,14,0,20,0,4,3,0,14,0,24,3,5,15,21,22,0,59,0,4,0,4,11,0,25,19,4,47,13,32,0,117,3,0,3,14,37,0,63,18,15,60,40,35,0,161,36,63,198,57,78,9,441,79,75,309,265,312,26,1054,0,0,3,13,8,0,27,5,3,14,31,71,9,121,0,0,7,6,22,6,45,176,171,739,579,919,80,2664,19,3,28,65,111,12,243,0,0,5,0,36,0,44,6,0,18,17,130,3,175,10,3,29,20,60,5,137,8,3,19,40,448,5,520,10,3,34,25,95,4,160,17,7,39,52,237,14,362,0,0,22,33,121,7,186,0,0,10,16,105,5,135,0,4,14,3,23,3,52,4,5,24,34,28,4,106,0,4,7,8,26,0,50,37,12,81,30,51,5,218,3,0,6,29,74,9,123,41,21,104,94,116,7,381,57
2011,8897,1221,34038,2086,634,6095,3590,4495,581,17487,2556,930,6651,1694,1140,233,13205,8065,2364,20189,6770,4563,1023,42972,1673,516,4960,2778,3751,526,14207,20262,5377,45208,10239,7068,1465,89614,3167,1091,9559,5550,5795,882,26045,10328,5367,21504,8872,7319,944,54339,33057,17257,54437,15358,12547,1819,134469,35285,17952,85371,37673,36641,5435,218362,1972,911,6350,2706,2569,283,14794,2841,1093,7508,7152,10553,821,29966,4274,931,10622,4850,4968,4183,29827,145718,59828,348241,145766,142972,24248,866768,881,219,2468,1560,2466,341,7945,641,119,1265,342,876,85,3323,12398,2452,33828,17831,37088,3015,106624,3596,748,7235,2557,4618,412,19160,7894,1801,27551,19913,91291,3715,152159,6582,1453,18373,8349,12436,1325,48515,13542,3087,46216,24528,30896,3984,122258,6348,1079,23155,17862,19045,2499,69989,9297,1848,22262,15838,21564,2781,73580,6753,1810,16742,4890,4019,705,34920,19199,5292,47028,13531,8203,2032,95282,3656,993,10536,5271,7906,1033,29396,49815,10678,107828,21553,14209,3382,207466,6478,1774,18300,10395,13620,1707,52277,19521,8708,40087,19183,18362,2043,107905,52495
2012,194,16,361,7,0,12,26,55,3,109,0,0,15,8,11,0,37,6,8,19,37,47,4,122,6,0,10,15,58,11,92,20,18,108,74,105,7,334,8,5,55,47,131,17,262,36,34,142,139,145,14,516,98,182,618,199,243,21,1370,181,171,749,515,729,77,2423,6,3,20,14,24,6,69,4,3,23,71,167,11,278,6,3,36,46,68,50,204,410,465,2155,1557,2621,330,7540,32,10,218,193,426,86,964,9,3,22,13,109,5,161,17,17,117,93,480,34,764,15,6,31,45,162,4,269,6,4,49,91,1032,37,1220,7,0,46,52,207,14,327,20,6,139,153,602,56,972,6,8,105,143,387,31,680,13,0,35,84,313,29,476,0,0,22,19,55,7,99,10,13,47,58,66,5,205,7,0,22,27,98,15,176,45,37,251,126,184,16,659,7,6,89,74,253,23,453,73,55,246,306,337,31,1057,154
2013,69,12,101,0,0,5,3,20,0,29,0,0,4,4,9,0,18,0,0,13,22,33,4,73,0,0,3,5,30,0,39,0,8,29,24,43,0,105,0,0,0,17,46,6,76,12,22,60,77,110,7,285,50,52,145,76,115,10,434,45,54,229,207,409,41,990,0,0,5,9,11,0,23,0,0,8,21,58,0,91,0,0,13,11,24,22,70,127,146,574,580,1225,130,2769,0,0,19,13,93,10,135,0,0,3,0,71,3,85,3,0,23,38,292,9,369,5,4,40,54,290,4,399,3,4,7,45,584,17,658,0,0,4,13,55,3,74,9,3,42,68,223,14,359,0,0,17,34,105,10,168,0,0,6,9,115,3,133,0,0,13,7,25,0,46,3,4,22,23,39,4,91,0,0,7,14,56,4,76,10,8,61,42,76,0,196,0,0,7,28,102,7,141,19,29,87,118,186,14,449,59
