SUA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,9755,10502,25590,29405,36084,34121,10235,1542,159,157388,7348,2394,6308,6691,8060,19163,37537,22309,9087,118894,1344,1066,2683,3107,3234,3667,3470,2679,1635,22889,18448,13966,34580,39196,47378,56946,51245,26527,10876,299168,4447,12151,31433,34728,43719,37041,10250,1763,151,175684,11300,7598,15025,19034,21730,25821,12101,2293,250,115158,1800,1220,3580,2853,3105,4611,1778,293,52,19298,714,643,1290,1179,1412,1215,737,370,92,7655,18258,21621,51341,57797,69971,68687,24868,4717,543,317796,512,797,1289,1049,1356,1378,190,9,0,6584,1207,540,676,597,740,1133,322,49,8,5260,1720,1334,1964,1644,2096,2516,513,50,8,11847,19977,22955,53299,59443,72065,71202,25383,4769,548,329643,15752,4562,10093,11005,14406,33721,72529,43807,15198,221080,2813,2394,5542,6405,7031,7840,7462,5163,2663,47314,38547,29910,68929,76856,93509,112766,105370,53737,18413,598038
2001,393,592,1435,1376,1275,820,181,20,0,6101,271,77,324,305,298,529,993,591,267,3651,36,27,73,64,53,55,62,49,18,442,690,697,1830,1750,1620,1407,1245,659,293,10187,138,578,1934,1854,1729,1046,172,5,4,7452,456,430,686,731,647,545,221,32,0,3753,57,64,202,120,79,81,23,3,0,624,12,30,51,74,49,28,10,3,0,260,667,1099,2875,2781,2499,1702,429,46,5,12099,21,36,76,42,45,36,3,0,0,263,70,35,39,51,15,22,6,0,0,243,94,74,112,98,66,62,6,0,0,510,758,1175,2987,2879,2566,1757,439,46,5,12607,571,153,433,437,454,802,1810,1063,396,6123,57,55,147,129,114,101,124,79,30,831,1388,1376,3571,3442,3135,2664,2371,1187,431,19557
2002,229,293,675,613,712,639,181,18,0,3360,145,69,205,176,191,385,872,710,239,2996,23,26,64,58,57,68,73,80,101,544,396,393,946,841,960,1091,1124,805,339,6900,108,317,805,681,770,615,140,18,0,3443,299,213,419,429,471,470,221,35,4,2552,33,15,74,41,43,94,28,4,6,334,14,17,35,16,27,25,12,6,0,146,448,557,1332,1162,1310,1197,399,58,3,6475,24,30,40,24,29,17,0,0,0,164,24,21,19,17,19,24,10,0,0,131,44,48,61,38,51,42,10,0,0,297,488,603,1394,1202,1363,1239,409,58,3,6770,305,138,297,269,309,637,1569,1272,409,5204,45,55,116,111,115,131,135,145,153,1002,842,795,1807,1580,1787,2010,2117,1477,567,12979
2003,1963,2828,6000,5741,5499,4233,911,70,14,27254,1233,589,1372,1281,1348,2404,5123,3293,1522,18157,179,195,403,312,284,264,294,298,306,2521,3367,3611,7775,7337,7125,6896,6325,3662,1834,47933,640,2434,7308,6753,6752,4509,727,38,8,29176,2320,2411,3614,3586,3171,3026,1127,130,10,19385,317,319,755,460,367,532,157,25,5,2928,59,86,193,106,108,83,32,14,11,691,3337,5253,11867,10900,10399,8151,2053,208,24,52182,110,211,372,250,223,173,20,0,0,1362,368,182,219,166,124,133,47,5,0,1245,479,390,593,414,352,305,67,5,0,2603,3813,5639,12457,11316,10749,8456,2116,210,27,54790,2669,1086,2131,1935,2208,4012,8981,5891,2381,31297,331,402,811,629,604,552,572,522,444,4866,6815,7130,15403,13881,13566,13020,11670,6629,2851,90958
2004,1819,2547,5583,5121,4884,4007,895,64,14,24941,1029,605,1293,1156,1200,2274,4752,3139,1511,16948,145,143,385,321,286,288,242,246,215,2261,2996,3295,7259,6600,6367,6563,5887,3449,1728,44151,524,2412,6780,6050,6120,4137,716,36,4,26783,2255,2009,3234,3316,2769,2865,1091,137,9,17692,244,272,695,411,309,521,172,14,0,2641,47,75,174,130,92,77,30,18,3,639,3068,4768,10880,9904,9300,7600,2009,201,21,47758,91,184,259,181,176,138,23,0,0,1056,373,158,170,111,113,126,42,0,0,1092,464,340,434,293,287,262,63,0,3,2144,3536,5114,11317,10197,9580,7862,2072,205,22,49903,2174,1074,1891,1744,1950,3779,8538,5740,2463,29351,270,305,779,640,599,570,486,416,320,4392,5980,6489,13979,12582,12136,12212,11096,6354,2812,83646
2005,129,92,343,519,610,551,178,10,0,2436,102,32,81,108,131,270,734,509,171,2132,9,10,22,30,44,37,57,83,132,429,245,128,442,657,788,856,967,605,303,4999,38,90,338,469,607,453,101,12,0,2111,168,101,267,434,448,477,216,20,5,2133,26,10,32,54,38,59,26,0,0,250,5,5,5,12,14,9,0,5,0,55,234,207,643,969,1112,997,345,32,3,4557,3,4,16,22,14,11,5,0,0,87,18,3,18,16,18,18,7,0,0,98,22,11,35,34,34,33,16,0,0,185,253,220,679,1005,1148,1032,359,32,3,4738,219,91,336,302,294,530,1312,894,280,4255,30,24,37,55,94,68,108,135,191,745,510,334,1057,1365,1533,1631,1779,1064,472,9742
2006,239,270,607,554,594,510,143,8,3,2935,97,45,156,108,137,276,632,511,298,2266,7,7,42,32,33,27,54,45,22,269,347,326,799,698,767,819,826,561,327,5461,105,360,843,695,701,551,103,11,3,3375,291,156,365,344,380,365,170,19,0,2101,35,21,70,68,53,59,34,0,0,337,7,10,25,20,20,14,13,9,0,113,445,548,1306,1124,1156,990,317,31,10,5923,8,6,32,10,23,14,4,0,0,100,22,14,10,15,13,7,0,0,0,78,31,18,40,33,35,18,7,0,0,182,473,571,1347,1153,1187,1009,326,31,10,6104,212,93,224,190,239,484,1111,941,451,3937,17,19,90,69,67,55,94,81,33,543,704,677,1657,1409,1489,1553,1536,1056,502,10580
2007,398,428,945,1003,1197,1021,247,26,6,5261,196,85,204,174,191,544,1304,886,340,3934,22,26,68,57,61,75,80,118,122,633,608,542,1214,1240,1449,1644,1634,1034,466,9829,158,450,1168,1126,1447,1040,216,17,10,5625,480,283,517,635,652,798,286,50,3,3710,97,40,132,95,85,124,66,6,0,653,19,18,37,30,39,31,9,0,0,184,754,793,1851,1892,2222,1986,578,70,10,10162,18,24,41,30,34,39,7,0,0,201,36,28,25,17,27,36,15,0,0,178,55,49,63,46,65,78,25,0,0,380,812,845,1913,1938,2286,2061,603,74,10,10540,424,148,288,257,330,879,2393,1710,576,6991,54,62,150,112,153,146,171,210,172,1220,1284,1051,2351,2308,2763,3085,3166,1985,753,18753
2008,4752,7126,16241,15659,14730,10933,2511,204,21,72183,2891,1305,2955,3068,3092,6354,13028,8546,3837,45075,324,438,889,826,700,620,821,698,543,5856,7959,8867,20083,19555,18523,17905,16358,9450,4403,123112,1144,5737,20168,18827,18164,11664,1911,158,15,77787,5925,6508,9323,9870,8692,8132,3269,396,31,52150,817,908,1954,1515,1032,1209,462,48,4,7949,106,249,520,400,339,243,95,42,14,2008,7988,13405,31966,30607,28231,21250,5745,646,58,139894,200,494,784,522,570,419,69,6,0,3062,1049,520,503,367,304,326,105,20,0,3197,1250,1009,1292,892,876,743,172,27,0,6263,9242,14412,33254,31500,29112,22001,5919,671,63,146164,6399,2716,5018,4717,5142,10473,23406,15364,6216,79452,672,941,1909,1599,1466,1308,1519,1234,855,11512,16313,18066,40178,37815,35719,33780,30849,17271,7134,237121
2009,414,372,728,1381,1500,979,241,18,0,5624,263,51,134,197,197,439,914,525,139,2858,30,29,31,62,84,52,56,37,55,430,711,448,887,1638,1776,1475,1210,581,192,8914,117,355,964,1673,1924,1232,210,22,0,6495,539,335,361,812,812,688,284,40,0,3879,68,47,93,138,102,112,44,7,0,610,21,29,23,36,37,35,8,8,0,185,743,761,1442,2659,2882,2065,540,74,3,11174,8,12,30,29,32,37,5,0,0,153,78,24,7,18,36,25,5,3,0,204,84,38,39,47,68,67,7,3,0,356,824,802,1479,2701,2952,2132,552,77,3,11525,653,124,190,247,269,703,1670,1021,237,5106,65,45,62,117,157,117,103,70,81,804,1544,970,1727,3066,3378,2951,2322,1172,319,17437
