SUA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2000,641,1056,2211,2102,2354,2153,748,88,5,11364,864,966,2078,2204,2777,2667,1238,517,103,13419,18258,21621,51341,57797,69971,68687,24868,4717,543,317796
2001,21,58,127,119,98,52,18,3,0,501,37,50,107,112,106,69,26,6,3,518,667,1099,2875,2781,2499,1702,429,46,5,12099
2002,11,40,66,39,67,48,16,0,0,289,13,29,50,38,63,44,23,8,6,278,448,557,1332,1162,1310,1197,399,58,3,6475
2003,72,227,456,351,329,270,82,5,3,1804,95,178,392,292,325,278,73,31,8,1677,3337,5253,11867,10900,10399,8151,2053,208,24,52182
2004,69,170,446,362,313,302,93,10,0,1760,80,150,358,337,287,265,67,27,4,1582,3068,4768,10880,9904,9300,7600,2009,201,21,47758
2005,9,9,20,35,40,35,14,4,0,156,11,9,19,30,25,41,12,0,0,160,234,207,643,969,1112,997,345,32,3,4557
2006,9,31,56,42,37,37,15,0,0,227,21,13,39,36,50,27,20,3,3,215,445,548,1306,1124,1156,990,317,31,10,5923
2007,23,36,94,79,78,94,24,0,0,438,24,25,65,53,86,75,27,5,0,354,754,793,1851,1892,2222,1986,578,70,10,10162
2008,196,542,1177,1017,886,709,182,37,0,4759,209,497,1192,1100,1031,714,246,63,15,5071,7988,13405,31966,30607,28231,21250,5745,646,58,139894
2009,20,36,52,96,93,77,15,5,0,391,20,28,59,94,115,54,19,6,5,400,743,761,1442,2659,2882,2065,540,74,3,11174
2010,22,43,89,75,62,48,20,6,0,360,13,21,70,48,35,42,15,11,0,252,493,717,1795,1510,1533,1429,415,87,10,7987
2011,2280,7734,20721,18270,16722,12015,3469,483,33,81735,3321,10731,31004,27438,22142,15009,4300,925,213,115081,101292,225014,603956,568097,473592,324559,87631,10698,818,2395663
2012,40,92,242,169,133,130,45,4,0,862,80,108,266,194,249,164,51,21,3,1145,1429,2050,5114,4534,4856,4122,1180,131,18,23438
2013,24,49,90,65,64,59,20,3,0,374,21,34,105,67,75,62,31,8,0,400,569,792,1885,1664,1769,1629,425,38,8,8776
2014,13,26,39,39,35,27,17,0,0,187,11,17,26,24,39,22,22,6,3,172,344,373,784,875,1063,980,301,36,5,4769
2015,9,25,59,53,41,38,10,5,0,238,13,19,49,40,39,31,10,3,3,220,432,554,1419,1324,1361,1133,288,42,3,6565
2016,41,106,229,189,218,161,56,6,0,1014,47,93,249,241,195,136,47,7,10,1031,1472,2103,5191,4685,4651,3840,1126,124,17,23209
2017,9,26,66,41,25,25,9,0,0,204,9,23,59,64,44,29,6,7,0,243,319,529,1274,1051,863,892,265,35,3,5241
2018,37,76,190,137,118,92,25,4,0,671,30,67,153,118,161,115,29,9,0,686,1215,1637,4189,3703,3602,2958,746,72,3,18132
2019,23,33,84,66,66,50,21,0,0,343,31,41,60,52,84,60,23,6,0,348,666,728,1811,1755,1854,1596,471,46,8,8934
2020,37,101,212,157,185,179,53,11,0,926,42,66,177,155,158,129,39,11,4,786,1145,1723,4462,3860,3922,3370,1012,185,25,19700
2021,47,72,156,115,117,78,40,8,0,637,35,55,133,96,126,86,29,7,0,563,1299,1444,3694,3443,3578,3106,823,112,3,17499
