SUA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
2000,2114,4441,4417,3500,6848,12187,4304,20561,1203,59567,3113,6453,6740,6070,8489,9960,3086,6171,471,50552,2252,4313,3590,2918,9562,13613,3248,6756,966,47213,3975,8579,6960,4465,5060,4192,1076,1795,649,36759,1600,5793,5583,3605,7077,5353,1074,1665,351,32097,1688,7868,3958,2041,3408,2610,634,1248,450,23900,1267,1599,1588,1049,3520,4876,1863,4904,494,21170,2721,10041,4920,3247,6164,6697,1916,3384,1039,40123,577,680,440,294,751,816,203,609,2046,6416,19298,49769,38195,27188,50880,60299,17398,47109,7655,317796
2001,39,50,73,63,262,345,121,343,16,1310,99,205,191,188,423,490,142,277,19,2040,90,117,136,90,450,661,192,319,35,2084,133,293,223,199,268,221,56,84,30,1507,68,210,234,173,476,380,67,115,29,1760,80,373,160,61,143,118,20,42,10,1004,53,70,89,67,190,278,97,230,20,1091,64,288,114,58,177,192,53,104,30,1073,7,17,9,10,28,34,12,28,66,218,624,1622,1230,907,2416,2730,762,1544,260,12099
2002,20,34,47,27,128,165,62,178,8,677,49,107,133,128,211,228,84,119,11,1056,35,59,76,73,226,268,63,115,14,929,74,212,193,137,132,89,29,37,14,918,43,126,110,93,169,117,27,28,10,725,33,237,105,48,113,72,18,36,13,678,22,27,41,22,85,86,39,87,13,415,42,209,169,112,213,108,28,46,16,940,16,12,3,10,25,9,4,10,36,131,334,1014,879,658,1312,1142,340,648,146,6475
2003,216,344,373,339,1095,1415,548,1474,37,5841,610,1173,1386,1264,2538,2689,810,1382,62,11915,242,511,551,415,1691,2208,555,940,87,7193,660,1685,1378,962,1144,792,173,326,92,7213,305,917,1001,680,1842,1089,279,278,39,6437,348,1772,814,377,733,518,153,194,51,4962,125,270,224,155,522,608,244,523,30,2706,353,1488,774,379,839,705,234,285,87,5140,68,77,50,38,125,121,29,69,200,780,2928,8239,6536,4612,10540,10148,3014,5473,691,52182
2004,175,264,312,273,1055,1199,490,1154,32,4956,591,980,1194,1317,2456,2153,692,1144,44,10576,255,464,470,376,1522,1970,458,829,70,6415,570,1496,1265,874,1087,731,171,311,81,6590,236,791,875,603,1681,937,191,266,34,5622,311,1585,717,323,688,416,105,181,52,4383,147,261,193,151,571,569,229,667,47,2827,305,1540,755,463,1102,847,219,322,87,5641,53,68,55,35,137,124,22,73,189,758,2641,7443,5838,4412,10296,8947,2581,4955,639,47758
2005,24,43,59,61,92,128,48,112,13,574,71,235,236,194,199,233,71,141,11,1392,24,78,73,52,89,165,34,64,0,582,42,135,118,78,71,80,11,22,4,564,24,76,79,50,100,59,29,18,3,448,17,142,45,13,33,32,10,22,4,306,5,23,28,18,20,31,9,30,5,166,32,145,70,45,46,68,15,23,6,447,3,16,5,3,3,17,0,0,7,72,250,895,721,516,655,803,216,435,55,4557
2006,17,37,45,34,107,109,67,148,9,574,39,70,83,80,122,148,39,95,3,677,34,79,50,35,175,246,84,118,13,849,67,159,161,126,136,72,21,34,15,798,31,82,89,63,130,91,19,30,0,521,34,223,82,46,64,47,5,18,10,537,18,28,22,12,101,99,65,130,13,493,86,274,118,71,362,285,76,63,20,1350,10,8,5,0,24,21,8,7,33,119,337,960,665,470,1229,1116,383,649,113,5923
2007,71,74,95,90,211,303,126,352,19,1337,89,172,209,195,346,369,132,194,8,1711,73,102,105,112,384,467,104,248,27,1621,154,336,263,173,216,165,42,54,16,1421,46,168,179,120,292,179,34,47,12,1074,84,332,183,76,167,111,21,40,12,1038,31,48,54,29,112,133,49,140,8,621,91,289,166,93,200,166,60,95,21,1189,14,21,10,7,18,18,5,13,54,164,653,1550,1262,896,1955,1909,571,1185,184,10162
2008,616,1012,1159,959,3151,4284,1567,3990,123,16864,1728,3532,4014,3440,6910,7218,2087,3672,220,32821,801,1696,1539,1139,4450,6160,1536,2453,246,20021,1831,4725,3545,2135,2519,2324,586,828,241,18728,724,2342,2465,1635,4199,2878,609,813,120,15775,953,4555,1977,870,1679,1327,317,529,120,12346,344,836,734,491,1607,1931,632,1266,131,7981,800,4050,1856,918,1928,1992,438,811,220,13007,152,246,167,123,410,407,72,209,581,2357,7949,22998,17451,11705,26841,28531,7847,14574,2008,139894
2009,53,86,99,93,258,457,177,529,12,1770,147,310,353,281,479,594,214,371,31,2784,68,135,116,93,346,536,143,285,27,1748,145,345,180,102,135,178,52,79,16,1234,73,248,246,178,326,266,47,74,16,1474,46,319,101,61,90,96,29,39,9,787,16,47,45,23,79,115,39,97,10,482,49,267,78,52,87,110,24,54,15,736,6,19,10,9,23,33,6,19,43,162,610,1772,1217,897,1827,2390,735,1540,185,11174
2010,40,63,68,74,211,272,91,239,14,1066,72,130,159,199,322,353,98,161,15,1502,43,88,51,76,314,356,101,125,20,1158,79,195,206,132,195,144,38,49,14,1056,42,122,130,114,240,167,39,30,11,900,48,242,122,72,156,94,25,31,6,795,22,47,34,25,108,112,34,117,15,511,48,257,108,71,147,159,25,46,12,869,9,16,9,8,19,16,7,11,45,137,406,1154,886,770,1701,1667,464,806,136,7987
2011,10737,16495,20768,17888,65966,90359,30163,75567,2579,330528,24269,58712,59466,53400,144627,178100,42959,80499,4765,646799,12223,24812,26565,17977,68597,83572,19356,29559,4697,287349,24934,63486,47842,27812,38799,27095,6512,10411,3838,250732,11577,39905,42188,26535,88847,65640,12965,17833,2640,308136,14946,65554,31845,13295,30775,24189,5898,9514,2329,198343,5189,14179,15690,9627,34749,31649,9369,15914,2834,139187,10384,48491,30779,14374,35970,26792,6539,10307,3420,187051,2416,4582,3751,2357,8904,8187,1533,3659,12145,47538,116672,336221,278885,183264,517239,535588,135293,253264,39242,2395663
2012,109,204,185,151,591,707,249,870,53,3129,191,319,396,399,1019,912,264,475,42,4025,120,217,192,165,828,942,217,451,61,3195,250,489,504,380,625,363,82,151,68,2911,95,316,374,248,836,451,89,123,26,2554,128,733,379,190,415,222,56,83,42,2253,69,109,99,80,299,366,119,358,33,1541,163,724,437,282,617,559,156,245,107,3271,30,55,40,28,87,66,16,33,204,568,1153,3158,2597,1928,5322,4583,1258,2807,633,23438
2013,42,43,55,41,131,212,57,158,12,755,59,141,148,147,234,202,62,96,8,1102,73,101,97,78,401,520,134,217,41,1660,115,277,275,170,204,118,36,56,17,1266,55,169,183,127,331,180,35,47,9,1139,40,279,134,85,126,71,13,19,24,799,42,52,48,42,130,150,98,139,14,714,69,284,140,79,222,179,58,87,31,1146,13,18,9,0,30,33,6,17,69,200,510,1354,1087,777,1808,1671,499,834,231,8776
2014,18,28,46,29,64,100,33,118,7,449,38,101,96,81,136,145,49,81,3,735,36,54,44,47,177,238,34,67,8,702,73,176,139,82,98,74,22,17,12,689,22,71,73,49,105,84,23,17,0,441,22,160,68,27,58,35,8,15,0,400,38,40,35,15,80,179,53,118,9,568,32,209,69,57,114,103,7,44,11,664,10,12,6,6,21,28,9,11,28,118,292,854,570,395,852,997,236,491,87,4769
2015,22,38,57,32,143,189,84,222,5,798,74,132,158,139,261,341,115,193,9,1426,36,69,68,48,236,275,64,118,13,931,82,222,202,120,131,135,34,65,16,1008,22,104,92,75,183,143,25,30,6,677,39,224,107,46,90,64,14,19,5,615,19,34,18,17,53,80,31,52,7,307,30,196,102,58,119,109,27,41,23,690,4,11,16,3,19,23,0,7,38,114,336,1029,814,534,1240,1359,391,750,118,6565
2016,105,158,167,141,542,691,272,706,40,2829,186,388,425,527,1003,1000,277,468,28,4286,107,178,200,163,752,1015,268,389,35,3097,217,540,525,409,542,331,77,149,31,2826,112,363,400,264,727,495,109,140,22,2625,143,779,336,177,362,222,62,98,36,2212,63,120,103,66,343,359,152,250,38,1489,158,750,375,284,761,588,193,208,84,3400,28,32,29,19,47,89,21,20,157,449,1120,3296,2559,2038,5076,4782,1426,2433,475,23209
2017,20,41,41,34,119,165,79,209,6,718,54,86,87,88,199,228,49,94,5,899,14,46,53,28,155,246,48,102,12,715,57,138,129,82,128,87,10,37,3,673,14,73,88,65,165,123,25,29,6,586,35,147,80,32,70,75,20,27,8,502,11,22,19,14,51,66,16,58,6,263,32,173,91,72,183,145,27,35,16,782,6,9,6,0,23,18,0,8,34,100,246,731,591,422,1099,1149,290,605,96,5241
