SUA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
2000,3370,7976,20734,23332,27281,24480,7450,1387,125,116145,4823,2818,4114,4084,5324,8266,5988,1416,181,37025,746,483,957,1064,1403,2180,941,178,32,7992,357,361,764,688,807,710,415,217,52,4372,9304,11640,26567,29174,34823,35642,14799,3202,388,165532,340,532,865,679,903,951,149,3,0,4428,581,281,280,188,262,484,199,22,4,2303,923,807,1151,867,1167,1438,350,24,7,6728,10225,12451,27711,30046,35987,37084,15147,3230,387,172260,8403,2166,3785,4316,6348,14564,34995,21502,6116,102181,1470,1333,2858,3303,3797,4173,3991,2477,1029,24427,20096,15950,34352,37663,46126,55812,54129,27203,7533,298872,1072,4175,10702,11394,16438,12553,2800,380,29,59544,6478,4783,10913,14952,16398,17556,6112,870,66,78133,1053,732,2629,1789,1704,2425,837,115,20,11305,355,284,530,487,608,500,320,152,43,3286,8954,9979,24775,28625,35151,33041,10074,1513,151,152261,166,272,423,370,456,432,42,5,0,2155,628,256,387,409,480,649,124,20,4,2960,801,525,813,780,936,1081,163,25,4,5122
2001,111,354,1221,1226,1043,692,120,0,4,4765,193,151,192,155,148,149,113,17,0,1115,21,21,57,46,43,38,16,3,0,246,4,12,28,38,23,14,3,6,0,141,329,540,1497,1463,1258,903,255,27,0,6266,9,18,46,23,29,24,3,0,0,156,30,21,8,16,4,10,0,0,0,91,44,41,51,39,29,35,7,0,0,243,372,580,1544,1500,1292,935,258,29,0,6513,305,71,115,128,162,273,814,467,129,2470,26,27,71,67,62,44,58,32,4,391,696,684,1735,1692,1510,1260,1134,526,145,9369,35,222,708,626,689,352,54,0,0,2685,264,285,502,578,494,396,106,17,0,2642,34,45,148,76,36,41,10,0,0,380,10,11,23,33,23,9,9,0,0,121,340,561,1378,1315,1244,798,179,20,0,5835,14,12,28,22,18,11,0,0,0,112,38,16,28,42,13,12,0,0,0,150,51,35,59,58,31,22,0,0,0,259
2002,73,194,536,435,478,381,95,13,0,2203,130,68,104,104,110,135,108,27,4,800,20,9,20,18,22,47,18,0,0,144,11,10,16,5,15,12,9,0,0,82,229,281,682,566,628,573,230,41,3,3233,19,23,31,19,18,14,0,0,0,121,10,6,5,3,10,9,5,0,0,56,31,30,41,21,25,21,4,0,0,175,260,307,723,586,648,596,231,41,3,3406,155,67,91,90,119,254,698,567,169,2209,26,26,52,52,58,67,62,68,48,462,442,404,865,738,826,916,993,674,226,6081,35,120,270,239,292,235,49,0,0,1236,162,139,313,326,358,328,112,9,0,1752,20,7,53,23,25,46,12,0,0,190,7,7,14,9,9,10,3,0,0,66,212,278,654,599,681,621,173,18,0,3239,0,13,5,6,12,3,0,0,0,41,11,8,13,8,17,14,6,0,0,81,13,15,23,11,29,21,6,0,0,119
2003,464,1487,4624,4428,4121,2827,506,30,5,18489,978,928,1180,748,734,921,556,88,4,6144,137,116,200,129,161,256,82,13,3,1100,31,50,110,57,61,48,18,8,0,386,1617,2579,6115,5364,5083,4055,1162,144,15,26116,64,142,250,164,131,115,13,0,0,887,176,89,92,52,43,57,29,4,0,537,235,231,344,214,172,171,46,6,0,1417,1854,2812,6458,5577,5252,4222,1203,144,15,27542,1441,498,758,651,859,1606,3861,2602,860,13142,154,208,408,310,323,295,277,229,145,2340,3449,3513,7627,6541,6439,6124,5345,2967,1015,43024,179,954,2681,2323,2630,1680,222,9,7,10683,1340,1479,2434,2838,2432,2106,573,41,0,13240,180,205,553,325,204,282,76,14,0,1834,29,36,79,45,45,34,15,11,8,307,1725,2675,5752,5539,5316,4096,888,66,14,26067,45,68,125,92,93,55,8,0,0,481,190,93,123,112,86,83,16,0,0,711,240,160,247,202,183,137,22,0,0,1187
2004,385,1445,4245,3969,3685,2630,518,25,4,16901,962,749,985,743,675,812,529,91,8,5547,100,111,179,146,133,234,78,11,0,982,24,41,98,67,55,36,15,8,3,348,1466,2341,5499,4920,4546,3711,1141,138,12,23776,64,135,171,124,118,90,12,0,0,719,181,83,66,25,38,57,21,0,0,470,246,222,234,152,155,148,33,0,0,1183,1712,2566,5734,5074,4698,3855,1175,138,12,24967,1149,468,594,586,756,1505,3791,2600,959,12401,121,166,394,321,310,285,246,175,109,2123,2984,3196,6723,5982,5766,5649,5212,2909,1081,39492,144,963,2539,2084,2438,1508,200,7,0,9879,1293,1262,2253,2578,2100,2052,567,43,6,12148,143,163,514,264,176,290,91,3,0,1659,20,37,80,64,34,37,11,7,4,292,1601,2427,5380,4987,4754,3890,865,70,7,23978,30,48,91,54,55,46,6,0,0,342,189,71,105,79,76,68,18,0,0,624,224,125,200,136,131,114,27,0,3,960
2005,27,61,212,296,366,269,69,9,0,1318,70,49,96,142,131,166,89,15,0,763,8,4,4,20,13,25,20,0,0,96,5,3,8,10,9,4,0,0,0,30,112,124,316,465,517,467,177,24,5,2209,3,3,8,11,10,9,4,0,0,50,13,0,14,7,5,5,8,0,0,48,17,9,23,19,14,11,8,0,0,96,126,126,337,488,535,480,182,24,5,2305,120,58,258,197,157,261,576,385,109,2124,22,10,23,28,47,28,52,45,61,320,260,202,615,713,746,771,819,457,169,4743,12,27,127,171,240,186,31,0,0,795,95,52,171,294,324,307,125,8,0,1374,19,4,25,39,27,35,10,0,0,156,0,0,4,0,7,4,0,0,0,21,121,85,331,506,596,535,170,10,0,2349,0,0,8,12,8,6,0,0,0,31,9,4,4,9,7,13,9,0,0,49,9,3,15,17,14,23,5,0,0,87
2006,76,225,578,473,448,355,77,9,5,2243,116,52,104,74,82,100,78,9,0,630,18,4,14,22,23,30,11,0,0,120,3,0,13,11,14,9,7,0,0,59,219,283,712,585,569,490,178,25,5,3057,10,10,24,11,14,3,3,0,0,73,10,6,0,10,7,5,0,0,0,46,17,13,26,22,25,9,5,0,0,118,234,300,739,602,587,499,183,25,5,3173,117,47,68,77,104,206,484,427,150,1675,9,12,53,35,33,29,40,43,17,273,358,356,852,714,727,736,708,492,173,5120,28,135,269,219,255,192,21,0,0,1134,173,109,258,268,297,265,94,4,0,1471,16,17,50,44,26,32,20,0,0,219,4,8,10,8,4,7,5,4,0,49,231,263,595,542,587,499,140,8,3,2868,0,0,6,3,6,4,0,0,0,26,13,3,8,8,3,7,0,0,0,37,13,5,14,6,9,9,0,0,0,62
2007,122,286,746,725,874,696,165,12,3,3626,214,87,130,135,128,230,138,34,3,1089,45,15,33,36,35,60,31,0,0,260,10,9,24,17,20,21,8,0,0,100,391,398,935,913,1058,1008,332,46,5,5083,14,17,26,20,27,31,5,0,0,130,16,9,8,0,4,11,12,0,0,66,28,21,41,18,28,40,18,0,0,195,419,419,972,930,1089,1041,353,46,5,5278,233,56,87,82,136,334,1086,816,230,3058,31,32,79,51,94,74,92,86,50,593,679,510,1136,1066,1314,1446,1532,949,290,8928,33,167,418,407,570,345,50,5,5,2002,263,203,384,501,522,568,155,16,0,2616,60,24,104,57,55,59,34,4,0,389,7,3,12,12,14,14,8,0,0,77,366,403,919,978,1167,984,245,24,6,5081,11,7,14,14,10,11,0,0,0,69,22,17,17,15,25,24,0,0,0,107,27,27,28,27,36,38,6,0,0,180
2008,886,3516,12372,12566,11306,7513,1412,130,10,49705,2555,2650,3129,2139,1976,2442,1579,270,24,16758,331,369,505,494,453,540,255,34,4,2981,50,143,278,227,195,138,58,22,4,1109,3811,6682,16282,15421,13924,10637,3305,456,41,70550,135,343,521,320,370,284,51,0,0,2034,543,259,207,99,83,142,55,8,0,1398,677,601,733,418,449,430,105,12,0,3429,4487,7287,17013,15838,14375,11063,3413,462,41,73978,3514,1406,2062,1645,2051,4120,10381,6813,2381,34373,347,503,1022,775,769,686,696,535,311,5649,8352,9198,20094,18266,17197,15871,14489,7821,2727,114008,259,2217,7803,6263,6857,4152,503,33,0,28084,3379,3857,6196,7733,6720,5689,1694,125,12,35393,486,540,1448,1019,584,669,208,20,0,4967,54,113,242,176,149,105,41,23,8,896,4178,6718,15686,15184,14309,10620,2441,194,24,69346,63,149,262,203,200,136,17,0,0,1035,507,258,294,276,226,178,52,12,0,1802,576,404,556,474,422,319,66,14,0,2836
2009,97,234,582,1099,1210,832,148,17,0,4220,228,144,104,132,156,220,133,31,0,1146,34,21,24,47,52,43,23,5,0,254,12,17,16,18,17,11,0,3,0,104,373,409,733,1297,1432,1111,306,61,3,5725,11,8,18,22,17,26,5,0,0,105,38,10,0,0,4,13,6,3,0,75,43,19,22,20,26,42,5,3,0,181,413,429,747,1321,1458,1151,312,64,3,5907,388,72,57,55,74,258,751,493,99,2249,33,18,29,55,73,60,46,31,24,376,835,522,837,1423,1603,1476,1113,587,127,8530,18,126,379,570,715,400,63,0,0,2275,314,195,257,675,662,468,146,11,0,2735,32,27,69,92,54,64,21,0,0,362,10,10,4,18,18,18,0,0,0,88,370,357,713,1357,1452,952,235,18,0,5453,0,7,6,8,18,11,0,0,0,46,38,11,6,19,27,15,5,0,0,128,42,18,11,26,44,30,5,0,0,171
