SUA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
2000,1015,16892,2191,20096,1028,13424,1496,15950,2571,27998,3791,34352,4182,29279,4203,37663,6571,35166,4388,46126,8714,42463,4640,55812,6631,43051,4445,54129,2911,21473,2824,27203,652,5748,1133,7533,34271,235485,29112,298872,1168,15305,1982,18448,1235,11548,1181,13966,4078,27586,2913,34580,6978,28878,3339,39196,10958,32948,3478,47378,14021,39031,3894,56946,8922,38576,3741,51245,3258,20392,2878,26527,472,8656,1756,10876,51091,222919,25158,299168,2180,32193,4175,38547,2258,24972,2683,29910,6648,55583,6700,68929,11164,58147,7551,76856,17528,68112,7862,93509,22734,81495,8533,112766,15557,81628,8184,105370,6175,41864,5698,53737,1124,14400,2887,18413,85363,458409,54274,598038
2001,31,636,31,696,39,619,25,684,125,1520,95,1735,212,1404,78,1692,221,1229,65,1510,193,1015,57,1260,153,917,62,1134,69,420,34,526,15,117,10,145,1053,7863,450,9369,33,621,39,690,52,611,32,697,222,1522,91,1830,354,1319,78,1750,360,1202,62,1620,320,1019,69,1407,215,960,60,1245,68,545,50,659,9,258,26,293,1626,8058,506,10187,63,1257,74,1388,92,1231,56,1376,343,3035,183,3571,567,2719,160,3442,580,2427,128,3135,511,2030,120,2664,372,1884,121,2371,139,966,83,1187,27,374,33,431,2681,15921,960,19557
2002,24,374,37,442,24,347,35,404,69,738,58,865,90,590,58,738,151,619,60,826,148,701,65,916,122,806,66,993,77,518,86,674,27,149,53,226,729,4839,505,6081,38,323,38,396,44,322,31,393,113,759,69,946,153,624,57,841,245,654,69,960,275,747,71,1091,190,851,80,1124,83,638,86,805,13,219,110,339,1155,5134,612,6900,65,695,78,842,65,669,62,795,187,1500,127,1807,247,1215,115,1580,388,1265,132,1787,427,1446,136,2010,313,1659,143,2117,156,1149,167,1477,40,368,158,567,1891,9974,1118,12979
2003,161,3087,206,3449,197,3090,227,3513,522,6641,460,7627,734,5443,359,6541,992,5110,341,6439,1038,4776,314,6124,746,4311,292,5345,371,2337,261,2967,94,767,159,1015,4851,35571,2605,43024,186,2962,221,3367,271,3119,221,3611,899,6443,437,7775,1326,5663,347,7337,1777,5039,312,7125,1811,4804,282,6896,1185,4822,315,6325,453,2898,314,3662,88,1440,306,1834,7992,37193,2754,47933,341,6050,421,6815,465,6214,451,7130,1427,13077,896,15403,2062,11109,708,13881,2765,10150,647,13566,2844,9583,595,13020,1933,9131,604,11670,824,5236,570,6629,182,2206,458,2851,12836,72755,5360,90958
2004,124,2674,188,2984,180,2823,196,3196,483,5789,448,6723,696,4927,357,5982,857,4559,350,5766,1000,4324,326,5649,761,4163,286,5212,366,2302,243,2909,114,814,149,1081,4578,32380,2534,39492,184,2634,181,2996,256,2885,152,3295,890,5945,412,7259,1224,5001,375,6600,1515,4537,323,6367,1744,4516,309,6563,1140,4453,294,5887,458,2701,288,3449,83,1367,278,1728,7495,34050,2611,44151,307,5304,368,5980,437,5704,348,6489,1375,11739,863,13979,1921,9929,726,12582,2371,9094,672,12136,2741,8842,633,12212,1901,8615,576,11096,824,5004,527,6354,197,2188,425,2812,12077,66426,5145,83646
2005,13,218,31,260,14,140,47,202,40,337,234,615,55,471,177,713,111,503,132,746,131,567,70,771,94,647,73,819,52,342,62,457,11,98,61,169,539,3327,882,4743,9,210,19,245,11,104,9,128,54,368,22,442,110,509,38,657,200,534,50,788,234,586,41,856,153,742,67,967,71,452,87,605,11,157,138,303,865,3668,466,4999,30,426,51,510,31,250,57,334,94,712,249,1057,168,979,217,1365,309,1041,177,1533,366,1150,116,1631,249,1391,138,1779,122,794,143,1064,24,254,199,472,1403,6999,1347,9742
2006,9,331,17,358,19,318,20,356,50,749,60,852,79,600,35,714,107,584,41,727,139,559,32,736,105,557,47,708,51,390,44,492,12,136,24,173,583,4231,310,5120,22,307,16,347,28,286,7,326,85,675,42,799,126,536,33,698,184,546,30,767,238,536,38,819,152,616,61,826,68,433,55,561,6,282,37,327,913,4224,319,5461,27,640,36,704,48,607,25,677,135,1417,100,1657,207,1131,71,1409,294,1131,66,1489,381,1101,70,1553,259,1177,105,1536,120,830,103,1056,16,415,56,502,1489,8450,639,10580
2007,28,598,52,679,28,441,36,510,64,983,92,1136,125,875,67,1066,166,1056,94,1314,211,1152,81,1446,169,1267,96,1532,110,743,91,949,22,213,58,290,925,7332,670,8928,33,540,39,608,38,477,33,542,119,1021,75,1214,207,964,63,1240,316,1054,75,1449,338,1227,79,1644,287,1258,93,1634,111,798,124,1034,23,317,125,466,1471,7656,700,9829,62,1138,89,1284,62,916,69,1051,185,2000,165,2351,334,1840,132,2308,483,2107,168,2763,545,2383,159,3085,455,2528,186,3166,221,1546,216,1985,41,524,183,753,2392,14989,1375,18753
2008,340,7536,474,8352,466,8077,656,9198,1216,17314,1563,20094,1817,15196,1248,18266,2526,13652,1018,17197,2690,12346,832,15871,1979,11729,785,14489,959,6289,568,7821,269,2119,339,2727,12263,94266,7482,114008,420,7101,442,7959,620,7755,493,8867,1980,17095,1006,20083,3153,15465,937,19555,4409,13329,781,18523,4771,12428,712,17905,2936,12545,875,16358,1136,7528,788,9450,167,3644,596,4403,19584,96895,6633,123112,763,14636,916,16313,1088,15831,1150,18066,3195,34419,2567,40178,4968,30662,2187,37815,6933,26983,1801,35719,7462,24778,1543,33780,4916,24272,1665,30849,2092,13820,1357,17271,431,5766,933,7134,31843,191159,14115,237121
2009,53,733,49,835,36,466,28,522,60,746,35,837,145,1220,60,1423,193,1336,76,1603,240,1167,69,1476,157,903,53,1113,65,480,42,587,13,95,19,127,960,7135,436,8530,39,626,44,711,36,380,27,448,100,752,29,887,254,1309,71,1638,393,1299,83,1776,398,1020,55,1475,216,933,53,1210,64,470,46,581,6,137,49,192,1520,6929,466,8914,85,1362,98,1544,68,846,58,970,164,1498,65,1727,406,2531,129,3066,582,2633,162,3378,644,2176,124,2951,375,1840,108,2322,128,953,91,1172,24,226,73,319,2472,14064,898,17437
2010,19,459,43,521,16,426,41,484,71,955,80,1099,100,765,48,921,144,719,39,900,172,792,59,1017,131,683,54,869,62,449,41,551,23,186,25,228,739,5433,422,6594,24,370,32,433,43,414,38,496,124,962,62,1152,184,759,48,988,212,735,46,999,299,769,47,1118,167,772,50,984,83,552,64,700,16,309,38,359,1158,5646,423,7233,40,834,80,955,63,836,82,977,197,1920,141,2254,294,1526,97,1913,359,1453,82,1893,471,1562,100,2136,298,1456,103,1857,149,993,102,1245,37,497,59,589,1903,11078,849,13824
2011,5815,124657,7185,137659,8590,146681,10655,165928,22758,335196,27475,385424,34409,302164,21225,357794,43362,240729,15458,299544,41861,196438,11671,249970,24865,150846,8989,184692,12627,84888,7155,104673,4038,29732,4062,37830,198327,1611328,113856,1923516,6582,117675,6609,130864,10970,137997,8765,157732,33744,335237,23618,392597,51918,294453,18289,364658,70181,231705,13617,315500,66760,188740,10878,266382,37995,161108,10054,209161,15070,100889,8895,124858,2884,50082,7576,60543,296099,1617886,108304,2022295,12403,242330,13791,268525,19564,284682,19414,323658,56501,670431,51090,778028,86323,596617,39511,722456,113542,472434,29075,615047,108622,385178,22552,516353,62854,311958,19046,393854,27697,185779,16049,229530,6917,79810,11635,98370,494429,3229216,222170,3945813
2012,74,1341,199,1613,87,1325,131,1546,255,2906,353,3514,306,2379,310,2997,395,2488,326,3205,510,2506,279,3292,341,2258,249,2850,174,1258,156,1593,47,403,73,515,2182,16868,2081,21133,93,1255,152,1502,138,1198,121,1455,413,2891,356,3663,580,2377,314,3275,769,2442,274,3482,873,2366,237,3480,476,2230,238,2951,210,1376,182,1766,40,724,120,873,3588,16860,2006,22449,167,2598,355,3114,225,2523,253,3004,668,5798,708,7176,889,4762,625,6274,1160,4921,598,6686,1384,4870,518,6775,819,4493,492,5804,380,2632,342,3359,83,1125,188,1391,5774,33721,4083,43582
2013,26,541,67,635,47,505,44,598,98,1141,113,1350,144,891,102,1136,192,964,108,1265,248,1199,122,1571,196,1125,108,1433,97,552,58,704,24,194,22,237,1076,7118,737,8925,32,492,51,578,51,484,43,578,175,1071,106,1354,263,880,103,1248,341,971,108,1426,383,1083,109,1574,239,1092,122,1457,100,620,89,808,12,323,31,365,1610,7013,767,9391,61,1035,116,1212,97,984,86,1175,274,2212,216,2703,406,1772,206,2390,536,1937,219,2689,633,2282,232,3141,439,2219,231,2886,201,1172,144,1515,34,517,52,602,2684,14132,1501,18322
