SUA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
2000,1259,754,462,108,157,24,2766,481,172,145,41,110,5,961,988,428,358,174,240,20,2198,941,531,397,157,214,25,2275,1625,1284,666,419,439,38,4468,2001,2144,914,505,486,39,6088,2241,2600,1071,555,466,52,6994,2316,3195,1153,603,420,54,7733,2029,2935,879,390,297,36,6558,1952,3308,927,379,261,26,6859,1199,2187,548,163,112,15,4215,1933,3027,934,265,199,21,6381,677,1199,284,64,69,12,2309,489,841,226,55,35,4,1655,1024,1701,548,99,85,8,3471,1239,1896,546,129,86,8,3905,467,703,239,45,47,4,1499,481,635,247,36,35,3,1432,1663,1499,734,258,321,49,4524,25010,31042,11274,4445,4077,448,76292
2001,38,24,24,3,0,0,95,3,8,10,0,3,0,25,18,18,13,3,10,0,56,10,3,14,5,8,0,39,18,11,23,8,7,0,71,42,45,26,12,16,4,139,47,60,41,23,10,0,187,88,128,51,26,36,6,330,83,173,52,25,24,0,357,116,229,50,27,16,0,443,113,192,29,15,11,0,367,158,237,54,28,9,4,489,43,105,26,6,6,0,185,34,62,20,5,4,0,123,43,122,26,8,9,0,217,65,128,43,6,12,0,266,20,32,15,3,0,0,64,11,14,11,5,0,0,42,75,99,28,18,16,3,235,1036,1695,554,234,198,23,3738
2002,17,9,4,0,9,0,32,8,0,3,0,0,0,24,17,7,5,3,0,0,40,6,5,11,4,11,0,35,36,37,9,8,5,0,97,44,42,18,17,11,0,134,54,68,24,18,16,0,182,49,91,21,16,7,4,196,46,85,15,10,8,0,169,37,87,17,0,3,0,152,21,42,3,4,0,0,76,37,39,13,5,4,0,100,5,10,0,3,0,0,28,4,8,3,0,0,0,11,10,13,7,3,0,0,34,11,20,6,0,0,0,39,6,3,4,0,3,0,16,0,6,4,0,0,0,14,26,22,10,0,5,0,66,449,606,192,99,82,12,1438
2003,122,82,63,19,20,0,310,41,23,24,3,20,0,110,86,57,58,13,26,4,249,75,60,37,17,29,0,224,175,137,89,41,64,4,511,191,281,111,63,93,12,759,275,421,145,114,94,11,1062,385,588,189,142,103,6,1412,389,638,142,105,54,14,1347,373,673,172,73,56,13,1354,219,456,83,38,34,0,831,262,581,140,46,31,3,1061,85,198,43,6,6,0,345,54,125,32,9,4,0,218,125,276,75,21,16,0,512,139,263,68,18,13,0,506,40,95,29,3,8,0,173,28,87,21,4,4,0,145,166,194,95,48,47,0,551,3239,5244,1607,784,715,82,11676
2004,121,72,52,15,30,0,302,61,23,24,4,16,0,128,92,48,35,12,39,0,233,77,46,48,13,25,5,211,170,146,85,47,57,0,502,194,252,132,87,84,13,771,306,409,150,108,105,16,1101,398,648,165,148,100,13,1475,393,637,166,123,60,18,1395,330,633,143,73,60,13,1249,161,425,85,42,22,4,725,231,505,131,53,29,0,950,83,182,39,6,6,0,322,43,86,28,0,5,0,165,103,217,77,19,11,5,430,107,227,74,21,12,5,436,46,58,30,4,5,0,143,26,61,29,0,0,0,120,156,200,90,46,34,7,532,3101,4880,1581,824,699,105,11197
2005,16,14,0,0,3,0,33,14,4,0,5,0,0,21,18,4,7,6,3,5,38,18,3,0,4,4,0,28,19,5,9,5,8,0,41,18,29,9,5,12,0,73,30,28,8,17,7,0,100,32,48,15,17,7,0,134,26,65,6,11,5,0,117,43,64,10,6,7,0,132,22,41,7,0,0,0,63,23,40,10,5,5,0,88,8,22,8,0,0,0,37,7,14,4,0,0,0,25,19,20,9,3,0,0,46,13,27,8,0,0,0,50,4,7,3,0,0,0,15,5,7,0,0,0,0,15,24,14,9,3,5,0,48,347,448,118,96,81,9,1107
2006,8,9,0,0,3,0,30,5,0,0,0,0,0,4,12,12,6,0,4,0,35,9,8,3,0,6,0,23,23,15,13,0,14,0,63,38,32,15,6,20,4,116,46,67,24,11,10,6,153,48,89,24,17,14,0,203,40,59,19,7,6,7,132,35,81,18,6,11,0,139,14,43,15,4,0,0,69,20,42,11,4,0,0,75,0,16,4,0,0,0,23,7,6,0,0,0,0,20,5,24,4,0,0,0,36,0,21,0,3,3,0,36,4,7,4,0,0,0,17,0,0,0,0,0,0,3,14,25,8,4,5,0,64,338,563,177,68,91,12,1257
2007,23,21,15,4,4,0,62,10,6,3,0,3,0,20,32,4,3,0,4,0,47,25,3,7,0,3,0,48,28,24,20,9,8,0,87,51,45,25,10,8,0,145,61,73,27,11,11,0,186,72,109,40,16,15,0,256,71,135,31,13,15,3,276,97,132,39,23,14,0,304,31,108,24,3,3,0,179,51,77,45,4,4,0,185,24,30,6,0,0,0,66,8,18,4,0,0,0,26,31,54,19,4,0,0,106,19,48,21,0,0,0,94,8,19,9,0,0,0,38,8,24,3,0,0,0,35,48,39,26,8,11,4,135,701,968,383,120,102,17,2292
2008,367,272,203,35,81,7,954,124,65,65,12,26,3,290,215,132,127,41,71,4,583,146,123,106,30,56,3,462,270,233,181,76,136,5,905,394,394,279,107,150,12,1331,546,688,348,144,185,22,1925,659,1081,410,197,234,35,2614,704,1164,377,211,172,33,2660,886,1595,410,228,192,22,3336,721,1394,252,110,84,10,2577,1057,1979,492,173,125,28,3852,453,976,172,61,34,8,1703,304,688,140,46,21,3,1211,517,1338,274,75,50,11,2267,597,1440,375,92,54,14,2578,218,532,150,20,22,5,944,161,400,105,24,15,0,695,472,702,310,90,138,24,1731,8804,15201,4783,1759,1840,248,32640
2009,37,22,20,0,6,4,89,12,4,11,0,4,0,27,22,5,12,0,0,3,50,9,8,9,3,3,0,32,24,24,26,0,7,0,76,29,20,17,8,10,0,89,29,42,35,3,10,0,121,40,78,39,14,14,0,181,35,71,37,16,15,0,172,52,118,50,13,7,0,243,29,136,29,13,5,0,206,93,180,63,17,5,0,365,35,112,15,8,6,0,179,34,105,19,7,6,0,174,70,184,35,9,8,0,307,105,270,57,21,8,0,467,40,92,30,4,5,0,175,34,98,22,8,0,0,164,51,75,38,10,8,0,180,783,1640,559,165,137,9,3297
