SUA_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
2000,0,0,6,18,22,83,152,83,31,390,0,0,10,27,15,44,32,9,4,138,0,5,6,68,12,8,11,0,0,122,0,4,23,137,3,0,0,0,0,163,4,4,16,106,113,202,652,393,137,1627,17,142,227,969,847,1025,689,248,45,4214,0,0,0,11,14,19,25,3,0,69,0,11,11,42,3,9,4,4,0,79,0,6,4,24,69,40,33,0,0,191,15,123,144,888,380,353,221,39,10,2173,0,5,6,47,34,29,48,17,24,217,0,0,7,35,4,0,3,0,0,56,0,10,14,126,135,356,420,300,74,1435,0,11,13,39,51,37,15,3,0,163,8,33,68,250,178,170,120,40,11,873,0,10,13,111,36,50,43,27,9,296,4,4,11,278,10,5,3,0,0,316,4,49,76,412,182,89,36,4,0,850,0,4,0,25,25,14,11,9,5,83,14,41,47,237,159,187,238,48,3,971
2001,0,0,4,12,5,15,28,10,7,72,0,0,0,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,6,4,8,18,10,6,52,3,10,6,59,39,23,19,6,0,167,0,0,0,5,0,3,0,0,0,6,0,6,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,6,3,35,18,13,0,4,0,85,0,0,0,0,6,4,3,0,0,16,0,3,0,8,0,3,0,0,0,12,0,0,0,9,4,16,24,14,5,83,0,4,0,5,5,0,0,0,0,13,0,0,6,11,3,0,6,0,0,42,0,3,0,14,5,4,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,16,7,6,12,3,0,42
2002,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,4,16,10,3,31,0,0,0,9,19,25,17,9,3,83,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,5,9,3,47,18,17,12,4,0,116,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,4,16,4,33,0,0,0,0,0,0,0,0,0,10,0,0,0,15,5,3,5,0,0,24,0,0,0,9,0,0,0,0,0,9,0,0,0,11,0,0,0,0,0,12,0,0,5,20,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,8,0,0,16
2003,0,0,0,0,0,10,13,9,6,40,0,0,0,11,0,4,3,0,0,13,0,0,0,8,3,0,4,0,0,11,0,0,34,64,0,0,0,0,0,103,0,0,6,12,8,15,105,96,32,270,3,28,32,153,78,91,79,22,13,496,0,0,0,0,0,3,0,0,0,7,0,0,10,48,8,0,0,0,0,72,0,0,0,8,17,0,0,0,0,23,0,18,30,190,60,50,34,10,0,394,0,0,0,10,0,6,3,5,5,33,0,0,0,4,0,0,3,4,0,14,0,3,4,17,19,32,49,53,13,201,0,0,5,15,15,3,5,0,0,40,3,9,9,47,19,18,18,8,0,125,0,7,10,68,17,7,6,3,0,113,0,0,0,27,5,0,0,0,0,37,0,6,9,57,21,13,0,0,0,117,0,0,0,5,4,0,0,0,0,6,0,16,22,48,25,27,20,5,0,161
2004,0,0,0,0,0,0,10,7,0,10,0,0,0,13,3,3,0,3,0,17,0,9,28,225,67,40,26,11,3,400,0,0,7,48,0,0,0,0,0,58,0,0,0,3,0,4,35,33,14,96,3,17,28,105,59,90,44,27,4,364,0,0,0,0,0,0,0,0,0,4,0,3,3,35,5,0,0,0,0,51,0,0,3,8,14,8,0,0,0,34,4,14,31,194,73,50,30,8,0,404,0,0,0,3,4,0,4,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,26,38,32,9,136,0,0,4,9,7,0,4,0,0,22,0,11,18,42,29,10,3,11,0,125,0,12,13,57,18,10,9,3,8,123,0,0,0,29,0,0,0,0,0,33,3,94,151,128,12,11,0,0,0,399,0,0,0,3,0,0,0,0,0,6,0,8,15,31,15,6,3,5,0,98
2005,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,3,0,20,0,4,0,22,17,19,12,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,8,7,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,6,0,0,25
2006,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,3,10,3,18,0,0,6,16,11,12,9,5,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,22,4,0,6,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,5,3,6,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,0,6,60,0,0,0,0,0,68,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,4,0,0,12
2007,0,0,0,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,15,0,0,0,4,0,3,15,7,4,33,0,6,3,28,21,29,20,12,5,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,8,0,17,8,45,19,11,5,0,0,106,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,17,13,0,41,0,0,0,0,0,4,0,0,0,3,0,0,0,10,0,4,0,6,0,29,0,3,0,21,0,3,0,3,0,39,0,0,0,6,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,5,6,7,4,0,0,0,18
2008,0,0,0,13,4,28,75,33,6,162,0,3,8,34,16,14,3,6,0,83,0,11,39,137,55,29,20,3,0,291,0,4,24,141,0,0,0,0,0,176,0,12,10,42,31,59,276,210,100,740,14,76,113,527,279,243,178,66,22,1515,0,0,0,38,44,75,113,64,31,371,8,42,67,136,7,8,9,0,0,274,0,0,0,13,34,18,7,3,0,78,6,58,115,568,227,181,118,27,4,1294,0,0,0,62,30,34,63,34,42,268,0,0,0,5,9,0,0,0,0,18,0,20,12,106,82,164,201,160,48,798,5,18,23,58,25,26,25,6,0,183,5,29,62,192,105,78,57,27,7,573,4,18,47,201,35,27,34,9,3,373,0,0,4,51,6,4,0,0,0,73,3,95,113,209,86,37,13,0,0,553,0,0,0,18,22,16,14,10,0,86,16,34,54,218,66,50,61,16,0,510
2009,0,0,0,3,3,11,23,8,0,46,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,3,0,0,0,7,0,4,12,12,0,34,3,4,7,48,54,29,17,4,0,151,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,16,6,0,0,0,0,18,0,0,0,3,4,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,16,11,0,59,0,0,5,4,6,4,0,0,0,13,0,0,8,15,11,3,0,0,0,38,0,0,0,6,0,6,4,0,0,16,0,0,3,0,0,0,0,0,0,4,0,0,0,7,5,5,0,0,0,17,0,0,0,0,4,0,0,0,0,7,0,7,3,15,4,10,3,0,0,46
