SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
2000,3500,21815,15886,243741,3999,288947,82,441,260,10598,208,11578,3383,160,309,1384,54,5290,1226,297,129,621,28,2307,7059,2407,1523,5172,135,16296,37225,20570,15384,219799,4324,297297,3316,57,644,126,63,4206,1119,225,221,1542,29,3137,6567,2277,1618,21956,398,32819,1783,509,185,1245,42,3771,1009,252,114,363,26,1761,2501,217,124,199,18,3053,7800,4920,3335,75528,1084,92671,7898,2679,1052,13163,258,25044,161,9,23,9,3,206,280,107,41,231,5,668,369,101,47,215,5,742,2243,689,397,1799,47,5179,1092,253,214,236,27,1811,1833,868,622,478,38,3843,2020,482,295,1237,39,4071,634,139,97,314,10,1190,306,70,35,27,6,440,9694,5579,4080,66022,881,86256,561,99,55,153,4,880,915,201,153,126,15,1403,714,116,96,570,7,1500,356,106,76,106,6,649,792,47,92,36,18,980,1395,389,270,1989,27,4072,18081,3583,2837,7674,417,32591,1147,358,243,6241,51069,59054,102062,40475,29047,483816,60650,716050
2001,212,1036,718,7618,73,9653,3,24,13,311,4,360,132,8,12,44,0,201,132,28,13,79,3,262,214,81,46,208,3,547,1422,854,676,6448,96,9491,129,12,25,0,0,169,31,12,4,38,0,82,221,91,68,620,5,1008,104,35,10,105,0,254,63,12,6,31,0,115,544,26,12,18,0,610,320,169,142,2230,20,2875,317,139,58,553,7,1074,13,3,0,0,0,17,24,6,0,16,0,52,45,9,4,14,0,72,408,164,92,417,7,1088,72,10,18,5,0,101,104,39,46,20,0,213,131,41,26,111,0,304,13,0,0,16,0,36,63,15,4,0,0,84,428,214,157,1886,22,2705,75,11,17,24,3,127,53,6,8,7,0,75,63,13,7,13,0,95,38,9,5,9,0,49,57,0,8,0,0,65,49,14,13,52,0,126,1432,216,157,321,15,2143,56,17,12,168,839,1095,5647,1891,1361,14776,1053,24717
2002,54,434,354,5424,96,6357,5,14,9,663,12,707,108,16,8,36,5,170,13,0,0,5,0,20,133,42,21,129,0,329,729,448,333,4987,140,6633,146,3,24,13,3,194,27,11,0,20,0,57,134,35,37,445,6,661,18,12,0,30,0,59,18,4,0,11,0,33,98,4,9,15,3,124,114,72,47,1266,23,1515,189,61,23,371,4,640,11,0,0,3,0,18,0,0,0,10,0,7,3,3,0,6,0,9,30,6,5,34,0,76,16,4,9,3,0,34,34,17,13,16,0,81,31,12,3,18,0,71,13,0,0,4,0,17,0,3,0,4,0,11,185,111,89,1267,10,1672,3,0,0,5,0,9,33,3,0,3,0,35,10,0,0,8,0,11,4,8,0,0,0,18,52,0,5,0,0,55,29,25,3,37,0,92,419,83,57,169,15,737,50,0,8,117,972,1144,2233,830,606,10771,1239,15684
2003,490,3330,2365,37387,466,44037,18,74,47,1808,26,1979,1329,50,96,417,10,1906,252,66,26,198,0,549,973,493,301,1348,17,3135,4186,3058,2239,36874,466,46821,689,26,135,26,14,886,145,39,24,296,0,502,660,305,233,3664,29,4899,213,70,27,296,0,601,123,35,12,81,0,258,1807,65,34,58,4,1962,1052,825,556,14426,101,16964,526,316,117,2023,25,3012,77,3,12,8,0,104,29,25,3,54,0,114,41,8,0,44,0,96,160,95,39,343,7,647,97,57,30,50,0,238,226,152,90,101,7,582,249,87,53,266,5,663,134,17,25,64,0,236,45,7,14,0,0,65,1160,939,607,11258,90,14058,107,31,15,43,0,189,152,44,24,27,4,258,127,18,17,96,0,263,133,32,22,27,0,210,175,6,12,6,0,208,164,72,51,402,4,692,4290,676,546,1512,51,7067,186,36,30,839,4945,6039,16360,6263,4397,78917,6026,111973
2004,416,2665,1770,36345,433,41629,3,80,30,2186,46,2336,858,59,68,554,13,1553,89,32,17,95,0,231,441,257,155,694,8,1551,2987,2582,1780,36147,476,43971,680,20,127,30,3,859,83,39,25,257,0,410,446,264,156,3601,31,4498,141,60,16,195,6,425,62,29,19,65,0,178,1241,59,26,44,0,1369,656,625,354,12393,116,14145,426,303,114,2367,12,3225,79,8,6,4,0,93,28,14,5,32,0,75,20,6,3,18,0,54,83,68,21,161,3,338,107,36,30,57,0,234,141,112,82,99,0,434,126,51,23,174,4,369,79,12,11,54,0,157,21,23,0,5,0,56,825,651,466,10104,75,12118,48,14,9,32,0,104,142,36,17,24,3,230,102,15,17,103,6,244,152,26,8,13,0,199,144,9,26,4,0,179,116,77,35,367,6,598,4600,515,362,1278,66,6817,214,38,32,961,4913,6160,13068,5058,3305,75634,5969,103034
2005,45,409,250,3116,57,3881,0,8,0,108,0,116,34,3,0,17,0,66,24,3,0,3,0,25,82,35,9,62,3,192,672,456,281,3435,47,4897,21,0,9,0,0,34,33,13,10,22,5,70,124,46,34,374,0,583,32,8,0,27,0,70,17,12,4,15,0,48,43,6,0,3,0,57,162,138,91,1431,19,1849,77,43,21,214,5,358,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,18,11,0,17,0,49,8,3,3,4,0,25,39,18,10,9,0,77,49,15,3,25,0,90,9,6,0,9,0,19,0,4,0,4,0,11,214,146,93,1182,12,1639,16,0,0,0,0,20,16,5,5,0,0,22,4,3,0,3,0,20,8,5,4,0,0,20,7,0,0,0,0,3,37,17,4,57,0,117,330,108,54,197,6,693,15,4,0,78,1275,1380,1606,840,504,7014,1391,11352
2006,51,299,216,4674,75,5314,0,5,4,184,5,202,265,0,8,13,3,285,5,4,0,13,0,23,72,29,14,89,3,210,354,293,171,4253,79,5150,86,0,5,0,0,90,14,0,4,24,0,41,55,21,17,330,0,424,21,14,3,8,0,45,11,0,0,0,0,16,54,3,3,7,0,67,71,70,41,1675,17,1873,92,40,4,232,3,373,16,0,0,0,0,19,7,0,0,10,0,13,0,0,0,0,0,0,22,16,0,15,0,49,29,11,8,0,0,49,24,13,7,7,0,51,24,0,0,14,0,40,10,0,0,6,0,15,25,0,0,0,0,25,116,91,58,1285,15,1564,7,0,0,6,0,13,0,0,0,0,0,5,4,0,0,8,0,10,11,0,0,0,0,12,10,0,0,0,0,11,12,4,0,30,0,41,425,49,55,79,4,615,28,9,5,164,547,749,1641,584,366,9459,710,12756
2007,83,519,409,8442,144,9597,0,25,18,778,12,831,93,6,5,47,0,148,14,10,4,17,3,54,108,43,32,97,3,286,778,493,386,7956,114,9725,168,0,19,11,0,195,23,8,9,38,0,81,114,42,45,715,5,924,33,11,5,19,0,66,13,3,3,9,0,37,131,3,0,5,0,138,169,83,67,2355,25,2698,151,76,31,501,4,768,9,0,0,0,0,9,3,0,0,7,0,12,0,0,0,0,0,6,42,16,5,47,0,109,65,17,16,0,0,90,32,30,17,21,0,95,38,7,6,26,0,72,3,0,0,3,0,8,0,0,0,0,0,0,225,143,86,2081,12,2544,12,0,0,4,0,17,20,9,3,0,0,32,14,5,0,31,0,53,42,5,4,6,0,50,44,3,0,0,0,47,30,9,7,50,6,97,403,62,58,197,6,730,28,10,0,205,1157,1398,2360,971,734,17067,1443,22568
2008,1934,10587,7764,82726,1103,104117,44,171,121,3078,50,3460,3500,169,259,676,15,4614,2758,452,237,1112,42,4597,3048,1143,714,2849,44,7803,16016,9436,6917,79035,1037,112439,2258,92,390,119,27,2891,510,147,104,634,4,1403,2867,1093,723,8199,99,12978,1150,337,142,918,14,2555,647,154,94,356,9,1257,4594,140,91,123,15,4961,3885,2452,1652,30010,245,38246,4353,1438,600,6385,84,12859,216,5,26,15,0,268,234,88,39,183,8,551,1192,210,91,415,11,1917,927,265,175,938,12,2317,453,165,95,93,7,814,742,459,340,220,12,1774,1508,368,226,978,14,3095,492,95,74,195,8,864,122,46,18,19,0,210,4406,2658,1939,24820,205,34034,1083,143,77,206,16,1525,644,162,115,98,3,1026,713,133,109,301,10,1266,465,74,50,69,6,663,865,41,82,20,3,1007,652,260,186,953,13,2063,17007,2321,1832,4017,191,25372,801,112,116,1629,13136,15793,66316,20262,14448,172810,15792,289630
2009,156,969,761,7013,88,8981,3,7,18,168,0,188,92,15,29,60,5,200,99,22,11,52,0,191,172,79,63,182,3,497,1511,828,657,6181,72,9261,29,0,8,11,0,53,56,18,10,58,0,140,258,114,58,587,3,1036,107,33,24,83,4,246,40,3,6,13,0,69,88,10,3,11,0,111,395,233,161,2355,24,3174,365,138,72,603,5,1179,5,0,5,4,0,11,6,11,0,8,0,30,30,6,6,31,0,79,286,103,51,253,0,697,30,9,10,8,0,64,85,52,37,12,0,183,131,42,15,109,0,299,31,3,4,26,0,65,7,0,4,0,0,11,403,241,156,1945,11,2758,27,3,0,10,0,42,59,15,9,4,0,89,50,4,7,7,0,66,33,24,12,5,0,65,26,11,3,0,0,37,74,20,6,83,0,183,675,181,148,335,4,1337,40,3,11,127,877,1057,4212,1779,1322,13836,1055,22200
