SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
2000,3222,9004,2872,3538,346,22197,3043,2883,10491,7885,10481,1208,35992,241,200,961,686,1226,101,3415,247,150,765,1156,5909,200,8425,240,149,1003,982,3645,1305,7328,12426,10205,46383,35843,94783,8761,208400
2001,157,447,142,178,14,1080,106,89,354,262,290,27,1127,8,0,34,23,54,3,119,13,3,38,62,247,4,370,9,0,36,43,159,54,305,557,365,1835,1492,3613,247,8112
2002,47,163,82,106,9,462,91,65,268,215,300,25,962,0,3,5,9,20,0,44,0,5,18,25,149,4,214,6,3,7,33,75,23,146,216,178,819,738,1978,155,4090
2003,654,2156,528,679,43,5015,1108,796,2985,1399,1959,196,8443,51,22,213,101,198,17,606,66,32,163,228,782,30,1292,49,13,181,147,411,135,945,3629,2184,10426,5673,13284,902,36096
2004,570,1682,408,560,55,3790,1009,737,2815,1434,1939,196,8130,24,22,121,77,151,17,405,61,33,168,226,850,22,1363,42,23,127,115,441,125,876,2478,1959,8871,5134,13001,921,32363
2005,87,174,36,39,0,505,137,85,244,119,118,17,724,24,19,60,20,11,3,127,13,3,29,23,54,0,125,13,6,30,12,18,11,105,555,310,1059,522,886,82,3426
2006,43,152,40,71,0,337,46,30,150,153,263,23,668,0,0,10,6,14,0,27,3,0,5,24,130,3,163,0,0,0,11,47,25,84,143,103,616,542,1837,144,3389
2007,97,341,64,105,12,699,128,125,420,258,414,50,1399,5,0,27,25,58,0,115,7,5,31,47,204,8,298,4,3,18,20,101,36,179,317,298,1520,1024,3088,223,6472
2008,1566,5459,1553,1468,144,12749,2518,1841,7712,3497,4677,466,20714,144,73,533,301,432,33,1525,178,90,554,715,2042,97,3680,240,68,737,484,1164,448,3139,10323,5586,31321,16849,33690,2633,100407
2009,167,445,121,131,16,1097,149,129,427,186,192,40,1124,16,16,54,29,33,6,145,16,10,42,58,174,3,301,20,6,53,35,113,31,260,794,556,2413,1402,2723,225,8117
2010,77,266,63,102,10,581,105,76,374,312,392,29,1290,0,0,11,13,23,0,51,10,4,20,34,177,5,258,0,0,17,15,66,26,128,315,220,1128,922,2436,159,5186
2011,22639,74387,19705,16697,2513,188432,51677,21860,113085,45911,45448,6968,284953,3658,1478,12712,5293,5953,622,29713,5474,1688,13156,11831,28336,1591,62084,10057,1740,23425,10988,18438,9570,74212,289959,91463,659642,277326,401473,50322,1770192
2012,238,798,257,338,31,1815,280,206,961,615,879,84,3025,4,4,34,30,67,3,144,8,3,49,106,445,21,630,15,10,63,74,263,115,539,728,641,3347,2555,6712,647,14623
2013,63,181,91,146,15,557,58,66,267,243,497,52,1182,3,0,5,14,29,0,51,4,0,13,27,199,4,247,0,0,22,21,133,49,228,185,181,850,890,3325,220,5647
2014,35,162,43,70,10,356,38,46,169,147,212,21,639,0,0,8,3,20,0,42,0,0,14,21,93,3,133,0,0,7,10,48,11,81,106,115,561,460,1521,120,2894
2015,77,230,69,88,3,545,130,71,320,186,269,19,993,4,0,17,11,3,0,36,3,6,19,36,110,3,174,7,4,18,25,59,21,132,350,232,1134,817,1833,128,4493
2016,291,691,233,317,19,1769,429,260,1133,754,935,108,3611,5,5,25,20,51,0,100,13,17,59,112,464,17,680,19,9,66,75,243,97,517,1056,778,3444,2648,6185,556,14665
2017,57,199,45,88,5,418,66,51,208,140,190,20,676,0,0,0,10,19,0,32,3,9,6,14,126,6,160,0,0,3,10,59,24,112,146,147,713,555,1516,113,3188
2018,132,467,141,208,20,1153,288,177,891,510,743,79,2678,3,0,23,24,42,8,101,11,4,36,75,336,17,479,9,3,41,42,216,58,366,729,475,2594,1922,5633,409,11765
2019,90,278,71,139,10,668,154,150,524,345,432,37,1643,4,3,10,10,32,0,52,13,3,23,49,170,0,256,9,3,15,19,88,43,175,365,330,1360,1029,2619,220,5925
2020,220,718,228,329,30,1803,242,199,770,537,725,84,2562,8,5,47,45,82,4,188,12,12,48,101,450,12,632,12,6,64,55,226,83,441,833,628,3018,2333,6193,455,13458
2021,172,633,151,236,20,1438,317,255,932,521,744,66,2840,8,3,38,30,64,4,144,11,8,39,63,315,13,455,7,6,35,38,163,52,309,819,608,2976,1876,4843,352,11477
