SUA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
2000,4955,82,24,19,13,5088,3116,51,16,6,8,3185,3066,45,15,12,5,3137,5812,118,9,20,0,5961,7579,113,23,16,9,7745,17535,211,36,37,15,17834,15122,127,27,28,16,15321,13898,98,15,32,21,14065,5420,37,4,13,4,5482,4145,27,3,6,9,4194,3089,17,0,12,9,3135,5600,64,9,16,4,5692,89349,993,167,233,110,90859
2001,149,4,0,0,0,153,64,7,0,4,0,69,44,0,0,0,0,52,87,8,0,0,0,97,164,12,0,0,0,178,581,38,0,0,0,620,906,26,0,0,4,937,1116,19,0,0,0,1131,347,9,0,0,0,357,264,0,0,0,0,269,112,0,0,0,0,115,266,4,0,0,0,268,4111,127,0,5,3,4246
2002,75,11,0,0,0,84,56,0,0,0,0,57,51,5,0,0,0,54,121,0,0,0,0,127,183,8,3,0,0,192,461,11,0,0,0,467,364,5,0,0,0,370,222,5,0,0,0,227,53,0,0,0,0,54,40,0,0,0,0,40,32,0,0,0,0,35,86,4,0,0,0,87,1742,47,3,0,0,1799
2003,547,40,5,0,0,589,332,33,3,0,0,367,285,30,4,0,0,316,637,76,8,6,0,722,948,95,20,0,0,1059,3011,248,33,5,4,3295,3114,110,7,3,8,3241,2423,81,3,4,5,2512,748,23,0,3,4,782,533,20,0,0,0,554,336,11,3,0,0,350,661,35,3,0,0,702,13567,800,94,15,19,14492
2004,568,14,0,0,0,585,335,14,3,0,0,357,293,16,0,0,0,305,656,32,3,0,0,694,970,59,5,0,0,1028,3249,104,11,3,9,3380,3038,62,13,0,9,3120,2133,38,3,0,0,2176,629,6,0,0,0,641,448,12,0,0,0,464,287,3,0,0,0,288,690,15,0,0,0,711,13298,372,45,6,25,13746
2005,86,3,0,0,0,85,58,0,0,0,0,64,37,0,0,0,0,42,67,0,0,0,0,67,109,0,0,0,0,109,295,4,0,0,0,296,291,8,0,0,0,295,218,4,0,0,0,218,88,0,0,0,0,88,58,0,0,0,0,60,31,0,0,0,0,29,75,0,0,0,0,80,1408,22,0,0,0,1431
2006,44,3,0,0,3,54,43,3,0,0,0,49,35,0,0,0,0,36,94,3,0,0,0,98,155,3,0,0,0,161,445,4,0,0,0,457,328,0,0,0,0,329,203,0,0,0,0,199,61,0,0,0,0,61,35,0,0,0,0,35,22,0,0,0,0,27,93,0,0,0,0,92,1558,29,0,7,3,1591
2007,108,8,0,0,0,112,55,0,0,0,0,55,56,0,0,0,0,54,115,8,0,0,0,124,169,17,0,0,0,185,527,26,0,0,3,556,644,10,0,0,0,653,459,5,0,0,0,470,148,0,0,0,0,145,98,0,0,0,0,101,69,5,0,0,0,71,165,3,0,0,0,172,2610,83,0,9,4,2704
2008,1562,89,18,7,0,1674,760,38,10,0,0,812,588,37,7,0,0,639,1174,91,18,3,0,1288,1548,132,37,0,0,1719,5287,390,89,0,0,5778,6818,408,59,3,4,7295,8767,304,63,3,3,9142,3580,107,15,3,4,3710,2680,69,16,0,8,2766,1693,48,7,0,0,1750,2046,95,19,0,0,2167,36504,1818,350,20,24,38720
2009,150,3,0,0,0,154,57,0,0,0,0,60,32,4,0,0,0,35,84,0,0,0,0,84,96,8,0,0,0,101,327,13,0,0,0,343,425,30,4,0,0,460,768,23,0,0,0,791,491,3,0,0,0,493,477,7,0,0,0,482,337,4,0,0,0,343,201,4,0,0,0,201,3444,92,11,0,0,3553
